id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.41147E+18,1.41127E+18,2021-07-04 05:10:17 India Standard Time,04-07-21,05:10:17,530,43387220,faris111,Faris Ramli,,@malaysia_covid This is their justification  https://t.co/6FV8AXJrUD,en,[],[],['https://pbs.twimg.com/media/E5aMX60VIAEu4Dg.jpg'],0,0,0,[],[],https://twitter.com/Faris111/status/1411469878171631621,FALSE,,1,https://pbs.twimg.com/media/E5aMX60VIAEu4Dg.jpg,India,,,,,,"[{'screen_name': 'malaysia_covid', 'name': 'Malaysia COVID19 Updates', 'id': '1284743609078562816'}]",,,,
1.41147E+18,1.41147E+18,2021-07-04 04:57:54 India Standard Time,04-07-21,04:57:54,530,8.27067E+17,hen_cheng,Robert Chan,,"Brazil President Bolsonaro is one of the worst leaders  🤏 skill of running nation+ low IQ + 500,00 Covid deaths☠️ Now Brazil pays higher prices for Indian Covaxin than well known Pfizer &amp; Oxford vaccines😱🤑  Why do people voting unfit persons to be President❓ Political reform  https://t.co/2XcoGOZk0m",en,[],[],['https://pbs.twimg.com/media/E5aJiYhVcAAGosq.jpg'],1,0,0,[],[],https://twitter.com/hen_cheng/status/1411466760545615873,FALSE,,1,https://pbs.twimg.com/media/E5aJiYhVcAAGosq.jpg,India,,,,,,[],,,,
1.41146E+18,1.41146E+18,2021-07-04 04:35:30 India Standard Time,04-07-21,04:35:30,530,1363842691,anan_djcm,DjAnan Masuanchik,"{'type': 'Point', 'coordinates': [13.7522, 100.494]}","Good morning  my friends,  How are you doing? I hope everyone is safe.  and will probably meet soon. 🙌 @bangkokinvadersrunbkk #bangkokinvaders #runbkk #staysafe #covid_19 @ Bangkok Thailand  https://t.co/ws8p30lfuZ",en,[],['https://www.instagram.com/p/CQ4fpr6BZ0K/?utm_medium=twitter'],[],0,0,0,"['bangkokinvaders', 'runbkk', 'staysafe', 'covid_19']",[],https://twitter.com/anan_djcm/status/1411461125275717636,FALSE,,0,,India,,,,,,[],,,,
1.41146E+18,1.41146E+18,2021-07-04 04:30:34 India Standard Time,04-07-21,04:30:34,530,2217043399,ammrsalim,MAS 🇲🇾,,"WTS huawei nova 5T. Retail RM1.5k. Beli time first covid. My price RM150 atau seikhlas hati. Lcd pecah, kamera rosak. Yg lain masih mantap. RT kasi yg memerlukan nampak tweet ni. Dm for more details. Terima kasih  https://t.co/HlajLQaxie",in,[],[],['https://pbs.twimg.com/media/E5aDR_HVEAAmJzR.jpg'],1,0,0,[],[],https://twitter.com/Ammrsalim/status/1411459883233267714,FALSE,,1,https://pbs.twimg.com/media/E5aDR_HVEAAmJzR.jpg,India,,,,,,[],,,,
1.41146E+18,1.41146E+18,2021-07-04 04:20:44 India Standard Time,04-07-21,04:20:44,530,1.37983E+18,bhaskar73169166,Bhaskar Jyoti Dutta,,We need support for Covid situation save my life and buisness  https://t.co/RoUhX7WK5A  *For Paytm Payment (for Android users only)* -  https://t.co/8qCd9iak56  *For UPI payment:*  https://t.co/YXa5A0bPCC  https://t.co/l5TziXWiWT,en,[],"['https://milaap.org/fundraisers/support-bhaskar-jyoti-dutta?mlp_referrer_id=5953297&utm_medium=created&utm_source=virtual_bank_account', 'https://milaap.org/fundraisers/support-bhaskar-jyoti-dutta/deeplink?deeplink_type=paytm', 'https://milaap.org/fundraisers/support-bhaskar-jyoti-dutta/deeplink?deeplink_type=upi']",['https://pbs.twimg.com/media/E5aBCG_VcAYL7lW.jpg'],0,0,0,[],[],https://twitter.com/Bhaskar73169166/status/1411457409885769732,FALSE,https://twitter.com/AdityaRajKaul/status/1411329078297198597,1,https://pbs.twimg.com/media/E5aBCG_VcAYL7lW.jpg,India,,,,,,[],,,,
1.41146E+18,1.41146E+18,2021-07-04 04:16:47 India Standard Time,04-07-21,04:16:47,530,71574477,rinaldi_niki,Rinaldi Kaharudin,"{'type': 'Point', 'coordinates': [-0.30645701, 100.37671566]}","Bukittinggi dengan Jam Gadang, Ngarai Sianok, kuliner dan wisata belanjanya adalah maknet bagi wisatawan sekalipun dimasa pandemi covid-19 ini @ Bukittinggi Kota Wisata  https://t.co/dGx7zlINlv",in,[],['https://www.instagram.com/p/CQ4d7LnLcjC/?utm_medium=twitter'],[],0,0,0,[],[],https://twitter.com/rinaldi_niki/status/1411456413478440961,FALSE,,0,,India,,,,,,[],,,,
1.41145E+18,1.41089E+18,2021-07-04 04:08:51 India Standard Time,04-07-21,04:08:51,530,1.37983E+18,bhaskar73169166,Bhaskar Jyoti Dutta,,@SonuSood Need support for Covid 19 pendamic .... please donate for us save my life and save our staff .... please help.  Read more -  https://t.co/RoUhX7WK5A  *For Paytm Payment (for Android users only)* -  https://t.co/8qCd9iak56  *For UPI payment:*  https://t.co/YXa5A0bPCC  https://t.co/9kn154dhM7,en,[],"['https://milaap.org/fundraisers/support-bhaskar-jyoti-dutta?mlp_referrer_id=5953297&utm_medium=created&utm_source=virtual_bank_account', 'https://milaap.org/fundraisers/support-bhaskar-jyoti-dutta/deeplink?deeplink_type=paytm', 'https://milaap.org/fundraisers/support-bhaskar-jyoti-dutta/deeplink?deeplink_type=upi']",['https://pbs.twimg.com/media/E5Z-TwdVEAAsq4j.jpg'],0,0,0,[],[],https://twitter.com/Bhaskar73169166/status/1411454418843684868,FALSE,,1,https://pbs.twimg.com/media/E5Z-TwdVEAAsq4j.jpg,India,,,,,,"[{'screen_name': 'SonuSood', 'name': 'sonu sood', 'id': '295026890'}]",,,,
1.41145E+18,1.41145E+18,2021-07-04 03:53:47 India Standard Time,04-07-21,03:53:47,530,1.36715E+18,yasmitah,Yasmita,,"*Need Help And Support To save My Friend's  house*  Hello Everyone...I am here to raise funds for my Friend's business which went in loss during this pandemic situation of covid-19. Her father is a small businessman in Ranchi, Jharkhand.  https://t.co/Ew1e4KWHrV",en,[],[],"['https://pbs.twimg.com/media/E5Z61eDUYAE-QF2.jpg', 'https://pbs.twimg.com/media/E5Z62HSUYAED0u9.jpg', 'https://pbs.twimg.com/media/E5Z62qhUYAENqfh.jpg', 'https://pbs.twimg.com/media/E5Z621RUUAQkacU.jpg']",0,0,0,[],[],https://twitter.com/YasmitaH/status/1411450624743460867,FALSE,,1,https://pbs.twimg.com/media/E5Z61eDUYAE-QF2.jpg,India,,,,,,[],,,,
1.41144E+18,1.41144E+18,2021-07-04 03:26:18 India Standard Time,04-07-21,03:26:18,530,1160546448,dr_afzalhaqasif,Dr. Afzal Haq Asif,,Tofacitinib appears to provide clinical benefit for patients with COVID-19 pneumonia.        https://t.co/8g9WOsKOFM via @practiceupdate,en,"[{'screen_name': 'practiceupdate', 'name': 'practiceupdate', 'id': '928719404'}]",['http://prac.co/l/yekskxfr'],[],0,0,0,[],[],https://twitter.com/Dr_AfzalHaqAsif/status/1411443711951654919,FALSE,,0,,India,,,,,,[],,,,
1.41142E+18,1.41142E+18,2021-07-04 02:03:41 India Standard Time,04-07-21,02:03:41,530,1.25885E+18,sadzthunder2021,Entebbe_nian🔥,,"@SheilahGashumba Sheilah thats also done on otheer international airports like when I came from ug to turkey, a had a 24hr covid test, but on reaching Istanbul at the airport they carried out another test on me. Different is that there's is free and they let u go, so results a sent on hala",en,[],[],[],4,1,20,[],[],https://twitter.com/Sadzthunder2021/status/1411422919843061770,FALSE,,0,,India,,,,,,"[{'screen_name': 'SheilahGashumba', 'name': 'Sheilah C Gashumba', 'id': '98330155'}]",,,,
