UserName,Userhandle,Time,comments,retweets,likes,Tweet
Megha Kejriwal,@Megha_journo,2021-03-30T09:18:17.000Z,,,1,"Airports may levy spot fines if face mask rule violated, warns #DGCA amid #Covid spike"
Soumyajit Majumder,@SoumyajitWrites,2021-03-29T15:00:18.000Z,4,,11,"West Bengal reports 639 new COVID-19 cases, Kolkata has 225 new cases"
Nishit Shaw,@NishitShawHere,2021-03-29T05:35:57.000Z,,1,,"Recovery rate drops to 94.32%, very very worrisome for #India.

Please wear a mask, ask others to wear & distance yourself! 

#COVID19 #Corona #coronavirus #Covid_19"
Rajlkxmi Datta,@RajlkxmiD,2021-03-28T13:56:19.000Z,,,,"Replying to 
@republic"
Call me WD or Wri,@Wri_Dutta,2021-03-28T07:22:24.000Z,,,,"Doesn’t quite feel like #Holi, but just another HOLIday in times of #Covid_19 

NB: Spray sanitiser and main distance
#HappyHoli2021"
Rajdip majumder,@Rajdipmajumder1,2021-03-28T06:51:41.000Z,,,1,"Mandatory Upload...

""দাওয়াই ভি, কড়াই ভি""

Just got vaccinated for the Covid-19.....
Let us all get vaccinated and create healthy nation...

#seruminstitute
#covishild 
#mohwf 
#icmr https://instagram.com/p/CM8_g11lsNQokLfYgBXzg2VXCPk9TDTWU-uZ9s0/?igshid=82fclfp0vtx8…"
Apurba Deb,@deb_apurba,2021-03-27T08:54:11.000Z,,,,"Also wear a Mask and follow others Covid-19 guidelines and protocols while going to Vote. 
Thank you 

#Election2021"
Kajal Sengupta,@KajalSengupta8,2021-03-27T05:37:34.000Z,,,,"Mint: Maharashtra: Night curfew from Sunday as COVID-19 cases rise. Details here.
https://livemint.com/news/india/maharashtra-night-curfew-from-sunday-as-covid-19-cases-rise-details-here-11616768589396.html…

via 
@GoogleNews"
Kajal Sengupta,@KajalSengupta8,2021-03-27T05:37:05.000Z,,,,"Mint: Actor Paresh Rawal tests positive for Covid-19 days after being vaccinated.
https://livemint.com/news/india/actor-paresh-rawal-tests-positive-for-covid-19-days-after-being-vaccinated-11616804057959.html…

via 
@GoogleNews"
Nishit Shaw,@NishitShawHere,2021-03-27T05:35:43.000Z,,,1,"With #SachinTendulkar testing positive, here is the current count. 

 Wear a mask.
 Ask others to wear a mask.
 Distance yourself

Only these 3 things can save our own people & also save the economy eco-system.

#Covid #Covid19 #India 
#StaySafe #Unite2FightCorona"
Raja Basu(OFFICIAL),@RajaBas04612605,2021-03-26T19:38:08.000Z,,,,"DG remarks and links for COVID-19 press briefing, 26 March, 2021 http://createsend.com/t/d-1D268C4DBF8C98502540EF23F30FEDED…"
Nishit Shaw,@NishitShawHere,2021-03-26T06:07:07.000Z,1,,,"#Covid_19 worrisome signs-

1. Sixty-Thousand news cases in 1 day.
2. #WestBengal sees Weird-New-Strains 
3. Majority of #Kolkata people are not getting themselves.
4. #Calcutta active cases over-takes recoveries with a great margin, Death rate rising slightly.

Wear a mask, plz!"
Nishit Shaw,@NishitShawHere,2021-03-26T03:33:04.000Z,,,,"CONTENT IS KING!

Despite Night Curfews, Reduced theatre occupancies, on *WORKING WEDNESDAY*, #GodzillaVsKong registers a jaw-dropping Rs 6.40 crore (Net) in #Covid era.

Gone are the days when films opened at 20-25 crores for huge actors.

Note: Film did well in #SouthIndia"
Nishit Shaw,@NishitShawHere,2021-03-26T03:27:02.000Z,,,2,"15th April, 2021

EXTREMELY CRUCIAL for the film fraternity of India

#Covid count by this particular date will determine the ACTUAL release dates of Biggies like #Radhe, #Sooryavanshi, #KGF2, #RadheShyam etc

Reducing the count will only allow ‘The Film Industry’ to prosper."
gautideb,@gautiXdeb,2021-03-25T07:09:58.000Z,,2,1,"If covid cases are increasing ,then why govt is allowing to do Political rally & Meetings with huge crowd  and now they are giving guidelines to celebrate festival with no gatherings  Hypocrisy level  #assam #WestBengal #kolkata #Guwahati #Election2021 #COVID"
Teenskagram,@teenskagram,2021-03-25T06:18:42.000Z,,,,"Government yesterday said a new ""double mutant variant"" of the coronavirus has been detected in 18 states in the country in addition to many other strains or variants of concern (VOCs) which have also been found abroad.
#teenskagram #COVID #coronavirus #vaccine #vaccinated #modi"
Megha Kejriwal,@Megha_journo,2021-03-25T02:37:30.000Z,,,,#JUSTIN |#CalcuttaHighCourt to remain closed due to the rising cases of #Covid.
All In One Desi,@AllIn1Desi,2021-03-25T02:25:42.000Z,,1,1,"Register Yourself For Covid-19 Vaccine(Hindi)
Soon it wiil for all
https://youtu.be/uokm1EBeruE

#allinonedesi #Covid19 #Vaccine #CoronaVaccine #CovidVaccine #CovidVaccineRegistration #CoronaVaccineRegistration #India #VaccineRegistrationIndia"
Sneha Biswas,@Realsnehabiswas,2021-03-24T12:49:00.000Z,,,,"@BeingSalmanKhan
 who was earlier snapped arriving at Lilavati hospital, has now received the first dose of Covid-19 vaccine! Yay!"
Divyam Thakur (BJP),@DivyamThakur19,2021-03-24T08:55:16.000Z,1,,,"Good news:-
Turkey lover Amir Khan Tested positive for Covid-19 !
 Please Let Him Go To Turkey  For Quarantine  
He Already Feels Uncomfortable Here 
@HMOIndia
 
#AamirKhan"
Soumyajit Majumder,@SoumyajitWrites,2021-03-24T08:38:42.000Z,4,2,10,"Centre issues directive to West Bengal government that it may ban celebrations on Holi and Dol due to rise in COVID-19. The decision needs to be taken at the local level, it says."
Raja Basu(OFFICIAL),@RajaBas04612605,2021-03-23T16:43:32.000Z,,,,"@MoHFW_INDIA
 ADVANCE RESEARCH ON COVID-19"
Tamshuk Dutt,@iamTamshuk,2021-03-23T07:00:43.000Z,,,,"As Kartik Aaryan Is Tested Positive For Covid-19, His 'Bhool Bhulaiyaa 2' Shoot Gets Halted.. #BhoolBhulaiyaa2 
@TheAaryanKartik
 #coronavirus"
Blaze-In Digitally,@BlazeInDigital,2021-03-23T04:31:46.000Z,1,,1,"We all remember this day. Maybe we will not be forgetting this phase of life in our lifetime! 

Share your 23rd March 2020 moment in the comment section.

#lockdownanniversary #23rdMarch2020 #jantacurfewanniversary #blazeindigitally #coronaalert #Covid #pandemic"
payel mahata dey,@mahata_payel,2021-03-22T16:46:40.000Z,,,,"@ECISVEEP
 The Covid situation is worsening day by day and Bengal Election is in door - please make mask mandatory in West Bengal during any election campaign or during the election days by keeping monetary penalty to avoid Covid-19 outbursts post election. Thanks . #COVID19"
shyamal das,@shyamal81465999,2021-03-22T08:45:59.000Z,,,,Protection covid 19
Rajat Mondal,@rajatbasuj,2021-03-22T07:42:36.000Z,,,,Uttarakhand CM Tirath Singh Rawat Tests Positive for COVID-19
Nishit Shaw,@NishitShawHere,2021-03-22T06:23:15.000Z,,5,12,"#MumbaiSaga winning hearts in #Covid era. 
Salute to the Brave step of not bringing the film on #OTT

Night curfews, operational limits and still this #JohnAbraham & #EmraanHashmi starrer managed to rake in 5.22 crores.

True example of standing for the film fraternity. "
Yoriichi Tsugikuni,@SniperdmYT,2021-03-21T12:27:07.000Z,,,,"@AITCofficial
 Pls help the Old people who are went to take the Covid-19 vaccine and they get to sit in the sun waiting for their chance and the Barasat District Hospital can’t provide a fan in this scratching heat & water when they’re thirsty."
Joydeep Phukan,@joyphukan,2021-03-20T17:12:03.000Z,,,1,A year at Home by the Americans in 2020 in numbers #US #pandemic #COVID
Sanskar Singh,@singhsanskar18,2021-03-20T14:36:36.000Z,,,,"Best wishes to Prime Minister 
@ImranKhanPTI
 for a speedy recovery from COVID-19."
Healthwire,@HealthwireMedia,2021-03-20T12:13:49.000Z,,,1,"Ekincare Announces COVID Vaccinations For Employees And Dependents 
@eKincareHealth


#ekincare #COVID #coronavirus #VaccinationDrive #COVID19Vaccine"
IMI Kolkata,@IMIKOnline,2021-03-20T06:59:51.000Z,,,,"IMI Kolkata organised its second Supply Chain Summit on the topic ""Refocusing Supply Chain Resilience: Lessons from Covid-19"" comprising our eminent panelists. 

#SCM #IMI"
Yoriichi Tsugikuni,@SniperdmYT,2021-03-20T05:16:18.000Z,,,,"@MamataOfficial
 
@BanglarGorboMB
 
@AITCofficial
 In Barasat Hospital COVID-19 Vaccines should be given but the people here are sitting from 6:00 AM But the vaccination process haven’t been started yet. There’s also no sitting chairs, fans and water for old peoples. Pls Look on us."
Healthwire,@HealthwireMedia,2021-03-18T11:58:50.000Z,,1,4,"DSM Brings Vitamin D In The Spotlight; Says It’s Time To ‘Boost Your ImmuniD’

@DSM


#vitaminD #covid19 #Corona #CoronaVirusUpdates #vitamindeficiency"
Sreshth Shah,@sreshthx,2021-03-18T09:40:49.000Z,3,11,156,"Grateful for many things in life. But one thing that's right up there is that there was no pandemic when I was in college. 

I really sympathise with all you guys who will have only half the Undergraduate ""college experience"" because of staying home for Covid-19."
Healthwire,@HealthwireMedia,2021-03-18T06:33:54.000Z,,,1,"Covid-19 Vaccination Phase II In India: All You Need To Know

Expert-Dr Richa Sareen, Sr Consultant- Pulmonology at Fortis Hospital Vasant Kunj 
@fortis_hospital


#covid19 #CoronaVirusUpdates #coronavirus #COVID19Vaccination"
Anirban Bhattacharya,@aanirbanbh,2021-03-18T06:09:05.000Z,,1,1,"Section 144 imposed in Noida till April 30, due to surge in #COVID cases #covidwave"
Prashant Kumar,@scribe_prashant,2021-03-18T05:32:47.000Z,,11,32,"BREAKING: Cases of Covid-19 on rise in national capital, Chief Minister Arvind Kejriwal to hold a review meeting to take stock of situation. Some interim measures likely to be announced post the meet."
Call me WD or Wri,@Wri_Dutta,2021-03-17T13:22:26.000Z,1,,3,"It’s been another lapse of time when the earth revolved around the sun, since I last celebrated my life’s year with my favourite person on my special day, tension free of COVID-19.
Miss this 
@Starbucks
 cup, but atleast have my favourite one with me.
#HappyBirthday to me."
ARPAN BHAKTA ,@arpan_bhakta,2021-03-17T01:38:53.000Z,,,,"Vaccine Diplomacy: India extends support to over 70 countries, provides 583 lakh doses of Covid-19 vaccines https://financialexpress.com/lifestyle/health/vaccine-diplomacy-india-extends-support-to-over-70-countries-provides-583-lakh-doses-of-covid-19-vaccines/2213826/lite… via 
@FinancialXpress"
Suhrita Majumdar,@SuhritaMajumdar,2021-03-16T14:07:57.000Z,,,,"@KolkataPolice
 Sirs, while the State is busy with the election campaigns, could you please ensure that people around me and you are wearing their masks? We need to remind the citizens that COVID-19 hasn’t left yet and continues to remain a life threat for many."
Purushottam Prashar,@purukol,2021-03-16T11:59:17.000Z,,1,,"@narendramodi
 
@drharshvardhan
 
@RajatSharmaLive
 
@aajtak
 
@DDNewslive
 Dear sir again request you to allow the vaccination of COVID-19 for patients below 45 and having co morbidity  from long time because they are also at risk"
Krishna Daswwani,@dswnque,2021-03-16T09:06:04.000Z,1,,,Vaccinate vaccinate vaccinate #Covid_19 I urge the Govt to vaccinate all especially the states suffering a second wave onslaught because the govts of those states are A. lax B. They will play convenient politics
Global Skoda,@globalskoda,2021-03-16T08:15:05.000Z,,,,"Thank you Mr. Siddhartha shankar Majumder for your feedback. He is one of the Proud Škoda Owners. Check out his overall experience at Global Škoda after Workshop facilities.
We are following all precautionary measures during this COVID_19 for all our customers coming to our sales"
Call me WD or Wri,@Wri_Dutta,2021-03-16T06:24:58.000Z,,,,Be safe and maintain protocols for #Covid_19
Raja Basu(OFFICIAL),@RajaBas04612605,2021-03-15T20:35:53.000Z,,,,PRESS RELEASE: COVID-19 Solidarity Response Fund marks first anniversary and appeals for continued support http://createsend.com/t/d-442BB35A7FFC3D2F2540EF23F30FEDED…
Raja Basu(OFFICIAL),@RajaBas04612605,2021-03-15T20:16:42.000Z,,,,"DG remarks and links for COVID-19 press briefing, 15 March, 2021 http://createsend.com/t/d-534CF082081653552540EF23F30FEDED…"
