,created_at,username,tweet,language,replies_count,retweets_count,likes_count,Userhandle
0,2021-03-03 05:20:50 India Standard Time,takarin_610,「ハノイ市人民委員会は、新型コロナウイルス感染症(COVID-19)対策として営業を一時停止していたレストランやカフェなどの飲食店について、2日午前0時から店内飲食の営業再開を認めた」  ハノイ：飲食店の店内飲食を再開、路上カフェなどは休業継続  https://t.co/wFZs8FXQ5K,ja,0.0,0.0,1.0,
1,2021-03-03 04:56:36 India Standard Time,stevjacks,"Germany's Covid response ""was the envy of the world"" - your daily reminder that the world just means ""white people"".  https://t.co/dxbkOVjBCZ  via @GoogleNews",en,0.0,1.0,3.0,
2,2021-03-03 04:47:18 India Standard Time,hen_cheng,"Pfizer &amp; Moderna claim their vaccines very safe &amp; effective Estimated &gt; 1000 deaths asso w Pfizer vaccines in Nor Spain German etc Pfizer is exempted from legal suits by politicians 🙄🤔Collusion❓ Chance of dying from Covid is 5 in 10,000 ⏩3 by vaccine❓  https://t.co/OR1QmkkBS3",en,0.0,0.0,0.0,
3,2021-03-03 04:04:54 India Standard Time,jozef101,We recently published the predictors of hospitalization among older adults with COVID-19  https://t.co/GghAqZSs9t #COVID19 #CoronaVirusUpdates #geriatrics,en,2.0,4.0,7.0,
4,2021-03-03 03:18:16 India Standard Time,rengat_barat,"*Polsek Rengat Barat Bersama TNI Dan Sat Pol PP Melaksanakan Pembagian Masker Dalam Rangka 100 Hari Kerja Kapolri , Di Wilkum Polsek Rengat Barat , Guna Cegah Penyebaran Virus Covid 19*  https://t.co/CthNAh9djo",in,0.0,0.0,0.0,
5,2021-03-03 03:09:24 India Standard Time,lively_mohyo,@Alhamdhulillaah Them dey do Covid test 150AED private clinics.  But govt own na free. None will stop me.,en,0.0,0.0,0.0,
6,2021-03-03 03:04:30 India Standard Time,akzureikat,"@YMasannat @VGDakessian Time will tell! So far, and based on the data from millions of people vaccinated around the world, the potential benefits from vaccination against COVID-19 far outweigh the potential side-effects  https://t.co/S8oth5jEEW  https://t.co/1Gjrx3lSYO",en,0.0,1.0,2.0,
7,2021-03-03 03:00:03 India Standard Time,maphepane,Texas and Mississippi lifts ALL its COVID-19 precautions  https://t.co/ni5ZAhDq0A via @MailOnline,en,0.0,0.0,0.0,
8,2021-03-03 02:25:02 India Standard Time,vishnoisays,CDC Says It's Not Time to Ease Up on Covid Restrictions  https://t.co/sOB844tOFi,en,0.0,0.0,0.0,
9,2021-03-03 02:14:21 India Standard Time,akzureikat,“The lymph nodes in your armpit area that we see on your mammogram are larger on the side where you had your recent Covid-19 vaccine”... @YMasannat @VGDakessian,en,1.0,1.0,2.0,
10,2021-03-03 02:01:03 India Standard Time,mohamed_sarky,Le Covid si nous veut même quoi? On ne va plus vivre normalement quoi?🤦🏾‍♂️,fr,1.0,1.0,0.0,
11,2021-03-03 01:58:44 India Standard Time,petethitiwatt,Preparing New kinds of Knowledge to be Highlighted in Post-Covid-19 Transitioning to serve people and government around the world as a basic necessary perceptions have to be built before. For easier for running all policies moving forward to SDGs as fast as possible👉,en,1.0,0.0,2.0,
12,2021-03-03 01:54:27 India Standard Time,bree_khan,@Asad_Umar till date  no update on Ami ‘s Covid vaccine ! The auto response is only stating we will let you know !!! It’s been over 2 weeks ! @fslsltn #COVID19Vaccination all talk no execution !!,en,0.0,0.0,0.0,
13,2021-03-03 01:53:09 India Standard Time,rymndb,Philippines is waiting for the next batch of #donated Covid vaccines 💉 #gustokongmaluha 😭,en,0.0,0.0,5.0,
14,2021-03-03 01:25:07 India Standard Time,drm_ashraf,After a very long couple of weeks our grandmother is now home from Hulhumale’ Covid Facility.  Thank you to everyone who helped to take care of her &amp; my mother there.,en,0.0,0.0,16.0,
15,2021-03-03 00:59:09 India Standard Time,ashishmerc,Excellent service by the BKC Covid hospital thank you 🙏🏻,en,0.0,1.0,1.0,
16,2021-03-03 00:55:10 India Standard Time,pherwani,@ShashiTharoor Mr. Tharoor I am quite Apolitical but seeing a post like this from someone like you? Past 6 Q are almost all Covid impacted!,en,0.0,0.0,0.0,
17,2021-03-03 00:45:23 India Standard Time,bnerdy13,"In this Covid era, I guess I’m gonna need one. Dildo ain’t doing shit to me",en,1.0,1.0,2.0,
18,2021-03-03 00:41:30 India Standard Time,rubenmasc,"The Covid Vaccination Drive in Mumbai has degenerated into total chaos.  All 3 Govts- Centre,State and BMC need to get their act together  #CoWIN 4/4",en,0.0,0.0,5.0,
19,2021-03-03 00:29:16 India Standard Time,buzzzknowledge,#knowledgebuzzz #freewebinars #disastermanagement #dataanalytics #rprogramming #starcraft #freeeducationforall #covid_19 #freeeducation @gujuni1949 @VadanVala  https://t.co/iu5pMeYeQA,und,0.0,1.0,4.0,
20,2021-03-02 23:58:45 India Standard Time,ashokpatni55,"@7HillsHospital Had an excellent experience today afternoon of walk-in free covid vaccination at 7 Hills Hospital, Marol, Mumbai. Outstanding staff coordination, extremely polite &amp; helpful, well organised movement of Q's and comfortable arrangements for all.",en,0.0,0.0,0.0,
21,2021-03-02 23:57:11 India Standard Time,milessteven001,"Stop pretending this is about encouraging sport post COVID, everyone. Although the five nations would make excellent hosts, this is about potential income, brash statements and preventing the break-up of the UK.  https://t.co/yn6QfOIQHD #WorldCup2030 #WorldCup",en,0.0,0.0,1.0,
22,2021-03-02 23:48:16 India Standard Time,sidhant,President of Ukraine Volodymyr Zelensky @ZelenskyyUa was vaccinated today using Made-In-India Oxford/AstraZeneca (Covishield) covid vaccine.  https://t.co/KfqchHXnj3,en,5.0,98.0,782.0,
23,2021-03-02 23:46:37 India Standard Time,surendernikhil,"Dear DrSurender Nikhil Gupta,  Congratulations! You are successfully administrated with 2nd Dose of COVID-19. You can download your provisional certificate at -  https://t.co/N9ARWieFNF. In case of any queries post vaccination , contact our help line at 1075 - CoWIN  No Prov Certi",en,0.0,1.0,0.0,
24,2021-03-02 23:35:51 India Standard Time,kanvasani,"@aryan66 Lols  Even they have no data..  no.of test list when court ask no data, no.of covid cases no data, no.of vaccines given no data, no.of vaccinated ones alive, side effects no data,  6years only things happening is Hussain sagar work lolz",en,0.0,0.0,0.0,
25,2021-03-02 23:33:29 India Standard Time,sidhant,"Flash: Caribbean countries, being represented by St Lucia thanks India at WTO for sending Covid vaccines. Statement says ""This act of selflessness is testament to the solidarity of the government and People of India with CARICOM."" Full statement⤵️  https://t.co/AE9jmvEqU0",en,0.0,29.0,123.0,
26,2021-03-02 23:24:09 India Standard Time,aratibhat,"@balbir59 Sir we have had an awful 2020 with covid, we need some form of entertainment no?",en,0.0,0.0,0.0,
27,2021-03-02 23:22:05 India Standard Time,agarwalannupam,@BbmpsplHealth Sir can you please educate us on latest quarantine rules for Asymptomatic COVID positive patients... 10/14/17 days....,en,0.0,0.0,0.0,
28,2021-03-02 23:20:22 India Standard Time,rajedj1,"@rajeshtope11 @Dev_Fadnavis @AjitPawarSpeaks @rajeshtope11 # sir nashik has no testing goverment facility for covid rcpc test, all are sent to Aurangabad ,request you to have direct facility at nashik",en,0.0,0.0,1.0,
29,2021-03-02 23:19:42 India Standard Time,rajedj1,"@Dev_Fadnavis @AjitPawarSpeaks @rajeshtope11 # sir nashik has no testing goverment facility for covid rcpc test, all are sent to Aurangabad ,request you to have direct facility at nashik",en,0.0,0.0,1.0,
