tweet,clean_tweet,hastags,attherate,urls,emojis
COVID infection leads to clousure of two Jamshedpur schools : DBMS English School's Std.9 student &amp; Andhra Association School's Teacher was found corona positive on Thursday. Administration should close all the offline classes. @HemantSorenJMM @DCEastSinghbhum @BannaGupta76,COVID infection leads to clousure of two Jamshedpur schools : DBMS English Schools Std9 student amp Andhra Association Schools Teacher was found corona positive on Thursday Administration should close all the offline classes ,[],"['@HemantSorenJMM', '@DCEastSinghbhum', '@BannaGupta76']",[],[]
"UK's Glastonbury Festival, cinemas, museums get government cash to survive COVID  https://t.co/zsvvfaO49b #Sipgrab #UnitingPeopleWithThePossibilities",UKs Glastonbury Festival cinemas museums get government cash to survive COVID  ,"['#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/zsvvfaO49b'],[]
"These covid lockdowns make me desperate than ever.   Watch my #sissyclit leak cum like a true #ExposedSissySlut while getting brutally fucked.  Please expose me, Varun is a pathetic #sissy #faggot.  https://t.co/RB7Dse2yYF",These covid lockdowns make me desperate than ever Watch my leak cum like a true while getting brutally fucked Please expose me Varun is a pathetic ,"['#sissyclit', '#ExposedSissySlut', '#sissy', '#faggot.']",[],['https://t.co/RB7Dse2yYF'],[]
"@Dublin_Called @NFitzPsychology Thanks, Orla! The pandemic has made it tougher. My sis (in Canada) &amp; hubster can't even fly over to help out. Under normal conditions (we'll need to redefine ""normal"" post-Covid) we could take turns. However tough, I have no regrets caring for my mum ❤️ (really miss Dublin tho🍀)", Thanks Orla The pandemic has made it tougher My sis (in Canada) amp hubster cant even fly over to help out Under normal conditions (well need to redefine normal postCovid) we could take turns However tough I have no regrets caring for my mum  (really miss Dublin tho),[],"['@Dublin_Called', '@NFitzPsychology']",[],"['❤️', '🍀']"
Please take strict action against the DPS &amp;C Premier Campus Faisalabad for opening and calling of the staff endangering their lives as already more than 10 teachers are diagnosed with Covid. @DCFaisalabad @ImranKhanPTI @OfficialNcoc @HealthPunjabGov @nhsrcofficial @DrMuradPTI,Please take strict action against the DPS ampC Premier Campus Faisalabad for opening and calling of the staff endangering their lives as already more than 10 teachers are diagnosed with Covid ,[],"['@DCFaisalabad', '@ImranKhanPTI', '@OfficialNcoc', '@HealthPunjabGov', '@nhsrcofficial', '@DrMuradPTI']",[],[]
"Personal Finance Daily: Compass CEO Robert Reffkin: COVID created a ‘permanent shift’ in real-estate demand, and don’t post your COVID-19 vaccination card on social media — here’s why  https://t.co/dOpO6WT55b #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",Personal Finance Daily: Compass CEO Robert Reffkin: COVID created a ‘permanent shift’ in realestate demand and don’t post your COVID19 vaccination card on social media — here’s why  ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/dOpO6WT55b'],[]
"Personal Finance Daily: Compass CEO Robert Reffkin: COVID created a ‘permanent shift’ in real-estate demand, and don’t post your COVID-19 vaccination card on social media — here’s why  https://t.co/03E3Pc5mf4 #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",Personal Finance Daily: Compass CEO Robert Reffkin: COVID created a ‘permanent shift’ in realestate demand and don’t post your COVID19 vaccination card on social media — here’s why  ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/03E3Pc5mf4'],[]
Here's how you can be forced to get the Covid vaccine in the U.S.  https://t.co/eEJUm8GqOB #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,Heres how you can be forced to get the Covid vaccine in the US  ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/eEJUm8GqOB'],[]
@GabbbarSingh Their PM for Covid 2 days after he was vaccinated.  But aapne Ghabrana nahi hai !, Their PM for Covid 2 days after he was vaccinated But aapne Ghabrana nahi hai ,[],['@GabbbarSingh'],[],[]
@BBMPCOMM @BBMPAdmn Congratulations Sir. A challenging task amidst Covid 19 second wave. My best wishes., Congratulations Sir A challenging task amidst Covid 19 second wave My best wishes,[],"['@BBMPCOMM', '@BBMPAdmn']",[],[]
