tweet,clean_tweet,hastags,attherate,urls,emojis
"The corona virus has a possible 39,000 RNA mutations. The world has only seen 153 so far. Practice social distancing and keep your face masks on. #COVIDisAirborne #Covid_19",The corona virus has a possible 39000 RNA mutations The world has only seen 153 so far Practice social distancing and keep your face masks on ,"['#COVIDisAirborne', '#Covid_19']",[],[],[]
Second wave of coronavirus infection in India by new variant of double mutant B.1.617  https://t.co/xuMMbohior,Second wave of coronavirus infection in India by new variant of double mutant B1617 ,[],[],['https://t.co/xuMMbohior'],[]
BBC News - India coronavirus: New record deaths as virus engulfs India  https://t.co/jYpHJ58kJC #coronavirus,BBC News  India coronavirus: New record deaths as virus engulfs India  ,['#coronavirus'],[],['https://t.co/jYpHJ58kJC'],[]
wear a mask and sanitize your hands and maintain social distancing #COVIDSecondWaveInIndia #COVIDEmergency #coronavirus,wear a mask and sanitize your hands and maintain social distancing ,"['#COVIDSecondWaveInIndia', '#COVIDEmergency', '#coronavirus']",[],[],[]
BBC News - India coronavirus: New record deaths as virus engulfs India  https://t.co/HpTGBrGE3K,BBC News  India coronavirus: New record deaths as virus engulfs India ,[],[],['https://t.co/HpTGBrGE3K'],[]
"Are you okay? No, i just want a Covid free world please  #Covid_19 #coronavirus",Are you okay No i just want a Covid free world please ,"['#Covid_19', '#coronavirus']",[],[],[]
Pray for India ......  #CovidHelp #CoronavirusIndia #coronavirus #CoronaVaccine #help #Helpless #IndiaFightsCorona #India #WritingCommunity #Writers #Trending  https://t.co/ibk6JUKw9R,Pray for India  ,"['#CovidHelp', '#CoronavirusIndia', '#coronavirus', '#CoronaVaccine', '#help', '#Helpless', '#IndiaFightsCorona', '#India', '#WritingCommunity', '#Writers', '#Trending']",[],['https://t.co/ibk6JUKw9R'],[]
Childrens are gift of god help them for their education not for begging....  #help #PrayForIndia #COVIDSecondWaveInIndia #CoronaPandemic #coronavirus #CHATTISHGARH #SocialMedia #SocialDistancing #SocialWorkTwitter #StayHome #socialwork #bhilai#education  #StaySafe #StayHome  https://t.co/DPQb8UDs3B,Childrens are gift of god help them for their education not for begging ,"['#help', '#PrayForIndia', '#COVIDSecondWaveInIndia', '#CoronaPandemic', '#coronavirus', '#CHATTISHGARH', '#SocialMedia', '#SocialDistancing', '#SocialWorkTwitter', '#StayHome', '#socialwork', '#bhilai#education', '#StaySafe', '#StayHome']",[],['https://t.co/DPQb8UDs3B'],[]
@palhali Heard eating Mangoes in Summer can reduce risks of contracting Coronavirus 😀, Heard eating Mangoes in Summer can reduce risks of contracting Coronavirus ,[],['@palhali'],[],['😀']
Help them they needs you very badly in this situation...  #help #CovidSOS #PrayForIndia #COVIDSecondWaveInIndia #CovidHelp #coronavirus #CHATTISHGARH #bhilai #bhilaidurg #SocialMedia #SocialDistancing #SocialWorkTwitter #socialworker #socialwork #Feed #  https://t.co/xzMy1V0sVM,Help them they needs you very badly in this situation # ,"['#help', '#CovidSOS', '#PrayForIndia', '#COVIDSecondWaveInIndia', '#CovidHelp', '#coronavirus', '#CHATTISHGARH', '#bhilai', '#bhilaidurg', '#SocialMedia', '#SocialDistancing', '#SocialWorkTwitter', '#socialworker', '#socialwork', '#Feed', '#']",[],['https://t.co/xzMy1V0sVM'],[]
