tweet,clean_tweet,hastags,attherate,urls,emojis
@anileshmahajan @tsrawatbjp @TIRATHSRAWAT @BJP4India It is showing complete mess in power hierarchy of BJP which is seemingly rattled by inappropriate handling of covid 2nd wave .,14 COVID admissions so far ,[],"['@anileshmahajan', '@tsrawatbjp', '@TIRATHSRAWAT', '@BJP4India']",[],[]
Uggah: Sarawak still free of Covid-19 Delta variant    https://t.co/BtjONCXGgI,Uggah: Sarawak still free of Covid19 Delta variant ,[],[],['https://t.co/BtjONCXGgI'],[]
@RomainSandro Following Covid 19 guidelines., Following Covid 19 guidelines,[],['@RomainSandro'],[],[]
"My parents, senior citizens and vaccinated are on the way to Port Blair from Delhi Airport to meet my brother who is in critical cond in GB Pant Hospital, Port Blair, are being denied to take the flight due to absence of Covid report. Please help @PMOIndia @AiFlywith @airindiain",My parents senior citizens and vaccinated are on the way to Port Blair from Delhi Airport to meet my brother who is in critical cond in GB Pant Hospital Port Blair are being denied to take the flight due to absence of Covid report Please help ,[],"['@PMOIndia', '@AiFlywith', '@airindiain']",[],[]
"Fast-spreading Delta Variant, Vaccination Rates, Reintroduction of Indoor Masks: COVID-19 Global Weekly Highlights  https://t.co/Aia0dGOybP via @medscape",Fastspreading Delta Variant Vaccination Rates Reintroduction of Indoor Masks: COVID19 Global Weekly Highlights  via ,[],['@medscape'],['https://t.co/Aia0dGOybP'],[]
"COVID Vaccines: Mixing different vaccines for first and second dose have better results than both doses of the same vaccine, study finds.  https://t.co/P0emPoWTxP",COVID Vaccines: Mixing different vaccines for first and second dose have better results than both doses of the same vaccine study finds ,[],[],['https://t.co/P0emPoWTxP'],[]
"楊培安 我相信 歌詞  https://t.co/OOqNduyg9Z via @YouTube  World Buddies!  Believe in our respective ALLAH / God / Belief.  The GREATEST definitely would stop the Pandemic of COVID-19 and also its variants Delta,once Believe on HIM and do Goodnesses Always,both CREATIONS n NATURE.  https://t.co/BVZJgO2eZC",楊培安 我相信 歌詞  via World Buddies Believe in our respective ALLAH / God / Belief The GREATEST definitely would stop the Pandemic of COVID19 and also its variants Deltaonce Believe on HIM and do Goodnesses Alwaysboth CREATIONS n NATURE ,[],['@YouTube'],"['https://t.co/OOqNduyg9Z', 'https://t.co/BVZJgO2eZC']",[]
14 COVID admissions so far 💔,14 COVID admissions so far ,[],[],[],['💔']
#VACCINATIONRACE  STATE/UT-WISE - VACCINATION RACE  One in every four Indians is vaccinated with at least one dose of COVID-19 vaccine as on 04 July 2021.  CC: @MoHFW_INDIA @narendramodi @ICMRDELHI @PMOIndia @WHO @adarpoonawalla @DrKrishnaElla @SuchitraElla  https://t.co/H6N87O84le, STATE/UTWISE  VACCINATION RACE One in every four Indians is vaccinated with at least one dose of COVID19 vaccine as on 04 July 2021 CC: ,['#VACCINATIONRACE'],"['@MoHFW_INDIA', '@narendramodi', '@ICMRDELHI', '@PMOIndia', '@WHO', '@adarpoonawalla', '@DrKrishnaElla', '@SuchitraElla']",['https://t.co/H6N87O84le'],[]
Fears over the ‘Lambda’ Covid variant that’s hit UK as ‘unusual’ mutations can ‘dodge vaccines’  https://t.co/yTOFK4JNh5,Fears over the ‘Lambda’ Covid variant that’s hit UK as ‘unusual’ mutations can ‘dodge vaccines’ ,[],[],['https://t.co/yTOFK4JNh5'],[]
@KishoriPednekar I hope more than 20 people are not attending marriage ....  As per Covid guidelines ...  #DeltaVariant, I hope more than 20 people are not attending marriage  As per Covid guidelines  ,['#DeltaVariant'],['@KishoriPednekar'],[],[]
@daniawaheed3 Never heard of black vomit. Rest are symptoms of covid. Can be food poisoning as well. Get urself tested immediately, Never heard of black vomit Rest are symptoms of covid Can be food poisoning as well Get urself tested immediately,[],['@daniawaheed3'],[],[]
COVID-19: Indonesia ramps up oxygen output after dozens die amid scarcity   https://t.co/7SzOVD9Ox0,COVID19: Indonesia ramps up oxygen output after dozens die amid scarcity ,[],[],['https://t.co/7SzOVD9Ox0'],[]
"@carboxymoron @adi408b So many positives !!! Great quarterly results amid covid and fantastic expansion plans with ammonia plant at Tajola and I strongly believe once is out from the ASM IV, this will fly high to reach 800+ - please go through the link    https://t.co/OblAJgkadc", So many positives  Great quarterly results amid covid and fantastic expansion plans with ammonia plant at Tajola and I strongly believe once is out from the ASM IV this will fly high to reach 800+  please go through the link ,[],"['@carboxymoron', '@adi408b']",['https://t.co/OblAJgkadc'],[]
Covid 19 era gone? If gone dm me or else tweet .....,Covid 19 era gone If gone dm me or else tweet ,[],[],[],[]
"Israel, Pfizer Discuss Expiring Covid Vaccines Swap: Haaretz  https://t.co/KV0epx3Hr4",Israel Pfizer Discuss Expiring Covid Vaccines Swap: Haaretz ,[],[],['https://t.co/KV0epx3Hr4'],[]
Map reveals US covid hotspots with high delta numbers and low vaccinations  https://t.co/LabVr9Gg32 @drharshvardhan,Map reveals US covid hotspots with high delta numbers and low vaccinations  ,[],['@drharshvardhan'],['https://t.co/LabVr9Gg32'],[]
Morocco’s Sothema to produce China’s Sinopharm Covid-19 vaccine | World | Malay Mail  https://t.co/NBQc66y88c @drharshvardhan,Morocco’s Sothema to produce China’s Sinopharm Covid19 vaccine | World | Malay Mail  ,[],['@drharshvardhan'],['https://t.co/NBQc66y88c'],[]
Preparations Undertaken at War-Footing to Fight COVID  via NaMo App  https://t.co/a8wLlrpiS9,Preparations Undertaken at WarFooting to Fight COVID via NaMo App ,[],[],['https://t.co/a8wLlrpiS9'],[]
Rise in Testing Infrastructure to Battle COVID-19  via NaMo App  https://t.co/pIRE6vQvjq,Rise in Testing Infrastructure to Battle COVID19 via NaMo App ,[],[],['https://t.co/pIRE6vQvjq'],[]
Strengthening Healthcare Infra during COVID-19  via NaMo App  https://t.co/45BqZJK3KR,Strengthening Healthcare Infra during COVID19 via NaMo App ,[],[],['https://t.co/45BqZJK3KR'],[]
Indian Railways Speed Up Fight Against COVID-19   via NaMo App  https://t.co/oBBRVfOidZ,Indian Railways Speed Up Fight Against COVID19 via NaMo App ,[],[],['https://t.co/oBBRVfOidZ'],[]
PM-CARES Fund Helps Nation in Fight against COVID-19  via NaMo App  https://t.co/kEjLXirMFK,PMCARES Fund Helps Nation in Fight against COVID19 via NaMo App ,[],[],['https://t.co/kEjLXirMFK'],[]
"Right approach by UK . Life must go on . No pain no gain . In Malaysia , we must allow inter state and open our social &amp; economy now .  BBC News - Covid: Most rules set to end in England, says PM  https://t.co/0vGCZcbeSf",Right approach by UK  Life must go on  No pain no gain  In Malaysia  we must allow inter state and open our social amp economy now  BBC News  Covid: Most rules set to end in England says PM ,[],[],['https://t.co/0vGCZcbeSf'],[]
"More than 60 people died in a hospital in Indonesia this weekend after oxygen supplies nearly ran out, as the country battles a severe wave of Covid-19 that authorities say is driven by the more infectious Delta variant.  https://t.co/m5ow5EImFy",More than 60 people died in a hospital in Indonesia this weekend after oxygen supplies nearly ran out as the country battles a severe wave of Covid19 that authorities say is driven by the more infectious Delta variant ,[],[],['https://t.co/m5ow5EImFy'],[]
816 tested positive for Covid-19 so far today. Results of PCR tests delayed &amp; are lesser due to strike action by certain trade unions of the health sector...  - Army Commander-  https://t.co/MApDlJp2UH,816 tested positive for Covid19 so far today Results of PCR tests delayed amp are lesser due to strike action by certain trade unions of the health sector  Army Commander ,[],[],['https://t.co/MApDlJp2UH'],[]
"32 Covid-19 related deaths for 04 July confirmed by Director General of Health Services, increasing total number of deaths in Sri Lanka to 3,268 - Gov't Info Dept #COVID19SL #COVID19 #coronavirus #fatalities  https://t.co/stfTNThxPY",32 Covid19 related deaths for 04 July confirmed by Director General of Health Services increasing total number of deaths in Sri Lanka to 3268  Govt Info Dept ,"['#COVID19SL', '#COVID19', '#coronavirus', '#fatalities']",[],['https://t.co/stfTNThxPY'],[]
"Russia's Orthodox Church admonishes people for refusing to get vaccinated against COVID-19, calling it ""a sin for which they will have to atone throughout their lives"" - Reuters",Russias Orthodox Church admonishes people for refusing to get vaccinated against COVID19 calling it a sin for which they will have to atone throughout their lives  Reuters,[],[],[],[]
@mayankgandhi04 I think type 2 is deadlier than Covid-19 or any other disease for Asians in the existing time, I think type 2 is deadlier than Covid19 or any other disease for Asians in the existing time,[],['@mayankgandhi04'],[],[]
🚩JUST IN:  A Brilliant Article on Post COVID Symptoms published today in the Annals of Internal Medicine highlights the need for out patient monitoring of all COVID patients!   https://t.co/kNuXwwp9CA  Thank you @EricTopol for bringing this to my notice!  Sharing the Abstract!  https://t.co/OaUpdJE7mU,JUST IN: A Brilliant Article on Post COVID Symptoms published today in the Annals of Internal Medicine highlights the need for out patient monitoring of all COVID patients  Thank you for bringing this to my notice Sharing the Abstract ,[],['@EricTopol'],"['https://t.co/kNuXwwp9CA', 'https://t.co/OaUpdJE7mU']",['🚩']
"Startling findings by @aiims_newdelhi! Children grapple with anxiety and depression in COVID era. This is not how childhoods should be. Proud that @stc_india team is working hard to restore small joys of childhood. In these times, let's #ThinkOfTheChildren  https://t.co/oE0uwSfnPp",Startling findings by Children grapple with anxiety and depression in COVID era This is not how childhoods should be Proud that team is working hard to restore small joys of childhood In these times lets ,['#ThinkOfTheChildren'],"['@aiims_newdelhi!', '@stc_india']",['https://t.co/oE0uwSfnPp'],[]
COVID 19 expose how broken the political and social systems in every country..,COVID 19 expose how broken the political and social systems in every country,[],[],[],[]
@sureshpprabhu @JM_Scindia Sir I really doesn't understand why is the BJP not utilising the services of experts like suresh prabhu... In this hr of crisis people who r meteculous sincere n hardworking are required to lead from the front n take is all from the looming economic n health crisis due to covid., Sir I really doesnt understand why is the BJP not utilising the services of experts like suresh prabhu In this hr of crisis people who r meteculous sincere n hardworking are required to lead from the front n take is all from the looming economic n health crisis due to covid,[],"['@sureshpprabhu', '@JM_Scindia']",[],[]
"Listening to ""Are we surely heading for  Third  wave Of COVID? Whats needs to be done to Prevent Third wave"" by Dr. Pratim Sengupta.   https://t.co/tY05x6Qnar",Listening to Are we surely heading for Third wave Of COVID Whats needs to be done to Prevent Third wave by Dr Pratim Sengupta ,[],[],['https://t.co/tY05x6Qnar'],[]
"While the people of Thailand are hugely suffering from Covid-19, a group of persons they kneed and crawled disappeared. Why do they still exist? #WhatsHappeningInThailand",While the people of Thailand are hugely suffering from Covid19 a group of persons they kneed and crawled disappeared Why do they still exist ,['#WhatsHappeningInThailand'],[],[],[]
@ImmigrationMV Are work visa being reissued for those whose work visa expired and couldn't renew due to covid 19?, Are work visa being reissued for those whose work visa expired and couldnt renew due to covid 19,[],['@ImmigrationMV'],[],[]
