,tweet,clean_tweet,hastags,attherate,urls,emojis,label
122,"#covid_19puzzle :  our national parties holding rallies ,posting pics ...#irresponsible . No social distancing , no masks , . I wonder how all these folks don’t get corona and who are the folks who are getting corona ? I am puzzled ! Any body has answers ?  https://t.co/8St5ASFfoo",nation parti hold ralli post pic social distanc mask wonder folk dont corona folk corona puzzl bodi answer ,['#covid_19puzzle'],[],['https://t.co/8St5ASFfoo'],[],2
187,Today's Corona News Statistics of Surat and Bardoli ..  #bardoli #bardolinagar #surat #suratcity  #covid_19 #sardarnagribardoli #CoronaVirus #COVID19 #stayhomestaysafe #coronaupdates #coronapositive #bardoliguide  https://t.co/dWrZ6ky1LA,today corona news statist surat bardoli ,"['#bardoli', '#bardolinagar', '#surat', '#suratcity', '#covid_19', '#sardarnagribardoli', '#CoronaVirus', '#COVID19', '#stayhomestaysafe', '#coronaupdates', '#coronapositive', '#bardoliguide']",[],['https://t.co/dWrZ6ky1LA'],[],2
262,"Dear Sir, Please increase the Covid beds in Delhi, if the trend continues, Delhi will have 10k daily cases soon.   Also get Delhi Corona app active again.  @ArvindKejriwal @SatyendarJain @ArvindKejriwal",dear increas covid bed delhi trend continu delhi daili case soon delhi corona app activ ,[],"['@ArvindKejriwal', '@SatyendarJain', '@ArvindKejriwal']",[],[],2
263,Why Night Curfew? Why not day curfew and open markets for night. 1ly needy will approach out even at night not the street ramblers.RE-Think district authorities. It will certainly help in breaking the  chain of Covid. @MOHW @PMOIndia @bhaarukannaa @ChhattisgarhCMO @bhupeshbaghel,night curfew day curfew open market night needi approach night street ramblersrethink district author certainli help break chain covid ,[],"['@MOHW', '@PMOIndia', '@bhaarukannaa', '@ChhattisgarhCMO', '@bhupeshbaghel']",[],[],2
371,"#Covid_19 lockdown has given me sleepless nights. Covid,  the greatest teacher.",lockdown give sleepless night covid greatest teacher ,['#Covid_19'],[],[],[],2
387,The total mismanagement of the covid virus pandemic makes the government more dangerous than the virus.,total mismanag covid viru pandem govern danger viru ,[],[],[],[],2
388,@ndtv No one can explain  What is Corona &amp; covid-19,explain corona covid ,[],['@ndtv'],[],[],2
425,"@whosthatmiss Two peg vodka, will help you out from everything.... #covid  #responsibility #mistake specially in night. So, before meal aur phir 6 bje uth kar yoga karo.. whole day fresh",peg vodka help special night meal aur phir bje uth kar yoga karo day fresh ,"['#covid', '#responsibility', '#mistake']",['@whosthatmiss'],[],[],2
435,"Keep Social Distancing, Wear Mask, Save a Life😷 #Covid_ICU #Cardio_Consultations  https://t.co/zXJ8eRuL30",social distanc wear mask save life ,"['#Covid_ICU', '#Cardio_Consultations']",[],['https://t.co/zXJ8eRuL30'],['😷'],2
606,What corona ?,corona ,[],[],[],[],2
607,@ndtv @republic  @ZeeNews  @IndiaToday  @BJP4India  @pushpampc13  @narendramodi  Kindly help us to get our job. #IRCTC HOSPITALITY SUPERVISOR# # Corona Warriors# #SAVE US#  https://t.co/xIElJbGzhS,kindli help job hospit supervisor corona warrior ,"['#IRCTC', '#', '#SAVE']","['@ndtv', '@republic', '@ZeeNews', '@IndiaToday', '@BJP4India', '@pushpampc13', '@narendramodi']",['https://t.co/xIElJbGzhS'],[],2
