,tweet,clean_tweet,hastags,attherate,urls,emojis,label
0,"Line of Treatment for Covid-19 Hydroquinone  Ivermectin  Zincovit  Celine (Vit.C)  Paracetamol Doxy  Antibody cocktail  Dexamethasone Azithromycin  Remdesivir Frapivir  Oxygen  Get vaccinated,  prevent all above",treatment covid hydroquinon ivermectin zincovit celin vitc paracetamol doxi antibodi cocktail dexamethason azithromycin remdesivir frapivir oxygen vaccin prevent ,[],[],[],[],0
1,"Yes, it's Oxygen and Remdesivir Versus Hindu-Muslim Agenda this time. It's Hospital beds versus temple politics, it's feeding peacocks versus hungry migrants....the list is long....very long.",oxygen remdesivir versu hindumuslim agenda time hospit bed versu templ polit feed peacock versu hungri migrantsth list longveri long ,[],[],[],[],0
2,"@KDMCOfficial one of my pts needs remdesivir and tociluzimab urgently ,wid icu bed if available , kindly help kdmc ...plz contact 9987579186",remdesivir tociluzimab urgent wid icu bed avail kindli help kdmc plz contact ,[],['@KDMCOfficial'],[],[],0
3,So many citizens across India requested you for oxygen &amp; Remdesivir too remember.,citizen india request oxygen remdesivir rememb ,[],[],[],[],0
4,Remdesivir “made in India” just reached #HoChiMinhCity to help flight Covid 19.  https://t.co/nbaFUWscbw,remdesivir india reach help flight covid ,['#HoChiMinhCity'],[],['https://t.co/nbaFUWscbw'],[],0
5,"Instead of managing Covid tactfully, BJP leaders and PM got involved with various scams related to covid relief.  - PM care fund scam - ventilator scam - Remdesivir scam - PPE scam - oxygen cylinder scam - ambulance scam - Vaccination scam - 4lakh compensation scam  #SansadGherao",instead manag covid tact bjp leader involv scam relat covid relief care fund scam ventil scam remdesivir scam ppe scam oxygen cylind scam ambul scam vaccin scam lakh compens scam ,['#SansadGherao'],[],[],[],0
6,India's Remdesivir production capacity increased to 122.49 lakh vials per month in June: Government   https://t.co/6HVzYZbwBx  via NaMo App  https://t.co/nasMWFZVrJ,india remdesivir product capac increas lakh vial month june govern namo app ,[],[],"['https://t.co/6HVzYZbwBx', 'https://t.co/nasMWFZVrJ']",[],0
7,"Report: India preparing for a possible Covid 3rd Wave: Currently 50 lakh Remdesivir medicines in stock, 293 O2 Plants for hospitals, 20 Lakh beds.  India plans to restart Vaccine exports from November.",report india prepar possibl covid wave current lakh remdesivir medicin stock plant hospit lakh bed india plan restart vaccin export novemb ,[],[],[],[],0
8,I thought AIIMS has removed Remdesivir from the line of treatment. Kya karoge 50L stock ka?,thought aiim remov remdesivir treatment kya karog stock ,[],[],[],[],0
9,"Oxygen Plants, ICU Beds and 50 Lakh Vials of Remdesivir: How Govt is Preparing for the 3rd Wave  https://t.co/PNpvC13wpP",oxygen plant icu bed lakh vial remdesivir govt prepar wave ,[],[],['https://t.co/PNpvC13wpP'],[],0
10,@63d235a2bfac484 @KiritSomaiya @BJP4Maharashtra Yes nothing will happen to Fadnavis in remdesivir matter.Anil deshmukh is vasuli matter. And others is other scams. Bjp signed in favour of scamster Ajit pawar to form govt. why Kirit is not questioning Fadnavis too,happen fadnavi remdesivir matteranil deshmukh vasuli matter scam bjp sign favour scamster ajit pawar form govt kirit question fadnavi ,[],"['@63d235a2bfac484', '@KiritSomaiya', '@BJP4Maharashtra']",[],[],0
11,"We COOL people always fill your lungs, clear your mind. To breathe, we do not only need air and lungs, we need freedom. #COVID19 #kitajagakita #kementeriankesihatanmalaysi  https://t.co/cv0zzuiiXe",cool fill lung clear mind breath air lung freedom ,"['#COVID19', '#kitajagakita', '#kementeriankesihatanmalaysi']",[],['https://t.co/cv0zzuiiXe'],[],0
12,@jayesh_ranjan I hope you and your family is safe from covid 19 . please ask your family and Yourself to travel in public bus/train and public transport for 1 month .this will help us believe that covid protocol are strong.,hope famili safe covid ask famili travel public bustrain public transport month help believ covid protocol strong ,[],['@jayesh_ranjan'],[],[],0
13,"For the time being, continuing to  mask up, as well as  other simple precautions such as physical distancing, hand hygiene, avoid crowded and confined places as much as possible. As the saying goes,  ""sediakan payung sebelum hujan"".  #MaskUp #COVID19 #StaySafe",time continu mask simpl precaut physic distanc hand hygien avoid crowd confin place possibl sediakan payung sebelum hujan ,"['#MaskUp', '#COVID19', '#StaySafe']",[],[],[],0
14,"Ex CM of Sindh nd our Honourable Saeen Qaim Ali shah positive for COVID-19 , prayers for speedy and complete recovery from Covid19.   May Allah bless him with healthy and long life amen sum ameeen  @ShahNafisa  https://t.co/zwEapjL4kF",sindh honour saeen qaim ali shah posit covid prayer speedi complet recoveri covid allah bless healthi long life amen sum ameeen ,[],['@ShahNafisa'],['https://t.co/zwEapjL4kF'],[],0
15,HPM #SheikhHasina-led @albd1971 Govt. plans to vaccinate approx. 10 million people Vs #COVID19 in a week starting Aug 8 when ongoing mass #vaccination drive is extended to the grassroots union level.  #VaccineForAll #VaccineEquity @CEPIvaccines @gavi    https://t.co/QK7CYMcKIg,hpm govt plan vaccin approx million week start aug ongo mass drive extend grassroot union level ,"['#SheikhHasina-led', '#COVID19', '#vaccination', '#VaccineForAll', '#VaccineEquity']","['@albd1971', '@CEPIvaccines', '@gavi']",['https://t.co/QK7CYMcKIg'],[],0
16,Saravanan: Employers must pay for Covid-19 screening tests for employees | New Straits Times  https://t.co/6s2SxB0zT4,saravanan employ pay covid screen test employe new strait time ,[],[],['https://t.co/6s2SxB0zT4'],[],0
17,Day after day covid-19 took someone precious away from people’s life 💔,day day covid preciou away life ,[],[],[],['💔'],0
18,Happy Birthday with good wishes for His Healthy &amp; Happy Life ❤️  Thanks! 🇮🇳  https://t.co/ClzWihOkie 🇮🇳 Sincerely Public Apriciated website for Doctors support to Nation People in Covid-19.,happi birthday wish healthi happi life sincer public aprici websit doctor support nation covid ,[],[],['https://t.co/ClzWihOkie'],"['❤️', '🇮🇳', '🇮🇳']",0
19,If I was @Neeraj_chopra1 @BajrangPunia @ravikumardhaiya @LovlinaBorgohai or Olympic contingent  came from #Tokyo2020 today would have asked fans not to gather  welcoming them &amp; #maintainsocialdistance considering that #COVID19 3rd wave is just around &amp; We may face 1 more disaster,olymp conting today ask fan gather welcom consid wave face disast ,"['#Tokyo2020', '#maintainsocialdistance', '#COVID19']","['@Neeraj_chopra1', '@BajrangPunia', '@ravikumardhaiya', '@LovlinaBorgohai']",[],[],0
20,"Sincerely Publicly Apriciated website for Doctors supports to Nation People in Covid-19.  Made in India 🇮🇳 Made for World !  Please like, Rt in favor of Nation love ❤️  https://t.co/txCA8pgMTM",sincer publicli aprici websit doctor support nation covid india world like favor nation love ,[],[],['https://t.co/txCA8pgMTM'],"['🇮🇳', '❤️']",0
21,The Council of Europe and UNHCR support Member States in bringing refugee health workers into the COVID-19 response:  https://t.co/DI2HlX02mv via @refugees,council europ unhcr support member state bring refuge health worker covid respons ,[],['@refugees'],['https://t.co/DI2HlX02mv'],[],0
22,"At that time i didnt know i am a Positive  Covid-19. But now Alhamdullillah i think ive already recover. And tmrw my quarantine, probably will be over after swab test. And getting my 2nd dose.",time didnt posit covid alhamdullillah ive recov tmrw quarantin probabl swab test dose ,[],[],[],[],0
23,"Don't need rocket-science to predict that this was always on the cards, given the US administration had asked the citizens to come out without masks on, after vaccination, as I had pointed out back in May. That was just a blatant error! #COVID19 #USA   https://t.co/2dr2S1kkpH",dont rocketsci predict card give administr ask citizen mask vaccin point blatant error ,"['#COVID19', '#USA']",[],['https://t.co/2dr2S1kkpH'],[],0
24,When we will get freedom from mask 😷   #COVID19,freedom mask ,['#COVID19'],[],[],['😷'],0
25,"@ATULBORA2 Sir,…Pray for your early &amp; speedy recovery from Covid-19. Recovery",sirpray earli speedi recoveri covid recoveri ,[],['@ATULBORA2'],[],[],0
26,"1,40,454 tests were conducted in #Assam on August 9 of which 1120 have tested positive for #COVID19.   197 of these cases were from Kamrup Metro. The positivity rate is at 0.80%  #AssamCovidUpdate #Guwahati #CoronavirusPandemic  https://t.co/qL17Jo1jSb",test conduct august test posit case kamrup metro posit rate ,"['#Assam', '#COVID19.', '#AssamCovidUpdate', '#Guwahati', '#CoronavirusPandemic']",[],['https://t.co/qL17Jo1jSb'],[],0
27,Aluva Municipality completes 150 Covid Bulletins.   Today’s Covid Bulletin(151) &amp; (152) Aluva Municipality   #COVID19  https://t.co/QMncowu0l0,aluva municip complet covid bulletin today covid bulletin aluva municip ,['#COVID19'],[],['https://t.co/QMncowu0l0'],[],0
28,"May Allah make this year better for us, shower His mercy and make us better Humans &amp; better Muslims and protect this whole world from #COVID19 😷😇🌸 May Allah be please with all of us. Ameen 🤲🏻 #Muharram #IslamicNewYear  #محرم_الحرام  https://t.co/gycs2XKCoO",allah year better shower merci better human better muslim protect world allah ameen ,"['#COVID19', '#Muharram', '#IslamicNewYear', '#محرم_الحرام']",[],['https://t.co/gycs2XKCoO'],"['😷', '😇', '🌸', '🤲🏻']",0
29,#BREAKING I SAID&gt;END LAST YEAR&gt;LACKIN VENTILTRS/OXYGN WAS DA TIME PAVITHRA WS FLOOZING AROUND WT SHAVENDRA/ANIL SAYIN FLoB BETTER DAN USA&gt;COVID MATTERS. DIS IS DA CASE-MORONS COMPARE FLoB WT BEST LANDS&gt;ENDS UP WORSE-Wiki Wiks '21-08-09 #SriLanka #COVID19   https://t.co/dLI313L4so,saidgtend yeargtlackin ventiltrsoxygn time pavithra flooz shavendraanil sayin flob better dan usagtcovid matter casemoron compar flob best landsgtend worsewiki wik ,"['#BREAKING', '#SriLanka', '#COVID19']",[],['https://t.co/dLI313L4so'],[],0
30,"So Sad and Unfortunate ..the bridge about which I felt proud,  concerned department and Authorities, the Bridge got demolished in monsoon. This is the  result of poor accountability and transparency. #COVID19 #CORRUPTION @dawn_com @ImranKhanPTI #AssamPoliceFakeEscort @KPKUpdates  https://t.co/eTBJ6nbH6c",sad unfortun bridg felt proud concern depart author bridg demolish monsoon result poor account transpar ,"['#COVID19', '#CORRUPTION', '#AssamPoliceFakeEscort']","['@dawn_com', '@ImranKhanPTI', '@KPKUpdates']",['https://t.co/eTBJ6nbH6c'],[],0
31,Central government is taking all precautions fighting #COVID19  https://t.co/2VM4Mikqsd,central govern precaut fight ,['#COVID19'],[],['https://t.co/2VM4Mikqsd'],[],0
