,tweet,clean_tweet,hastags,attherate,urls,emojis,label
0,@anileshmahajan @tsrawatbjp @TIRATHSRAWAT @BJP4India It is showing complete mess in power hierarchy of BJP which is seemingly rattled by inappropriate handling of covid 2nd wave .,covid admiss far ,[],"['@anileshmahajan', '@tsrawatbjp', '@TIRATHSRAWAT', '@BJP4India']",[],[],0
1,Uggah: Sarawak still free of Covid-19 Delta variant    https://t.co/BtjONCXGgI,uggah sarawak free covid delta variant ,[],[],['https://t.co/BtjONCXGgI'],[],0
2,@RomainSandro Following Covid 19 guidelines.,follow covid guidelin ,[],['@RomainSandro'],[],[],0
3,"My parents, senior citizens and vaccinated are on the way to Port Blair from Delhi Airport to meet my brother who is in critical cond in GB Pant Hospital, Port Blair, are being denied to take the flight due to absence of Covid report. Please help @PMOIndia @AiFlywith @airindiain",parent senior citizen vaccin way port blair delhi airport meet brother critic cond pant hospit port blair deni flight absenc covid report help ,[],"['@PMOIndia', '@AiFlywith', '@airindiain']",[],[],0
4,"Fast-spreading Delta Variant, Vaccination Rates, Reintroduction of Indoor Masks: COVID-19 Global Weekly Highlights  https://t.co/Aia0dGOybP via @medscape",fastspread delta variant vaccin rate reintroduct indoor mask covid global weekli highlight ,[],['@medscape'],['https://t.co/Aia0dGOybP'],[],0
5,"COVID Vaccines: Mixing different vaccines for first and second dose have better results than both doses of the same vaccine, study finds.  https://t.co/P0emPoWTxP",covid vaccin mix differ vaccin second dose better result vaccin studi find ,[],[],['https://t.co/P0emPoWTxP'],[],0
6,"楊培安 我相信 歌詞  https://t.co/OOqNduyg9Z via @YouTube  World Buddies!  Believe in our respective ALLAH / God / Belief.  The GREATEST definitely would stop the Pandemic of COVID-19 and also its variants Delta,once Believe on HIM and do Goodnesses Always,both CREATIONS n NATURE.  https://t.co/BVZJgO2eZC",world buddi believ respect allah god belief greatest definit stop pandem covid variant deltaonc believ alwaysboth creation natur ,[],['@YouTube'],"['https://t.co/OOqNduyg9Z', 'https://t.co/BVZJgO2eZC']",[],0
7,14 COVID admissions so far 💔,covid admiss far ,[],[],[],['💔'],0
8,#VACCINATIONRACE  STATE/UT-WISE - VACCINATION RACE  One in every four Indians is vaccinated with at least one dose of COVID-19 vaccine as on 04 July 2021.  CC: @MoHFW_INDIA @narendramodi @ICMRDELHI @PMOIndia @WHO @adarpoonawalla @DrKrishnaElla @SuchitraElla  https://t.co/H6N87O84le,stateutwis vaccin race indian vaccin dose covid vaccin juli ,['#VACCINATIONRACE'],"['@MoHFW_INDIA', '@narendramodi', '@ICMRDELHI', '@PMOIndia', '@WHO', '@adarpoonawalla', '@DrKrishnaElla', '@SuchitraElla']",['https://t.co/H6N87O84le'],[],0
9,Fears over the ‘Lambda’ Covid variant that’s hit UK as ‘unusual’ mutations can ‘dodge vaccines’  https://t.co/yTOFK4JNh5,fear lambda covid variant that hit unusu mutat dodg vaccin ,[],[],['https://t.co/yTOFK4JNh5'],[],0
10,@KishoriPednekar I hope more than 20 people are not attending marriage ....  As per Covid guidelines ...  #DeltaVariant,hope peopl attend marriag covid guidelin ,['#DeltaVariant'],['@KishoriPednekar'],[],[],0
11,@daniawaheed3 Never heard of black vomit. Rest are symptoms of covid. Can be food poisoning as well. Get urself tested immediately,heard black vomit rest symptom covid food poison urself test immedi ,[],['@daniawaheed3'],[],[],0
12,COVID-19: Indonesia ramps up oxygen output after dozens die amid scarcity   https://t.co/7SzOVD9Ox0,covid indonesia ramp oxygen output dozen die amid scarciti ,[],[],['https://t.co/7SzOVD9Ox0'],[],0
13,"@carboxymoron @adi408b So many positives !!! Great quarterly results amid covid and fantastic expansion plans with ammonia plant at Tajola and I strongly believe once is out from the ASM IV, this will fly high to reach 800+ - please go through the link    https://t.co/OblAJgkadc",posit great quarterli result amid covid fantast expans plan ammonia plant tajola strongli believ asm fli high reach link ,[],"['@carboxymoron', '@adi408b']",['https://t.co/OblAJgkadc'],[],0
14,Covid 19 era gone? If gone dm me or else tweet .....,covid era tweet ,[],[],[],[],0
15,"Israel, Pfizer Discuss Expiring Covid Vaccines Swap: Haaretz  https://t.co/KV0epx3Hr4",israel pfizer discu expir covid vaccin swap haaretz ,[],[],['https://t.co/KV0epx3Hr4'],[],0
16,Map reveals US covid hotspots with high delta numbers and low vaccinations  https://t.co/LabVr9Gg32 @drharshvardhan,map reveal covid hotspot high delta number low vaccin ,[],['@drharshvardhan'],['https://t.co/LabVr9Gg32'],[],0
17,Morocco’s Sothema to produce China’s Sinopharm Covid-19 vaccine | World | Malay Mail  https://t.co/NBQc66y88c @drharshvardhan,morocco sothema produc china sinopharm covid vaccin world malay mail ,[],['@drharshvardhan'],['https://t.co/NBQc66y88c'],[],0
18,Preparations Undertaken at War-Footing to Fight COVID  via NaMo App  https://t.co/a8wLlrpiS9,prepar undertaken warfoot fight covid namo app ,[],[],['https://t.co/a8wLlrpiS9'],[],0
19,Rise in Testing Infrastructure to Battle COVID-19  via NaMo App  https://t.co/pIRE6vQvjq,rise test infrastructur battl covid namo app ,[],[],['https://t.co/pIRE6vQvjq'],[],0
20,Strengthening Healthcare Infra during COVID-19  via NaMo App  https://t.co/45BqZJK3KR,strengthen healthcar infra covid namo app ,[],[],['https://t.co/45BqZJK3KR'],[],0
21,Indian Railways Speed Up Fight Against COVID-19   via NaMo App  https://t.co/oBBRVfOidZ,indian railway speed fight covid namo app ,[],[],['https://t.co/oBBRVfOidZ'],[],0
22,PM-CARES Fund Helps Nation in Fight against COVID-19  via NaMo App  https://t.co/kEjLXirMFK,pmcare fund help nation fight covid namo app ,[],[],['https://t.co/kEjLXirMFK'],[],0
23,"Right approach by UK . Life must go on . No pain no gain . In Malaysia , we must allow inter state and open our social &amp; economy now .  BBC News - Covid: Most rules set to end in England, says PM  https://t.co/0vGCZcbeSf",approach life pain gain malaysia allow inter state open social economi bbc news covid rule set end england ,[],[],['https://t.co/0vGCZcbeSf'],[],0
24,"More than 60 people died in a hospital in Indonesia this weekend after oxygen supplies nearly ran out, as the country battles a severe wave of Covid-19 that authorities say is driven by the more infectious Delta variant.  https://t.co/m5ow5EImFy",peopl die hospit indonesia weekend oxygen suppli nearli ran countri battl sever wave covid author driven infecti delta variant ,[],[],['https://t.co/m5ow5EImFy'],[],0
25,816 tested positive for Covid-19 so far today. Results of PCR tests delayed &amp; are lesser due to strike action by certain trade unions of the health sector...  - Army Commander-  https://t.co/MApDlJp2UH,test posit covid far today result pcr test delay lesser strike action certain trade union health sector armi command ,[],[],['https://t.co/MApDlJp2UH'],[],0
26,"32 Covid-19 related deaths for 04 July confirmed by Director General of Health Services, increasing total number of deaths in Sri Lanka to 3,268 - Gov't Info Dept #COVID19SL #COVID19 #coronavirus #fatalities  https://t.co/stfTNThxPY",covid relat death juli confirm director gener health servic increas total number death lanka govt info dept ,"['#COVID19SL', '#COVID19', '#coronavirus', '#fatalities']",[],['https://t.co/stfTNThxPY'],[],0
27,"Russia's Orthodox Church admonishes people for refusing to get vaccinated against COVID-19, calling it ""a sin for which they will have to atone throughout their lives"" - Reuters",russia orthodox church admonish peopl refus vaccin covid call sin aton life reuter ,[],[],[],[],0
28,@mayankgandhi04 I think type 2 is deadlier than Covid-19 or any other disease for Asians in the existing time,type deadlier covid diseas asian exist time ,[],['@mayankgandhi04'],[],[],0
29,🚩JUST IN:  A Brilliant Article on Post COVID Symptoms published today in the Annals of Internal Medicine highlights the need for out patient monitoring of all COVID patients!   https://t.co/kNuXwwp9CA  Thank you @EricTopol for bringing this to my notice!  Sharing the Abstract!  https://t.co/OaUpdJE7mU,brilliant articl post covid symptom publish today annal intern medicin highlight patient monitor covid patient bring notic share abstract ,[],['@EricTopol'],"['https://t.co/kNuXwwp9CA', 'https://t.co/OaUpdJE7mU']",['🚩'],0
30,"Startling findings by @aiims_newdelhi! Children grapple with anxiety and depression in COVID era. This is not how childhoods should be. Proud that @stc_india team is working hard to restore small joys of childhood. In these times, let's #ThinkOfTheChildren  https://t.co/oE0uwSfnPp",startl find child grappl anxieti depress covid era childhood proud team work hard restor small joy childhood time ,['#ThinkOfTheChildren'],"['@aiims_newdelhi!', '@stc_india']",['https://t.co/oE0uwSfnPp'],[],0
31,COVID 19 expose how broken the political and social systems in every country..,covid expos broken polit social system countri ,[],[],[],[],0
