,tweet,clean_tweet,hastags,attherate,urls,emojis,label
568,Corona itself Corona infected..,corona corona infect ,[],[],[],[],1
577,May ALLAH safe all muslims from corona virus .,allah safe muslim corona viru ,[],[],[],[],1
589,Let's beat corona viruses say yes to vaccination 👍 @_NSSIndia @ConnectingNss @NSS_India_ @NSSRDBhopal @JharkhandCMO @DC_Ranchi @dc_sanjay_jas @anubhav0044 @live_cma  https://t.co/jUDuSVUb7I,beat corona viru vaccin ,[],"['@_NSSIndia', '@ConnectingNss', '@NSS_India_', '@NSSRDBhopal', '@JharkhandCMO', '@DC_Ranchi', '@dc_sanjay_jas', '@anubhav0044', '@live_cma']",['https://t.co/jUDuSVUb7I'],['👍'],1
621,Corona awareness  https://t.co/B6A1rKElbL  https://t.co/pTc0KxohrD,corona awar ,[],[],"['https://t.co/B6A1rKElbL', 'https://t.co/pTc0KxohrD']",[],1
622,Corona virus update  https://t.co/6Pnqa9ORuz,corona viru ,[],[],['https://t.co/6Pnqa9ORuz'],[],1
623,Corona virus update  https://t.co/D3Jj2nclke,corona viru ,[],[],['https://t.co/D3Jj2nclke'],[],1
643,"03 July 2021 : Bulletin on Novel Corona Virus ( #COVID19 ) #Jammu and #Kashmir reports 338 new positive cases, 308246 recovered so far  https://t.co/Eu4bUmkCjH",juli bulletin novel corona viru report new posit case recov far ,"['#COVID19', '#Jammu', '#Kashmir']",[],['https://t.co/Eu4bUmkCjH'],[],1
695,"07 July 2021 : Bulletin on Novel Corona Virus ( #COVID19 ) #Jammu and #Kashmir reports 280 new positive cases, 309973 recovered so far  https://t.co/oaa0ZvFsBS",juli bulletin novel corona viru report new posit case recov far ,"['#COVID19', '#Jammu', '#Kashmir']",[],['https://t.co/oaa0ZvFsBS'],[],1
699,Corona virus update in #Bangladesh   All time record...... 07.07.2021  😞☹️😥  https://t.co/K9FEkhe0zo,corona viru time record ,['#Bangladesh'],[],['https://t.co/K9FEkhe0zo'],"['😞', '☹️', '😥']",1
721,@HeyyPeanutt It is a good thing after corona.,thing corona ,[],['@HeyyPeanutt'],[],[],1
744,@TheLallantop @NitishKumar Go back Corona Go Corona Go 😁,corona corona ,[],"['@TheLallantop', '@NitishKumar']",[],['😁'],1
747,"With corona , now Zika Virus has tightened its grip over Kerala. No one to listen , no one to take care.  May God save the their own country with viruses and PFI.",corona zika viru tighten grip kerala listen care god save countri viru pfi ,[],[],[],[],1
760,"15 July 2021 : Bulletin on Novel Corona Virus ( #COVID19 ) #Jammu and #Kashmir reports 203 new positive cases, 312890 recovered so far  https://t.co/eUwa7AncZx",juli bulletin novel corona viru report new posit case recov far ,"['#COVID19', '#Jammu', '#Kashmir']",[],['https://t.co/eUwa7AncZx'],[],1
783,Corona virus updates  https://t.co/SMZSF2nsUc  https://t.co/LN2jzocRN3,corona viru ,[],[],"['https://t.co/SMZSF2nsUc', 'https://t.co/LN2jzocRN3']",[],1
784,Corona awareness  https://t.co/kroRaRnNVo  https://t.co/XHRy1WKEYv,corona awar ,[],[],"['https://t.co/kroRaRnNVo', 'https://t.co/XHRy1WKEYv']",[],1
785,Corona virus updates  https://t.co/r3fn58pZe5  https://t.co/aIq3dGxawH,corona viru ,[],[],"['https://t.co/r3fn58pZe5', 'https://t.co/aIq3dGxawH']",[],1
786,Corona awareness  https://t.co/eCGGPAziUC  https://t.co/vhQwsmMt9w,corona awar ,[],[],"['https://t.co/eCGGPAziUC', 'https://t.co/vhQwsmMt9w']",[],1
790,Corona awareness  https://t.co/e0spm1ey1m,corona awar ,[],[],['https://t.co/e0spm1ey1m'],[],1
791,Corona virus updates  https://t.co/dOx5DBAiva,corona viru ,[],[],['https://t.co/dOx5DBAiva'],[],1
792,Corona awareness  https://t.co/1cEavxuW4j,corona awar ,[],[],['https://t.co/1cEavxuW4j'],[],1
793,Corona virus updates  https://t.co/0DLRs3HkVC,corona viru ,[],[],['https://t.co/0DLRs3HkVC'],[],1
795,Corona virus updates  https://t.co/v64WxRNKoS,corona viru ,[],[],['https://t.co/v64WxRNKoS'],[],1
800,Corona virus updates  https://t.co/MDCfUxkSvL,corona viru ,[],[],['https://t.co/MDCfUxkSvL'],[],1
804,Corona virus updates  https://t.co/gSfCWe6z5V,corona viru ,[],[],['https://t.co/gSfCWe6z5V'],[],1
