,tweet,clean_tweet,hastags,attherate,urls,emojis,label
0,Did anyone notice a change in their psychological and physical condition after he took the coronavirus vaccine?,notic chang psycholog physic condit coronaviru vaccin ,[],[],[],[],1
1,"Say goodbye to the “Indian,” “South African” and ""British"" Coronavirus variants.  According to the World Health Organization, they’re the Delta, Beta and Alpha variants now.   https://t.co/nkQo4IdGqO",goodby indian south african british coronaviru variant accord world health organ theyr delta beta alpha variant ,[],[],['https://t.co/nkQo4IdGqO'],[],1
2,"Dear all, Keep Donate Keep Retweet   https://t.co/TRRT59Sd8K  #milaap #verified #campaign #COVID19 #coronavirus #hunger #food #help #COVIDEmergencyIndia #Covid19IndiaHelp #HelpingHand #BlackFungus",dear donat retweet ,"['#milaap', '#verified', '#campaign', '#COVID19', '#coronavirus', '#hunger', '#food', '#help', '#COVIDEmergencyIndia', '#Covid19IndiaHelp', '#HelpingHand', '#BlackFungus']",[],['https://t.co/TRRT59Sd8K'],[],1
3,#jobseekers #jobvsmlm #MLM #directselling #networking #networkmarketing #rojgar #ModiHaiTohMumkinHai #coronavirus #COVID19 #AffiliateMarketing #entrepreneur  #leadership #lockdown  Which is best for your future and Dreams? Job - Rt 🐦           Direct Selling- Like ❤️  https://t.co/fcj7letDwE,best futur dream job direct sell like ,"['#jobseekers', '#jobvsmlm', '#MLM', '#directselling', '#networking', '#networkmarketing', '#rojgar', '#ModiHaiTohMumkinHai', '#coronavirus', '#COVID19', '#AffiliateMarketing', '#entrepreneur', '#leadership', '#lockdown']",[],['https://t.co/fcj7letDwE'],"['🐦', '❤️']",1
4,@UsmaniToheed  This is the same mosque which used to be full of worshipers and visitors  Pray that the corona virus ends from the roots  Allah masjid khol dai inshallah❤️ ये वही मस्जिद है जो कभी इबादत करने वालों और सैलानियों से भरी रहती थी #jamamasjid  #India  #DelhiFightsCorona  https://t.co/KHGP0eLUT0,mosqu worship visitor pray corona viru end root allah masjid khol dai inshallah ,"['#jamamasjid', '#India', '#DelhiFightsCorona']",['@UsmaniToheed'],['https://t.co/KHGP0eLUT0'],['❤️'],1
5,Glimpses of 2nd Day of Training session on #COVID SOPs for #KPTourism sector and other safety steps against coronavirus to ensure SAFE TOURISM at Millennium Naran (Mansehra) arranged by @KITEProjectDoT. (01.06.21)  #KITEDoT #KITE #ResponsibleTourism  @dostacykp @kafzal01  https://t.co/ERPBPwglA4,glimps day train session sop sector safeti step coronaviru ensur safe tourism millennium naran mansehra arrang ,"['#COVID', '#KPTourism', '#KITEDoT', '#KITE', '#ResponsibleTourism']","['@KITEProjectDoT.', '@dostacykp', '@kafzal01']",['https://t.co/ERPBPwglA4'],[],1
7,Such a very bad situation many people dead 💀 continuously by #coronavirus and who are alive they feel fear from it. Ehe. I check corona reports I completely worrying about humanity and world #badnews #coronavirus @htTweets,bad situat peopl dead continu aliv feel fear ehe check corona report complet worri human world ,"['#coronavirus', '#badnews', '#coronavirus']",['@htTweets'],[],['💀'],1
8,How’s the coronavirus situation in pakistan? Have the daily cases gone down?,how coronaviru situat pakistan daili case ,[],[],[],[],1
9,"What you want, is not always what you need.  You want to go to the newly opened @StarbucksIndia for a nice, sophisticated coffee  BUT  You need to sip hot water at home. Stay Strong, Stay Safe, Kanpur. #coronavirus #COVID19India #StayStrongIndia #kanpurFightsCorona",newli open sophist coffe sip hot water home stay strong stay safe kanpur ,"['#coronavirus', '#COVID19India', '#StayStrongIndia', '#kanpurFightsCorona']",['@StarbucksIndia'],[],[],1
10,@TIME Magzine best part to spread news as China not behind for corona virus .   Pathetic magzine,magzin best spread news china corona viru pathet magzin ,[],['@TIME'],[],[],1
11,China’s Guangdong tightens #coronavirus measures as cases persist  https://t.co/fq2ZTOcryG,china guangdong tighten measur case persist ,['#coronavirus'],[],['https://t.co/fq2ZTOcryG'],[],1
12,Today's Corona News Statistics of Surat and Bardoli ..  #bardoli #bardolinagar #surat #suratcity #covid_19 #sardarnagribardoli #CoronaVirus #COVID19 #stayhomestaysafe #coronaupdates #coronapositive #bardoliguide  https://t.co/ZIQ3lWcMx4,today corona news statist surat bardoli ,"['#bardoli', '#bardolinagar', '#surat', '#suratcity', '#covid_19', '#sardarnagribardoli', '#CoronaVirus', '#COVID19', '#stayhomestaysafe', '#coronaupdates', '#coronapositive', '#bardoliguide']",[],['https://t.co/ZIQ3lWcMx4'],[],1
13,I think Coronavirus is the best example of Secularism! 😂 Do you agree?,coronaviru best exampl secular agre ,[],[],[],['😂'],1
14,Israel health officials say they have found a probable link between Pfizer and BioNTech's coronavirus vaccine and dozens of cases of heart inflammation in young men after the second dose  https://t.co/VkjwFsR0bg,israel health offici found probabl link pfizer biontech coronaviru vaccin dozen case heart inflamm young men second dose ,[],[],['https://t.co/VkjwFsR0bg'],[],1
15,Today #SriLanka recorded total 3306 new coronavirus cases. Stay Safe and continue follow health guidelines. #COVID #COVID19LK #LKA #SriLankan #COVID19SL    https://t.co/ZMU7uhSzRx,today record total new coronaviru case stay safe continu follow health guidelin ,"['#SriLanka', '#COVID', '#COVID19LK', '#LKA', '#SriLankan', '#COVID19SL']",[],['https://t.co/ZMU7uhSzRx'],[],1
16,@drapr007 Red Alert on Terrorist china CORONA virus n also on porkistan also😡,red alert terrorist china corona viru porkistan ,[],['@drapr007'],[],['😡'],1
17,Hello everyone @VFSGlobal @CanadainIndia and everyone have a responsibility to safe people from this deadly @coronavirus. So everyone please be patience for some time and soon the @VFSGlobal will be open in @india.,hello respons safe peopl deadli patienc time soon open ,[],"['@VFSGlobal', '@CanadainIndia', '@coronavirus.', '@VFSGlobal', '@india.']",[],[],1
