,tweet,clean_tweet,hastags,attherate,urls,emojis,label
6,"Coronavirus Update: New COVID-19 cases, deaths and hospitalizations keep falling, as vaccinations keep increasing  https://t.co/zeYu9uF9e1 #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",coronaviru updat new covid case death hospit fall vaccin increas ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/zeYu9uF9e1'],[],2
42,COVID19 Update  &gt;&gt;&gt;    Jammu and Kashmir reports 1448 fresh cases of Coronavirus and 25 deaths in last 24 hours.  https://t.co/GCKdt4b5t9,covid updat gtgtgt jammu kashmir report fresh case coronaviru death hour ,[],[],['https://t.co/GCKdt4b5t9'],[],2
84,"COVID-19: UK reports another 5,683 coronavirus cases and one death  https://t.co/Z6DRa9fQ9t",covid report coronaviru case death ,[],[],['https://t.co/Z6DRa9fQ9t'],[],2
105,"Coronavirus Update: New daily COVID-19 cases rise back above 20,000, as cases and deaths increase for 3rd straight day  https://t.co/0RuNypS3VL #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",coronaviru updat new daili covid case rise case death increas straight day ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/0RuNypS3VL'],[],2
129,"Coronavirus News LIVE Updates: Odisha#39;s COVID-19 tally mounts to 8.37 lakh with 6,097 new cases, death toll reaches 3,167  https://t.co/XUEpc84n6j #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",coronaviru news live updat odisha covid talli mount lakh new case death toll reach ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/XUEpc84n6j'],[],2
139,"Coronavirus News LIVE Updates: India records highest single-day COVID-19 fatalities at 6,148, death toll rises above 3.59 lakh  https://t.co/sbvz9aZzos #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",coronaviru news live updat india record highest singleday covid fatal death toll rise lakh ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/sbvz9aZzos'],[],2
143,Coronavirus News LIVE Updates: India#39;s COVID-19 recovery rate improves to 94.77%  https://t.co/MSQmdYVEzI #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,coronaviru news live updat india covid recoveri rate improv ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/MSQmdYVEzI'],[],2
146,"Coronavirus News LIVE Updates: India records 94,052 new COVID-19 cases; Bihar confirms 9,429 deaths so far  https://t.co/R1OK6ocIlt #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",coronaviru news live updat india record new covid case bihar confirm death far ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/R1OK6ocIlt'],[],2
147,"Coronavirus News LIVE Updates: India sees highest single-day COVID-19 deaths at 6,148, fresh cases remain below 1 lakh  https://t.co/lF6GNm2LfK #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",coronaviru news live updat india highest singleday covid death fresh case remain lakh ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/lF6GNm2LfK'],[],2
185,"Coronavirus News LIVE Updates: 236 new cases push Mizoram#39;s COVID-19 tally above 16,000  https://t.co/ZfN0nfJHZp #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",coronaviru news live updat new case push mizoram covid talli ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/ZfN0nfJHZp'],[],2
186,"Coronavirus News LIVE Updates: India#39;s COVID-19 death toll crosses 3.81 lakh with 2,330 fresh fatalities  https://t.co/OZcuzs1KuI #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",coronaviru news live updat india covid death toll cross lakh fresh fatal ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/OZcuzs1KuI'],[],2
188,"Coronavirus News LIVE Updates: Thane district#39;s COVID-19 tally crosses 5.26 lakh with 503 new cases, 37 more die  https://t.co/7vmnwojOxA #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",coronaviru news live updat thane district covid talli cross lakh new case die ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/7vmnwojOxA'],[],2
189,"Coronavirus News LIVE Updates: Over 38.52 lakh samples tested for COVID-19, 19.31 lakh in last 24 hours, says ICMR  https://t.co/UX0TwylEoN #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",coronaviru news live updat lakh sampl test covid lakh hour icmr ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/UX0TwylEoN'],[],2
190,Coronavirus News LIVE Updates: India#39;s COVID-19 recovery rate improves to 95.93%  https://t.co/14NqAoBeU4 #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,coronaviru news live updat india covid recoveri rate improv ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/14NqAoBeU4'],[],2
191,"Coronavirus News LIVE Updates: India logs 67,208 new COVID-19 cases, 2,330 fresh fatalities  https://t.co/PG1e9YxLHU #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",coronaviru news live updat india log new covid case fresh fatal ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/PG1e9YxLHU'],[],2
192,Coronavirus News LIVE Updates: Kerala eases COVID-19 lockdown restrictions from today  https://t.co/0eaf98exy5 #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,coronaviru news live updat kerala covid lockdown restrict today ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/0eaf98exy5'],[],2
193,"Coronavirus News LIVE Updates: West Bengal reports 3,187 new COVID-19 cases, 69 fresh fatalities  https://t.co/MaT2nZp0JD #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",coronaviru news live updat west bengal report new covid case fresh fatal ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/MaT2nZp0JD'],[],2
194,"Coronavirus News LIVE Updates: Assam#39;s COVID-19 tally rises above 4.69 lakh with 3,386 new cases, death toll reaches 4,064  https://t.co/iWFAniqlcJ #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",coronaviru news live updat assam covid talli rise lakh new case death toll reach ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/iWFAniqlcJ'],[],2
964,Covid_19  https://t.co/5KcOqz8fqM,covid ,[],[],['https://t.co/5KcOqz8fqM'],[],2
983,✳️ COVID-19 Live Updates: 5/06/2021  https://t.co/E9k4yRytFy,covid live updat ,[],[],['https://t.co/E9k4yRytFy'],['✳️'],2
1002,✳️ COVID-19 Live Updates: 06/06/2021  https://t.co/PfzHcdkwpq,covid live updat ,[],[],['https://t.co/PfzHcdkwpq'],['✳️'],2
1030,@kalpeshravals @sakshijoshii Covid-19,covid ,[],"['@kalpeshravals', '@sakshijoshii']",[],[],2
1110,Covid19  https://t.co/b9xWsnBFGw,covid ,[],[],['https://t.co/b9xWsnBFGw'],[],2
1111,COVID-19,covid ,[],[],[],[],2
1139,✳️ COVID-19 Live Updates: 22/06/2021  @thoddoo_hc  https://t.co/oAR3a9NMvK,covid live updat ,[],['@thoddoo_hc'],['https://t.co/oAR3a9NMvK'],['✳️'],2
1178,✳️ COVID-19 Live Updates: 24/06/2021 @thoddoo_hc  https://t.co/JZqFGo4AOg,covid live updat ,[],['@thoddoo_hc'],['https://t.co/JZqFGo4AOg'],['✳️'],2
1202,✳️ COVID-19 Live Updates: 26/06/2021 @thoddoo_hc  https://t.co/Z2NytRy165,covid live updat ,[],['@thoddoo_hc'],['https://t.co/Z2NytRy165'],['✳️'],2
1205,"13 new COVID-19 community cases, 1 more death reported in Singapore   https://t.co/OarNpNluwQ",new covid commun case death report singapor ,[],[],['https://t.co/OarNpNluwQ'],[],2
1216,✳️ COVID-19 Live Updates: 27/06/2021 @thoddoo_hc  https://t.co/yvUHhpl0Q4,covid live updat ,[],['@thoddoo_hc'],['https://t.co/yvUHhpl0Q4'],['✳️'],2
