,words,scores
0,covid,1229
1,vaccin,740
2,corona,413
3,peopl,257
4,india,214
5,curfew,181
6,case,174
7,sir,172
8,time,166
9,day,160
10,help,149
11,viru,140
12,coronaviru,136
13,pandem,134
14,wave,127
15,govern,124
16,death,123
17,hospit,122
18,new,117
19,life,112
20,like,111
21,june,111
22,today,104
23,govt,97
24,test,95
25,year,95
26,state,93
27,report,87
28,health,84
29,lockdown,84
30,famili,83
31,follow,79
32,news,78
33,dont,78
34,free,77
35,infect,76
36,work,76
37,updat,74
38,posit,74
39,world,73
40,patient,67
41,fight,65
42,give,65
43,student,63
44,effect,63
45,dose,62
46,countri,62
47,situat,60
48,open,60
49,district,59
50,avail,59
51,till,58
52,live,58
53,singh,58
54,indian,57
55,repli,57
56,remdesivir,57
57,daili,55
58,team,54
59,centr,54
60,lose,54
61,month,53
62,spread,51
63,save,51
64,million,51
65,support,51
66,exam,50
67,night,49
68,milkha,49
69,second,48
70,continu,47
71,home,47
72,school,47
73,start,47
74,safe,46
75,privat,46
76,hope,46
77,cant,45
78,stop,45
79,request,45
80,china,44
81,suffer,44
82,area,44
83,cost,44
84,distribut,44
85,hour,43
86,person,43
87,die,43
88,age,43
89,high,42
90,total,41
91,care,41
92,modi,41
93,war,41
94,plz,41
95,restrict,41
96,end,40
97,look,40
98,far,40
99,drive,40
100,public,40
101,plan,40
102,week,40
103,extend,39
104,worker,39
105,order,39
106,close,39
107,provid,39
108,child,38
109,educ,38
110,busi,38
111,allow,38
112,increas,37
113,control,37
114,problem,37
115,lakh,37
116,oxygen,37
117,complet,36
118,ask,36
119,meet,36
120,citi,36
121,nation,36
122,food,36
123,face,36
124,delhi,36
125,medic,36
126,away,36
127,minist,36
128,great,36
129,variant,35
130,best,35
131,rate,35
132,villag,35
133,man,35
134,thing,35
135,guidelin,34
136,respons,34
137,soon,34
138,activ,34
139,happen,34
140,rule,34
141,common,34
142,drug,34
143,differ,34
144,donat,33
145,stay,33
146,doctor,33
147,relax,33
148,servic,33
149,affect,33
150,mask,33
151,manag,33
152,dear,32
153,sell,32
154,pay,32
155,post,32
156,god,31
157,way,31
158,protect,31
159,juli,31
160,leader,31
161,check,30
162,recov,30
163,battl,30
164,action,30
165,travel,30
166,caus,29
167,appreci,29
168,bjp,29
169,offic,29
170,wife,29
171,jab,28
172,polic,28
173,creat,28
174,bed,28
175,app,28
176,sure,28
177,pass,28
178,center,28
179,market,28
180,father,28
181,human,27
182,record,27
183,cancel,27
184,reduc,27
185,risk,27
186,mumbai,27
187,number,27
188,global,27
189,treatment,27
190,medicin,27
191,issu,27
192,administ,27
193,essenti,26
194,import,26
195,friend,26
196,group,26
197,social,26
198,shop,26
199,success,26
200,detail,26
201,contact,26
202,pakistan,25
203,link,25
204,small,25
205,lead,25
206,kid,25
207,citizen,25
208,delta,24
209,feel,24
210,receiv,24
211,old,24
212,kill,24
213,commun,24
214,kindli,24
215,poor,24
216,reach,24
217,protocol,24
218,demand,24
219,weekend,24
220,money,24
221,warrior,24
222,chang,23
223,job,23
224,concern,23
225,possibl,23
226,visit,23
227,remain,23
228,violat,23
229,relief,23
230,suppli,23
231,gst,23
232,mean,22
233,inform,22
234,releas,22
235,reason,22
236,big,22
237,chines,22
238,relat,22
239,date,22
240,question,22
241,long,22
242,announc,22
243,assam,22
244,parti,22
245,hit,22
246,disappoint,22
247,west,22
248,crore,22
249,video,22
250,understand,22
251,decid,22
252,camp,22
253,step,21
254,watch,21
255,plu,21
256,requir,21
257,bodi,21
258,street,21
259,consid,21
260,price,21
261,lift,21
262,compani,21
263,onlin,21
264,decis,21
265,matter,21
266,better,21
267,societi,21
268,south,20
269,futur,20
270,happi,20
271,system,20
272,that,20
273,insid,20
274,rise,20
275,rich,20
276,bengal,20
277,distanc,20
278,icu,20
279,fear,19
280,loss,19
281,disast,19
282,twitter,19
283,certif,19
284,immun,19
285,kit,19
286,data,19
287,show,19
288,examin,19
289,includ,19
290,wear,19
291,prepar,19
292,rais,19
293,respect,19
294,surpris,19
295,fli,19
296,moon,19
297,organ,18
298,safeti,18
299,economi,18
300,elect,18
301,hand,18
302,fresh,18
303,normal,18
304,love,18
305,share,18
306,current,18
307,administr,18
308,recoveri,18
309,crisi,18
310,employe,18
311,medium,18
312,studi,18
313,difficult,18
314,awar,18
315,woman,18
316,impact,18
317,sad,18
318,prison,18
319,complic,18
320,abl,17
321,growth,17
322,member,17
323,singl,17
324,prevent,17
325,wait,17
326,hai,17
327,covishield,17
328,product,17
329,level,17
330,rememb,17
331,strict,17
332,implement,17
333,volunt,17
334,intern,17
335,place,17
336,entir,17
337,kolkata,17
338,rest,17
339,class,17
340,develop,17
341,bless,17
342,heartfelt,17
343,condol,17
344,singapor,17
345,fall,16
346,measur,16
347,lab,16
348,pradesh,16
349,monday,16
350,shot,16
351,win,16
352,diseas,16
353,kind,16
354,peac,16
355,natur,16
356,true,16
357,popul,16
358,model,16
359,marriag,16
360,actual,16
361,play,16
362,book,16
363,black,16
364,imam,16
365,deliveri,16
366,past,16
367,dist,16
368,real,16
369,polici,16
370,recent,16
371,proud,16
372,sikh,16
373,soul,16
374,mucormycosi,16
375,direct,15
376,train,15
377,arrang,15
378,water,15
379,turn,15
380,power,15
381,ventil,15
382,road,15
383,fulli,15
384,shri,15
385,drop,15
386,phase,15
387,impos,15
388,nasser,15
389,mohammad,15
390,alyemeni,15
391,forget,15
392,ration,15
393,colleg,15
394,tax,15
395,hous,15
396,intensifi,15
397,nirmal,15
398,sop,14
399,call,14
400,facil,14
401,didnt,14
402,one,14
403,stand,14
404,covaxin,14
405,declar,14
406,trial,14
407,improv,14
408,sampl,14
409,author,14
410,suggest,14
411,short,14
412,econom,14
413,mind,14
414,listen,14
415,congress,14
416,punjab,14
417,appoint,14
418,climat,14
419,mahdi,14
420,ramadan,14
421,mental,14
422,held,14
423,bad,13
424,offici,13
425,deadli,13
426,figur,13
427,fund,13
428,origin,13
429,sri,13
430,quarantin,13
431,parent,13
432,fail,13
433,self,13
434,process,13
435,jammu,13
436,mark,13
437,remov,13
438,american,13
439,inject,13
