,features,score
0,covid,0.054922881770384166
1,vaccin,0.04664127877052006
2,corona,0.026873610956652975
3,case,0.015733809957716297
4,india,0.015543999534940399
5,curfew,0.014457993037960892
6,peopl,0.014432615865244336
7,coronaviru,0.013343550248020626
8,posit,0.012454761681507089
9,viru,0.01208441360120685
10,time,0.012000547750802807
11,test,0.011956779989032086
12,year,0.011302150646192288
13,day,0.010145900824924116
14,mask,0.01004509597634201
15,state,0.008938225933565488
16,world,0.008886095647281572
17,today,0.008884699560465129
18,dose,0.008749304727778698
19,pandem,0.008641563774997073
20,new,0.008502466900103749
21,countri,0.00838876131555588
22,rise,0.008074206759553448
23,march,0.007568247298154555
24,recoveri,0.007322974280279828
25,like,0.007297213565452281
26,night,0.007190978045879606
27,student,0.007101304243027609
28,govt,0.007055750194788273
29,govern,0.007013538266511533
30,dont,0.0068135748095278625
31,news,0.006646039578649581
32,speedi,0.0066446266100063205
33,wear,0.006623817085009778
34,hospit,0.006338640618351038
35,wish,0.006235844065426296
36,fight,0.006216234722758211
37,health,0.006151615527190271
38,help,0.006100416651965489
39,stay,0.006072732082399242
40,follow,0.0060490061961051755
41,safe,0.00604755580204837
42,lockdown,0.005966720865421804
43,sir,0.00594751369810149
44,increas,0.005819331945348325
45,updat,0.005747581038216949
46,free,0.005679366256517279
47,spread,0.005601520711220231
48,minist,0.005487680736212618
49,social,0.0054710865624690375
50,wave,0.005406636220891038
51,receiv,0.005403914417530765
52,home,0.005340924695472373
53,life,0.00509566381659184
54,second,0.005044531896340407
55,start,0.005034150755665198
56,care,0.005027596619715894
57,elect,0.004966646539772165
58,allah,0.004816243397989711
59,indian,0.004781465090563877
60,modi,0.004688634257198683
61,distanc,0.004657231479569801
62,better,0.004635068950034626
63,death,0.004608676063413701
64,best,0.004599978028568019
65,work,0.004583306122328119
66,situat,0.004561126932292612
67,infect,0.004502811735053496
68,stop,0.00450076340944684
69,soon,0.004474339614343085
70,patient,0.004447247510910895
71,recov,0.004398550269358025
72,effect,0.004323623256382523
73,report,0.004289048435725158
