,tweet,clean_tweet,hastags,attherate,urls,emojis,tokenized_Tweet,filteredToken,label
63,"""Over 85% of new COVID-19 cases are from six states across India""   https://t.co/h0Jyzm4JHm",new covid case state india ,[],[],['https://t.co/h0Jyzm4JHm'],[],"['over', 'of', 'new', 'covid', 'cases', 'are', 'six', 'states', 'across', 'india']","['new', 'covid', 'case', 'six', 'state', 'across', 'india']",1
81,04.02.2021 Recently #Covid_19+ve cases in India is showing declining trend.Rise in cases in the last 24 hrs is 12286. Total cases today is 11124527- recovery so far is 10826075 (97.03%); fatalities-157435 (1.41)&amp; active cases -173413(1.55%),recent case india show declin trendris case total case today recoveri far fatal activ case ,['#Covid_19+ve'],[],[],[],"['recently', 'cases', 'in', 'india', 'is', 'showing', 'declining', 'trendrise', 'in', 'cases', 'in', 'last', 'hrs', 'is', 'total', 'cases', 'today', 'is', 'recovery', 'so', 'far', 'is', 'fatalities', 'amp', 'active', 'cases']","['recently', 'case', 'india', 'showing', 'declining', 'trendrise', 'case', 'last', 'hr', 'total', 'case', 'today', 'recovery', 'far', 'fatality', 'amp', 'active', 'case']",1
98,06.02.2021 Recently #Covid_19+ve cases in India is showing declining trend.But rise in cases in the last 24 hrs is 18327 (higherer than yesterday).Total cases today is 11192088- recovery so far is 10854128 (97.98%); fatalities-157656 (1.41)&amp; active cases -180304(1.55%),recent case india show declin trendbut rise case higher yesterdaytot case today recoveri far fatal activ case ,['#Covid_19+ve'],[],[],[],"['recently', 'cases', 'in', 'india', 'is', 'showing', 'declining', 'trendbut', 'rise', 'in', 'cases', 'in', 'last', 'hrs', 'is', 'higherer', 'than', 'yesterday', 'total', 'cases', 'today', 'is', 'recovery', 'so', 'far', 'is', 'fatalities', 'amp', 'active', 'cases']","['recently', 'case', 'india', 'showing', 'declining', 'trendbut', 'rise', 'case', 'last', 'hr', 'higherer', 'yesterdaytotal', 'case', 'today', 'recovery', 'far', 'fatality', 'amp', 'active', 'case']",1
102,Karnataka had a total of 580 fresh #Covid_19 cases &amp; 5 deaths on Saturday. Bengaluru had 367 new  cases &amp; 3 deaths. Total tests 82229 +vty rate 0.70%. Overall covid deaths in State so far: 12359 Blr: 4496  @ChitraSundaram7 @scooban @Amit_A_Tiwari @dr_asr @SunithaNahar @sun_usind,karnataka total fresh case death saturday bengaluru new case death total test vti rate overal covid death state far blr ,['#Covid_19'],"['@ChitraSundaram7', '@scooban', '@Amit_A_Tiwari', '@dr_asr', '@SunithaNahar', '@sun_usind']",[],[],"['karnataka', 'had', 'a', 'total', 'of', 'fresh', 'cases', 'deaths', 'on', 'saturday', 'bengaluru', 'had', 'new', 'cases', 'deaths', 'total', 'tests', 'vty', 'rate', 'overall', 'covid', 'deaths', 'in', 'state', 'so', 'far', 'blr']","['karnataka', 'total', 'fresh', 'case', 'death', 'saturday', 'bengaluru', 'new', 'case', 'death', 'total', 'test', 'vty', 'rate', 'overall', 'covid', 'death', 'state', 'far', 'blr']",1
126,"Rajasthan reports 233 new COVID-19 cases and 114 recoveries in the last 24 hours, as per State Health Department. No new death reported during this period.  Total cases: 3,21,356 Total recoveries: 3,16,864 Active cases: 1,703 Death toll: 2,789  https://t.co/fDHbJ9h8GH",rajasthan report new covid case recoveri hour state health depart new death report period total case total recoveri activ case death toll ,[],[],['https://t.co/fDHbJ9h8GH'],[],"['rajasthan', 'reports', 'new', 'covid', 'cases', 'and', 'recoveries', 'in', 'last', 'hours', 'as', 'per', 'state', 'health', 'department', 'no', 'new', 'death', 'reported', 'during', 'this', 'period', 'total', 'cases', 'total', 'recoveries', 'active', 'cases', 'death', 'toll']","['rajasthan', 'report', 'new', 'covid', 'case', 'recovery', 'last', 'hour', 'per', 'state', 'health', 'department', 'new', 'death', 'reported', 'period', 'total', 'case', 'total', 'recovery', 'active', 'case', 'death', 'toll']",1
176,10.03.2021 Recently #Covid_19+ve cases in India is showing declining trend.But rise in cases in the last 24 hrs is 17921 slightly lower than yesterday. Total cases today is 11262707  -recovery so far is 10920046 (96.96%);fatalities - 158063 (1.40)&amp;active cases- 184598 (1.64%),recent case india show declin trendbut rise case slightli lower yesterday total case today recoveri far fatal ampact case ,['#Covid_19+ve'],[],[],[],"['recently', 'cases', 'in', 'india', 'is', 'showing', 'declining', 'trendbut', 'rise', 'in', 'cases', 'in', 'last', 'hrs', 'is', 'slightly', 'lower', 'than', 'yesterday', 'total', 'cases', 'today', 'is', 'recovery', 'so', 'far', 'is', 'fatalities', 'ampactive', 'cases']","['recently', 'case', 'india', 'showing', 'declining', 'trendbut', 'rise', 'case', 'last', 'hr', 'slightly', 'lower', 'yesterday', 'total', 'case', 'today', 'recovery', 'far', 'fatality', 'ampactive', 'case']",1
184,"Nagaland reported four new positive cases of COVID-19 on friday,adding the total cases to 12221. 3 positive patients have recovered, taking the total number of recovered cases to 11966 with recovery rate of 97.91 percent. At present, there are 10 active Cases in the state.",nagaland report new posit case covid fridayad total case posit patient recov total number recov case recoveri rate percent present activ case state ,[],[],[],[],"['nagaland', 'reported', 'four', 'new', 'positive', 'cases', 'of', 'covid', 'on', 'fridayadding', 'total', 'cases', 'to', 'positive', 'patients', 'have', 'recovered', 'taking', 'total', 'number', 'of', 'recovered', 'cases', 'to', 'with', 'recovery', 'rate', 'of', 'percent', 'at', 'present', 'there', 'are', 'active', 'cases', 'in', 'state']","['nagaland', 'reported', 'four', 'new', 'positive', 'case', 'covid', 'fridayadding', 'total', 'case', 'positive', 'patient', 'recovered', 'taking', 'total', 'number', 'recovered', 'case', 'recovery', 'rate', 'percent', 'present', 'active', 'case', 'state']",1
211,Getting grim. Bengaluru alone crosses 500 new #Covid_19 cases after months by recording 526 on Friday with 2 deaths. Karnataka had 833 cases &amp; 5 deaths. Total tests done: 73632 tests. +vity rate: 1.13% @ChitraSundaram7 @scooban @Amit_A_Tiwari @dr_asr @SunithaNahar @sun_usind,grim bengaluru cross new case month record friday death karnataka case death total test test viti rate ,['#Covid_19'],"['@ChitraSundaram7', '@scooban', '@Amit_A_Tiwari', '@dr_asr', '@SunithaNahar', '@sun_usind']",[],[],"['getting', 'grim', 'bengaluru', 'alone', 'crosses', 'new', 'cases', 'after', 'months', 'by', 'recording', 'on', 'friday', 'with', 'deaths', 'karnataka', 'had', 'cases', 'deaths', 'total', 'tests', 'done', 'tests', 'vity', 'rate']","['getting', 'grim', 'bengaluru', 'alone', 'cross', 'new', 'case', 'month', 'recording', 'friday', 'death', 'karnataka', 'case', 'death', 'total', 'test', 'done', 'test', 'vity', 'rate']",1
233,"#Pune reports 3,574 fresh COVID-19 cases, 1,577 recoveries, and 12 deaths in the last 24 hours   Active cases: 24,204 Total recoveries: 4,10,347 Death toll: 9,440  https://t.co/L1VXUqcfS3",report fresh covid case recoveri death hour activ case total recoveri death toll ,['#Pune'],[],['https://t.co/L1VXUqcfS3'],[],"['reports', 'fresh', 'covid', 'cases', 'recoveries', 'and', 'deaths', 'in', 'last', 'hours', 'active', 'cases', 'total', 'recoveries', 'death', 'toll']","['report', 'fresh', 'covid', 'case', 'recovery', 'death', 'last', 'hour', 'active', 'case', 'total', 'recovery', 'death', 'toll']",1
256,"#MAHARASHTRA REPORTED 17,864 FRESH CORONA CASES IN LAST 24HRS AND 87 PATIENTS DIED. 9,510 RECOVERED AND DISCHARGED.  MUMBAI REPORTED 1,922 FRESH CORONA CASES AND 4 PATIENTS DIED.  PUNE REPORTS 3,574 FRESH COVID-19 CASES, 1,577 RECOVERIES AND 12 DEATHS .",report fresh corona case patient die recov discharg mumbai report fresh corona case patient die pune report fresh covid case recoveri death ,['#MAHARASHTRA'],[],[],[],"['reported', 'fresh', 'corona', 'cases', 'in', 'last', 'hrs', 'and', 'patients', 'died', 'recovered', 'and', 'discharged', 'mumbai', 'reported', 'fresh', 'corona', 'cases', 'and', 'patients', 'died', 'pune', 'reports', 'fresh', 'covid', 'cases', 'recoveries', 'and', 'deaths']","['reported', 'fresh', 'corona', 'case', 'last', 'hr', 'patient', 'died', 'recovered', 'discharged', 'mumbai', 'reported', 'fresh', 'corona', 'case', 'patient', 'died', 'pune', 'report', 'fresh', 'covid', 'case', 'recovery', 'death']",1
