,tweet,clean_tweet,hastags,attherate,urls,emojis,label
1,Second wave of coronavirus infection in India by new variant of double mutant B.1.617  https://t.co/xuMMbohior,second wave coronaviru infect india new variant doubl mutant ,[],[],['https://t.co/xuMMbohior'],[],0
2,BBC News - India coronavirus: New record deaths as virus engulfs India  https://t.co/jYpHJ58kJC #coronavirus,bbc news india coronaviru new record death viru engulf india ,['#coronavirus'],[],['https://t.co/jYpHJ58kJC'],[],0
3,wear a mask and sanitize your hands and maintain social distancing #COVIDSecondWaveInIndia #COVIDEmergency #coronavirus,wear mask sanit hand maintain social distanc ,"['#COVIDSecondWaveInIndia', '#COVIDEmergency', '#coronavirus']",[],[],[],0
4,BBC News - India coronavirus: New record deaths as virus engulfs India  https://t.co/HpTGBrGE3K,bbc news india coronaviru new record death viru engulf india ,[],[],['https://t.co/HpTGBrGE3K'],[],0
5,"Are you okay? No, i just want a Covid free world please  #Covid_19 #coronavirus",okay covid free world ,"['#Covid_19', '#coronavirus']",[],[],[],0
6,Pray for India ......  #CovidHelp #CoronavirusIndia #coronavirus #CoronaVaccine #help #Helpless #IndiaFightsCorona #India #WritingCommunity #Writers #Trending  https://t.co/ibk6JUKw9R,pray india ,"['#CovidHelp', '#CoronavirusIndia', '#coronavirus', '#CoronaVaccine', '#help', '#Helpless', '#IndiaFightsCorona', '#India', '#WritingCommunity', '#Writers', '#Trending']",[],['https://t.co/ibk6JUKw9R'],[],0
7,Childrens are gift of god help them for their education not for begging....  #help #PrayForIndia #COVIDSecondWaveInIndia #CoronaPandemic #coronavirus #CHATTISHGARH #SocialMedia #SocialDistancing #SocialWorkTwitter #StayHome #socialwork #bhilai#education  #StaySafe #StayHome  https://t.co/DPQb8UDs3B,children gift god help educ beg ,"['#help', '#PrayForIndia', '#COVIDSecondWaveInIndia', '#CoronaPandemic', '#coronavirus', '#CHATTISHGARH', '#SocialMedia', '#SocialDistancing', '#SocialWorkTwitter', '#StayHome', '#socialwork', '#bhilai#education', '#StaySafe', '#StayHome']",[],['https://t.co/DPQb8UDs3B'],[],0
8,@palhali Heard eating Mangoes in Summer can reduce risks of contracting Coronavirus 😀,heard eat mango summer reduc risk contract coronaviru ,[],['@palhali'],[],['😀'],0
9,Help them they needs you very badly in this situation...  #help #CovidSOS #PrayForIndia #COVIDSecondWaveInIndia #CovidHelp #coronavirus #CHATTISHGARH #bhilai #bhilaidurg #SocialMedia #SocialDistancing #SocialWorkTwitter #socialworker #socialwork #Feed #  https://t.co/xzMy1V0sVM,help badli situat ,"['#help', '#CovidSOS', '#PrayForIndia', '#COVIDSecondWaveInIndia', '#CovidHelp', '#coronavirus', '#CHATTISHGARH', '#bhilai', '#bhilaidurg', '#SocialMedia', '#SocialDistancing', '#SocialWorkTwitter', '#socialworker', '#socialwork', '#Feed', '#']",[],['https://t.co/xzMy1V0sVM'],[],0
10,@ianbremmer @gzeromedia 1 - Modi attended tons of rallies not wearing a mask  2 - The health minister literally participated  in the launch of a fake cure for Coronavirus introduced by a notorious quack:   https://t.co/MomlbF0skG,modi attend ton ralli wear mask health minist liter particip launch fake cure coronaviru introduc notori quack ,[],"['@ianbremmer', '@gzeromedia']",['https://t.co/MomlbF0skG'],[],0
11,The country is not in a state of shock because the healthcare system has collapsed. It is in the state of shock because the #healthcare system has #collapsed for the #Rich too.  #health #medicines #doctors #coronavirus #wellness #nurses #care #Mentalhealth #hospitals,countri state shock healthcar system collaps state shock system ,"['#healthcare', '#collapsed', '#Rich', '#health', '#medicines', '#doctors', '#coronavirus', '#wellness', '#nurses', '#care', '#Mentalhealth', '#hospitals']",[],[],[],0
13,11 hrs no #electricity in #Titwala @CMOMaharashtra @ThePrintIndia @OfficeofUT @ndtv @ABPNews @LoksattaLive worse than #coronavirus,wors ,"['#electricity', '#Titwala', '#coronavirus']","['@CMOMaharashtra', '@ThePrintIndia', '@OfficeofUT', '@ndtv', '@ABPNews', '@LoksattaLive']",[],[],0
14,"The third wave of coronavirus has rung alarm bells as it is proving to be more lethal and contagious than before. Keeping in view the expansion of coronavirus cases across the country, third-time educational institutions are closed. No one knows when this dilemma will end. #CL  https://t.co/0VHmYc6FcA",wave coronaviru rung alarm bell prove lethal contagi keep view expans coronaviru case countri thirdtim educ institut close dilemma end ,['#CL'],[],['https://t.co/0VHmYc6FcA'],[],0
16,Australia aiming to begin India repatriation flights next week after backlash to travel ban  https:#COVID19India #Australia #India #coronavirus  https://t.co/VuC5nWV3J0,australia aim begin india repatri flight week backlash travel ban http ,"['#Australia', '#India', '#coronavirus']",[],"['https:#COVID19India', 'https://t.co/VuC5nWV3J0']",[],0
17,COVID-19 infections and deaths are mounting with alarming speed in India with no end in sight to the crisis. #coronavirus #COVIDEmergencyIndia  https://t.co/9ZBzIjiX7o,covid infect death mount alarm speed india end sight crisi ,"['#coronavirus', '#COVIDEmergencyIndia']",[],['https://t.co/9ZBzIjiX7o'],[],0
18,"New cases in India have surpassed 400,000—the highest caseload yet. Even that is sure to be an underestimate #coronavirus #CovidIndia #news  https://t.co/pIZhTf6F5i",new case india surpass highest caseload sure underestim ,"['#coronavirus', '#CovidIndia', '#news']",[],['https://t.co/pIZhTf6F5i'],[],0
20,"India reports 3,57,229 new #COVID19 cases, 3,20,289 discharges and 3,449 deaths in the last 24 hours, as per Union Health Ministry   Total cases: 2,02,82,833 Total recoveries: 1,66,13,292 Death toll: 2,22,408 Active cases: 34,47,133  Total vaccination: 15,89,32,921  #coronavirus",india report new case discharg death hour union health ministri total case total recoveri death toll activ case total vaccin ,"['#COVID19', '#coronavirus']",[],[],[],0
22,May these difficult times gets over soon. #coronavirus  ❤️🤞 #WeWillRiseAgain  #FightAgainstCorona,difficult time soon ,"['#coronavirus', '#WeWillRiseAgain', '#FightAgainstCorona']",[],[],"['❤️', '🤞']",0
23,In case any one in need Noor nagar sarvoday school  30 beds+oxygen support  Johri Farm Association #coronavirus #CoronaSecondWave #OxygenCrisis #COVIDEmergency  https://t.co/lQ3i4kgOoF,case noor nagar sarvoday school bedsoxygen support johri farm associ ,"['#coronavirus', '#CoronaSecondWave', '#OxygenCrisis', '#COVIDEmergency']",[],['https://t.co/lQ3i4kgOoF'],[],0
24,"Last year it was just about #surviving #lockdown,   this year it's about #survival  Yatindar Bansal   #qoutes #coronavirus #coronastrain #lockdown #Delhi #Mumbai #IndiaFightsBack",year year yatindar bansal ,"['#surviving', '#lockdown,', '#survival', '#qoutes', '#coronavirus', '#coronastrain', '#lockdown', '#Delhi', '#Mumbai', '#IndiaFightsBack']",[],[],[],0
25,"Greetings !! Hope everything is fine out there.  Nothing lasts forever. This shall pass too.  Stay Home, Stay Safe – is the only best medicine found till now against coronavirus. Take care of yourself and your family #STAYTUNED :  https://t.co/SHxucegqv1  # PRAY🙏🏻   :  @SURAJKALRA",greet hope fine last forev shall stay home stay safe best medicin found till coronaviru care famili pray ,"['#STAYTUNED', '#']",['@SURAJKALRA'],['https://t.co/SHxucegqv1'],['🙏🏻'],0
26,"You call out 17 Muslim names and ask if it's a ""Madrassa""... So was it a matta or a church that the other 180 were non Muslim? #TejasviSuryaExposed #BJP #COVIDSecondWave #COVID19India #COVIDEmergency2021 #Corona #coronavirus #ModiHataoDeshBachao",muslim name ask madrassa matta church non muslim ,"['#TejasviSuryaExposed', '#BJP', '#COVIDSecondWave', '#COVID19India', '#COVIDEmergency2021', '#Corona', '#coronavirus', '#ModiHataoDeshBachao']",[],[],[],0
27,#actionagainstchina #WorldForgetChina! Birthplace of #coronavirus. #China is celebrating Wuhan Music Festival &amp; rest of world fighting for #breath!  Time to take strict action by #UnitedNation &amp; we all shud protest fuckin #China!  https://t.co/2h1tJSoXtu,birthplac celebr wuhan music festiv rest world fight time strict action shud protest fuckin ,"['#actionagainstchina', '#WorldForgetChina!', '#coronavirus.', '#China', '#breath!', '#UnitedNation', '#China!']",[],['https://t.co/2h1tJSoXtu'],[],0
28,"@hamzashafqaat @Asma_Baloch In fact, not giving space to coronavirus 🤫🤫  https://t.co/KLRbS4wTrR",fact give space coronaviru ,[],"['@hamzashafqaat', '@Asma_Baloch']",['https://t.co/KLRbS4wTrR'],"['🤫', '🤫']",0
29,Verified by volunteers. #coronavirüsü #coronaoutbreak #coronaupdate #coronaout #coronanews #coronacapital #coronavírus #coronavirüs #hmmm #coronavirusindia #coronavirusindiapdate #covıd #covi̇d19 #covid19news #covi̇d_19 #covidtimes #covidnews #covid1948 #stayhome  https://t.co/KavzGcO6DB,verifi volunt ,"['#coronavirüsü', '#coronaoutbreak', '#coronaupdate', '#coronaout', '#coronanews', '#coronacapital', '#coronavírus', '#coronavirüs', '#hmmm', '#coronavirusindia', '#coronavirusindiapdate', '#covıd', '#covi̇d19', '#covid19news', '#covi̇d_19', '#covidtimes', '#covidnews', '#covid1948', '#stayhome']",[],['https://t.co/KavzGcO6DB'],[],0
30,Verified by volunteers. #coronavirüsü #coronaoutbreak #coronaupdate #coronaout #coronanews #coronacapital #coronavírus #coronavirüs #hmmm #coronavirusindia #coronavirusindiapdate #covıd #covi̇d19 #covid19news #covi̇d_19 #covidtimes #covidnews #covid1948 #stayhome  https://t.co/85xmF0jvlS,verifi volunt ,"['#coronavirüsü', '#coronaoutbreak', '#coronaupdate', '#coronaout', '#coronanews', '#coronacapital', '#coronavírus', '#coronavirüs', '#hmmm', '#coronavirusindia', '#coronavirusindiapdate', '#covıd', '#covi̇d19', '#covid19news', '#covi̇d_19', '#covidtimes', '#covidnews', '#covid1948', '#stayhome']",[],['https://t.co/85xmF0jvlS'],[],0
31,Verified by volunteers. #coronavirüsü #coronaoutbreak #coronaupdate #coronaout #coronanews #coronacapital #coronavírus #coronavirüs #coronaviruslockdown #coronavirusindia #coronavirusindiapdate #covıd #covi̇d19 #covid19news #covi̇d_19 #covidtimes #covidnews #covid1948 #stayhome  https://t.co/ECh9L3cpbH,verifi volunt ,"['#coronavirüsü', '#coronaoutbreak', '#coronaupdate', '#coronaout', '#coronanews', '#coronacapital', '#coronavírus', '#coronavirüs', '#coronaviruslockdown', '#coronavirusindia', '#coronavirusindiapdate', '#covıd', '#covi̇d19', '#covid19news', '#covi̇d_19', '#covidtimes', '#covidnews', '#covid1948', '#stayhome']",[],['https://t.co/ECh9L3cpbH'],[],0
32,Verified by volunteers. #coronavirüsü #coronaoutbreak #coronaupdate #coronaout #coronanews #coronacapital #coronavírus #coronavirüs #coronaviruslockdown #coronavirusindia #coronavirusindiapdate #covıd #covi̇d19 #covid19news #covi̇d_19 #covidtimes #covidnews #covid1948 #stayhome  https://t.co/3Bq5zyp85F,verifi volunt ,"['#coronavirüsü', '#coronaoutbreak', '#coronaupdate', '#coronaout', '#coronanews', '#coronacapital', '#coronavírus', '#coronavirüs', '#coronaviruslockdown', '#coronavirusindia', '#coronavirusindiapdate', '#covıd', '#covi̇d19', '#covid19news', '#covi̇d_19', '#covidtimes', '#covidnews', '#covid1948', '#stayhome']",[],['https://t.co/3Bq5zyp85F'],[],0
33,Verified by our volunteers. #coronavirüsü #coronaoutbreak #coronaupdate #coronaout #coronanews #coronacapital #coronavírus #coronavirüs #coronaviruslockdown #coronavirusindia #coronavirusindiapdate #covıd #covi̇d19 #covid19news #covi̇d_19 #covidtimes #covidnews #covid1948  https://t.co/yDpZPNFg14,verifi volunt ,"['#coronavirüsü', '#coronaoutbreak', '#coronaupdate', '#coronaout', '#coronanews', '#coronacapital', '#coronavírus', '#coronavirüs', '#coronaviruslockdown', '#coronavirusindia', '#coronavirusindiapdate', '#covıd', '#covi̇d19', '#covid19news', '#covi̇d_19', '#covidtimes', '#covidnews', '#covid1948']",[],['https://t.co/yDpZPNFg14'],[],0
34,Verified by our volunteers. #coronavirüsü #coronaoutbreak #coronaupdate #coronaout #coronanews #coronacapital #coronavírus #coronavirüs #coronaviruslockdown #coronavirusindia #coronavirusindiapdate #covıd #covi̇d19 #covid19news #covi̇d_19 #covidtimes #covidnews #covid1948  https://t.co/5A7JYCniCc,verifi volunt ,"['#coronavirüsü', '#coronaoutbreak', '#coronaupdate', '#coronaout', '#coronanews', '#coronacapital', '#coronavírus', '#coronavirüs', '#coronaviruslockdown', '#coronavirusindia', '#coronavirusindiapdate', '#covıd', '#covi̇d19', '#covid19news', '#covi̇d_19', '#covidtimes', '#covidnews', '#covid1948']",[],['https://t.co/5A7JYCniCc'],[],0
35,#srilanka bans travellers from India #COVID19 #coronavirus  https://t.co/l9QpRkIjC2,ban travel india ,"['#srilanka', '#COVID19', '#coronavirus']",[],['https://t.co/l9QpRkIjC2'],[],0
37,"#Rajasthan government announces ""strict #lockdown"" from May 10-24 as #coronavirus cases surge",govern announc strict case surg ,"['#Rajasthan', '#lockdown""', '#coronavirus']",[],[],[],0
38,View: India's coronavirus disaster is now the world's problem  https://t.co/dDAGTIazKh #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,view india coronaviru disast world problem ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/dDAGTIazKh'],[],0
39,"11 more coronavirus related deaths report in Sri Lanka, total death count is now 745. #LKA #SriLanka #COVID19SL",coronaviru relat death report sri lanka total death count ,"['#LKA', '#SriLanka', '#COVID19SL']",[],[],[],0
40,Spike in new #coronavirus cases and fatality in India is unprecedented. Despite that religious festivities and election rallies are not stopping. Globally the spike of new cases is supper steep. #COVID19  https://t.co/GgkseGcJ1n,spike new case fatal india unpreced despit religi festiv elect ralli stop global spike new case supper steep ,"['#coronavirus', '#COVID19']",[],['https://t.co/GgkseGcJ1n'],[],0
41,"Why Indian Varient , UK varient word coined around the world ? Why not “Chainess Varient “ word coined by International Media ? #coronavirus @sudhirchaudhary @anjanaomkashyap @RubikaLiyaquat @aajtak @ZeeNews @BBCHindi @MoHFW_INDIA",indian varient varient word coin world chainess varient word coin intern medium ,['#coronavirus'],"['@sudhirchaudhary', '@anjanaomkashyap', '@RubikaLiyaquat', '@aajtak', '@ZeeNews', '@BBCHindi', '@MoHFW_INDIA']",[],[],0
43,India has beaten all bigger countries in new cases and deaths because of #Corona in recent months. The spike in cases and fatality is super steep. #COVID19 #coronavirus  https://t.co/NNs3HDlcTN,india beaten bigger countri new case death recent month spike case fatal super steep ,"['#Corona', '#COVID19', '#coronavirus']",[],['https://t.co/NNs3HDlcTN'],[],0
44,"As per India today hundreds of women #defy_covid_norms to gather at #Gujarat_temple to #eradicate #coronavirus @ Gujarat, India  https://t.co/iqmFx9yFs7",india today hundr woman gather gujarat india ,"['#defy_covid_norms', '#Gujarat_temple', '#eradicate', '#coronavirus']",['@'],['https://t.co/iqmFx9yFs7'],[],0
46,"#Australia's Victoria on alert after first #COVID19 case in two months.  The fact that it happened despite two weeks qurantine, just goes to show that the #CORONAVIRUS can possibly stay alive in the body for much longer before infecting the recipient.  https://t.co/c2WHMtX16z",victoria alert case month fact happen despit week qurantin possibl stay aliv bodi longer infect recipi ,"[""#Australia's"", '#COVID19', '#CORONAVIRUS']",[],['https://t.co/c2WHMtX16z'],[],0
48,#Telangana lo #lockdown 6 to 10   Correct r wrong  #TRS #Hyderabad #Telangana @trspartyonline #india #CoronavirusPandemic #coronavirus #Corona #COVIDSecondWaveInIndia #public #StaySafe #StayHome #StayStrongIndia #SonuSoodRealHero #Sonu,correct wrong ,"['#Telangana', '#lockdown', '#TRS', '#Hyderabad', '#Telangana', '#india', '#CoronavirusPandemic', '#coronavirus', '#Corona', '#COVIDSecondWaveInIndia', '#public', '#StaySafe', '#StayHome', '#StayStrongIndia', '#SonuSoodRealHero', '#Sonu']",['@trspartyonline'],[],[],0
51,True news pls give attention @karunazero #COVID19Vaccination BREAKING NEWS #CoronavirusIndia #vaccinate #coronavirus,true news attent break news ,"['#COVID19Vaccination', '#CoronavirusIndia', '#vaccinate', '#coronavirus']",['@karunazero'],[],[],0
55,#AndhraPradesh: #FIR lodged against #ChandrababuNaidu for creating fear over #N440K strain of #coronavirus   https://t.co/XDsX6GertJ,lodg creat fear strain ,"['#AndhraPradesh:', '#FIR', '#ChandrababuNaidu', '#N440K', '#coronavirus']",[],['https://t.co/XDsX6GertJ'],[],0
56,"'Coronavirus that causes Covid-19 mutated more than 6,600 times'.",coronaviru caus covid mutat time ,[],[],[],[],0
58,"Opening mosques, and prayer halls for the Eid prayer  https://t.co/SmIQCwVfOw  #Bahrain #eid #بحرين #COVID19 #coronavirus #Commit4Bahrain #VACCINATEANDSTAYSAFE #prayer #mosque",open mosqu prayer hall eid prayer ,"['#Bahrain', '#eid', '#بحرين', '#COVID19', '#coronavirus', '#Commit4Bahrain', '#VACCINATEANDSTAYSAFE', '#prayer', '#mosque']",[],['https://t.co/SmIQCwVfOw'],[],0
59,How #Mumbai stayed a step ahead of the #CoronaVirus -    https://t.co/DfVxxqqz4A,stay step ahead ,"['#Mumbai', '#CoronaVirus']",[],['https://t.co/DfVxxqqz4A'],[],0
62,stupidity is always more contagious than coronavirus,stupid contagi coronaviru ,[],[],[],[],0
64,Stay strong! Think positive! Take care yourself! We are together in this tight! Everything will we normal one day !  #StayHome #Corona #coronavirus #CoronaSecondWave #IndiaCovidCrisis #IndiaFightsCOVID19,stay strong posit care tight normal day ,"['#StayHome', '#Corona', '#coronavirus', '#CoronaSecondWave', '#IndiaCovidCrisis', '#IndiaFightsCOVID19']",[],[],[],0
66,"In a last few days I lost many relatives, friends and my closer ones , we all are facing with very difficult times in this pandemic ,My request you to all please wear a mask ,stay at home, protect yourself, Avoid unnecessary travelling and make social distancing #coronavirus",day lose rel friend closer one face difficult time pandem request wear mask stay home protect avoid unnecessari travel social distanc ,['#coronavirus'],[],[],[],0
67,When will this coronavirus end ? Any prediction? #COVID19 #coronavirus #CoronaPandemic @WHO,coronaviru end predict ,"['#COVID19', '#coronavirus', '#CoronaPandemic']",['@WHO'],[],[],0
68,"both partners committed to “operate on a not-for-profit basis for the duration of the coronavirus pandemic, with only the costs of production and distribution being covered”.",partner commit oper notforprofit basi durat coronaviru pandem cost product distribut cover ,[],[],[],[],0
69,"""Covirgin"" A person who is not been infected with Covid-19.  #COVID19 #coronavirus #covirgin #CoronaSecondWave #Covaxin #Covishield",covirgin person infect covid ,"['#COVID19', '#coronavirus', '#covirgin', '#CoronaSecondWave', '#Covaxin', '#Covishield']",[],[],[],0
70,Has anyone of you thanked the nature for the free #Oxygen it has given you for all these years without asking anything in return.    #COVID19 #coronavirus #nature,natur free give year ask return ,"['#Oxygen', '#COVID19', '#coronavirus', '#nature']",[],[],[],0
73,Today world's the first batch of Anti-COVID drug #2DG developed by @DRDO_India And @drreddys Laboratories Ltd. have been released.. This oral drug will play a pivotal role in the faster recovery of patients &amp; strengthen our fight against #COVID19 #coronavirus  https://t.co/HGErNNWOwV,today world batch anticovid drug develop laboratori ltd releas oral drug play pivot role faster recoveri patient strengthen fight ,"['#2DG', '#COVID19', '#coronavirus']","['@DRDO_India', '@drreddys']",['https://t.co/HGErNNWOwV'],[],0
75,Life just fine until.... #Covid_19 🖤🖤🖤🖤🖤  #COVID  #coronavirus  #pkp  https://t.co/4ubcT61QtR,life fine ,"['#Covid_19', '#COVID', '#coronavirus', '#pkp']",[],['https://t.co/4ubcT61QtR'],"['🖤', '🖤', '🖤', '🖤', '🖤']",0
77,"All because of you who are busy in #Politics , innocent #Nepalese citizen have to suffer again , Mid term election will be another superspreader not just for political #Violence also for #ThirdWave of #CoronaVirus #NepaliPolitics #Nepal",busi innoc citizen suffer mid term elect superspread polit ,"['#Politics', '#Nepalese', '#Violence', '#ThirdWave', '#CoronaVirus', '#NepaliPolitics', '#Nepal']",[],[],[],0
79,Unjunk your body to fight against diseases GEVALLEY Pocket Nuts daily nuts  Click n buy : https://t.co/WeOyrWik98   https://t.co/Atb6TFHUHN  #Vegan #healthy #happiness #Yoga_Automatic #gym #sports #fitness #Indian #lockdown #StayHomeStaySafe #coronavirus #free #ImmunityBoosterTips  https://t.co/XV0FlaRnGv,unjunk bodi fight diseas gevalley pocket nut daili nut click buy ,"['#Vegan', '#healthy', '#happiness', '#Yoga_Automatic', '#gym', '#sports', '#fitness', '#Indian', '#lockdown', '#StayHomeStaySafe', '#coronavirus', '#free', '#ImmunityBoosterTips']",[],"['https://t.co/WeOyrWik98', 'https://t.co/Atb6TFHUHN', 'https://t.co/XV0FlaRnGv']",[],0
