,tweet,clean_tweet,hastags,attherate,urls,emojis,label
0,"The corona virus has a possible 39,000 RNA mutations. The world has only seen 153 so far. Practice social distancing and keep your face masks on. #COVIDisAirborne #Covid_19",corona viru possibl rna mutat world far practic social distanc face mask ,"['#COVIDisAirborne', '#Covid_19']",[],[],[],2
12,@Atmos_Air Very healthy report about transmission of corona virus.,healthi report transmiss corona viru ,[],['@Atmos_Air'],[],[],2
21,"""English"" Has been Effected by Corona Virus. 😂😂🤐                    (Rip in Advance)  https://t.co/Sq1LQPU8xP",english effect corona viru rip advanc ,[],[],['https://t.co/Sq1LQPU8xP'],"['😂', '😂', '🤐']",2
42,#Day6th Today Distribution of Lime water to the Corona warriors and food to needy corona patients by the pious guidance of GodPa Saint Dr. @Gurmeetramrahim Singh Ji Insan🙏 #CoronaVirus #SaluteToCoronaWarriors  #CoronaVirusIndia #COVID19 #COVID19India #CovidIndia #Covid19help  https://t.co/1ldFMu9Um1,today distribut lime water corona warrior food needi corona patient piou guidanc godpa saint singh insan ,"['#Day6th', '#CoronaVirus', '#SaluteToCoronaWarriors', '#CoronaVirusIndia', '#COVID19', '#COVID19India', '#CovidIndia', '#Covid19help']",['@Gurmeetramrahim'],['https://t.co/1ldFMu9Um1'],['🙏'],2
45,@hSHIGRI @OfficialNcoc @ImranKhanPTI Symptoms then you may have corona virus many many people who feels no symptoms but still positive for corona virus,symptom corona viru peopl feel symptom posit corona viru ,[],"['@hSHIGRI', '@OfficialNcoc', '@ImranKhanPTI']",[],[],2
47,Scores of dead bodies have been found floating down the Ganges River in east India as the country battles a ferocious surge in corona virus infections. Authorities said Tuesday they haven't yet determined the cause of death. #71 It's was the #deadheadline  #afterbedeffect  https://t.co/lFCIJdndo4,score dead bodi found float gang river east india countri battl feroci surg corona viru infect author tuesday havent determin caus death ,"['#71', '#deadheadline', '#afterbedeffect']",[],['https://t.co/lFCIJdndo4'],[],2
50,"The corona virus has killed 202 doctors and 30 paramedics in Pakistan.  The highest death toll was 74 in Punjab, 65 in Sindh, 53 in KPK, six in Balochistan, three in Azad Kashmir and one in Gilgit-Baltistan.  Dr. Qaiser Sajjad Secretary PMA @OfficialNcoc  https://t.co/dPgcCxtAa8",corona viru kill doctor paramed pakistan highest death toll punjab sindh kpk balochistan azad kashmir gilgitbaltistan qaiser sajjad secretari pma ,[],['@OfficialNcoc'],['https://t.co/dPgcCxtAa8'],[],2
52,"@SushilModi Sir you see only the  wining and losing ratio, but this time the deadly corona virus creates pandemic and the government of bihar only doing promises, what you think for local people and what you want to tell about dead bodies flush in holy river ganga @narendramodi @PMOIndia",win lose ratio time deadli corona viru creat pandem govern bihar promis local peopl tell dead bodi flush holi river ganga ,[],"['@SushilModi', '@narendramodi', '@PMOIndia']",[],[],2
54,Sir please take responsibility for samastipur people ? I hope MLA samastipur take the ground reality and taken serious action against this deadly Corona virus in favor of samastipur people @yadavtejashwi @RJDforIndia @officecmbihar @NitishKumar @KashishBihar @News18Bihar,respons samastipur peopl hope mla samastipur ground realiti action deadli corona viru favor samastipur peopl ,[],"['@yadavtejashwi', '@RJDforIndia', '@officecmbihar', '@NitishKumar', '@KashishBihar', '@News18Bihar']",[],[],2
57,It's not Corona Virus It's #chinas_Virus @PMOIndia @narendramodi  https://t.co/VtI9KOF8KQ,corona viru ,['#chinas_Virus'],"['@PMOIndia', '@narendramodi']",['https://t.co/VtI9KOF8KQ'],[],2
60,@drsangitareddy @TelanganaCMO At last your thought and vision to control Corona Virus..  our CM have Eyes to read your tweet and Have Lock Down today.   #Lockdown for control Corona Virus and Saving Lives 🙏🙏🙏,thought vision control corona viru eye read tweet lock today control corona viru save life ,['#Lockdown'],"['@drsangitareddy', '@TelanganaCMO']",[],"['🙏', '🙏', '🙏']",2
61,@UnionBankTweets It is universally accepted fact that weak immunity invites diseases Accordingly senior citizens are accessible to Covid 19 by age &amp; poor immunity Kindly help  retired people to fight Corona virus,univers accept fact weak immun invit diseas accordingli senior citizen access covid age poor immun kindli help retir peopl fight corona viru ,[],['@UnionBankTweets'],[],[],2
63,"Carona Curfew in all 20 districts of #JammuAndKashmir which is presently in place, extended from 7 am on 17th May till 7am on 24th of May in an effort to contain the spread of #Coronavirus infection. However, the curfew will be strict except for a few essential services.",carona curfew district present place extend till effort contain spread infect curfew strict essenti servic ,"['#JammuAndKashmir', '#Coronavirus']",[],[],[],2
65,"@callmezainul @calmequeen As we were already Tensed with Corona Virus , Bhoi Attacked Us with Raadhe Virus , And That is the only Virus That can't be cured ... 😞😞",tens corona viru bhoi attack raadh viru viru cant cure ,[],"['@callmezainul', '@calmequeen']",[],"['😞', '😞']",2
