,words,scores
0,covid,917
1,vaccin,428
2,corona,382
3,india,228
4,peopl,179
5,help,157
6,hospit,154
7,sir,142
8,patient,131
9,day,124
10,time,121
11,fight,113
12,remdesivir,110
13,case,106
14,viru,105
15,oxygen,103
16,curfew,98
17,death,95
18,pandem,92
19,govt,82
20,work,81
21,like,81
22,dont,79
23,new,75
24,health,75
25,countri,75
26,state,74
27,life,72
28,test,70
29,govern,70
30,free,67
31,world,66
32,wave,66
33,home,62
34,follow,62
35,year,61
36,famili,59
37,support,58
38,situat,56
39,posit,56
40,bed,55
41,coronaviru,54
42,doctor,54
43,minist,53
44,today,53
45,give,52
46,delhi,52
47,medicin,51
48,stop,50
49,infect,48
50,news,46
51,stay,46
52,save,46
53,district,46
54,cant,46
55,person,46
56,die,46
57,indian,45
58,medic,45
59,spread,44
60,inject,44
61,repli,44
62,till,43
63,care,43
64,control,43
65,immun,43
66,request,43
67,mask,42
68,safe,42
69,avail,42
70,report,41
71,servic,41
72,modi,40
73,treatment,40
74,beat,40
75,salut,38
76,recov,37
77,number,37
78,second,36
79,hope,35
80,lose,35
81,provid,35
82,nation,35
83,dose,34
84,age,34
85,requir,34
86,recoveri,33
87,read,33
88,area,33
89,lockdown,33
90,student,33
91,possibl,32
92,crisi,32
93,human,32
94,total,31
95,effect,31
96,month,31
97,respons,31
98,exam,31
99,bjp,31
100,mother,31
101,soon,30
102,issu,30
103,central,30
104,great,30
105,donat,30
106,suffer,29
107,bless,29
108,public,29
109,boost,29
110,admit,29
111,honour,29
112,hour,28
113,citizen,28
114,extend,28
115,centr,28
116,urgent,28
117,happi,28
118,way,28
119,emerg,28
120,plasma,28
121,best,27
122,ask,27
123,differ,27
124,expert,27
125,pray,26
126,open,26
127,china,26
128,import,26
129,power,26
130,suppli,26
131,group,25
132,leader,25
133,rate,25
134,high,25
135,end,24
136,travel,24
137,action,24
138,bodi,24
139,find,24
140,start,24
141,contact,24
142,kind,24
143,arrang,24
144,allah,24
145,hand,23
146,announc,23
147,thing,23
148,kit,23
149,video,23
150,cylind,23
151,modiji,23
152,member,23
153,bengal,23
154,relief,23
155,post,23
156,manag,23
157,distanc,22
158,week,22
159,essenti,22
160,look,22
161,protocol,22
162,icu,22
163,father,22
164,far,21
165,wear,21
166,god,21
167,happen,21
168,updat,21
169,effort,21
170,drug,21
171,polit,21
172,worker,21
173,inform,21
174,check,21
175,approv,21
176,million,21
177,live,21
178,better,21
179,share,21
180,date,21
181,yog,21
182,allow,20
183,food,20
184,eid,20
185,diseas,20
186,protect,20
187,crore,20
188,call,20
189,lakh,20
190,unit,20
191,citi,20
192,dear,20
193,night,20
194,shri,20
195,diet,20
196,critic,20
197,social,19
198,face,19
199,union,19
200,strict,19
201,daili,19
202,distribut,19
203,pakistan,19
204,kindli,19
205,wish,19
206,polic,19
207,hit,19
208,result,19
209,pay,19
210,impos,19
211,offic,19
212,monday,19
213,sop,19
214,hai,19
215,detail,19
216,black,19
217,popul,19
218,real,19
219,reduc,18
220,risk,18
221,attend,18
222,sure,18
223,activ,18
224,fact,18
225,problem,18
226,word,18
227,place,18
228,hard,18
229,condit,18
230,current,18
231,morn,18
232,market,18
233,away,18
234,address,18
235,ventil,18
236,chariti,18
237,lead,18
238,chief,18
239,money,18
240,affect,18
241,kolkata,18
242,offici,17
243,difficult,17
244,volunt,17
245,medium,17
246,caus,17
247,tell,17
248,complet,17
249,restrict,17
250,increas,17
251,order,17
252,center,17
253,fail,17
254,team,17
255,treat,17
256,educ,16
257,found,16
258,battl,16
259,prayer,16
260,develop,16
261,presid,16
262,big,16
263,fund,16
264,level,16
265,administr,16
266,child,16
267,camp,16
268,receiv,16
269,includ,16
270,sanit,15
271,fake,15
272,close,15
273,stock,15
274,recent,15
275,creat,15
276,poor,15
277,friend,15
278,cost,15
279,respect,15
280,prioriti,15
281,question,15
282,immedi,15
283,love,15
284,wait,15
285,join,15
286,forc,15
287,book,15
288,claim,15
289,board,15
290,war,15
291,shortag,15
292,road,15
293,send,15
294,reason,15
295,west,15
296,parti,15
297,stand,15
298,show,15
299,man,15
300,app,15
301,shame,15
302,justic,15
303,cure,14
304,disast,14
305,warrior,14
306,gather,14
307,tweet,14
308,busi,14
309,watch,14
310,rule,14
311,cyclon,14
312,cancel,14
313,act,14
314,ward,14
315,shop,14
316,singl,14
317,appoint,14
318,blood,14
319,corpor,14
320,plant,14
321,sell,14
322,old,14
323,ministri,13
324,muslim,13
325,elect,13
326,global,13
327,one,13
328,appreci,13
329,initi,13
330,chines,13
331,villag,13
332,drive,13
333,serv,13
334,mumbai,13
335,class,13
336,blame,13
337,farmer,13
338,mean,13
339,commun,13
340,reach,13
341,deliv,13
342,understand,13
343,wonder,13
344,grow,13
345,icmr,13
346,record,12
347,name,12
348,celebr,12
349,verifi,12
350,needi,12
351,woman,12
352,symptom,12
353,feel,12
354,dead,12
355,wrong,12
356,win,12
357,thought,12
358,chang,12
359,releas,12
360,concern,12
361,heart,12
362,handl,12
363,decis,12
364,ensur,12
365,didnt,12
366,isol,12
367,ppl,12
368,solut,12
369,court,12
370,that,12
371,prime,12
372,bad,12
373,instead,12
374,pradesh,12
375,what,12
376,arrest,12
377,yesterday,12
378,guidelin,12
379,build,12
380,guy,12
381,price,12
382,societi,12
383,compani,12
384,link,12
385,plz,12
386,advis,12
387,awak,12
388,ncd,12
389,onlin,12
390,variant,11
391,break,11
392,normal,11
393,natur,11
394,precaut,11
395,youth,11
396,wife,11
397,violat,11
398,duti,11
399,visit,11
400,long,11
401,prevent,11
402,measur,11
403,fast,11
404,street,11
405,breath,11
406,schedul,11
407,meet,11
408,struggl,11
409,isnt,11
410,turn,11
411,opposit,11
412,add,11
413,mbb,11
414,wash,11
415,awar,11
416,drop,11
417,spo,11
418,tune,11
419,job,11
420,mco,11
421,launch,10
422,institut,10
423,rest,10
424,despit,10
425,regist,10
426,univers,10
427,contain,10
428,strong,10
429,avoid,10
430,hous,10
431,ramdev,10
432,june,10
433,deliveri,10
434,agre,10
435,disinfect,10
436,congress,10
437,urg,10
438,maharashtra,10
439,data,10
440,rise,10
441,clear,10
442,abl,10
443,arriv,10
444,jampk,10
445,near,10
446,huge,10
447,left,10
448,small,10
449,base,10
450,rural,10
451,lab,10
452,thousand,10
453,march,10
454,talk,10
455,scam,10
456,mixopathi,10
457,phd,10
458,bam,10
459,bhm,10
460,bum,10
461,net,10
462,facil,10
463,rais,10
464,believ,10
465,panic,10
466,learn,10
467,set,10
468,nurs,10
469,chaudhari,10
470,steroid,10
471,maintain,9
472,system,9
473,ban,9
474,school,9
475,relat,9
476,author,9
477,kashmir,9
478,true,9
479,deadli,9
480,local,9
481,play,9
482,safeti,9
483,peac,9
484,final,9
485,plan,9
486,origin,9
487,allopathi,9
488,list,9
489,fungu,9
490,foreign,9
491,polici,9
492,town,9
493,staff,9
494,mental,9
495,form,9
496,declar,9
497,express,9
498,destroy,9
499,contribut,9
500,chain,9
501,hello,9
502,outsid,9
503,amid,9
504,locat,9
505,advic,9
506,surviv,9
507,failur,9
508,jab,9
509,info,9
510,sign,9
511,covishield,9
512,covaxin,9
513,combat,9
514,pharma,9
515,nearli,9
516,sentenc,9
517,law,9
518,sugar,9
519,son,9
520,israel,9
521,neg,9
522,brother,9
523,lung,9
524,bring,9
525,benefit,9
526,experi,9
527,thursday,9
528,doubl,8
529,begin,8
530,highest,8
531,non,8
532,surg,8
533,super,8
534,river,8
535,slot,8
536,step,8
537,commit,8
538,product,8
539,cover,8
540,return,8
541,shot,8
542,listen,8
543,sector,8
544,expect,8
545,billion,8
546,readi,8
547,proper,8
548,coronil,8
549,jammu,8
550,main,8
551,vehicl,8
552,suggest,8
553,concentr,8
554,enforc,8
555,bill,8
556,there,8
557,gener,8
558,common,8
559,late,8
560,alloc,8
561,forward,8
562,resourc,8
563,bank,8
564,produc,8
565,organis,8
566,mind,8
567,loss,8
568,colleg,8
569,loot,8
570,privat,8
571,usmani,8
572,daypleas,8
573,eitherpleas,8
574,fuck,8
575,answer,8
576,examin,8
577,scientist,8
578,focu,8
579,pass,8
580,curb,8
581,virtual,8
582,hyderabad,8
583,assist,8
584,limit,8
585,cancer,8
586,shoutout,8
587,evid,8
588,train,8
589,trial,8
590,shiv,8
591,lochan,8
592,therapi,8
593,wors,7
594,prove,7
595,flight,7
596,toll,7
597,fine,7
598,shall,7
599,count,7
600,spike,7
601,intern,7
602,water,7
603,havent,7
604,ratio,7
605,accept,7
606,present,7
607,overcom,7
608,baba,7
609,appli,7
610,direct,7
611,worth,7
612,program,7
613,daughter,7
614,paper,7
615,helplin,7
616,danger,7
617,mention,7
618,carri,7
619,economi,7
620,outbreak,7
621,ongo,7
622,technolog,7
623,movement,7
624,write,7
625,sever,7
626,improv,7
627,larg,7
628,continu,7
629,key,7
630,equip,7
631,doesnt,7
632,ambul,7
633,wont,7
634,capac,7
635,tomorrow,7
636,charg,7
637,tough,7
638,twitter,7
639,earlier,7
640,april,7
641,explain,7
642,manufactur,7
643,opportun,7
644,hold,7
645,friday,7
646,sleep,7
647,actual,7
648,leav,7
649,deal,7
650,minut,7
651,pressur,7
652,saudi,7
653,addit,7
654,positivethey,7
655,classmat,7
656,overhelm,7
657,ramadan,7
658,rahul,7
659,foundat,7
660,husband,7
661,palestin,7
662,antigen,7
663,climat,7
664,demand,7
665,pain,7
666,singapor,7
667,promot,7
668,ayurveda,7
669,event,7
670,ayurved,7
671,sincer,7
672,petit,7
673,diabet,7
674,touch,7
675,corrupt,7
676,railway,7
677,prison,7
678,almighti,7
679,truth,7
680,track,7
681,mild,7
682,humbl,7
683,parker,7
684,stream,7
685,mobil,7
686,dial,7
687,mutat,6
688,eat,6
689,transmiss,6
690,keep,6
691,view,6
692,discharg,6
693,nagar,6
694,protest,6
695,kill,6
696,punjab,6
697,attent,6
698,mla,6
699,basi,6
700,encourag,6
701,defeat,6
702,mark,6
703,statu,6
704,urban,6
705,digit,6
706,store,6
707,project,6
708,victim,6
709,collect,6
710,appropri,6
711,rid,6
712,booster,6
713,conduct,6
714,told,6
715,decid,6
716,forget,6
717,worst,6
718,purchas,6
719,depart,6
720,catastroph,6
721,islam,6
722,airport,6
723,uttar,6
724,gtgtgt,6
725,put,6
726,idea,6
727,past,6
728,honbl,6
729,campaign,6
730,attempt,6
731,whatsapp,6
732,clot,6
733,joke,6
734,peak,6
735,process,6
736,gate,6
737,organ,6
738,earli,6
739,offer,6
740,bhi,6
741,patent,6
742,especi,6
743,log,6
744,pregnant,6
745,half,6
746,pic,6
747,trust,6
748,imagin,6
749,massiv,6
750,telangana,6
751,ruthlesspleas,6
752,industri,6
753,matter,6
754,stori,6
755,aur,6
756,dischargedmor,6
757,infectedless,6
758,parkaft,6
759,chanc,6
760,white,6
761,nahi,6
762,load,6
763,credit,6
764,jain,6
765,statement,6
766,spreader,6
767,hind,6
768,solv,6
769,involv,6
770,kumar,6
771,middl,6
772,messag,6
773,task,6
774,tackl,6
775,review,6
776,mubarak,6
777,decreas,6
778,vial,6
779,here,6
780,hop,6
781,rememb,6
782,individu,6
783,migrant,6
784,employe,6
785,ill,6
786,challeng,6
787,nasal,6
788,patanjali,6
789,mamata,6
790,hyd,6
791,paytm,6
792,hbr,6
793,bbc,5
794,gift,5
795,heard,5
796,contract,5
797,move,5
798,advanc,5
799,space,5
800,pcr,5
801,sri,5
