,features,score
0,covid,0.04365146976359337
1,corona,0.030519682308565176
2,case,0.017973488238236284
3,curfew,0.017002309553026496
4,people,0.014467398788862183
5,virus,0.013900891590384747
6,positive,0.013539190854169053
7,coronavirus,0.013246629139433518
8,test,0.01286795787320032
9,time,0.012451738858626514
10,year,0.012186698656028247
11,mask,0.011840653180531182
12,vaccination,0.01077964629946258
13,state,0.010036181380868037
14,day,0.009974764284857801
15,new,0.009699278862737418
16,rise,0.009153826751285534
17,india,0.008965974653895915
18,pandemic,0.008810594107614193
19,recovery,0.008778374530674751
20,night,0.008573369398684331
21,march,0.00834953372514521
22,student,0.008025781932525308
23,speedy,0.007954866086899458
24,wear,0.007935290154238047
25,like,0.007900382184402054
26,today,0.00747620401778177
27,wish,0.007458924995323073
28,dont,0.006917779103797759
29,world,0.0068366643847879915
30,lockdown,0.00681661269886618
31,follow,0.006741561334797624
32,news,0.006671611985428254
33,govt,0.0065003796308082925
34,health,0.006492754447971387
35,increase,0.006405885129853398
36,government,0.0063702879813719564
37,spread,0.006350317486293979
38,sir,0.006265447012220012
39,social,0.006263825987439041
40,stay,0.006104329053383247
41,minister,0.00603490769483621
42,help,0.005905670847089478
43,wave,0.005877466867889634
44,election,0.005789438568267225
45,home,0.0057443570524792235
46,life,0.005701279543630923
47,vaccinate,0.00567911085280316
48,allah,0.00565131235565861
49,safe,0.0055136373479285055
50,country,0.005496413132999336
51,distance,0.005411290473046261
52,free,0.005314762171033245
53,start,0.005277312420957546
54,situation,0.005239708981424971
55,patient,0.00519797356092667
56,best,0.005169930703277673
57,anniversary,0.005141574929755723
58,recover,0.005127748490871222
59,death,0.005053583886254381
60,reply,0.004989163249061765
61,woman,0.004986715492464276
62,vaccine,0.00497883691038705
63,thing,0.004967587907100798
64,care,0.0049362555694805995
65,better,0.00493202546932909
66,hand,0.004897400114624573
67,district,0.004821520016717009
68,soon,0.0046960826876111085
69,stop,0.004686406274852164
70,mumbai,0.004678983438232361
71,request,0.0046523561438742205
72,hospital,0.004651821611265537
73,look,0.0046346830574348526
74,prime,0.004611637386845405
75,work,0.004606719247417186
76,fight,0.004559982246641536
77,update,0.004540689996083683
78,city,0.0045381178194041924
79,place,0.0044757448250732955
80,report,0.004449692262799047
81,number,0.004427854830272622
82,control,0.004426383844156144
83,visit,0.004379102010646676
84,maharashtra,0.0043637177872200795
85,issue,0.004305582193197017
86,crowd,0.0041489884119502
87,record,0.004112702442462803
88,worker,0.004111631803715237
89,public,0.004091267408589455
90,dear,0.004080092567101107
91,hope,0.0040615299570770785
92,prayer,0.004060345354183442
93,save,0.0040393708721816945
94,week,0.004038600364174378
95,month,0.003992136237840965
96,remain,0.003949347320509334
97,school,0.003932859760128602
98,second,0.0039102205694925354
99,protocol,0.003896826384244506
100,surge,0.0037942716037677017
101,yes,0.0037793951101674573
102,infection,0.0037700924749644
103,long,0.003764978629313457
104,happy,0.003697899772529665
105,travel,0.0036862507875184028
106,rate,0.0036315297907735774
107,team,0.0036049340022339333
108,khan,0.003588645361826451
109,rule,0.003584368809014392
110,restriction,0.0035656792749839176
111,center,0.003548305642175364
112,post,0.0035316815063841725
113,highest,0.0035304653093907123
114,precaution,0.003506933816076951
115,way,0.003480509817207545
116,daily,0.0034801182290811
117,family,0.0034771170625569605
118,allow,0.0034669165902899207
119,close,0.003455905808940474
120,variant,0.003440326071162851
121,pay,0.0033646067786355003
122,suffer,0.0033568386455757257
123,feel,0.0033107212121448177
124,face,0.0033081763018236055
125,thats,0.0032991071210882387
126,indian,0.003296820104406216
127,impose,0.0032947470261212113
128,spike,0.0032775805667802577
129,tell,0.0032673730492834333
130,lakh,0.0032321007385712106
131,culture,0.00322017101472889
132,person,0.0031968828151320234
133,college,0.0031440902275983074
134,change,0.0031187874690033605
135,status,0.003108424997705365
136,janta,0.0030900828328601568
137,nation,0.0030460780488479043
138,service,0.003008226003065156
139,house,0.0030015339589871503
140,information,0.002982220028160192
141,postpone,0.002964444188031795
142,grant,0.002960948931429837
143,centre,0.0029589071222929945
144,exam,0.002958240327570673
145,step,0.0029283447908916216
146,pakistan,0.002901073733472178
147,register,0.002882090850910103
148,till,0.002864141342408826
149,great,0.0028640729206152607
150,prevent,0.002856633826958466
151,happen,0.0028267938008880752
152,delhi,0.0028026333470372246
153,modi,0.0027988718409062557
154,learn,0.0027583997582091993
155,complete,0.0027581783243229904
156,crisis,0.002756147047610696
157,amid,0.0027510045342773255
158,force,0.0027321066234179546
159,tally,0.0026999922849013785
160,imran,0.0026990662474098777
161,sop,0.0026873714552029574
162,police,0.0026869555655245196
163,high,0.0026851155812204087
164,disease,0.002682033322497523
165,doctor,0.0026779187211326445
166,understand,0.0026707687018443357
167,study,0.0026678089568322474
168,road,0.002665166987192293
169,hour,0.0026512996663662176
