tweet,clean_tweet,hastags,attherate,urls,emojis,tokenized_Tweet,filteredToken,label
"Germany's Covid response ""was the envy of the world"" - your daily reminder that the world just means ""white people"".  https://t.co/dxbkOVjBCZ  via @GoogleNews",germani covid respons envi world daili remind world mean white peopl ,[],['@GoogleNews'],['https://t.co/dxbkOVjBCZ'],[],"['germanys', 'covid', 'response', 'was', 'envy', 'of', 'world', 'your', 'daily', 'reminder', 'that', 'world', 'just', 'means', 'white', 'people', 'via']","['germany', 'covid', 'response', 'envy', 'world', 'daily', 'reminder', 'world', 'mean', 'white', 'people', 'via']",0
"Pfizer &amp; Moderna claim their vaccines very safe &amp; effective Estimated &gt; 1000 deaths asso w Pfizer vaccines in Nor Spain German etc Pfizer is exempted from legal suits by politicians 🙄🤔Collusion❓ Chance of dying from Covid is 5 in 10,000 ⏩3 by vaccine❓  https://t.co/OR1QmkkBS3",pfizer moderna claim vaccin safe effect estim death asso pfizer vaccin spain german pfizer exempt legal suit politician collus chanc die covid vaccin ,[],[],['https://t.co/OR1QmkkBS3'],"['🙄', '🤔', '❓', '⏩', '❓']","['pfizer', 'moderna', 'claim', 'their', 'vaccines', 'very', 'safe', 'effective', 'estimated', 'deaths', 'asso', 'w', 'pfizer', 'vaccines', 'in', 'nor', 'spain', 'german', 'pfizer', 'is', 'exempted', 'legal', 'suits', 'by', 'politicians', 'collusion', 'chance', 'of', 'dying', 'covid', 'is', 'in', 'by', 'vaccine']","['pfizer', 'moderna', 'claim', 'vaccine', 'safe', 'effective', 'estimated', 'death', 'asso', 'w', 'pfizer', 'vaccine', 'spain', 'german', 'pfizer', 'exempted', 'legal', 'suit', 'politician', 'collusion', 'chance', 'dying', 'covid', 'vaccine']",0
We recently published the predictors of hospitalization among older adults with COVID-19  https://t.co/GghAqZSs9t #COVID19 #CoronaVirusUpdates #geriatrics,recent publish predictor hospit older adult covid ,"['#COVID19', '#CoronaVirusUpdates', '#geriatrics']",[],['https://t.co/GghAqZSs9t'],[],"['we', 'recently', 'published', 'predictors', 'of', 'hospitalization', 'among', 'older', 'adults', 'with', 'covid']","['recently', 'published', 'predictor', 'hospitalization', 'among', 'older', 'adult', 'covid']",0
@Alhamdhulillaah Them dey do Covid test 150AED private clinics.  But govt own na free. None will stop me.,dey covid test privat clinic govt free stop ,[],['@Alhamdhulillaah'],[],[],"['them', 'dey', 'covid', 'test', 'aed', 'private', 'clinics', 'but', 'govt', 'own', 'na', 'free', 'none', 'will', 'stop', 'me']","['dey', 'covid', 'test', 'aed', 'private', 'clinic', 'govt', 'na', 'free', 'none', 'stop']",0
"@YMasannat @VGDakessian Time will tell! So far, and based on the data from millions of people vaccinated around the world, the potential benefits from vaccination against COVID-19 far outweigh the potential side-effects  https://t.co/S8oth5jEEW  https://t.co/1Gjrx3lSYO",time tell far base data million peopl vaccin world potenti benefit vaccin covid far outweigh potenti sideeffect ,[],"['@YMasannat', '@VGDakessian']","['https://t.co/S8oth5jEEW', 'https://t.co/1Gjrx3lSYO']",[],"['time', 'will', 'tell', 'so', 'far', 'and', 'based', 'on', 'data', 'millions', 'of', 'people', 'vaccinated', 'around', 'world', 'potential', 'benefits', 'vaccination', 'against', 'covid', 'far', 'outweigh', 'potential', 'sideeffects']","['time', 'tell', 'far', 'based', 'data', 'million', 'people', 'vaccinated', 'around', 'world', 'potential', 'benefit', 'vaccination', 'covid', 'far', 'outweigh', 'potential', 'sideeffects']",0
Texas and Mississippi lifts ALL its COVID-19 precautions  https://t.co/ni5ZAhDq0A via @MailOnline,texa mississippi lift covid precaut ,[],['@MailOnline'],['https://t.co/ni5ZAhDq0A'],[],"['texas', 'and', 'mississippi', 'lifts', 'all', 'its', 'covid', 'precautions', 'via']","['texas', 'mississippi', 'lift', 'covid', 'precaution', 'via']",0
CDC Says It's Not Time to Ease Up on Covid Restrictions  https://t.co/sOB844tOFi,cdc time eas covid restrict ,[],[],['https://t.co/sOB844tOFi'],[],"['cdc', 'says', 'its', 'time', 'to', 'ease', 'up', 'on', 'covid', 'restrictions']","['cdc', 'say', 'time', 'ease', 'covid', 'restriction']",0
“The lymph nodes in your armpit area that we see on your mammogram are larger on the side where you had your recent Covid-19 vaccine”... @YMasannat @VGDakessian,lymph node armpit area mammogram larger recent covid vaccin ,[],"['@YMasannat', '@VGDakessian']",[],[],"['“', 'the', 'lymph', 'nodes', 'in', 'your', 'armpit', 'area', 'that', 'we', 'on', 'your', 'mammogram', 'are', 'larger', 'on', 'side', 'where', 'you', 'had', 'your', 'recent', 'covid', 'vaccine', '”']","['“the', 'lymph', 'node', 'armpit', 'area', 'mammogram', 'larger', 'side', 'recent', 'covid', 'vaccine”']",0
Preparing New kinds of Knowledge to be Highlighted in Post-Covid-19 Transitioning to serve people and government around the world as a basic necessary perceptions have to be built before. For easier for running all policies moving forward to SDGs as fast as possible👉,prepar new kind knowledg highlight postcovid transit serv peopl govern world basic necessari percept built easier polici move forward sdg fast possibl ,[],[],[],['👉'],"['preparing', 'new', 'kinds', 'of', 'knowledge', 'to', 'highlighted', 'in', 'postcovid', 'transitioning', 'to', 'serve', 'people', 'and', 'government', 'around', 'world', 'as', 'a', 'basic', 'necessary', 'perceptions', 'have', 'to', 'built', 'before', 'for', 'easier', 'for', 'running', 'all', 'policies', 'moving', 'forward', 'to', 'sdgs', 'as', 'fast', 'as', 'possible']","['preparing', 'new', 'kind', 'knowledge', 'highlighted', 'postcovid', 'transitioning', 'serve', 'people', 'government', 'around', 'world', 'basic', 'necessary', 'perception', 'built', 'easier', 'running', 'policy', 'moving', 'forward', 'sdgs', 'fast', 'possible']",0
@Asad_Umar till date  no update on Ami ‘s Covid vaccine ! The auto response is only stating we will let you know !!! It’s been over 2 weeks ! @fslsltn #COVID19Vaccination all talk no execution !!,till date updat ami covid vaccin auto respons state week talk execut ,['#COVID19Vaccination'],"['@Asad_Umar', '@fslsltn']",[],[],"['till', 'date', 'no', 'update', 'on', 'ami', '‘', 's', 'covid', 'vaccine', 'auto', 'response', 'is', 'only', 'stating', 'we', 'will', 'you', 'it', '’', 's', 'been', 'over', 'weeks', 'all', 'talk', 'no', 'execution']","['till', 'date', 'update', 'ami', '‘s', 'covid', 'vaccine', 'auto', 'response', 'stating', 'it’s', 'week', 'talk', 'execution']",0
