,tweet,clean_tweet,label
0,"Germany's Covid response ""was the envy of the world"" - your daily reminder that the world just means ""white people"".  https://t.co/dxbkOVjBCZ  via @GoogleNews",germani covid respons envi world daili remind world mean white peopl ,0
1,"Pfizer &amp; Moderna claim their vaccines very safe &amp; effective Estimated &gt; 1000 deaths asso w Pfizer vaccines in Nor Spain German etc Pfizer is exempted from legal suits by politicians 🙄🤔Collusion❓ Chance of dying from Covid is 5 in 10,000 ⏩3 by vaccine❓  https://t.co/OR1QmkkBS3",pfizer moderna claim vaccin safe effect estim death asso pfizer vaccin spain german pfizer exempt legal suit politician collus chanc die covid vaccin ,0
2,We recently published the predictors of hospitalization among older adults with COVID-19  https://t.co/GghAqZSs9t #COVID19 #CoronaVirusUpdates #geriatrics,recent publish predictor hospit older adult covid ,0
3,@Alhamdhulillaah Them dey do Covid test 150AED private clinics.  But govt own na free. None will stop me.,dey covid test privat clinic govt free stop ,0
4,"@YMasannat @VGDakessian Time will tell! So far, and based on the data from millions of people vaccinated around the world, the potential benefits from vaccination against COVID-19 far outweigh the potential side-effects  https://t.co/S8oth5jEEW  https://t.co/1Gjrx3lSYO",time tell far base data million peopl vaccin world potenti benefit vaccin covid far outweigh potenti sideeffect ,0
5,Texas and Mississippi lifts ALL its COVID-19 precautions  https://t.co/ni5ZAhDq0A via @MailOnline,texa mississippi lift covid precaut ,0
6,CDC Says It's Not Time to Ease Up on Covid Restrictions  https://t.co/sOB844tOFi,cdc time eas covid restrict ,0
7,“The lymph nodes in your armpit area that we see on your mammogram are larger on the side where you had your recent Covid-19 vaccine”... @YMasannat @VGDakessian,lymph node armpit area mammogram larger recent covid vaccin ,0
8,Preparing New kinds of Knowledge to be Highlighted in Post-Covid-19 Transitioning to serve people and government around the world as a basic necessary perceptions have to be built before. For easier for running all policies moving forward to SDGs as fast as possible👉,prepar new kind knowledg highlight postcovid transit serv peopl govern world basic necessari percept built easier polici move forward sdg fast possibl ,0
9,@Asad_Umar till date  no update on Ami ‘s Covid vaccine ! The auto response is only stating we will let you know !!! It’s been over 2 weeks ! @fslsltn #COVID19Vaccination all talk no execution !!,till date updat ami covid vaccin auto respons state week talk execut ,0
10,Philippines is waiting for the next batch of #donated Covid vaccines 💉 #gustokongmaluha 😭,philippin wait batch covid vaccin ,0
11,After a very long couple of weeks our grandmother is now home from Hulhumale’ Covid Facility.  Thank you to everyone who helped to take care of her &amp; my mother there.,long coupl week grandmoth home hulhumal covid facil help care mother ,0
12,Excellent service by the BKC Covid hospital thank you 🙏🏻,excel servic bkc covid hospit ,0
13,@ShashiTharoor Mr. Tharoor I am quite Apolitical but seeing a post like this from someone like you? Past 6 Q are almost all Covid impacted!,tharoor apolit post like like past covid impact ,0
14,"In this Covid era, I guess I’m gonna need one. Dildo ain’t doing shit to me",covid era guess gon dildo aint shit ,0
15,"The Covid Vaccination Drive in Mumbai has degenerated into total chaos.  All 3 Govts- Centre,State and BMC need to get their act together  #CoWIN 4/4",covid vaccin drive mumbai degener total chao govt centrest bmc act ,0
16,"@7HillsHospital Had an excellent experience today afternoon of walk-in free covid vaccination at 7 Hills Hospital, Marol, Mumbai. Outstanding staff coordination, extremely polite &amp; helpful, well organised movement of Q's and comfortable arrangements for all.",excel experi today afternoon walkin free covid vaccin hill hospit marol mumbai outstand staff coordin extrem polit help organis movement comfort arrang ,0
17,"Stop pretending this is about encouraging sport post COVID, everyone. Although the five nations would make excellent hosts, this is about potential income, brash statements and preventing the break-up of the UK.  https://t.co/yn6QfOIQHD #WorldCup2030 #WorldCup",stop pretend encourag sport post covid nation excel host potenti incom brash statement prevent breakup ,0
18,President of Ukraine Volodymyr Zelensky @ZelenskyyUa was vaccinated today using Made-In-India Oxford/AstraZeneca (Covishield) covid vaccine.  https://t.co/KfqchHXnj3,presid ukrain volodymyr zelenski vaccin today madeinindia oxfordastrazeneca covishield covid vaccin ,0
