,words,scores
0,covid,1346
1,vaccin,541
2,corona,417
3,peopl,326
4,india,302
5,case,281
6,curfew,271
7,hospit,224
8,day,219
9,help,212
10,patient,196
11,night,196
12,remdesivir,170
13,time,160
14,sir,158
15,test,151
16,viru,147
17,state,137
18,posit,136
19,govern,136
20,new,124
21,dont,122
22,mask,119
23,wave,103
24,govt,103
25,bed,102
26,situat,102
27,oxygen,102
28,life,101
29,health,96
30,elect,93
31,like,89
32,today,89
33,death,88
34,spread,87
35,april,87
36,coronaviru,87
37,lockdown,86
38,report,86
39,follow,86
40,fight,86
41,second,84
42,number,83
43,pandem,82
44,countri,82
45,inject,82
46,year,81
47,delhi,81
48,infect,78
49,work,78
50,die,76
51,safe,74
52,request,73
53,home,73
54,stay,71
55,avail,70
56,free,70
57,increas,70
58,urgent,69
59,wear,69
60,exam,67
61,ralli,65
62,student,64
63,save,64
64,world,63
65,repli,61
66,care,60
67,public,60
68,requir,60
69,social,57
70,control,57
71,contact,57
72,give,55
73,modi,54
74,till,54
75,indian,54
76,mumbai,53
77,bengal,53
78,hour,52
79,close,50
80,distanc,50
81,import,50
82,friend,50
83,person,49
84,daili,49
85,impos,49
86,minist,48
87,stop,48
88,famili,47
89,month,47
90,human,47
91,doctor,46
92,rise,45
93,total,45
94,high,45
95,start,44
96,pray,44
97,dose,44
98,news,44
99,school,43
100,respons,43
101,ask,43
102,travel,43
103,district,43
104,centr,43
105,thing,42
106,cancel,42
107,rule,41
108,updat,41
109,societi,41
110,record,41
111,open,40
112,soon,40
113,center,40
114,maharashtra,40
115,age,40
116,medic,39
117,god,39
118,citizen,39
119,lakh,39
120,polit,39
121,west,39
122,lead,38
123,effect,38
124,nation,38
125,provid,38
126,polic,38
127,recoveri,37
128,busi,37
129,restrict,37
130,way,36
131,allow,36
132,support,36
133,citi,36
134,shortag,36
135,admit,35
136,allah,35
137,current,35
138,wait,35
139,parti,35
140,affect,35
141,live,35
142,suppli,35
143,video,35
144,love,34
145,poor,34
146,happen,34
147,market,34
148,issu,33
149,protocol,33
150,feel,33
151,possibl,33
152,ward,33
153,board,33
154,icu,33
155,meet,33
156,cant,32
157,servic,32
158,point,32
159,emerg,32
160,dear,32
161,order,31
162,recov,31
163,prevent,31
164,plz,31
165,post,30
166,hai,30
167,hope,30
168,place,30
169,that,30
170,continu,30
171,suffer,30
172,man,30
173,class,29
174,turn,29
175,medium,29
176,surg,29
177,look,29
178,check,29
179,face,29
180,guidelin,29
181,decis,29
182,bjp,29
183,find,29
184,gather,28
185,break,28
186,road,28
187,creat,27
188,complet,27
189,campaign,27
190,activ,27
191,treatment,27
192,week,27
193,prayer,27
194,rate,27
195,problem,27
196,big,27
197,near,27
198,onlin,26
199,danger,26
200,kindli,26
201,plasma,26
202,highest,26
203,address,26
204,shri,26
205,kolkata,26
206,action,25
207,crisi,25
208,money,25
209,app,25
210,risk,24
