,words,scores
0,covid,820
1,vaccin,418
2,corona,319
3,peopl,227
4,coronaviru,207
5,curfew,185
6,india,174
7,case,169
8,death,130
9,day,126
10,new,122
11,viru,120
12,time,114
13,today,105
14,report,91
15,help,83
16,pandem,78
17,state,70
18,sir,70
19,posit,69
20,test,69
21,like,66
22,wave,65
23,year,64
24,govern,62
25,open,62
26,august,61
27,marriag,56
28,govt,55
29,world,54
30,health,52
31,fight,52
32,countri,52
33,mask,50
34,night,49
35,infect,49
36,lockdown,49
37,dont,48
38,follow,48
39,spread,47
40,dose,46
41,total,45
42,life,43
43,work,43
44,home,43
45,allow,43
46,far,42
47,till,41
48,hospit,40
49,situat,40
50,kerala,40
51,give,39
52,travel,38
53,minist,38
54,famili,37
55,safe,37
56,care,36
57,district,36
58,old,36
59,die,35
60,number,35
61,complet,34
62,indian,34
63,medium,34
64,impos,34
65,start,33
66,stop,33
67,china,33
68,crore,33
69,stay,33
70,news,33
71,allah,32
72,student,32
73,armi,32
74,month,31
75,public,31
76,protect,31
77,citi,31
78,activ,31
79,patient,31
80,school,31
81,continu,29
82,lose,29
83,daili,29
84,citizen,28
85,nation,28
86,respons,28
87,better,28
88,variant,28
89,cant,28
90,free,28
91,youth,28
92,support,27
93,hour,27
94,nasser,27
95,relat,26
96,protocol,26
97,place,26
98,issu,26
99,child,26
100,mohammad,26
101,imam,26
102,quarantin,25
103,job,25
104,releas,25
105,social,25
106,save,25
107,hous,25
108,educ,25
109,restrict,25
110,alyemeni,25
111,increas,24
112,happen,24
113,extend,24
114,happi,24
115,recov,24
116,organis,24
117,second,24
118,age,24
119,chastis,24
120,weekend,24
121,hope,23
122,distanc,23
123,million,23
124,week,23
125,person,23
126,servic,23
127,end,23
128,meet,22
129,father,22
130,pakistan,22
131,woman,22
132,sop,22
133,rule,22
134,sri,22
135,control,22
136,request,21
137,soon,21
138,wear,21
139,count,21
140,receiv,21
141,train,21
142,look,21
143,updat,21
144,affect,21
145,close,21
146,lanka,21
147,thing,21
148,small,21
149,mumbai,21
150,drive,20
151,find,20
152,class,20
153,novel,20
154,polic,20
155,busi,20
156,prevent,19
157,pay,19
158,doctor,19
159,wait,19
160,divis,19
161,risk,19
162,safeti,19
163,administ,19
164,delta,19
165,god,19
166,rise,19
167,movement,19
168,low,19
169,oxygen,18
170,sindh,18
171,aug,18
172,face,18
173,poor,18
174,effect,18
175,respect,18
176,team,18
177,food,18
178,group,18
179,modi,18
180,guidelin,18
181,way,18
182,friend,18
183,join,18
184,announc,18
185,center,18
186,turn,18
187,market,18
188,awar,18
189,long,17
190,flight,17
191,manag,17
192,possibl,17
193,rate,17
194,human,17
195,local,17
196,fulli,17
197,onlin,17
198,decis,17
199,delhi,17
200,live,17
201,chines,17
202,warrior,17
203,tomorrow,17
204,forc,17
205,post,17
206,recoveri,16
207,fake,16
208,medic,16
209,maharashtra,16
210,bodi,16
211,taliban,16
212,doesnt,16
213,certif,16
214,record,16
215,relax,16
216,approv,16
217,real,16
218,shop,16
219,cost,16
220,polit,15
221,avail,15
222,plan,15
223,ask,15
224,hand,15
225,best,15
226,global,15
227,oper,15
228,contribut,15
229,confirm,15
230,impact,15
231,final,15
232,entir,15
233,dear,15
234,problem,15
235,understand,15
236,process,15
237,major,15
238,emerg,15
239,offic,15
240,demand,15
241,street,15
242,crisi,15
243,septemb,15
244,treatment,14
245,ambul,14
246,physic,14
247,away,14
248,wish,14
249,karnataka,14
250,kashmir,14
251,despit,14
252,call,14
253,import,14
254,figur,14
255,exam,14
256,studi,14
257,volunt,14
258,effort,14
259,cross,14
260,shri,14
261,celebr,14
262,date,14
263,remain,14
264,period,14
265,book,14
266,war,14
267,budget,14
268,scam,13
269,relief,13
270,gather,13
271,love,13
272,administr,13
273,central,13
274,jab,13
275,monday,13
276,begin,13
277,action,13
278,high,13
279,defeat,13
280,reduc,13
281,kind,13
282,diseas,13
283,inform,13
284,staff,13
285,shot,13
286,immun,13
287,kill,13
288,thailand,13
289,afghanistan,13
290,independ,13
291,mall,13
292,condit,13
293,highest,13
294,bank,13
295,suffer,13
296,watch,13
297,chang,13
298,order,13
299,commun,13
300,minor,13
301,fund,12
302,form,12
303,precaut,12
304,consid,12
305,didnt,12
306,compar,12
307,author,12
308,result,12
309,step,12
310,protest,12
311,economi,12
312,feel,12
313,west,12
314,declin,12
315,man,12
316,institut,12
317,guy,12
318,movi,12
319,data,12
320,develop,12
321,enter,12
322,money,12
323,big,12
324,that,12
325,pray,12
326,huge,12
327,video,12
328,gener,12
329,cover,12
330,elect,12
331,rajab,12
332,unit,12
333,remdesivir,11
334,list,11
335,leader,11
336,fill,11
337,clear,11
338,believ,11
339,avoid,11
340,crowd,11
341,prayer,11
342,worker,11
343,ive,11
344,danger,11
345,caus,11
346,area,11
347,jammu,11
348,mileston,11
349,serv,11
350,scientist,11
351,malaysia,11
352,bad,11
353,compani,11
354,system,11
355,singl,11
356,visit,11
357,worri,11
358,intern,11
359,offici,11
360,airport,11
361,price,11
362,tell,11
363,normal,11
364,north,11
365,view,11
366,set,11
367,kid,11
368,park,11
369,pick,11
370,measur,11
371,command,11
372,lover,11
373,plz,10
374,prepar,10
375,thought,10
376,question,10
377,air,10
378,level,10
379,bring,10
380,bulletin,10
381,fatal,10
382,check,10
383,tweet,10
384,great,10
385,achiev,10
386,april,10
387,lead,10
388,focu,10
389,prime,10
390,schedul,10
391,econom,10
392,pradesh,10
393,true,10
394,stand,10
395,wise,10
396,distribut,10
397,pax,10
398,reason,10
399,road,10
400,repli,10
401,joke,10
402,there,10
403,appreci,10
404,visa,10
405,donat,10
406,provid,10
407,pakistani,10
408,surg,10
409,sure,10
410,creat,10
411,sleep,10
412,dubai,10
413,icu,9
414,kindli,9
415,rememb,9
416,reach,9
417,lakh,9
418,app,9
419,current,9
420,freedom,9
421,strong,9
422,honour,9
423,bless,9
424,conduct,9
425,initi,9
426,statu,9
427,here,9
428,special,9
429,wonder,9
430,fact,9
431,break,9
432,friday,9
433,booster,9
434,accord,9
435,one,9
436,non,9
437,toll,9
438,blame,9
439,warn,9
440,ward,9
441,talk,9
442,hai,9
443,lord,9
444,morn,9
445,assam,9
