,words,scores
0,covid,868
1,vaccin,515
2,corona,464
3,case,257
4,peopl,232
5,coronaviru,229
6,viru,158
7,curfew,152
8,death,146
9,day,132
10,india,130
11,time,124
12,new,122
13,test,118
14,today,112
15,sir,101
16,help,95
17,juli,94
18,posit,93
19,report,89
20,pandem,89
21,like,86
22,state,83
23,govern,82
24,health,81
25,infect,79
26,life,76
27,dose,75
28,wave,74
29,total,72
30,govt,72
31,home,72
32,work,71
33,hospit,69
34,year,67
35,mask,66
36,updat,64
37,variant,60
38,countri,60
39,spread,59
40,world,56
41,follow,53
42,second,53
43,open,53
44,marriag,52
45,fight,52
46,famili,52
47,district,51
48,start,49
49,free,48
50,safe,48
51,situat,48
52,lockdown,46
53,delta,45
54,dont,44
55,school,43
56,far,42
57,way,42
58,month,42
59,die,41
60,patient,41
61,close,40
62,daili,40
63,best,40
64,support,39
65,avail,39
66,rate,38
67,number,38
68,live,38
69,increas,37
70,wear,37
71,effect,37
72,rise,36
73,doctor,36
74,china,35
75,give,35
76,recov,35
77,hope,34
78,oxygen,34
79,lose,34
80,save,34
81,travel,34
82,stay,34
83,public,34
84,till,34
85,stop,33
86,indian,33
87,news,32
88,minist,32
89,protect,32
90,student,32
91,servic,31
92,control,31
93,night,31
94,medic,31
95,allow,30
96,group,30
97,hour,30
98,record,30
99,high,29
100,social,29
101,visit,29
102,job,29
103,request,29
104,medium,29
105,nation,28
106,care,28
107,provid,28
108,extend,28
109,repli,28
110,continu,27
111,protocol,27
112,look,26
113,feel,26
114,ask,26
115,polic,26
116,kerala,26
117,war,26
118,exam,26
119,area,26
120,find,25
121,end,25
122,post,25
123,requir,25
124,count,25
125,citi,25
126,center,25
127,cant,25
128,fulli,25
129,money,25
130,hand,25
131,novel,25
132,result,24
133,diseas,24
134,small,24
135,activ,24
136,place,24
137,soon,24
138,million,24
139,respons,24
140,citizen,23
141,god,23
142,relat,23
143,child,23
144,person,23
145,week,23
146,offic,23
147,market,23
148,friend,23
149,cost,23
150,restrict,23
151,shri,23
152,remain,23
153,suppli,22
154,prevent,22
155,shop,22
156,thing,22
157,includ,22
158,wish,22
159,local,22
160,age,22
161,date,22
162,bail,22
163,delhi,21
164,global,21
165,low,21
166,weekend,21
167,sop,21
168,modi,21
169,offici,21
170,order,21
171,special,21
172,releas,21
173,better,20
174,great,20
175,plan,20
176,rule,20
177,import,20
178,happi,20
179,surg,20
180,face,20
181,issu,20
182,old,20
183,awar,20
184,studi,19
185,that,19
186,app,19
187,sever,19
188,sri,19
189,watch,19
190,distanc,19
191,complet,19
192,happen,19
193,pay,19
194,impos,19
195,sant,19
196,respect,18
197,food,18
198,lanka,18
199,team,18
200,sure,18
201,hous,18
202,love,18
203,risk,18
204,problem,18
205,read,18
206,caus,18
207,long,18
208,play,18
209,contribut,18
210,danger,18
211,crore,18
212,plz,18
213,possibl,18
214,woman,18
215,futur,18
216,lift,18
217,assam,18
218,bapu,18
219,elect,18
220,flight,17
221,pcr,17
222,confirm,17
223,polit,17
224,system,17
225,bjp,17
226,suffer,17
227,kill,17
228,measur,17
229,treatment,17
230,away,17
231,tell,17
232,onlin,17
233,miss,17
234,inform,17
235,affect,17
236,privat,17
237,avoid,17
238,asharamji,17
239,guidelin,16
240,believ,16
241,lead,16
242,thailand,16
243,parti,16
244,concern,16
245,man,16
246,emerg,16
247,figur,16
248,bangladesh,16
249,educ,16
250,power,16
251,immun,16
252,ppl,16
253,centr,16
254,hai,16
255,receiv,16
256,law,16
257,paid,16
258,gather,16
259,big,16
260,june,16
261,deadli,16
262,jul,16
263,pain,15
264,author,15
265,share,15
266,price,15
267,justic,15
268,left,15
269,safeti,15
270,eid,15
271,wait,15
272,dead,15
273,found,15
274,check,15
275,break,15
276,chang,15
277,facil,15
278,warrior,15
279,kolkata,15
280,certif,15
281,limit,15
282,research,15
283,data,15
284,budget,15
285,crowd,15
286,human,15
287,detail,15
288,popul,15
289,growth,15
290,parent,14
291,reach,14
292,gener,14
293,intern,14
294,busi,14
295,show,14
296,jab,14
297,train,14
298,disast,14
299,isol,14
300,latest,14
301,join,14
302,shot,14
303,poor,14
304,employe,14
305,friday,14
306,creat,14
307,here,14
308,organis,14
309,event,14
310,chines,14
311,maharashtra,14
312,act,14
313,worker,14
314,neg,14
315,reason,14
316,covishield,14
317,begin,14
318,covaxin,14
319,stat,14
320,class,14
321,game,14
322,presid,14
323,relax,14
324,fear,13
325,symptom,13
326,set,13
327,hard,13
328,crisi,13
329,quarantin,13
330,hold,13
331,book,13
332,period,13
333,manag,13
334,outbreak,13
335,recoveri,13
336,doubl,13
337,nurs,13
338,distribut,13
339,mother,13
340,process,13
341,yesterday,13
342,enjoy,13
343,slot,13
344,campaign,13
345,ill,13
346,resid,13
347,question,13
348,pakistan,13
349,develop,13
350,stori,13
351,road,13
352,innoc,13
353,differ,12
354,hit,12
355,understand,12
356,guy,12
357,view,12
358,final,12
359,mandatori,12
360,board,12
361,bad,12
362,bodi,12
363,normal,12
364,highest,12
365,celebr,12
366,demand,12
367,present,12
368,contact,12
369,recent,12
370,congratul,12
371,discharg,12
372,program,12
373,video,12
374,lie,12
375,ensur,12
376,schedul,12
377,announc,12
378,august,12
379,bulletin,12
380,mean,12
381,cancel,12
382,bapuji,12
383,airport,11
384,deni,11
385,natur,11
386,link,11
387,pfizer,11
388,call,11
389,bar,11
390,wife,11
391,passeng,11
392,handl,11
393,staff,11
394,bank,11
395,thought,11
396,condit,11
397,charg,11
398,singl,11
399,recommend,11
400,booster,11
401,colleg,11
402,ive,11
403,member,11
404,fail,11
405,dear,11
406,fast,11
407,difficult,11
408,singapor,11
409,worri,11
410,appreci,11
411,institut,11
412,initi,11
413,impact,11
414,award,11
415,current,11
416,collect,11
417,loss,11
418,spoke,11
419,origin,11
420,past,11
421,sell,11
422,phase,11
423,curb,11
424,fee,11
425,crimin,11
426,drink,11
427,metro,11
428,jammu,11
429,divis,11
430,brother,10
431,rest,10
432,amid,10
433,fund,10
434,malaysia,10
435,economi,10
436,action,10
437,union,10
438,refus,10
439,medicin,10
440,bring,10
441,benefit,10
442,pass,10
443,physic,10
444,walk,10
445,kind,10
446,west,10
447,bengal,10
448,precaut,10
449,despit,10
450,movi,10
451,forc,10
452,effort,10
453,larg,10
454,lock,10
455,step,10
456,late,10
457,messag,10
458,send,10
459,fresh,10
460,aunt,10
461,readi,10
462,reduc,10
463,rais,10
464,kid,10
465,thane,10
466,near,10
467,strict,10
468,contain,10
469,maintain,10
470,held,10
471,remdesivir,10
472,youth,10
473,name,10
474,achiev,10
475,declar,10
476,explain,10
477,troubl,10
478,shall,10
479,inf,10
480,actv,10
481,unvaccin,10
482,aug,10
483,accord,10
484,mumbai,10
485,critic,9
486,mutat,9
487,attend,9
488,prepar,9
489,namo,9
490,battl,9
491,healthcar,9
492,doesnt,9
493,huge,9
494,tourist,9
495,restaur,9
496,opportun,9
497,worst,9
498,room,9
499,clean,9
500,one,9
501,pray,9
502,point,9
503,march,9
504,norm,9
505,violat,9
506,water,9
507,border,9
508,rapid,9
509,forward,9
510,outsid,9
511,treat,9
512,approv,9
513,pictur,9
514,list,9
515,liter,9
516,talk,9
517,leadership,9
518,flu,9
519,tomorrow,9
520,promot,9
521,investig,9
522,chennai,9
523,virtual,9
524,wonder,9
525,hotel,9
526,didnt,9
527,sunday,9
528,surviv,9
529,polici,9
530,turn,9
531,decid,9
532,earli,9
533,sarscov,9
534,zero,9
535,lakh,9
536,industri,9
537,father,9
538,kashmir,9
539,administr,9
540,meet,8
541,indoor,8
542,info,8
543,expert,8
544,visa,8
545,prime,8
546,seri,8
547,your,8
548,consid,8
549,especi,8
550,husband,8
551,compani,8
552,protest,8
553,sit,8
554,note,8
555,ward,8
556,told,8
557,buy,8
558,lab,8
559,ministri,8
560,cluster,8
561,jai,8
562,fatal,8
563,damag,8
564,decis,8
565,eat,8
566,deserv,8
567,karachi,8
568,absolut,8
569,tough,8
570,rtpcr,8
571,farmer,8
572,capac,8
573,univers,8
574,morn,8
575,real,8
576,defeat,8
577,politician,8
578,ago,8
579,strong,8
580,main,8
581,expect,8
582,discuss,8
583,level,8
584,dip,8
585,singh,8
586,keep,8
587,isnt,8
588,victim,8
589,sourc,8
590,silent,8
591,sindh,8
592,movement,8
593,volunt,8
594,leader,8
595,corpor,8
596,telangana,8
597,perform,8
598,tourism,8
599,technolog,8
600,base,8
601,direct,8
602,success,8
603,add,8
604,scientist,8
605,salut,8
606,kumar,8
607,decreas,8
608,forget,8
609,antibodi,8
610,product,8
611,regard,8
612,administ,8
613,experi,8
614,bhi,8
615,organ,8
616,climat,8
617,intensifi,8
618,imam,8
619,mahdi,8
620,nasser,8
621,mohammad,8
622,alyemeni,8
623,ramadan,8
624,blame,8
625,applic,8
626,japan,8
627,regul,8
628,provinc,8
629,allah,7
630,black,7
631,immedi,7
632,type,7
633,exist,7
634,notic,7
635,listen,7
636,what,7
637,relief,7
638,billion,7
639,welcom,7
640,suggest,7
641,entir,7
642,advis,7
643,appli,7
644,heart,7
645,role,7
646,off,7
647,kindli,7
648,matter,7
649,seat,7
650,websit,7
651,hind,7
652,essenti,7
653,ash,7
654,sharqiyah,7
655,wit,7
656,grow,7
657,street,7
658,nahi,7
659,stupid,7
660,rememb,7
661,damn,7
662,saw,7
663,fianc,7
664,actual,7
665,birthday,7
666,pvt,7
667,odisha,7
668,higher,7
669,insid,7
670,sad,7
671,constitu,7
672,clinic,7
673,abl,7
674,mom,7
675,journalist,7
676,instead,7
677,common,7
678,individu,7
679,myanmar,7
680,frm,7
681,shame,7
682,hundr,7
683,blood,7
684,accept,7
685,dist,7
686,plu,7
687,contract,7
688,term,7
689,click,7
690,guwahati,7
691,station,7
692,transmiss,7
693,prison,7
694,payment,7
695,foreign,7
696,petrol,7
697,complaint,7
698,fourth,7
699,children,7
700,player,7
701,warn,7
702,channel,7
703,super,7
704,basi,7
705,commun,7
706,fine,7
707,regist,7
708,grant,7
709,anim,7
710,appoint,7
711,interest,7
712,drive,7
713,tax,7
714,saturday,7
715,simpl,7
716,wast,7
717,sister,7
718,festiv,7
719,counti,7
720,averag,7
721,indonesia,6
722,fli,6
723,era,6
724,israel,6
725,produc,6
726,sector,6
727,publish,6
728,monitor,6
729,head,6
730,statu,6
731,proper,6
732,tak,6
733,commit,6
734,arriv,6
735,dad,6
736,basic,6
737,lower,6
738,review,6
739,kumbh,6
740,mental,6
741,associ,6
742,minut,6
743,town,6
744,toll,6
745,batch,6
746,fan,6
747,push,6
748,needi,6
749,havent,6
750,lord,6
751,guid,6
752,ruin,6
753,pack,6
754,complic,6
755,greater,6
756,similar,6
757,advantag,6
758,bless,6
759,purpos,6
760,wors,6
761,villag,6
762,word,6
763,account,6
764,card,6
765,statement,6
766,offer,6
767,probabl,6
768,earth,6
769,transmit,6
770,stage,6
771,biden,6
772,model,6
773,focu,6
774,oper,6
775,track,6
776,dpiaf,6
777,yodha,6
778,partner,6
779,usa,6
780,deal,6
781,red,6
782,air,6
783,prioriti,6
784,cooper,6
785,pegasu,6
786,thackeray,6
787,karnataka,6
788,eas,6
789,speak,6
790,admit,6
791,idea,6
792,there,6
793,trace,6
794,joke,6
795,revis,6
796,bed,6
797,write,6
798,implement,6
799,opposit,6
800,half,6
801,serv,6
802,environ,6
803,build,6
804,mall,6
805,internet,6
806,wont,6
807,gon,6
808,grip,6
809,epidem,6
810,enter,6
811,dubai,6
812,beat,6
813,chief,6
814,inject,6
815,mla,6
816,cow,6
817,middl,6
818,mind,6
819,pishab,6
820,court,6
821,prove,6
822,move,6
823,fuel,6
824,hindu,6
825,wake,6
826,mismanag,6
827,cut,6
828,vote,6
829,bangkok,6
830,for,6
831,mass,6
832,camp,6
833,drug,6
834,postpon,6
835,ralli,6
836,avg,6
837,traffic,6
838,theatr,6
839,nmmc,6
840,admiss,5
841,highlight,5
842,greatest,5
843,heard,5
844,strongli,5
845,tweet,5
846,railway,5
847,speed,5
848,england,5
849,nearli,5
850,certain,5
851,trade,5
852,director,5
853,articl,5
854,proud,5
855,couldnt,5
856,major,5
857,entri,5
858,selangor,5
859,financi,5
860,mrna,5
