,words,scores
0,covid,1296
1,vaccin,762
2,case,511
3,corona,388
4,peopl,210
5,india,198
6,death,197
7,new,183
8,total,174
9,coronaviru,171
10,recoveri,167
11,posit,165
12,time,162
13,viru,158
14,report,149
15,test,143
16,curfew,136
17,day,131
18,state,130
19,year,126
20,mask,119
21,today,111
22,world,109
23,pandem,106
24,rise,105
25,activ,102
26,countri,98
27,march,89
28,news,89
29,govt,84
30,health,84
31,like,83
32,hospit,82
33,govern,81
34,dont,79
35,night,77
36,student,76
37,toll,76
38,hour,71
39,follow,69
40,wear,68
41,dose,67
42,help,66
43,sir,66
44,social,66
45,lockdown,66
46,increas,63
47,free,59
48,number,57
49,start,56
50,spread,54
51,life,54
52,safe,53
53,woman,52
54,stop,51
55,minist,51
56,elect,51
57,situat,51
58,home,50
59,infect,50
60,district,50
61,fresh,50
62,patient,49
63,distanc,49
64,work,48
65,recov,48
66,stay,48
67,indian,48
68,nation,47
69,receiv,47
70,hand,46
71,public,46
72,maharashtra,45
73,fight,45
74,speedi,45
75,effect,43
76,updat,43
77,request,43
78,issu,43
79,week,42
80,care,42
81,give,42
82,month,42
83,wave,42
84,wish,42
85,modi,42
86,mumbai,41
87,person,41
88,global,41
89,allah,41
90,citi,40
91,allow,40
92,citizen,40
93,fatal,39
94,remain,39
95,till,38
96,best,38
97,second,38
98,million,37
99,delhi,37
100,travel,37
101,look,37
102,better,37
103,daili,36
104,school,36
105,avail,36
106,save,36
107,thing,35
108,worker,35
109,place,35
110,lakh,35
111,soon,35
112,control,35
113,polit,34
114,centr,34
115,visit,34
116,hope,34
117,doctor,34
118,restrict,33
119,great,33
120,pakistan,33
121,pay,33
122,app,33
123,record,33
124,support,33
125,servic,32
126,post,31
127,rule,31
128,diseas,31
129,show,31
130,way,31
131,famili,31
132,close,31
133,institut,31
134,long,30
135,prevent,30
136,dear,30
137,continu,30
138,colleg,30
139,highest,30
140,found,30
141,call,30
142,die,29
143,ask,29
144,protocol,29
145,feel,29
146,rate,29
147,team,29
148,suffer,29
149,prime,29
150,educ,28
151,chang,28
152,celebr,28
153,complet,28
154,discharg,28
155,yesterday,28
156,variant,28
157,crowd,28
158,impos,28
159,cultur,28
160,fake,27
161,cant,27
162,talli,27
163,face,27
164,respons,26
165,far,26
166,administr,26
167,safeti,26
168,appreci,26
169,jab,26
170,happi,26
171,polic,26
172,plan,26
173,busi,26
174,step,26
175,tell,25
176,precaut,25
177,surg,25
178,open,25
179,stand,25
180,that,25
181,shot,25
182,provid,24
183,prayer,24
184,build,24
185,risk,24
186,center,24
187,sop,24
188,mean,23
189,recent,23
190,staff,23
191,futur,23
192,train,23
193,astrazeneca,23
194,exam,23
195,area,22
196,happen,22
197,break,22
198,crisi,22
199,import,22
200,inform,22
201,protect,22
202,return,22
203,statu,22
204,gather,22
205,market,22
206,offic,22
207,love,22
208,forc,22
209,order,22
210,measur,22
211,khan,22
212,china,22
213,possibl,21
214,learn,21
215,leader,21
216,age,21
217,food,21
218,singl,21
219,ministri,21
220,problem,21
221,limit,21
222,defeat,21
223,regist,21
224,real,21
225,teach,21
226,studi,21
227,immun,21
228,hous,21
229,pray,21
230,grant,21
231,polici,20
232,wait,20
233,share,20
234,intern,20
235,entir,20
236,detail,20
237,includ,20
238,human,20
239,avoid,20
240,caus,20
241,announc,20
242,data,19
243,facil,19
244,impact,19
245,certif,19
246,april,19
247,campaign,19
248,old,19
249,plz,19
250,marriag,19
251,power,19
252,elig,19
253,alarm,19
254,sure,19
255,ralli,19
256,sanit,19
257,punjab,19
258,trial,19
259,phase,19
260,secur,19
261,neg,19
262,author,19
263,namo,19
264,privat,18
265,knowledg,18
266,drive,18
267,experi,18
268,list,18
269,guidelin,18
270,equal,18
271,push,18
272,high,18
273,postpon,18
274,child,18
275,process,18
276,scientist,18
277,book,18
278,commun,18
279,concern,18
280,emerg,18
281,rtpcr,18
282,actual,18
283,amid,18
284,crore,18
285,administ,18
286,shut,18
287,thousand,18
288,past,17
289,covishield,17
290,job,17
291,shri,17
292,result,17
293,ticket,17
294,abl,17
295,play,17
296,affect,17
297,fee,17
298,wonder,17
299,poor,17
300,hai,17
301,spike,17
302,holi,17
303,research,17
304,road,17
305,fear,17
306,proud,17
307,view,17
308,medium,17
309,econom,17
310,anniversari,17
311,understand,17
312,sai,17
313,pradesh,17
314,requir,17
315,bless,17
316,live,17
317,sampl,17
318,board,17
319,rat,17
320,prepar,16
321,bmc,16
322,send,16
323,achiev,16
324,delay,16
325,wit,16
326,local,16
327,price,16
328,pune,16
329,reach,16
330,higher,16
331,special,16
332,late,16
333,cancel,16
334,set,16
335,current,16
336,univers,16
337,rememb,16
338,warn,16
339,medic,16
340,economi,16
341,develop,16
342,money,16
343,brazil,16
344,onlin,16
345,link,16
346,natur,16
347,politician,15
348,quarantin,15
349,focu,15
350,cross,15
351,resid,15
352,suppli,15
353,system,15
354,action,15
355,lead,15
356,urg,15
357,outbreak,15
358,honour,15
359,fund,15
360,small,15
361,didnt,15
362,kindli,15
363,speed,15
364,creat,15
365,conduct,15
366,street,15
367,frequent,15
368,kill,15
369,imran,15
370,awar,15
371,danger,15
372,instead,15
373,benefit,14
374,organis,14
375,presid,14
376,reopen,14
377,group,14
378,air,14
379,west,14
380,manag,14
381,point,14
382,karnataka,14
383,depart,14
384,decis,14
385,unit,14
386,game,14
387,lose,14
388,meet,14
389,custom,14
390,medicin,14
391,chines,14
392,law,14
393,begin,14
394,bodi,14
395,common,14
396,door,14
397,bengal,14
398,bow,14
399,potenti,13
400,highlight,13
401,talk,13
402,act,13
403,check,13
404,believ,13
405,psl,13
406,divis,13
407,ensur,13
408,miss,13
409,god,13
410,ventil,13
411,period,13
412,seat,13
413,join,13
414,respect,13
415,maintain,13
416,leadership,13
417,major,13
418,financ,13
419,biden,13
420,pakistani,13
421,detect,13
422,violat,13
423,uniti,13
424,friend,13
425,repli,13
426,sign,13
427,meat,13
428,noneat,13
429,fold,13
430,shake,13
431,pfizer,12
432,claim,12
433,basic,12
434,excel,12
435,extrem,12
436,encourag,12
437,contact,12
438,one,12
439,photo,12
440,event,12
441,note,12
442,industri,12
443,larg,12
444,away,12
445,end,12
446,leav,12
447,moment,12
448,rest,12
449,manufactur,12
450,hit,12
451,bill,12
452,atleast,12
453,reason,12
454,relat,12
455,told,12
456,beach,12
457,strength,12
458,bbc,12
459,isnt,12
460,section,12
461,condit,12
462,rollout,12
463,janta,12
464,chanc,11
465,date,11
466,statement,11
467,congratul,11
468,direct,11
469,deserv,11
470,flight,11
471,sale,11
472,despit,11
473,access,11
474,observ,11
475,union,11
476,treatment,11
477,matter,11
478,level,11
479,wife,11
480,directli,11
481,salut,11
482,parti,11
483,healthi,11
484,count,11
485,fall,11
486,offer,11
487,implement,11
488,poll,11
489,symptom,11
490,find,11
491,french,11
492,central,11
493,indor,11
494,offici,11
495,ignor,11
496,hall,11
497,doubl,11
498,reduc,11
499,attend,11
500,expert,11
501,employe,11
502,aggress,11
503,religi,11
504,deadli,11
505,doubt,11
506,sourc,11
507,ear,11
508,doesnt,11
509,ecosystem,11
510,remind,10
511,older,10
512,clinic,10
513,lift,10
514,necessari,10
515,download,10
516,sent,10
517,fool,10
518,distribut,10
519,nearli,10
520,sit,10
521,hold,10
522,africa,10
523,canada,10
524,kolkata,10
525,tomorrow,10
526,doze,10
527,transmiss,10
528,wont,10
529,big,10
530,tamil,10
531,saturday,10
532,station,10
533,senior,10
534,contribut,10
535,shop,10
536,norm,10
537,messag,10
538,differ,10
539,cost,10
540,mar,10
541,municip,10
542,compar,10
543,gener,10
544,member,10
545,american,10
546,humbl,10
547,teacher,10
548,extend,10
549,warrior,10
550,youth,10
551,promis,10
552,wash,10
553,commit,10
554,figur,10
555,compani,10
556,militari,10
557,instruct,10
558,zone,10
559,question,10
560,notic,10
561,rais,10
562,releas,10
563,buy,10
564,smell,10
565,press,10
566,examin,10
567,cricket,10
568,motiv,10
569,rsday,10
570,justifi,10
571,justi,10
572,anganwadi,10
573,pend,10
574,owner,10
575,destruct,10
576,nasser,10
577,mohammad,10
578,theyr,10
579,awak,10
580,mother,9
581,sport,9
582,nagar,9
583,kid,9
584,digit,9
585,railway,9
586,product,9
587,sad,9
588,video,9
589,region,9
590,prioriti,9
591,jammu,9
592,thursday,9
593,beauti,9
594,mark,9
595,nadu,9
596,overal,9
597,border,9
598,fan,9
599,explain,9
600,logic,9
601,morn,9
602,ahmedabad,9
603,struggl,9
604,festiv,9
605,present,9
606,interest,9
607,confirm,9
608,earth,9
609,readi,9
610,guy,9
611,south,9
612,isol,9
613,terrorist,9
614,volunt,9
615,islamabad,9
616,drug,9
617,chief,9
618,fail,9
619,pub,9
620,madhya,9
621,hotel,9
622,regul,9
623,sell,9
624,self,9
625,ban,9
626,handl,9
627,monday,9
628,enter,9
629,solut,9
630,restaur,9
631,bjp,9
632,immedi,9
633,scienc,9
634,accord,9
635,corpor,9
636,card,9
637,cure,9
638,covaxin,9
639,narendra,9
640,film,9
641,oper,9
642,tnc,9
643,protest,9
644,america,9
645,mahdi,9
646,huge,9
647,rajab,9
648,alyemeni,9
649,sky,9
650,fox,9
651,abc,9
