,words,scores
0,covid,1345
1,corona,417
2,vaccine,391
3,people,326
4,india,302
5,case,281
6,curfew,268
7,day,219
8,hospital,213
9,help,207
10,night,196
11,patient,195
12,remdesivir,170
13,sir,158
14,time,154
15,test,151
16,virus,147
17,state,137
18,government,132
19,new,124
20,positive,123
21,dont,122
22,mask,119
23,wave,103
24,bed,102
25,situation,102
26,life,101
27,govt,99
28,oxygen,99
29,health,96
30,election,92
31,today,89
32,death,88
33,spread,87
34,april,87
35,coronavirus,87
36,lockdown,86
37,follow,86
38,fight,86
39,vaccination,85
40,second,84
41,number,83
42,like,82
43,pandemic,82
44,country,82
45,year,81
46,delhi,81
47,injection,81
48,report,79
49,work,78
50,die,76
51,request,73
52,home,73
53,safe,72
54,free,70
55,increase,70
56,stay,69
57,wear,69
58,exam,67
59,vaccinate,65
60,rally,65
61,student,64
62,save,64
63,world,63
64,reply,61
65,available,60
66,public,57
67,contact,57
68,control,56
69,care,55
70,give,55
71,social,54
72,till,54
73,indian,54
74,modi,53
75,mumbai,53
76,bengal,53
77,urgent,52
78,hour,52
79,distance,50
80,friend,50
81,daily,49
82,minister,48
83,stop,48
84,family,47
85,month,47
86,close,46
87,doctor,46
88,rise,45
89,high,45
90,require,45
91,start,44
92,pray,44
93,dose,44
94,news,44
95,school,43
96,district,43
97,centre,43
98,thing,42
99,impose,42
100,society,41
101,record,41
102,soon,40
103,center,40
104,maharashtra,40
105,infect,40
106,important,40
107,age,40
108,update,40
109,ask,39
110,medical,39
111,god,39
112,citizen,39
113,lakh,39
114,west,39
115,infection,38
116,lead,38
117,travel,38
118,provide,38
119,police,38
120,rule,37
121,total,37
122,recovery,37
123,way,36
124,city,36
125,shortage,36
126,allah,35
127,allow,35
128,person,35
129,wait,35
130,party,35
131,supply,35
132,video,35
133,admit,34
134,cancel,34
135,love,34
136,poor,34
137,issue,33
138,protocol,33
139,feel,33
140,it,33
141,ward,33
142,support,33
143,icu,33
144,cant,32
145,service,32
146,point,32
147,board,32
148,dear,32
149,happen,32
150,order,31
151,recover,31
152,political,31
153,plz,31
154,post,30
155,hai,30
156,open,30
157,place,30
158,thats,30
159,possible,30
160,restriction,30
161,man,30
162,class,29
163,turn,29
164,medium,29
165,hope,29
166,surge,29
167,emergency,29
168,look,29
169,face,29
170,guideline,29
171,decision,29
172,break,28
173,road,28
174,find,28
175,campaign,27
176,treatment,27
177,week,27
178,gathering,27
179,prayer,27
180,rate,27
181,problem,27
182,big,27
183,near,27
184,online,26
185,kindly,26
186,plasma,26
187,continue,26
188,highest,26
189,suffer,26
190,address,26
191,bjp,26
192,shri,26
193,kolkata,26
194,action,25
195,create,25
196,effect,25
197,crisis,25
198,check,25
199,nation,25
200,humanity,25
201,money,25
202,app,25
203,risk,24
204,crowd,24
205,area,24
206,source,24
207,precaution,24
208,negative,24
209,cost,24
210,market,24
211,one,24
212,great,24
213,condition,23
214,best,23
215,blame,23
216,current,23
217,safety,23
218,understand,23
219,yes,23
220,group,23
221,common,23
222,tell,23
223,biggest,23
224,end,23
225,share,23
226,old,23
227,demand,22
228,force,22
229,wish,22
230,dangerous,22
231,lose,22
232,show,22
233,release,22
234,able,22
235,human,22
236,pakistan,22
237,father,22
238,away,22
239,ban,22
240,drive,22
241,prime,22
242,chastisement,22
243,strict,21
244,respect,21
245,reason,21
246,system,21
247,critical,21
248,solution,21
249,million,21
250,job,21
251,business,21
252,doesnt,21
253,didnt,21
254,weekend,21
255,hit,21
256,send,21
257,receive,21
258,extend,21
259,worker,21
260,normal,20
261,register,20
262,better,20
263,responsible,20
264,team,20
265,measure,20
266,pay,20
267,chain,20
268,long,20
269,shame,20
270,thought,20
271,disease,20
272,living,20
273,double,20
274,reach,20
275,call,19
276,blood,19
277,change,19
278,amid,19
279,date,19
280,company,19
281,huge,19
282,symptom,19
283,shot,19
284,maintain,19
285,remain,19
286,power,19
287,fast,19
288,main,19
289,material,19
290,meeting,19
291,medicine,19
292,major,19
293,mother,19
294,true,18
295,play,18
296,tomorrow,18
297,message,18
298,hold,18
299,far,18
300,gujarat,18
301,active,18
302,toll,18
303,talk,18
304,production,18
305,avoid,18
306,worst,18
307,affect,18
308,politician,18
309,fresh,18
310,ppl,18
311,yesterday,18
312,salute,18
313,single,18
314,data,18
315,morning,18
316,level,18
317,vote,18
318,drug,18
319,afford,18
320,watch,17
321,spike,17
322,fear,17
323,china,17
324,ago,17
325,cause,17
326,pune,17
327,kill,17
328,include,17
329,body,17
330,wont,17
331,begin,17
332,reduce,17
333,bad,17
334,duty,17
335,monday,17
336,prevention,17
337,global,17
338,office,17
339,population,17
340,real,17
341,crore,17
342,stock,17
343,affected,17
344,step,17
345,urgently,17
346,figure,17
347,cylinder,17
348,raw,17
349,thanks,16
350,bless,16
351,ventilator,16
352,ready,16
353,matter,16
354,sure,16
355,despite,16
356,struggle,16
357,price,16
358,protect,16
359,mass,16
360,house,16
361,parent,16
362,indore,16
363,entire,16
364,heart,16
365,private,16
366,busy,16
367,verify,16
368,staff,15
369,leader,15
370,forward,15
371,visit,15
372,local,15
373,expect,15
374,kind,15
375,march,15
376,poll,15
377,strong,15
378,official,15
379,facility,15
380,live,15
381,mean,15
382,trust,15
383,speedy,15
384,requirement,15
385,export,15
386,general,15
387,industry,15
388,r,15
389,aggressive,15
390,vial,15
391,found,14
392,cinema,14
393,education,14
394,variant,14
395,assam,14
396,fine,14
397,donate,14
398,conduct,14
399,add,14
400,sleep,14
401,black,14
402,isnt,14
403,economy,14
404,administer,14
405,international,14
406,instead,14
407,mobile,14
408,meet,14
409,completely,14
410,central,14
411,singh,14
412,ipl,14
413,postpone,14
414,victim,14
415,warrior,14
416,result,14
417,bhi,14
418,question,14
419,mark,14
420,large,14
421,fact,14
422,mohammad,14
423,believe,14
424,outbreak,14
425,nautanki,14
426,rich,14
427,miss,13
428,basis,13
429,super,13
430,ensure,13
431,set,13
432,awareness,13
433,healthcare,13
434,win,13
435,study,13
436,wrong,13
437,view,13
438,plan,13
439,friday,13
440,confirm,13
441,wake,13
442,information,13
443,effort,13
444,room,13
445,event,13
446,train,13
447,read,13
448,proper,13
449,treat,13
450,woman,13
451,announce,13
452,kumbh,13
453,amit,13
454,humble,13
455,wife,13
456,low,13
457,myanmar,13
458,candidate,13
459,myeik,13
460,complete,12
461,senior,12
462,sop,12
463,act,12
464,higher,12
465,mental,12
466,listen,12
467,covishield,12
468,national,12
469,infrastructure,12
470,count,12
471,credit,12
472,rtpcr,12
473,youre,12
474,prevent,12
475,jai,12
476,currently,12
477,authority,12
478,arrange,12
479,quarantine,12
480,minor,12
481,impact,12
482,response,12
483,ad,12
484,strictly,12
485,complex,12
486,shop,12
487,related,12
488,attack,12
489,touch,12
490,hand,12
491,urge,12
492,healthy,12
493,stand,12
494,thousand,12
