,words,scores
0,covid,1226
1,vaccine,462
2,corona,413
3,people,257
4,india,214
5,curfew,181
6,case,174
7,sir,172
8,vaccination,170
9,day,160
10,time,153
11,help,144
12,virus,140
13,coronavirus,136
14,pandemic,134
15,wave,127
16,death,123
17,new,117
18,government,113
19,life,112
20,june,111
21,hospital,110
22,vaccinate,108
23,like,104
24,today,104
25,test,95
26,year,95
27,state,93
28,govt,91
29,report,87
30,health,84
31,lockdown,84
32,family,83
33,follow,79
34,news,78
35,dont,78
36,free,77
37,work,76
38,update,74
39,world,73
40,fight,65
41,give,65
42,patient,65
43,student,63
44,dose,62
45,country,62
46,situation,60
47,positive,60
48,district,59
49,till,58
50,singh,58
51,indian,57
52,reply,57
53,available,57
54,remdesivir,57
55,daily,55
56,team,54
57,centre,54
58,lose,54
59,thanks,53
60,month,53
61,open,51
62,spread,51
63,save,51
64,million,51
65,support,50
66,exam,49
67,night,49
68,milkha,49
69,second,48
70,home,47
71,live,47
72,school,47
73,start,47
74,private,46
75,infection,45
76,cant,45
77,stop,45
78,request,45
79,china,44
80,area,44
81,cost,44
82,hour,43
83,die,43
84,age,43
85,suffer,42
86,high,42
87,effect,41
88,war,41
89,plz,41
90,hope,41
91,end,40
92,look,40
93,far,40
94,modi,40
95,drive,40
96,public,40
97,week,40
98,safe,39
99,worker,39
100,restriction,39
101,order,39
102,provide,39
103,child,38
104,increase,37
105,control,37
106,problem,37
107,lakh,37
108,oxygen,37
109,care,36
110,city,36
111,food,36
112,face,36
113,delhi,36
114,away,36
115,close,36
116,minister,36
117,great,36
118,variant,35
119,best,35
120,man,35
121,thing,35
122,medical,35
123,allow,35
124,guideline,34
125,soon,34
126,happen,34
127,common,34
128,drug,34
129,total,33
130,continue,33
131,rate,33
132,doctor,33
133,extend,33
134,service,33
135,business,33
136,mask,33
137,dear,32
138,sell,32
139,stay,32
140,person,32
141,post,32
142,god,31
143,way,31
144,july,31
145,rule,31
146,pay,31
147,leader,31
148,ask,30
149,recover,30
150,action,30
151,cause,29
152,bjp,29
153,plan,29
154,wife,29
155,police,28
156,bed,28
157,app,28
158,travel,28
159,center,28
160,father,28
161,distribute,28
162,check,27
163,record,27
164,risk,27
165,mumbai,27
166,village,27
167,treatment,27
168,medicine,27
169,issue,27
170,cancel,26
171,number,26
172,essential,26
173,friend,26
174,group,26
175,social,26
176,contact,26
177,pakistan,25
178,link,25
179,small,25
180,infect,25
181,create,25
182,lead,25
183,kid,25
184,shop,25
185,affected,25
186,citizen,25
187,education,25
188,delta,24
189,receive,24
190,old,24
191,kill,24
192,reduce,24
193,jab,24
194,kindly,24
195,poor,24
196,reach,24
197,protocol,24
198,demand,24
199,weekend,24
200,money,24
201,warrior,24
202,change,23
203,donate,23
204,job,23
205,feel,23
206,battle,23
207,relaxation,23
208,visit,23
209,relief,23
210,supply,23
211,gst,23
212,release,22
213,big,22
214,chinese,22
215,date,22
216,question,22
217,pass,22
218,long,22
219,complete,22
220,assam,22
221,nation,22
222,party,22
223,hit,22
224,west,22
225,crore,22
226,video,22
227,understand,22
228,camp,22
229,step,21
230,mean,21
231,community,21
232,watch,21
233,appreciate,21
234,protect,21
235,reason,21
236,plus,21
237,body,21
238,street,21
239,consider,21
240,price,21
241,lift,21
242,company,21
243,online,21
244,matter,21
245,better,21
246,society,21
247,south,20
248,future,20
249,system,20
250,active,20
251,thats,20
252,global,20
253,inside,20
254,rise,20
255,rich,20
256,market,20
257,it,20
258,meeting,20
259,bengal,20
260,decide,20
261,distance,20
262,decision,20
263,administer,20
264,icu,20
265,fear,19
266,loss,19
267,disaster,19
268,twitter,19
269,certificate,19
270,require,19
271,important,19
272,kit,19
273,data,19
274,show,19
275,remain,19
276,include,19
277,wear,19
278,detail,19
279,raise,19
280,different,19
281,management,19
282,surprised,19
283,disappointed,19
284,fly,19
285,moon,19
286,safety,18
287,economy,18
288,happy,18
289,hand,18
290,human,18
291,fresh,18
292,normal,18
293,yes,18
294,related,18
295,share,18
296,recovery,18
297,crisis,18
298,employee,18
299,medium,18
300,study,18
301,possible,18
302,difficult,18
303,woman,18
304,impact,18
305,bus,18
306,complication,18
307,growth,17
308,member,17
309,single,17
310,love,17
311,wait,17
312,hai,17
313,administration,17
314,covishield,17
315,announce,17
316,examination,17
317,level,17
318,surely,17
319,remember,17
320,office,17
321,strict,17
322,volunteer,17
323,place,17
324,kolkata,17
325,rest,17
326,class,17
327,sad,17
328,heartfelt,17
329,condolence,17
330,singapore,17
331,fall,16
332,measure,16
333,lab,16
334,pradesh,16
335,election,16
336,meet,16
337,effective,16
338,monday,16
339,shot,16
340,win,16
341,disease,16
342,kind,16
343,true,16
344,population,16
345,model,16
346,marriage,16
347,book,16
348,black,16
349,imam,16
350,entire,16
351,delivery,16
352,past,16
353,dist,16
354,real,16
355,policy,16
356,distribution,16
357,proud,16
358,sikh,16
359,prisoner,16
360,mucormycosis,16
361,water,15
362,able,15
363,concern,15
364,turn,15
365,road,15
366,fully,15
367,shri,15
368,drop,15
369,phase,15
370,international,15
371,impose,15
372,nasser,15
373,mohammad,15
374,alyemeni,15
375,forget,15
376,awareness,15
377,college,15
378,tax,15
379,house,15
380,nirmal,15
381,sop,14
382,call,14
383,facility,14
384,didnt,14
385,national,14
386,power,14
387,responsible,14
388,one,14
389,stand,14
390,play,14
391,trial,14
392,sample,14
393,respect,14
394,short,14
395,ration,14
396,mind,14
397,listen,14
398,congress,14
399,punjab,14
400,climate,14
401,intensify,14
402,mahdi,14
403,ramadan,14
404,soul,14
405,ad,14
406,held,14
407,arrange,13
408,bad,13
409,deadly,13
410,figure,13
411,fund,13
412,sri,13
413,quarantine,13
414,parent,13
415,fail,13
416,self,13
417,jammu,13
418,american,13
419,tell,13
420,find,13
421,slot,13
422,expert,13
423,huge,13
424,miss,13
425,science,13
426,fake,13
427,early,13
428,cdc,13
429,block,13
430,cut,13
431,staff,13
432,car,13
433,resume,13
434,economic,13
435,paid,13
436,cowin,13
437,effort,13
438,super,13
439,negative,13
440,emi,13
441,ensure,12
442,agree,12
443,hard,12
444,process,12
445,inform,12
446,mark,12
447,remove,12
448,photo,12
449,mother,12
450,activity,12
451,answer,12
452,worst,12
453,officer,12
454,east,12
455,immune,12
456,behaviour,12
457,enjoy,12
458,survive,12
459,event,12
460,charge,12
461,covaxin,12
462,base,12
463,declare,12
464,prime,12
465,channel,12
466,word,12
467,sunday,12
468,period,12
469,tomorrow,12
470,morning,12
471,actual,12
472,despite,12
473,injection,12
474,shortage,12
475,ventilator,12
476,appointment,12
477,fee,12
478,peace,12
479,rice,12
480,namo,12
481,guide,12
482,usa,12
483,condition,11
484,direct,11
485,pray,11
486,completely,11
487,nagar,11
488,origin,11
489,there,11
490,innocent,11
491,saturday,11
492,cluster,11
493,move,11
494,current,11
495,appropriate,11
496,sure,11
497,write,11
498,reality,11
499,instead,11
500,capacity,11
501,offer,11
502,door,11
503,lung,11
504,central,11
505,higher,11
506,talk,11
507,register,11
508,prevent,11
509,campaign,11
510,aid,11
511,jun,11
512,planning,11
513,fill,11
514,ground,11
515,violation,11
516,act,11
517,focus,11
518,guy,11
519,response,11
520,duty,11
