,words,scores
0,covid,914
1,corona,382
2,vaccine,289
3,india,228
4,people,179
5,help,155
6,hospital,146
7,sir,142
8,patient,131
9,day,124
10,fight,113
11,time,111
12,remdesivir,109
13,case,106
14,virus,105
15,oxygen,102
16,curfew,98
17,death,95
18,vaccination,93
19,pandemic,92
20,work,81
21,like,80
22,dont,79
23,new,75
24,health,75
25,country,75
26,govt,75
27,state,74
28,life,72
29,test,70
30,free,67
31,government,67
32,world,66
33,wave,66
34,home,62
35,year,61
36,follow,61
37,family,59
38,situation,56
39,support,55
40,bed,55
41,coronavirus,54
42,doctor,54
43,minister,53
44,today,53
45,give,52
46,delhi,52
47,medicine,51
48,stop,50
49,positive,48
50,news,46
51,district,46
52,cant,46
53,die,46
54,vaccinate,45
55,indian,45
56,save,45
57,stay,44
58,spread,44
59,reply,44
60,till,43
61,request,43
62,mask,42
63,control,42
64,safe,41
65,care,41
66,service,41
67,injection,41
68,person,40
69,treatment,40
70,medical,40
71,beat,40
72,report,39
73,salute,38
74,modi,37
75,number,37
76,second,36
77,recover,36
78,immunity,36
79,lose,35
80,dose,34
81,available,34
82,age,34
83,provide,34
84,recovery,33
85,area,33
86,lockdown,33
87,student,33
88,crisis,32
89,hope,32
90,read,32
91,month,31
92,exam,31
93,bjp,31
94,mother,31
95,soon,30
96,issue,30
97,great,30
98,central,29
99,boost,29
100,admit,29
101,possible,28
102,citizen,28
103,centre,28
104,way,28
105,public,28
106,plasma,28
107,hour,27
108,best,27
109,suffer,27
110,expert,27
111,honourable,27
112,pray,26
113,china,26
114,emergency,26
115,supply,26
116,infection,25
117,group,25
118,leader,25
119,rate,25
120,require,25
121,high,25
122,end,24
123,ask,24
124,action,24
125,body,24
126,extend,24
127,start,24
128,thanks,24
129,contact,24
130,allah,24
131,infect,23
132,thing,23
133,kit,23
134,video,23
135,cylinder,23
136,modiji,23
137,member,23
138,power,23
139,bengal,23
140,relief,23
141,post,23
142,distance,22
143,hand,22
144,week,22
145,total,22
146,essential,22
147,look,22
148,protocol,22
149,nation,22
150,bless,22
151,icu,22
152,kind,22
153,father,22
154,far,21
155,wear,21
156,find,21
157,update,21
158,effort,21
159,drug,21
160,worker,21
161,important,21
162,check,21
163,million,21
164,better,21
165,open,21
166,share,21
167,date,21
168,yog,21
169,god,20
170,travel,20
171,effect,20
172,food,20
173,disease,20
174,crore,20
175,call,20
176,happy,20
177,lakh,20
178,city,20
179,dear,20
180,different,20
181,shri,20
182,diet,20
183,social,19
184,face,19
185,union,19
186,strict,19
187,daily,19
188,happen,19
189,pakistan,19
190,eid,19
191,kindly,19
192,wish,19
193,police,19
194,allow,19
195,hit,19
196,result,19
197,pay,19
198,night,19
199,monday,19
200,sop,19
201,hai,19
202,black,19
203,real,19
204,risk,18
205,fact,18
206,problem,18
207,word,18
208,place,18
209,urgent,18
210,hard,18
211,morning,18
212,away,18
213,address,18
214,approve,18
215,charity,18
216,lead,18
217,chief,18
218,money,18
219,detail,18
220,population,18
221,kolkata,18
222,difficult,17
223,volunteer,17
224,medium,17
225,cause,17
226,tell,17
227,condition,17
228,increase,17
229,order,17
230,center,17
231,fail,17
232,team,17
233,donate,17
234,treat,17
235,reduce,16
236,found,16
237,prayer,16
238,political,16
239,big,16
240,fund,16
241,level,16
242,human,16
243,impose,16
244,child,16
245,arrange,16
246,camp,16
247,include,16
248,fake,15
249,close,15
250,stock,15
251,poor,15
252,friend,15
253,cost,15
254,priority,15
255,love,15
256,wait,15
257,join,15
258,force,15
259,board,15
260,war,15
261,shortage,15
262,road,15
263,reason,15
264,west,15
265,party,15
266,stand,15
267,administration,15
268,show,15
269,official,15
270,man,15
271,app,15
272,humanity,15
273,justice,15
274,critical,15
275,cure,14
276,disaster,14
277,warrior,14
278,create,14
279,tweet,14
280,protect,14
281,question,14
282,watch,14
283,president,14
284,cyclone,14
285,restriction,14
286,act,14
287,announce,14
288,ward,14
289,ventilator,14
290,single,14
291,appointment,14
292,blood,14
293,plant,14
294,sell,14
295,receive,14
296,old,14
297,management,14
298,response,14
299,ministry,13
300,active,13
301,muslim,13
302,current,13
303,chinese,13
304,book,13
305,drive,13
306,serve,13
307,mumbai,13
308,class,13
309,blame,13
310,live,13
311,send,13
312,farmer,13
313,reach,13
314,understand,13
315,grow,13
316,national,13
317,icmr,13
318,record,12
319,education,12
320,sure,12
321,name,12
322,verify,12
323,needy,12
324,woman,12
325,symptom,12
326,feel,12
327,dead,12
328,win,12
329,one,12
330,change,12
331,release,12
332,immediately,12
333,distribute,12
334,heart,12
335,handle,12
336,it,12
337,decision,12
338,cancel,12
339,ensure,12
340,didnt,12
341,responsible,12
342,claim,12
343,solution,12
344,court,12
345,thats,12
346,prime,12
347,mean,12
348,bad,12
349,instead,12
350,whats,12
351,arrest,12
352,yesterday,12
353,guideline,12
354,shame,12
355,guy,12
356,society,12
357,corporate,12
358,deliver,12
359,donation,12
360,company,12
361,link,12
362,plz,12
363,advise,12
364,awake,12
365,ncds,12
366,online,12
367,variant,11
368,election,11
369,battle,11
370,wrong,11
