tweet,clean_tweet,hastags,attherate,urls,emojis
"Germany's Covid response ""was the envy of the world"" - your daily reminder that the world just means ""white people"".  https://t.co/dxbkOVjBCZ  via @GoogleNews",Germanys Covid response was the envy of the world  your daily reminder that the world just means white people  via ,[],['@GoogleNews'],['https://t.co/dxbkOVjBCZ'],[]
"Pfizer &amp; Moderna claim their vaccines very safe &amp; effective Estimated &gt; 1000 deaths asso w Pfizer vaccines in Nor Spain German etc Pfizer is exempted from legal suits by politicians 🙄🤔Collusion❓ Chance of dying from Covid is 5 in 10,000 ⏩3 by vaccine❓  https://t.co/OR1QmkkBS3",Pfizer amp Moderna claim their vaccines very safe amp effective Estimated gt 1000 deaths asso w Pfizer vaccines in Nor Spain German etc Pfizer is exempted from legal suits by politicians Collusion Chance of dying from Covid is 5 in 10000 3 by vaccine ,[],[],['https://t.co/OR1QmkkBS3'],"['🙄', '🤔', '❓', '⏩', '❓']"
We recently published the predictors of hospitalization among older adults with COVID-19  https://t.co/GghAqZSs9t #COVID19 #CoronaVirusUpdates #geriatrics,We recently published the predictors of hospitalization among older adults with COVID19  ,"['#COVID19', '#CoronaVirusUpdates', '#geriatrics']",[],['https://t.co/GghAqZSs9t'],[]
@Alhamdhulillaah Them dey do Covid test 150AED private clinics.  But govt own na free. None will stop me., Them dey do Covid test 150AED private clinics But govt own na free None will stop me,[],['@Alhamdhulillaah'],[],[]
"@YMasannat @VGDakessian Time will tell! So far, and based on the data from millions of people vaccinated around the world, the potential benefits from vaccination against COVID-19 far outweigh the potential side-effects  https://t.co/S8oth5jEEW  https://t.co/1Gjrx3lSYO", Time will tell So far and based on the data from millions of people vaccinated around the world the potential benefits from vaccination against COVID19 far outweigh the potential sideeffects  ,[],"['@YMasannat', '@VGDakessian']","['https://t.co/S8oth5jEEW', 'https://t.co/1Gjrx3lSYO']",[]
Texas and Mississippi lifts ALL its COVID-19 precautions  https://t.co/ni5ZAhDq0A via @MailOnline,Texas and Mississippi lifts ALL its COVID19 precautions  via ,[],['@MailOnline'],['https://t.co/ni5ZAhDq0A'],[]
CDC Says It's Not Time to Ease Up on Covid Restrictions  https://t.co/sOB844tOFi,CDC Says Its Not Time to Ease Up on Covid Restrictions ,[],[],['https://t.co/sOB844tOFi'],[]
“The lymph nodes in your armpit area that we see on your mammogram are larger on the side where you had your recent Covid-19 vaccine”... @YMasannat @VGDakessian,“The lymph nodes in your armpit area that we see on your mammogram are larger on the side where you had your recent Covid19 vaccine” ,[],"['@YMasannat', '@VGDakessian']",[],[]
Preparing New kinds of Knowledge to be Highlighted in Post-Covid-19 Transitioning to serve people and government around the world as a basic necessary perceptions have to be built before. For easier for running all policies moving forward to SDGs as fast as possible👉,Preparing New kinds of Knowledge to be Highlighted in PostCovid19 Transitioning to serve people and government around the world as a basic necessary perceptions have to be built before For easier for running all policies moving forward to SDGs as fast as possible,[],[],[],['👉']
@Asad_Umar till date  no update on Ami ‘s Covid vaccine ! The auto response is only stating we will let you know !!! It’s been over 2 weeks ! @fslsltn #COVID19Vaccination all talk no execution !!, till date no update on Ami ‘s Covid vaccine  The auto response is only stating we will let you know  It’s been over 2 weeks  all talk no execution ,['#COVID19Vaccination'],"['@Asad_Umar', '@fslsltn']",[],[]
Philippines is waiting for the next batch of #donated Covid vaccines 💉 #gustokongmaluha 😭,Philippines is waiting for the next batch of Covid vaccines  ,"['#donated', '#gustokongmaluha']",[],[],"['💉', '😭']"
After a very long couple of weeks our grandmother is now home from Hulhumale’ Covid Facility.  Thank you to everyone who helped to take care of her &amp; my mother there.,After a very long couple of weeks our grandmother is now home from Hulhumale’ Covid Facility Thank you to everyone who helped to take care of her amp my mother there,[],[],[],[]
Excellent service by the BKC Covid hospital thank you 🙏🏻,Excellent service by the BKC Covid hospital thank you ,[],[],[],['🙏🏻']
@ShashiTharoor Mr. Tharoor I am quite Apolitical but seeing a post like this from someone like you? Past 6 Q are almost all Covid impacted!, Mr Tharoor I am quite Apolitical but seeing a post like this from someone like you Past 6 Q are almost all Covid impacted,[],['@ShashiTharoor'],[],[]
"In this Covid era, I guess I’m gonna need one. Dildo ain’t doing shit to me",In this Covid era I guess I’m gonna need one Dildo ain’t doing shit to me,[],[],[],[]
"The Covid Vaccination Drive in Mumbai has degenerated into total chaos.  All 3 Govts- Centre,State and BMC need to get their act together  #CoWIN 4/4",The Covid Vaccination Drive in Mumbai has degenerated into total chaos All 3 Govts CentreState and BMC need to get their act together 4/4,['#CoWIN'],[],[],[]
"@7HillsHospital Had an excellent experience today afternoon of walk-in free covid vaccination at 7 Hills Hospital, Marol, Mumbai. Outstanding staff coordination, extremely polite &amp; helpful, well organised movement of Q's and comfortable arrangements for all.", Had an excellent experience today afternoon of walkin free covid vaccination at 7 Hills Hospital Marol Mumbai Outstanding staff coordination extremely polite amp helpful well organised movement of Qs and comfortable arrangements for all,[],['@7HillsHospital'],[],[]
"Stop pretending this is about encouraging sport post COVID, everyone. Although the five nations would make excellent hosts, this is about potential income, brash statements and preventing the break-up of the UK.  https://t.co/yn6QfOIQHD #WorldCup2030 #WorldCup",Stop pretending this is about encouraging sport post COVID everyone Although the five nations would make excellent hosts this is about potential income brash statements and preventing the breakup of the UK  ,"['#WorldCup2030', '#WorldCup']",[],['https://t.co/yn6QfOIQHD'],[]
President of Ukraine Volodymyr Zelensky @ZelenskyyUa was vaccinated today using Made-In-India Oxford/AstraZeneca (Covishield) covid vaccine.  https://t.co/KfqchHXnj3,President of Ukraine Volodymyr Zelensky was vaccinated today using MadeInIndia Oxford/AstraZeneca (Covishield) covid vaccine ,[],['@ZelenskyyUa'],['https://t.co/KfqchHXnj3'],[]
"Dear DrSurender Nikhil Gupta,  Congratulations! You are successfully administrated with 2nd Dose of COVID-19. You can download your provisional certificate at -  https://t.co/N9ARWieFNF. In case of any queries post vaccination , contact our help line at 1075 - CoWIN  No Prov Certi",Dear DrSurender Nikhil Gupta Congratulations You are successfully administrated with 2nd Dose of COVID19 You can download your provisional certificate at   In case of any queries post vaccination  contact our help line at 1075  CoWIN No Prov Certi,[],[],['https://t.co/N9ARWieFNF.'],[]
"@aryan66 Lols  Even they have no data..  no.of test list when court ask no data, no.of covid cases no data, no.of vaccines given no data, no.of vaccinated ones alive, side effects no data,  6years only things happening is Hussain sagar work lolz", Lols Even they have no data noof test list when court ask no data noof covid cases no data noof vaccines given no data noof vaccinated ones alive side effects no data 6years only things happening is Hussain sagar work lolz,[],['@aryan66'],[],[]
"Flash: Caribbean countries, being represented by St Lucia thanks India at WTO for sending Covid vaccines. Statement says ""This act of selflessness is testament to the solidarity of the government and People of India with CARICOM."" Full statement⤵️  https://t.co/AE9jmvEqU0",Flash: Caribbean countries being represented by St Lucia thanks India at WTO for sending Covid vaccines Statement says This act of selflessness is testament to the solidarity of the government and People of India with CARICOM Full statement ,[],[],['https://t.co/AE9jmvEqU0'],['⤵️']
"@balbir59 Sir we have had an awful 2020 with covid, we need some form of entertainment no?", Sir we have had an awful 2020 with covid we need some form of entertainment no,[],['@balbir59'],[],[]
@BbmpsplHealth Sir can you please educate us on latest quarantine rules for Asymptomatic COVID positive patients... 10/14/17 days...., Sir can you please educate us on latest quarantine rules for Asymptomatic COVID positive patients 10/14/17 days,[],['@BbmpsplHealth'],[],[]
