tweet,clean_tweet,hastags,attherate,urls,emojis
"Line of Treatment for Covid-19 Hydroquinone  Ivermectin  Zincovit  Celine (Vit.C)  Paracetamol Doxy  Antibody cocktail  Dexamethasone Azithromycin  Remdesivir Frapivir  Oxygen  Get vaccinated,  prevent all above",Line of Treatment for Covid19 Hydroquinone Ivermectin Zincovit Celine (VitC) Paracetamol Doxy Antibody cocktail Dexamethasone Azithromycin Remdesivir Frapivir Oxygen Get vaccinated prevent all above,[],[],[],[]
"Yes, it's Oxygen and Remdesivir Versus Hindu-Muslim Agenda this time. It's Hospital beds versus temple politics, it's feeding peacocks versus hungry migrants....the list is long....very long.",Yes its Oxygen and Remdesivir Versus HinduMuslim Agenda this time Its Hospital beds versus temple politics its feeding peacocks versus hungry migrantsthe list is longvery long,[],[],[],[]
"@KDMCOfficial one of my pts needs remdesivir and tociluzimab urgently ,wid icu bed if available , kindly help kdmc ...plz contact 9987579186", one of my pts needs remdesivir and tociluzimab urgently wid icu bed if available  kindly help kdmc plz contact 9987579186,[],['@KDMCOfficial'],[],[]
So many citizens across India requested you for oxygen &amp; Remdesivir too remember.,So many citizens across India requested you for oxygen amp Remdesivir too remember,[],[],[],[]
Remdesivir “made in India” just reached #HoChiMinhCity to help flight Covid 19.  https://t.co/nbaFUWscbw,Remdesivir “made in India” just reached to help flight Covid 19 ,['#HoChiMinhCity'],[],['https://t.co/nbaFUWscbw'],[]
"Instead of managing Covid tactfully, BJP leaders and PM got involved with various scams related to covid relief.  - PM care fund scam - ventilator scam - Remdesivir scam - PPE scam - oxygen cylinder scam - ambulance scam - Vaccination scam - 4lakh compensation scam  #SansadGherao",Instead of managing Covid tactfully BJP leaders and PM got involved with various scams related to covid relief  PM care fund scam  ventilator scam  Remdesivir scam  PPE scam  oxygen cylinder scam  ambulance scam  Vaccination scam  4lakh compensation scam ,['#SansadGherao'],[],[],[]
India's Remdesivir production capacity increased to 122.49 lakh vials per month in June: Government   https://t.co/6HVzYZbwBx  via NaMo App  https://t.co/nasMWFZVrJ,Indias Remdesivir production capacity increased to 12249 lakh vials per month in June: Government  via NaMo App ,[],[],"['https://t.co/6HVzYZbwBx', 'https://t.co/nasMWFZVrJ']",[]
"Report: India preparing for a possible Covid 3rd Wave: Currently 50 lakh Remdesivir medicines in stock, 293 O2 Plants for hospitals, 20 Lakh beds.  India plans to restart Vaccine exports from November.",Report: India preparing for a possible Covid 3rd Wave: Currently 50 lakh Remdesivir medicines in stock 293 O2 Plants for hospitals 20 Lakh beds India plans to restart Vaccine exports from November,[],[],[],[]
I thought AIIMS has removed Remdesivir from the line of treatment. Kya karoge 50L stock ka?,I thought AIIMS has removed Remdesivir from the line of treatment Kya karoge 50L stock ka,[],[],[],[]
"Oxygen Plants, ICU Beds and 50 Lakh Vials of Remdesivir: How Govt is Preparing for the 3rd Wave  https://t.co/PNpvC13wpP",Oxygen Plants ICU Beds and 50 Lakh Vials of Remdesivir: How Govt is Preparing for the 3rd Wave ,[],[],['https://t.co/PNpvC13wpP'],[]
