,words,scores
0,covid,819
1,corona,319
2,vaccine,247
3,people,227
4,coronavirus,207
5,curfew,185
6,india,174
7,case,169
8,death,130
9,day,126
10,new,122
11,virus,120
12,time,107
13,today,105
14,report,89
15,vaccination,88
16,vaccinate,82
17,help,81
18,pandemic,78
19,state,70
20,sir,70
21,test,69
22,wave,65
23,year,64
24,positive,63
25,like,62
26,government,61
27,august,61
28,marriage,56
29,world,54
30,govt,53
31,health,52
32,fight,52
33,country,52
34,open,51
35,mask,50
36,night,49
37,lockdown,49
38,dont,48
39,follow,47
40,spread,47
41,dose,46
42,life,43
43,work,43
44,home,43
45,far,42
46,total,42
47,allow,41
48,till,41
49,situation,40
50,give,39
51,minister,38
52,family,37
53,safe,37
54,kerala,37
55,district,36
56,old,36
57,travel,35
58,die,35
59,number,35
60,hospital,34
61,indian,34
62,medium,34
63,care,33
64,start,33
65,stop,33
66,china,33
67,crore,33
68,stay,33
69,news,33
70,allah,32
71,student,32
72,army,32
73,month,31
74,city,31
75,patient,31
76,school,31
77,infection,30
78,impose,30
79,public,29
80,daily,29
81,citizen,28
82,better,28
83,variant,28
84,cant,28
85,lose,28
86,free,28
87,youth,28
88,hour,27
89,nasser,27
90,protocol,26
91,place,26
92,issue,26
93,child,26
94,mohammad,26
95,imam,26
96,quarantine,25
97,job,25
98,release,25
99,social,25
100,alyemeni,25
101,related,24
102,increase,24
103,complete,24
104,support,24
105,recover,24
106,second,24
107,house,24
108,age,24
109,chastisement,24
110,weekend,24
111,continue,23
112,distance,23
113,million,23
114,week,23
115,restriction,23
116,service,23
117,end,23
118,ad,23
119,happen,22
120,hope,22
121,protect,22
122,save,22
123,father,22
124,pakistan,22
125,woman,22
126,sop,22
127,rule,22
128,sri,22
129,request,21
130,soon,21
131,wear,21
132,count,21
133,look,21
134,update,21
135,close,21
136,thing,21
137,small,21
138,mumbai,21
139,control,21
140,drive,20
141,nation,20
142,organisation,20
143,class,20
144,novel,20
145,person,20
146,police,20
147,extend,19
148,pay,19
149,doctor,19
150,find,19
151,infect,19
152,train,19
153,wait,19
154,division,19
155,risk,19
156,safety,19
157,delta,19
158,god,19
159,rise,19
160,it,19
161,movement,19
162,low,19
163,active,19
164,lanka,19
165,oxygen,18
166,sindh,18
167,aug,18
168,happy,18
169,face,18
170,poor,18
171,team,18
172,food,18
173,administer,18
174,group,18
175,guideline,18
176,way,18
177,receive,18
178,friend,18
179,join,18
180,center,18
181,turn,18
182,market,18
183,long,17
184,flight,17
185,rate,17
186,fully,17
187,online,17
188,delhi,17
189,chinese,17
190,modi,17
191,warrior,17
192,tomorrow,17
193,education,17
194,post,17
195,possible,16
196,recovery,16
197,thanks,16
198,respect,16
199,fake,16
200,medical,16
201,maharashtra,16
202,body,16
203,taliban,16
204,doesnt,16
