,words,scores
0,covid,865
1,corona,464
2,vaccine,301
3,case,257
4,people,232
5,coronavirus,229
6,virus,158
7,curfew,152
8,death,146
9,day,132
10,india,130
11,new,122
12,test,118
13,today,112
14,time,112
15,vaccinate,106
16,vaccination,106
17,sir,101
18,help,94
19,july,94
20,pandemic,89
21,report,85
22,state,83
23,health,81
24,like,77
25,life,76
26,government,76
27,dose,75
28,wave,74
29,positive,73
30,home,72
31,work,71
32,total,68
33,year,67
34,govt,66
35,mask,65
36,update,64
37,hospital,61
38,variant,60
39,country,60
40,spread,59
41,world,56
42,follow,53
43,second,53
44,marriage,52
45,fight,52
46,family,52
47,district,51
48,start,49
49,free,48
50,situation,48
51,safe,46
52,lockdown,46
53,delta,45
54,dont,44
55,school,43
56,far,42
57,way,42
58,month,42
59,die,41
60,open,41
61,patient,41
62,daily,40
63,best,40
64,infection,40
65,rate,38
66,number,38
67,close,38
68,support,38
69,infect,38
70,increase,37
71,wear,37
72,rise,36
73,doctor,36
74,china,35
75,give,35
76,recover,35
77,oxygen,34
78,save,34
79,public,34
80,till,34
81,stop,33
82,indian,33
83,travel,33
84,stay,33
85,news,32
86,minister,32
87,student,32
88,service,31
89,control,31
90,night,31
91,available,31
92,group,30
93,hour,30
94,record,30
95,high,29
96,social,29
97,visit,29
98,lose,29
99,job,29
100,request,29
101,medium,29
102,hope,28
103,medical,28
104,reply,28
105,provide,27
106,protocol,27
107,live,27
108,allow,26
109,look,26
110,feel,26
111,police,26
112,kerala,26
113,war,26
114,exam,26
115,area,26
116,end,25
117,post,25
118,count,25
119,city,25
120,center,25
121,cant,25
122,fully,25
123,ask,25
124,money,25
125,hand,25
126,novel,25
127,result,24
128,disease,24
129,small,24
130,place,24
131,soon,24
132,million,24
133,extend,24
134,citizen,23
135,find,23
136,god,23
137,child,23
138,continue,23
139,week,23
140,friend,23
141,cost,23
142,shri,23
143,supply,22
144,person,22
145,thing,22
146,include,22
147,wish,22
148,age,22
149,date,22
150,bail,22
151,delhi,21
152,low,21
153,weekend,21
154,require,21
155,shop,21
156,care,21
157,sop,21
158,order,21
159,release,21
160,great,20
161,protect,20
162,modi,20
163,market,20
164,surge,20
165,thanks,20
166,face,20
167,issue,20
168,old,20
169,better,19
170,study,19
171,app,19
172,related,19
173,sri,19
174,it,19
175,watch,19
176,distance,19
177,official,19
178,pay,19
179,sant,19
180,global,18
181,thats,18
182,food,18
183,plan,18
184,rule,18
185,team,18
186,house,18
187,risk,18
188,problem,18
189,happen,18
190,active,18
191,restriction,18
192,special,18
193,effective,18
194,crore,18
195,plz,18
196,woman,18
197,future,18
198,lift,18
199,assam,18
200,bapu,18
201,flight,17
202,pcr,17
203,lanka,17
204,system,17
205,bjp,17
206,suffer,17
207,kill,17
208,measure,17
209,treatment,17
210,away,17
211,tell,17
212,read,17
213,cause,17
214,online,17
215,miss,17
216,long,17
217,possible,17
218,impose,17
219,asharamji,17
220,remain,17
221,guideline,16
222,believe,16
223,nation,16
224,confirm,16
225,lead,16
226,thailand,16
227,office,16
228,party,16
229,respect,16
230,man,16
231,figure,16
232,bangladesh,16
233,important,16
234,happy,16
235,contribution,16
236,ppl,16
237,centre,16
238,hai,16
239,private,16
240,avoid,16
241,local,16
242,law,16
243,paid,16
244,big,16
245,june,16
246,deadly,16
247,jul,16
248,share,15
249,yes,15
250,love,15
251,price,15
252,emergency,15
253,justice,15
254,left,15
255,safety,15
256,eid,15
257,wait,15
258,dead,15
259,found,15
260,break,15
261,change,15
262,facility,15
263,play,15
264,warrior,15
265,kolkata,15
266,data,15
267,budget,15
268,effect,15
269,crowd,15
270,gathering,15
271,receive,15
272,election,15
273,growth,15
274,parent,14
275,reach,14
276,pain,14
277,business,14
278,show,14
279,jab,14
280,disaster,14
281,latest,14
282,join,14
283,shot,14
284,poor,14
285,employee,14
286,friday,14
287,here,14
288,event,14
289,chinese,14
290,maharashtra,14
291,dangerous,14
292,act,14
293,worker,14
294,negative,14
295,covishield,14
296,begin,14
297,detail,14
298,stats,14
299,class,14
300,positivity,14
301,game,14
302,president,14
303,fear,13
304,symptom,13
305,hard,13
306,political,13
307,crisis,13
308,prevent,13
309,quarantine,13
310,hold,13
311,concern,13
312,period,13
313,complete,13
314,outbreak,13
315,recovery,13
316,double,13
317,nurse,13
318,mother,13
319,process,13
320,organisation,13
321,yesterday,13
322,enjoy,13
323,affected,13
324,slot,13
325,campaign,13
326,international,13
327,certificate,13
328,research,13
329,check,13
330,resident,13
331,reason,13
332,population,13
333,question,13
334,pakistan,13
335,story,13
336,awareness,13
337,road,13
338,hit,12
339,set,12
340,severe,12
341,understand,12
342,surely,12
343,guy,12
344,view,12
345,book,12
346,mandatory,12
347,bad,12
348,body,12
349,create,12
350,highest,12
351,demand,12
352,present,12
353,contact,12
354,power,12
355,protection,12
356,congratulation,12
357,discharge,12
358,program,12
359,video,12
360,timing,12
361,lie,12
362,ensure,12
363,schedule,12
364,covaxin,12
