,words,scores
0,covid,1293
1,vaccine,550
2,case,511
3,corona,388
4,people,210
5,india,198
6,death,197
7,new,183
8,coronavirus,171
9,recovery,167
10,total,162
11,virus,158
12,time,157
13,positive,154
14,report,147
15,test,143
16,vaccination,140
17,curfew,136
18,day,131
19,state,130
20,year,126
21,mask,119
22,today,111
23,world,109
24,pandemic,106
25,rise,105
26,country,98
27,active,97
28,march,89
29,news,89
30,health,84
31,government,80
32,dont,79
33,govt,78
34,night,77
35,student,76
36,toll,76
37,like,75
38,hospital,73
39,vaccinate,72
40,hour,71
41,follow,69
42,wear,68
43,dose,67
44,sir,66
45,lockdown,66
46,help,64
47,social,64
48,increase,63
49,free,59
50,number,57
51,start,56
52,spread,54
53,life,54
54,woman,52
55,stop,51
56,minister,51
57,situation,51
58,home,50
59,district,50
60,fresh,50
61,election,50
62,patient,49
63,distance,49
64,work,48
65,indian,48
66,safe,47
67,recover,47
68,receive,46
69,hand,46
70,maharashtra,45
71,stay,45
72,fight,45
73,public,45
74,speedy,45
75,update,43
76,request,43
77,issue,43
78,week,42
79,give,42
80,month,42
81,wave,42
82,wish,42
83,mumbai,41
84,allah,41
85,city,40
86,citizen,40
87,till,38
88,best,38
89,infection,38
90,second,38
91,million,37
92,care,37
93,delhi,37
94,allow,37
95,look,37
96,better,37
97,daily,36
98,school,36
99,travel,36
100,save,36
101,thing,35
102,worker,35
103,place,35
104,lakh,35
105,soon,35
106,control,35
107,modi,35
108,centre,34
109,visit,34
110,fatality,34
111,doctor,34
112,pakistan,33
113,pay,33
114,remain,33
115,record,33
116,support,33
117,service,32
118,great,32
119,app,32
120,post,31
121,rule,31
122,disease,31
123,show,31
124,way,31
125,family,31
126,hope,31
127,long,30
128,nation,30
129,dear,30
130,thanks,30
131,available,30
132,college,30
133,highest,30
134,found,30
135,call,30
136,die,29
137,ask,29
138,protocol,29
139,feel,29
140,rate,29
141,team,29
142,suffer,29
143,prime,29
144,it,28
145,person,28
146,discharge,28
147,yesterday,28
148,variant,28
149,crowd,28
150,fake,27
151,change,27
152,cant,27
153,tally,27
154,face,27
155,close,27
156,culture,27
157,far,26
158,restriction,26
159,safety,26
160,police,26
161,step,26
162,tell,25
163,precaution,25
164,surge,25
165,jab,25
166,happy,25
167,global,25
168,stand,25
169,thats,25
170,shot,25
171,prevent,24
172,complete,24
173,provide,24
174,continue,24
175,administration,24
176,prayer,24
177,yes,24
178,risk,24
179,center,24
180,sop,24
181,staff,23
182,future,23
183,appreciate,23
184,exam,23
185,impose,23
186,mean,22
187,area,22
188,break,22
189,crisis,22
190,return,22
191,status,22
192,market,22
193,astrazeneca,22
194,order,22
195,measure,22
196,political,22
197,khan,22
198,china,22
199,effect,21
200,learn,21
201,leader,21
202,age,21
203,single,21
204,ministry,21
205,problem,21
206,defeat,21
207,register,21
208,plan,21
209,force,21
210,real,21
211,teach,21
212,study,21
213,grant,21
214,effective,20
215,policy,20
216,wait,20
217,happen,20
218,share,20
219,international,20
220,food,20
221,include,20
222,avoid,20
223,house,20
224,cause,20
225,data,19
226,facility,19
227,impact,19
228,certificate,19
229,april,19
230,campaign,19
231,old,19
232,plz,19
233,entire,19
234,marriage,19
235,rally,19
236,open,19
237,punjab,19
238,trial,19
239,phase,19
240,business,19
241,namo,19
242,gathering,19
243,private,18
244,knowledge,18
245,drive,18
246,experience,18
247,guideline,18
248,celebrate,18
249,push,18
250,high,18
251,power,18
252,child,18
253,detail,18
254,alarm,18
255,scientist,18
256,book,18
257,community,18
258,love,18
259,rtpcr,18
260,pray,18
261,amid,18
262,crore,18
263,shut,18
264,thousand,18
265,recently,17
266,past,17
267,covishield,17
268,list,17
269,job,17
270,shri,17
271,train,17
272,result,17
273,ticket,17
274,able,17
275,postpone,17
276,process,17
277,fee,17
278,poor,17
279,hai,17
280,spike,17
281,research,17
282,road,17
283,fear,17
284,proud,17
285,building,17
286,view,17
287,medium,17
288,anniversary,17
289,understand,17
290,institution,17
291,sai,17
292,pradesh,17
293,require,17
294,bless,17
295,sample,17
