,username,created_at,replies_count,retweets_count,likes_count,tweet,language
1,Ujjwal Roy,2021-05-30T17:33:16.000Z,0.0,1.0,1,"Read_My_Coverage_Story 
@ANI

#IHAFoundation
#Covid19IndiaHelp
#IndiaFightsCOVID19
#GurudwaraBehala
Kolkata: Gurudwara committee offers free oxygen, medical assistance to COVID-19 patients at mosque",en
2,Sourav_Raj_d ,2021-05-30T17:21:21.000Z,0.0,0.0,1,"KMC Hon'ble Mayor 
@FirhadHakim
 sir,Inaugurated #Covid Unit At Islamia Hospital.

He started 110 beds in this unit for the treatment of #Corona infected people there.

We are appreciated to u r really great advance work bobby da.
#COVID19 #KolkataCovidCare",en
3,Soumyajit Majumder,2021-05-30T17:00:48.000Z,1.0,6.0,48,"Bengal’s COVID active cases drops below 1 lakh as recoveries outnumber new cases. 11,284 new COVID-19 cases reported, deaths at 142. New recoveries at 18,642. Importantly, tests at 70k+.",en
5,Sourav_Raj_d ,2021-05-30T11:43:45.000Z,0.0,3.0,1,"Authorities in Uttar Pradesh's Balarampur district are dumping the body of an Corona infected patient into the Rapti river.

The country is going in the wrong direction today due to the Inefficiency and irresponsibility of the central government.
#Viral_Video #COVID #COVID19",en
6,RAKESH CHHALANI,2021-05-30T09:11:47.000Z,0.0,0.0,0,"Replying to 
@krishnajaggarao
 
@MiliGho46530196
 and 
@ndtv",en
16,Joydeep Phukan,2021-05-29T09:13:52.000Z,0.0,0.0,2,"Had COVID? You’ll probably make antibodies for a lifetime https://nature.com/articles/d41586-021-01442-9… #COVID #COVID19Vaccination #antibodies 
@velumania
 
@FaheemYounus",en
17,Shreyasi Ghosh,2021-05-29T09:01:58.000Z,0.0,0.0,0,"As evident,commercialisation at its peak!Covid-19 unleashes the gruesome fact of how 'Indian middle class' is soon on the verge to shrink and perish leaving only two extreme polarised classes!Coming up soon with a write-up on this! 
#polscitwitter 
@OpenAcademics
 
@AcademicChatter",en
18,Sikharendra Datta,2021-05-29T06:02:39.000Z,0.0,2.0,7,#Bengal if you really wanted to know how much BJP cares for you - here’s the proof - Chief Secretary called back to Delhi when is one of the key persons handling #COVID management in the state! #shame #MamataBanerjee #absentPM #BjpDestroyedIndia,en
19,Sourav_Raj_d ,2021-05-29T05:13:54.000Z,0.0,1.0,2,"#Japanolympics 
The Japanese government on Friday extended the COVID-19 state of emergency to June 20 as Olympics loom.
#Japanolympics #worldnews #TimesofIndia #HindustanTimes #SportsNews #olympics2021 
#Theindianexpress #News18",en
21,Rikdev Bhattacharjee,2021-05-28T18:21:18.000Z,0.0,0.0,2,"Lets together fight against covid-19 battle
Great move 

@srijitspeaketh
 
@itsmeabir
 
@DebaDaOfficial
 
@Chandrimaaitc",en
25,Soumyajit Majumder,2021-05-28T16:08:29.000Z,2.0,3.0,34,"West Bengal reports 12,193 new COVID-19 cases, 143 deaths; Steep fall over the last three days — on Wednesday it was 16,225 cases, on Thursday it was 13,046 cases. Tests have been around 60,000 samples.",en
