,created_at,username,tweet,language,replies_count,retweets_count,likes_count
0,2021-04-03 01:10:04 India Standard Time,naeemq,Be careful. Check covid situation in Pakistan #CoronaVirusUpdates #COVID #MustFollowCovidSops #کرونا_سے_نجات_صرف_احتیاط Coronavirus #coronavirus #COVID19  https://t.co/qpWPcmmq4s,en,0.0,0.0,1.0
1,2021-04-02 23:42:01 India Standard Time,dhawan_group,@KankichiRyotsu2 @MurliMenon6 @minaldoshi CCP try lot to hide Corona virus research center in Wuhan still it is out and UN OFFICER VISITED TOO,en,1.0,0.0,0.0
2,2021-04-02 23:18:00 India Standard Time,iattishx,"UK variant is more killing one here in third wave of coronavirus, in Pakistan.",en,0.0,0.0,0.0
3,2021-04-02 22:58:12 India Standard Time,potholewarriors,#PollTime #LockDown2  #coronavirus #pandemic #lockdown2021   With the growing no. Of cases on daily basis &amp; no any other alternative  left  Should there be any lockdown to curb spreading of Corona ?  Do poll &amp; RT,en,3.0,5.0,2.0
4,2021-04-02 22:55:18 India Standard Time,shafique_08,"Today, the way CM @OfficeofUT ji has addressed the state and has sincerely raised the issue faced by the state due to #COVID19 whether shortage of blood, increasing nos of patients in the hospital or the lack of awareness of the people against the #coronavirus  Salute you Sir 🙏🏻",en,0.0,1.0,1.0
5,2021-04-02 22:25:47 India Standard Time,jehlamtimes,"JK reports 517 new positive cases, 126720 recovered so far  #JAMMU: The Government on Friday informed that 517 new positive cases of novel Corona virus (COVID-19), 96 from Jammu division and 421 from Kashmir division.  https://t.co/FBJDvuFuZ7",en,0.0,1.0,0.0
6,2021-04-02 22:22:35 India Standard Time,bardoliguide,Today's Corona News Statistics of Surat and Bardoli ..  #bardoli #bardolinagar #surat #suratcity  #covid_19 #sardarnagribardoli #CoronaVirus #COVID19 #stayhomestaysafe #coronaupdates #coronapositive #bardoliguide  https://t.co/dWrZ6ky1LA,en,0.0,0.0,0.0
7,2021-04-02 22:11:13 India Standard Time,dhruvprakashvi1,That's why we haven't find control on corona virus please planning accordingly and make strict action who's not wear a mask on train also we are still feeling unsafe while travelling in train like I'm survived...,en,0.0,0.0,0.0
8,2021-04-02 22:03:47 India Standard Time,suraj_suresh16,Karnataka announces new guidelines:  - Gyms closed - Swimming pools shut - Cinema theatres at 50%  - Classes for grades 6-9 suspended  #COVIDー19 #schools #coronavirus #Corona,en,0.0,0.0,0.0
9,2021-04-02 21:33:18 India Standard Time,kirtidaevents,Let's fight #COVID19   Be careful. Wear a Mask 😷 ...Stop #CORONAVirus 🦠 #कोरोना #WearAMask  https://t.co/X4ngWxDByx,en,0.0,0.0,0.0
10,2021-04-07 00:54:24 India Standard Time,oreoflying,In this Corona 2nd wave... 👿🦠 Spread social distancing and masks🤕😷 Not germs and viruses... 🤧🤒  #gocorona #stayhome #staysafe #Twitter #Trending #safety #humour #humor #LifeGoesOn #life #lifestyle #home #coronavirus #LikeForLikes #like #COVIDー19 #FreeMako #Distanciamiento,en,0.0,0.0,2.0
11,2021-04-07 00:10:18 India Standard Time,kamalomer,"Being the worst-affected state in the second wave of #coronavirus in India, it’s good to see #Maharashtra becoming the first state to administer 8 million doses of #Covid vaccine! More to be done to control the situation!",en,0.0,0.0,0.0
12,2021-04-06 23:55:23 India Standard Time,zeshaan12632643,@VarshaEGaikwad @cbseindia29 @CBSEveningNews As we all now corona virus cases are gaining day by day So for our children’s safety measures  We request you to cancell exam or change its condition to Home board  #cancelboardexams2021,en,1.0,3.0,1.0
13,2021-04-06 23:54:45 India Standard Time,vipulbeemrot,"#cancelboardexams2021 With the second wave of coronavirus hitting India, the pandemic is far from over. Scientists have predicted that the ongoing wave could peak by mid-April and that the infections may see a steep decline only by the end of May,  https://t.co/AFhk330eqx",en,0.0,9.0,8.0
14,2021-04-06 23:12:45 India Standard Time,venkateshk43,Night curfew in delhi 🤪🤪🤪to stop the spred of corona 🤣 #coronavirus  https://t.co/KYgp9llkMU,en,1.0,1.0,2.0
15,2021-04-06 22:50:13 India Standard Time,cockroch3,6th April 2021  Another day of shouting at people on the road for not wearing masks  #coronavirus  #NightCurfewDelhi  #COVID19,en,0.0,0.0,0.0
16,2021-04-06 22:07:08 India Standard Time,gksworld1,Suicide is only option left in front of businessman 😭 @PMOIndia @narendramodi @OfficeofUT @BJP4Delhi @BJP4India @ShivSena #COVID19 #coronavirus #COVIDー19 #COVID19India #COVIDvaccine #Corona  https://t.co/YGzl07MKEH,en,0.0,0.0,0.0
17,2021-04-06 22:06:52 India Standard Time,gksworld1,Last video continue 😭🙏 Think about middle class man #coronavirus #COVID19 #COVIDー19 #COVID19India #COVIDvaccine @narendramodi @BJP4India @OfficeofUT @IYC @ShivSena @PawarSpeaks @AjitPawarSpeaks @INCIndia  https://t.co/2cpOvY9B0e,en,0.0,0.0,0.0
18,2021-04-06 20:50:39 India Standard Time,gksworld1,Any work for civil engineer . Any where in India 🇮🇳#cancelboardexams2021 #Trending #Jobs #CivilEngineering #COVID19 #coronavirus #Corona @narendramodi @OfficeofUT @adgpi @IYC #SaveNatureForFuture,en,0.0,3.0,1.0
19,2021-04-06 20:42:10 India Standard Time,gksworld1,Any job as a civil engineer ...🙏Need job urgently ...Anywhere in India 🇮🇳  #Jobs #CivilEngineering #cancelboardexams2021 #COVID19 #coronavirus #Corona,en,1.0,0.0,0.0
20,2021-04-06 20:25:05 India Standard Time,sipgrab,"Coronavirus Update: Biden advances timeline for COVID vaccine eligibility as experts warn Americans, ‘the war is not yet won’  https://t.co/BUo7Z9sdGb #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",en,0.0,0.0,0.0
21,2021-04-06 20:09:20 India Standard Time,erfankh71447678,Russian FM will hold meetings with Pakistan's top leadership. The visit assumed significance in the regional and international context. Pakistan should secure    Russian Sputnik vaccinces amidst national drive of Coronavirus vaccination. #PakistanRussia  #Islamabad  #SputnikV,en,0.0,0.0,1.0
22,2021-04-06 20:05:18 India Standard Time,mrjit,Really don't know how kolkata didn't hit the 2nd wave of #coronavirus ...may be it will hit after 2nd May..hehe,en,0.0,0.0,1.0
23,2021-04-06 20:00:42 India Standard Time,mulund_info,Upto 5th April’2021  Mulund Growth Rate ⬆️@ 1.69% Mumbai Average       ⬆️@ 1.79%  #14 ⬇️  #mulund  #COVID19  #coronavirus  #CoronaVirusUpdate #COVID19India #coronavirus #Mumbai  https://t.co/mThmoCzpbW,en,0.0,0.0,3.0
24,2021-04-06 19:53:01 India Standard Time,beingalankar,Hats off to the lab which created such a virus which can be controlled politically.  Real NOBLE CORONA virus.  #coronavirus #Elections2021 @WHO @COVIDNewsByMIB,en,0.0,0.0,1.0
25,2021-04-06 19:32:32 India Standard Time,vrrajendran8,Madame Kanimozi MP has Exercised her Franchise even though She has been Attacked by Corona Virus. This is Real Brave of Democratic Thoughts and Nature of Dravidian Birth. I Wish Madame Kanimozi Speedy Recovered.   BY.RAJENDRAN CELL NO 9944546259.VRRGOLOBLGMAIL@.COM.9944546259  https://t.co/vtf0ePVrcl,en,0.0,0.0,0.0
26,2021-04-06 19:28:22 India Standard Time,scribe_prashant,"WATCH: The health Secy dismissing the need of vaccination for all is unfortunate. Corona Virus is raging, the vaccines are not some vanity products that people want, it’s an important thing in checking the spread of virus: @priyankac19  https://t.co/iu1iB9yFwH",en,18.0,32.0,207.0
27,2021-04-06 19:14:48 India Standard Time,beingalankar,"Salient features of corona virus:-  1. Doesn't spread in day, spreads in night only (11pm to 5am).  2. Does not spread in a region where polls are going on.  3. Affects only educational areas and middle class, all money making agencies are running as before.",en,1.0,0.0,0.0
28,2021-04-06 18:49:46 India Standard Time,gamesuwan,I don't care about coronavirus because I'm young and healthy.,en,0.0,0.0,0.0
29,2021-04-09 05:29:52 India Standard Time,kumar_santosh08,"Requesting to @myogiadityanath Jee, kindly arrange the Covid Test of these Passengers who are Coming from Mumbai. Proper Monitoring is required to stop the CoronaVirus.  @gorakhpurpolice @Uppolice @myogioffice @CMOfficeUP #vaccinations",en,0.0,0.0,1.0
30,2021-04-09 05:29:34 India Standard Time,rezarazali,"This week, the C.D.C. acknowledged what scientists have been saying for months: The risk of catching the coronavirus from surfaces is low.",en,0.0,3.0,4.0
31,2021-04-09 03:56:01 India Standard Time,anshul991,"@samarjeet_n Sir, your daughter is not only sound in Ayurveda but she is damn good ""Calligraphy"" artist too... :)❤️🙏🏽 #WearAMask  #coronavirus #CoronavirusIndia",en,0.0,1.0,1.0
32,2021-04-09 02:03:15 India Standard Time,vrrajendran8,Epidemic and Pandemic May be Occurred any Time any Where.The First STEP is PRECAUTIONS and Medicines are SECONDARY only.  How Wonder The CHINA CONTAINED The Corona Virus in One State and leading Normal life  Whole CHINA Without any Problems of Economy. So Lockdown are Not REMEDY  https://t.co/u0FQboWQZg,en,0.0,0.0,0.0
33,2021-04-09 00:51:02 India Standard Time,_digitalsaksham,Holding Winter Session of Parliament may cause Covid but this won't because Elections are no.1 priority 4 our Politicians.  #CoronavirusIndia  #coronavirus  https://t.co/UY4WxFZByb,en,0.0,1.0,6.0
34,2021-04-09 00:17:28 India Standard Time,deepadoc,37 doctors of Delhi's Sir Gangaram Hospital found #COVID positive. Most of these doctors had already received 2 doses of the #coronavirus vaccine.,en,5.0,8.0,33.0
35,2021-04-09 00:08:23 India Standard Time,savannavadiya00,"What was beautiful word now become infamous.  ""Positive""  . . . . .  .  . . . . #Positive ⚡ #coronavirus  #covid19 #thursdaymorning",en,0.0,0.0,0.0
36,2021-04-09 00:02:46 India Standard Time,ilyassa01684103,#stayhome #StaySafeStayHealthy  This is only option to India  Control coronavirus cases  @narendramodi  @AmitShah  @MoHFW_INDIA  @drharshvardhan,en,0.0,0.0,2.0
37,2021-04-08 23:57:33 India Standard Time,parikshit_sriv9,Atleast the vaccine prevented a full throttled impact of Coronavirus.,en,0.0,0.0,0.0
38,2021-04-13 02:13:31 India Standard Time,muftianwarkhan,"Arbitrarily locked out of their lanes, rudely referred to as ‘coronavirus’, threatened and humiliated daily, about 50 Muslim families in Shiv Vihar are desperate to move elsewhere.   https://t.co/YPE1tXoeS9",en,0.0,0.0,0.0
