,username,created_at,replies_count,retweets_count,likes_count,tweet,language
3,Hiraan,2021-04-18T07:05:14.000Z,6.0,38.0,146.0,Pl wear a mask and maintain the distance and follow the rules and regulations of COVID-19 ,en
4,Manshi | My ,2021-04-22T05:51:19.000Z,1.0,31.0,13.0,List of PLASMA BANKS in WEST BENGAL for COVID - 19,en
6,Jay Prakash Majumdar,2021-04-26T07:10:03.000Z,3.0,24.0,57.0,"Completed the 2nd dose of Covid vaccination at Rubi General Hospital.
#COVID19Vaccine 
#Covid_19 
#IndiaFightsCOVID19 
#IndiaFightsBack",en
8,Bishal,2021-04-19T04:23:40.000Z,0.0,1.0,1.0,"Congratulations! We welcome Covid-19 so warmly.

#CoronavirusPandemic #Covid_19 #BengalElections2021 #KumbhMela2021",en
9,K@USHIK,2021-04-07T09:59:10.000Z,0.0,0.0,0.0,"Election campaign plus covid infection = zero 

I think  covid unty has a tie up with election comission till second may.
#Covid_19 #AmitShah #BengalElection2021 #COVID #Roadshow",en
13,Soumick Mondal,2021-04-21T00:49:42.000Z,4.0,0.0,1.0,"Link: https://sciencedirect.com/science/article/pii/S0306987720333028…

Does face mask prevent the COVID19 transmission?

#science #covid_19 #stayfitstayraw #befitwithraj",en
17,Rumana Akhtar,2021-04-19T14:24:38.000Z,0.0,4.0,6.0,"Covid 19 cases rises.... Modi Silent! 
Election is important.... Lives Do Not Matter!! What a PM?! 
#ResignModi 
#ModiMadeDisaster",en
18,Ishadrita Lahiri,2021-04-22T05:20:25.000Z,3.0,26.0,86.0,"TIL- Diarrhoea, gastro problems, and pain/swelling of lower extremities are symptoms of COVID-19. People with these symptoms are most often testing negative. If you have these symptoms and they're persisting, get tested in intervals and stay at home!",en
20,sushil mishra,2021-04-23T09:54:28.000Z,0.0,1.0,1.0,"A mass cremation of victims who died due to the coronavirus disease (COVID-19), is seen at a crematorium ground in New Delhi, India, April 22, 2021. Picture taken with a drone. REUTERS/",en
22,Chayan Biswas,2021-04-17T07:56:55.000Z,0.0,3.0,3.0,"Why WBBSE What wrong with you Why are you pushing us to the death? We don't want this test to happen in this situation went covid-19 touch highest number of cases in West Bengal and India also. You don't want to die.#cancelboardexams2021 #cancelwbboardexam2021 
@itspcofficial",en
23,SAYAN KUNDU (WRITER),2021-04-28T14:09:49.000Z,0.0,4.0,6.0,"#LargestVaccineDrive #Unite2FightCorona 

Registration for the newly eligible category for COVID-19 vaccination opens today at 4PM on http://CoWIN.gov.in and Aarogya Setu app.",en
27,Kånchân Dås ,2021-04-22T19:24:18.000Z,0.0,14.0,6.0,"Here I'm requesting each and every warrior of this Movement to HELP the Needy People as much as you in this Pandemic of COVID-19. 

Plz Don't wait for anyone coz This is the time be a Real Hero in someone's Life.

'Many people waiting for our Help'. 

#SaveLives4Sushant",en
31,Soumyajit Majumder,2021-04-11T14:58:38.000Z,1.0,2.0,11.0,"Staggering 4,398 new COVID-19 cases in West Bengal in last 24 hours",en
33,Aman banka,2021-04-14T10:31:53.000Z,4.0,16.0,49.0,"We have sent the letter petition to Chief Justice of Calcutta High court for the cancellation of all political rallies and gatherings amidst the second wave of Covid-19 in the State.


@pooja_news


@manogyaloiwal


@sakshijoshii",en
34,Siddhartha Guha Sircar,2021-04-25T03:39:35.000Z,0.0,0.0,0.0,"@narendramodi
 
@MamataOfficial
 covid vacvine registration still not available for 18+. Such negligence...horrible COVID-19 #Covid_19 #CoronavirusVaccine #COVID #COVID19 #AIIMS #LargestVaccineDrive",en
42,��𝐀𝐍𝐃𝐄𝐄𝐏,2021-04-22T02:34:56.000Z,0.0,11.0,11.0,"Covid-19 is a pandemic and Corona patients in cities like Jaipur are increasing and the majority of the patients are prisoners. By keeping this in mind, Rajasthan govt must release 85 years old, falsely framed Sant Shri Asharamji Bapu.
#CoronaRiskInPrisons",en
43,Sumant Kumar,2021-04-26T21:14:33.000Z,0.0,0.0,1.0,"Covid-19 is hitting way too close to everyone's home. With a sad heart but with strong faith in the God, today I kneel down in prayer, asking for a full recovery of those with Covid-19  and in pain, and God I'm asking You to protect & cover us with your healing hands and love.",en
46,Abhishek Mishra,2021-04-21T05:46:09.000Z,2.0,6.0,7.0,"Covid-19 Patient has recieved plasma therapy last night in Bhayandar East, Maharashtra.
The son of patient informed by phone just now and he was thankful  for timely help which had  saved life of his mother.

@Tejasvi_Surya
 
@BJYM
 
@The_NehaJoshi
 
@rohit_chahal
 #BJYMCares",en
47,Sayantan C ,2021-04-17T11:20:41.000Z,0.0,0.0,0.0,"I have tested positive for Covid-19 and I'm currently in isolation and undergoing home quarantine! 
#Covid",en
49,DR. S.P BHATTACHARYA,2021-04-22T14:13:11.000Z,0.0,1.0,0.0,"Lancet report says Covid-19 is primarily airborne, safety protocol should change urgently - Coronavirus Outbreak News",en
50,Lakshmi Singh@laks,2021-04-14T14:02:52.000Z,0.0,1.0,4.0,(CBSE) has cancelled the class 10th board exams and postponed the class 12th board exams in view of the rising number of COVID-19 cases. The CBSE Board exams were scheduled to begin on May 4. The decision was taken after a key meeting chaired by PM Modi ji,en
51,Chakradharparhi,2021-04-29T12:47:25.000Z,0.0,0.0,0.0,"My dear all twiter friends & My siniour person,In covid 19 we all knows what is happening in our india , so my specially request to all of u plz obey our government rules and social distance must be need for kill/destroy corona virus, and always wear mask on ur face.JayJagannath.",en
52,Shahnaz P Mahrose شہناز,2021-04-15T10:17:57.000Z,1.0,0.0,1.0,"A good decision! 

●CPI(M) declared that they will not organize any large election rallies for the remaining phases of the elections due to COVID spread
●""Due to the sharp increase in covid-19, we have decided not to hold any major rallies,"" party leader Mohammad Salim said",en
55,Sanjib Kumar Das,2021-04-26T13:52:00.000Z,0.0,0.0,0.0,"COVID-19 ‘second wave’: India teetering on the brink of disaster https://gn24.ae/b9addef52845000
#COVID #India Covid #IndiaFightsCorona #IndiaFightsCOVID19",en
56,Soumyajit Majumder,2021-04-01T14:27:34.000Z,1.0,1.0,5.0,"Just In: West Bengal reports a staggering 1,274 new COVID-19 cases",en
57,Lakshmi Singh@laks,2021-04-25T13:18:00.000Z,0.0,5.0,5.0,"Yogi Adityanath Orders Officials To Seize Property Of Rumour Mongerers Amid Covid-19 Second Wave https://swarajyamag.com/insta/yogi-adityanath-orders-officials-to-seize-property-of-rumour-mongerers-amid-covid-19-second-wave… via 
@swarajyamag",en
61,Chirasree Chakraborty,2021-04-23T04:11:30.000Z,0.0,2.0,4.0,"Check out Kolkata Covid-19 Resources 
(
@kolkatacovid19
): https://twitter.com/kolkatacovid19?s=09…
.
#COVIDEmergency2021 #CovidIndia #CovidSOS #CovidResources #Kolkata",en
62,Kånchân Dås ,2021-04-20T09:19:46.000Z,0.0,2.0,0.0,"The Pandemic of COVID-19 is getting worse day by day.

Don't watch that Negative News Channels who Demotivates you. 

Stay Safe, Healthy & Positive. 

#SecondCOVIDWave",en
63,Indranil Majumdar,2021-04-25T20:18:46.000Z,0.0,0.0,2.0,Ravichandran Ashwin decides to take a break from #IPL2021 since family is putting up a fight against Covid-19 #CovidIndia,en
64,Deep Bhattacharyya,2021-04-01T17:46:35.000Z,1.0,0.0,0.0,I just don't understand the point of spending billions in producing COVID-19 vaccine if we are not able to control the virus even after 1year. We are talking about imposing lockdown and in few states it's already imposed.Then what was the point of readines and production 1/2,en
67,Ishani Duttagupta,2021-04-29T01:31:20.000Z,0.0,0.0,0.0,United States Airlifts Emergency Supplies to Help India Address Deadly Second Wave of COVID-19 Pandemic | Press Release | U.S. Agency for International Development,en
68,Surendra chaudhary,2021-04-20T15:01:15.000Z,0.0,0.0,4.0,"Hon Prime Minister Shri 
@narendramodi
 ji will address the nation on the COVID-19 situation at 8:45 PM, today.",en
74,��𝓱𝓪𝔂𝓪𝓷 𝓖𝓾𝓹𝓽𝓪,2021-04-14T07:56:06.000Z,0.0,0.0,0.0,Covid-19 news: Corona infection may increase after kumbh mela fear of superspreading hinges - Anandabazar,en
76,Gouri sankar sanyal,2021-04-19T04:56:42.000Z,0.0,0.0,0.0,"Replying to 
@MamataOfficial",en
78,Urbasi Bhattacharyya,2021-04-22T15:54:40.000Z,0.0,1.0,1.0,"Covid-19: EC restricts Bengal election campaigning, parties can't hold roadshows | via 
@indiatvnews",en
83,VISHAL SINGH,2021-04-05T05:41:30.000Z,0.0,0.0,0.0,"Replying to 
@Arun07Satapathy
 and 
@otvnews",en
84,Urbasi Bhattacharyya,2021-04-22T10:22:25.000Z,1.0,0.0,1.0,"@narendramodi
 Pls don't come to West Bengal . It will affect your health beside it will affect our health. See if you cancel your rally for covid 19 pandemic people will appreciate your gesture . It will be an added advantage. You may get extra votes even for this single step.",en
4,Janta Power,2021-04-29T11:55:41.000Z,2.0,0.0,0.0,"@KareenaKapoor
 reveals chat with Taimur about Covid-19 vaccines, explains their importance with Tom and Jerry video.

#COVID19 #CoronaVaccine #coronavirus #pandemic #COVID19India #JantaPower",en
6,Anabil Bhattacharya,2021-04-29T11:24:27.000Z,0.0,0.0,0.0,"Do 
@HospitalsApollo
 / 
@MedicaEasternIn
 / Peerless / RN Tagore / Woodlands, and other renowned private hospitals in Kolkata have tele-medicine package for #Covid infected patients? If yes, then how one can book it?


@KunalCardiac
 #COVIDEmergency #Kolkata #IndiaFightsCorona",en
8,Md Sk Shahnawaz(মোঃ শেখ শাহনাওয়াজ),2021-04-29T06:55:23.000Z,0.0,0.0,0.0,May Allah Bless you a lot! From a non-Muslim..very sweet gesture..This type of things Giving me more power day by day! #Kolkata #Pandemic #Covid #SOSQabilah,en
9,Nishit Shaw,2021-04-29T06:47:39.000Z,0.0,0.0,0.0,"Contd. Cases are bound to go down if people start distancing themselves and start wearing masks.
#Covid19 can be defeated. I could see that in polling stations amid #WestBengalElections2021 so I urge everyone in #Mumbai, #Delhi & other parts to help us defeat #Corona. #WestBenha",en
18,RAJ BOSE,2021-04-28T14:57:16.000Z,1.0,0.0,0.0,"My friend's wife is in critical condition in #Covid_19, need Remdesvir 6 vial
if any one can help to get it in Kolkata please inform

@wbdhfw
 
@MahuaMoitra
 
@KPSouthDiv
 
@CPKolkata
 
@MamataOfficial
 
Please Help ",en
20,JESAL DOSHI,2021-04-28T14:23:29.000Z,1.0,0.0,0.0,"Though Covid 19 spread every where but efforts mad by your government is outstanding. We are proud of you & your team.
@narendramodi
 
@AmitShah
 
@PiyushGoyal
 
@BJP4India",en
22,ইন্দ্রজিৎ | INDRAJIT,2021-04-28T14:02:37.000Z,2.0,53.0,121.0,No beds for #Covid patients in UP: Solicitor General Tushar Mehta tells SC in #SiddiqueKappan case,en
23,Srinjoy Roychowdhury,2021-04-28T10:56:26.000Z,0.0,0.0,1.0,"""COVID 19 RESOURCES IN WESTBENGAL.""

 SCAN THE QR CODE TO VISIT THE SITE OR TAP ON THE LINK .Sourcelink:https://covidresourceswestbengal.carrd.co

A share can save someone's life... u never know. 

Please share as much as possible ,so that it reaches as many people as possible.",en
27,Nitesh Rajak,2021-04-28T07:52:03.000Z,0.0,0.0,0.0,"We want exam cancellation of class 10 due to increasing of covid 19....

@BanglarGorboMB
 
@abhishekaitc
 
@parthodasgupta",en
31,rise~and~fall,2021-04-28T04:49:28.000Z,0.0,0.0,0.0,"Times of India: Covaxin found to neutralise 617 variant of Covid-19: Dr Fauci.
https://timesofindia.indiatimes.com/india/covaxin-found-to-neutralise-617-variant-of-covid-19-dr-fauci/articleshow/82284139.cms?UTM_Source=Google_Newsstand&UTM_Campaign=RSS_Feed&UTM_Medium=Referral…

via 
@GoogleNews",en
33,Ankur Datta,2021-04-27T22:13:57.000Z,0.0,0.0,1.0,"@elonmusk
 Hey Mr Musk can you please donate some oxygen to India or some medical equipment or funding, we here in India are really struggling with the second covid-19 wave. Hundreds of thousands are dying everyday and there is a shortage or oxygen supply. Medical equipment. Pls.",en
43,Debaditya Dutta,2021-04-27T02:48:07.000Z,0.0,0.0,0.0,"How could a nation get entertained watching 
@IPL
 when its people are loosing jobs, getting infected with #COVID and dying without getting Oxygen. Shame on #centralgovernment, 
@BCCI
 and all related Sponsors. These entities seem to have no compassion towards the grave situation ",en
47,TARUN RAHUL ,2021-04-26T20:56:49.000Z,0.0,0.0,1.0,"Delhi Pradesh Congress Committee has set up a Control Room to help those who are affected by the COVID-19, Pandemic in Delhi. 

The Mobile No 9625777907 & Whatsapp No.9625777907 will be operational round the clock 
@INCIndia
  
@TARUNRAHUL",en
50,Debjit,2021-04-26T18:17:04.000Z,0.0,0.0,0.0,"This is innovative & intuitive ..but the work of creating a polarised society will keep them from flowing .. 

Nurses in Brazil help isolated patients fight Covid-19 with warm latex g... https://youtu.be/R04anekVOiM via 
@YouTube",en
51,Adrija Chatterjee,2021-04-26T17:27:35.000Z,1.0,0.0,1.0,"Similar situation in Bengal. Rich are pre-booking #Covid beds in private hospitals. Yes, pre-booking.",en
52,ইন্দ্রজিৎ | INDRAJIT,2021-04-26T17:12:47.000Z,4.0,15.0,47.0,"One more candidate falls prey to #Covid in #Bengal 

Samir Ghosh, independent candidate at Malda's Baishnabnagar seat dies",en
55,Rana | Please #Vaccinate,2021-04-26T15:22:20.000Z,0.0,0.0,0.0,"""COVID-19: Keep up with the latest on safety and vaccine guidance in India""",en
56,Avik,2021-04-26T14:51:03.000Z,0.0,0.0,0.0,"Replying to 
@patcummins30",en
57,ইন্দ্রজিৎ | INDRAJIT,2021-04-26T14:35:39.000Z,6.0,9.0,53.0,"#Bengal #Covid Update: 15,992 fresh cases recorded in last 24 hrs

Huge jump in cases in #Kolkata

City records 3868 new cases",en
61,Adhrit Bhowmick,2021-04-26T11:49:11.000Z,0.0,0.0,1.0,"You are winning our hearts in every aspect  We love you 3000 Patty 
@patcummins30
 #PMCaresFund #COVIDEmergency2021 #COVID19 #Covid_19",en
63,MUNSHI MARUF HOSSAIN,2021-04-26T08:43:35.000Z,0.0,0.0,0.0,"Replying to 
@t_v_rao
 
@imtiaz_jaleel
 and 2 others",en
67,Raj Sinha ,2021-04-26T05:28:42.000Z,0.0,0.0,2.0,Be patient  in the storm and focus on the sunshine after...that is the only way we can face this difficult times of #covid  Good Morning  #StaySafe #StayHappy #StayCalm  #mondaythoughts #mondayvibes #MondayMorning #mondaymotivation #mondaymood #goodmorningmonday ,en
68,tanima biswas,2021-04-26T04:57:37.000Z,1.0,1.0,1.0,Let's not forget. #Kolkata is voting at a time when nearly 4000 #Covid cases have been recorded in a day. It was near the 2000 mark just earlier last week. And these are official figures #Bengalelection,en
74,Tapan Singha,2021-04-25T17:45:31.000Z,0.0,0.0,0.0,Nutrition advice for adults during the COVID-19 outbreak:,en
76,ramen aditya,2021-04-25T16:12:35.000Z,0.0,0.0,0.0,"US defends restrictions on export of COVID-19 vaccine raw materials amid India's request to lift ban. Biden administration's first obligation is to take care of the requirements of the American people.
But India exported oxygen without its obligation to Indians welcoming deaths.",en
78,Sougata Mandal,2021-04-25T15:41:14.000Z,0.0,0.0,0.0,"West Bengal registers highest single-day spike of 15,889 COVID-19 cases, 57 more fatalities 
@ECISVEEP
 
#MaskUp",en
84,Nitesh Yadav,2021-04-25T10:47:18.000Z,0.0,0.0,1.0,"#AkshayKumar donates Rs 1 crore to the Gautam Gambhir Foundation to help those who are battling COVID-19 
@akshaykumar",en
87,Anirban Bhattacharya,2021-04-25T09:25:35.000Z,1.0,1.0,1.0,"SOS #KOLKATA 

31 year old #COVID positive patient with high fever (103 degrees) from #Maheshtala looking for urgent medical attention / admission in any govt hospital. Not even getting oxygen. 

PLS HELP 

Contact : 6289146796 
@MahuaMoitra
 
@abhishekaitc
 
@iindrojit
 
@CPKolkata",en
90,CS SAIBAL CHANDRA DUTTA,2021-04-25T08:04:59.000Z,0.0,0.0,0.0,"Replying to 
@AwesomeAbhinash
 
@chenweihua
 and 
@SecBlinken",en
95,Pranab Chakrabortty,2021-04-25T06:22:05.000Z,0.0,0.0,0.0,"A regime that even suffocated data on everything even covid 19 death. 
At a large crematorium ground at Ahmedabad..Suresh bhai writes only 'bimari' bimari 'bimari...",en
98,Kolkata Cloud Chasers,2021-04-25T05:49:15.000Z,0.0,0.0,1.0,"Salute & Love to all those volunteers who are collecting, compiling, verifying & sharing Covid Resources infos! 
.
#TogetherWeCan #covid #India",en
100,Prince Thakur17,2021-04-25T05:04:34.000Z,0.0,0.0,1.0,You denied to give raw material of covid-19 vaccine to INDIA.We gave you HCQ when you need it most. We will remember this and karma hits back.  #America_Exposed,en
103,Chirasree Chakraborty,2021-04-25T04:30:55.000Z,0.0,0.0,3.0,"Salute & Love to all those volunteers who are collecting, compiling, verifying & sharing Covid Resources infos! 
Some of them are my very close friends & my bros & sis... 
Hat's off to you all, guys 
.
#CovidIndia #TogetherWeCan #Covid #India",en
104,Santanu Bhattacharya,2021-04-25T03:50:18.000Z,0.0,0.0,0.0,"Replying to 
@drdeb_d
 and 
@MAHE_Manipal",en
107,CS SAIBAL CHANDRA DUTTA,2021-04-24T20:22:56.000Z,0.0,0.0,0.0,"Replying to 
@chenweihua
 
@adarpoonawalla
 and 
@POTUS",en
110,SOVIT ADAK,2021-04-24T19:07:52.000Z,0.0,0.0,1.0,Stay together we will beat covid 19. #COVID19 .,en
111,Tirthadeep K,2021-04-24T17:56:19.000Z,0.0,0.0,0.0,"'This is hell.' Prime Minister Narendra Modi's failure to lead is deepening India's COVID-19 crisis, writes 
@RanaAyyub",en
114,DR. S.P BHATTACHARYA,2021-04-24T16:48:48.000Z,0.0,0.0,0.0,"COVID-19: Hospitals in Delhi gasp for oxygen amid staggered supply

https://economictimes.indiatimes.com/news/india/covid-19-hospitals-in-delhi-gasp-for-oxygen-amid-staggered-supply/articleshow/82228449.cms…

 Download Economic Times App to stay updated with Business News - https://etapp.onelink.me/tOvY/135dde21",en
115,DJ NOBIT GAMER,2021-04-24T16:33:56.000Z,0.0,0.0,0.0,"Covid - 19 special video free fire

https://youtube.com/channel/UCLUqle6aQdNAIAyzxB7U1MA…",en
117,Pratim Ranjan Bose,2021-04-24T15:35:42.000Z,0.0,0.0,0.0,"Replying to 
@mysuru_sen
 
@drharshvardhan
 and 
@AmitShah",en
120,Ishani Duttagupta,2021-04-24T10:04:09.000Z,0.0,0.0,3.0,"Heard from 
@MallikaBasu_
 about different aspects of the F&B sector including home cooking during stressful #covid times. It’s okay that she didn’t want to comment on #BengalElections2021 asked because she’s granddaughter of #jyotibasu",en
123,Rupnarayan Bose,2021-04-24T09:42:11.000Z,0.0,0.0,0.0,"The chowkidar and his henchmen were otherwise engaged in political shenanigans, too busy to attend to covid-19 related issues.",en
126,Padmanabhan Jaikumar,2021-04-24T05:25:54.000Z,0.0,0.0,0.0,"Covid-19: If we work as one nation, there will not be any scarcity of resources, says PM Modi
https://timesofindia.indiatimes.com/india/covid-19-if-we-work-as-one-nation-there-will-not-be-any-scarcity-of-resources-says-pm-modi/articleshow/82213725.cms… via NaMo App",en
128,ইন্দ্রজিৎ | INDRAJIT,2021-04-24T03:54:26.000Z,0.0,0.0,0.0,#Kolkata #Covid resource,en
130,Rana | Please #Vaccinate,2021-04-23T17:25:52.000Z,0.0,0.0,1.0,"Very useful list. 
""COVID-19 SOS: Here's a list of resources""",en
132,Pooja Mehta,2021-04-23T16:20:00.000Z,74.0,673.0,566.0,"A friend of mine is hospitalised with Covid-19. Has her 60% lungs infected. Looking for one medicine - Actimera 400. Most Kolkata chemists are out of this medicine. 
Pls help with leads. ",en
133,Prosenjit Patra,2021-04-23T12:50:10.000Z,0.0,0.0,0.0,"In the wake of the second wave of Covid-19, Shri Narendra Modi to address the people of WB virtually on the 23rd of April. #BanglaAcheModiJirSathe",en
135,Dipak Mardanaya,2021-04-23T12:37:26.000Z,0.0,3.0,0.0,"In the wake of the second wave of Covid-19, Shri Narendra Modi to address the people of WB virtually on the 23rd of April. #BanglaAcheModiJirSathe",en
137,Anirban Bhattacharya,2021-04-23T09:45:44.000Z,0.0,1.0,1.0,"In last 24 hours 167457 persons have recovered. 

2898257 persons vaccinated. 

1639357 samples tested. 

Oxygen production reaches phenomenal 7K MT.

India is fighting back. 

We Will.

#IndiaFightsCorona #COVID #IndiaNeedsOxygen #vaccine #IndianLivesMatter #CovidIndia",en
140,Rajesh,2021-04-23T04:12:26.000Z,1.0,2.0,2.0,"Almost 100 people are dying in India every hour due to Covid. And that’s the unofficial figure.

#Covid",en
143,Pawan Bihani,2021-04-23T02:15:53.000Z,0.0,0.0,0.0,"@PMOIndia
 
@narendramodi
 GoI should ban all negative news on COVID 19 which creates panic in the minds of people.",en
144,AMIT MAJUMDER,2021-04-23T01:32:03.000Z,0.0,1.0,1.0,"“Bhaag Corona Bhaag, Residents of MP Village Run With Torches To Drive Away Covid 19.
#WeCantBreathe",en
145,Biswajit Acharjee,2021-04-23T00:22:12.000Z,0.0,0.0,0.0,Plz wear a  & help all to reduce the pandemic of covid 19 @ 𝒦𝑜𝓁𝓀𝒶𝓉𝒶 - 𝒯𝒽𝑒 𝒞𝒾𝓉𝓎 𝒪𝒻  𝒥𝑜𝓎,en
146,Biswajit Acharjee,2021-04-23T00:17:55.000Z,0.0,0.0,0.0,Plz wear a  & help all to reduce the pandemic of covid 19 @ 𝒦𝑜𝓁𝓀𝒶𝓉𝒶 - 𝒯𝒽𝑒 𝒞𝒾𝓉𝓎 𝒪𝒻  𝒥𝑜𝓎 https://instagram.com/p/CN_PHwUleNN/?igshid=1akll8d3zbyb4…,en
148,Arnab Dasgupta,2021-04-22T20:32:09.000Z,1.0,0.0,0.0,"Middle class, Lower middle class and BPL are busy fighting covid-19.
Politicians are busy fighting elections.
Previledged ones are busy vacationing, IPL, Movie Shoots.
Need of the hour being to get all together and do whatever help we can
United are we ?? Are we really ??? 
Think",en
150,KolkataFightsCovid19 - Resources,2021-04-22T18:52:33.000Z,0.0,1.0,0.0,"Covid cases in WESTBENGAL Today.
DAILY COVID UPDATE - 22nd April, 2021

WEST BENGAL- পশ্চিমবঙ্গ

NEW CASES: 11,948

একদিনে আক্রান্ত : ১১,৯৪৮

New Deaths : 56

#CovidIndia #WestBengal #COVIDUpdates #covidcase #KolkataCovid #cases #Covid #covid19 #CovidResources #CovidHelp",en
151,Dipankar Guha,2021-04-22T18:08:42.000Z,0.0,2.0,0.0,"#OxygenShortage #CoronavirusCrisis 
Any family in need of oxygen in Kolkata can reach 8447390017 12 ltr oxygen @ Rs.400/- only. No profit No loss. Please forward, it can save someone's life.#COVID19 #coronavirus #Covid #familyconcert",en
158,Rohan Biswas,2021-04-22T12:56:57.000Z,0.0,0.0,0.0,"India has just set a new global record for daily COVID-19 infections in a single country: 312,731 in 24 hours.
The Health infrastructure is also collapsed! 
#WeCantBreathe
#ModiGovtSeNaHoPayega #ModiFailsIndia #ModiResignOrRepeal",en
159,AMIT MAJUMDER,2021-04-22T12:02:02.000Z,0.0,3.0,1.0,"Today India has recorded more than 3 lakhs cases in a day. While India is running out of VACCINES, Covid-19 patients are dying without oxygen, PM of India is busy in campaigning for State elections.
Whether people live or die, it doesn't matter to PM. 
#WeCantBreathe",en
160,संजय Sanjay ཨནཇཡ,2021-04-22T11:33:15.000Z,0.0,0.0,0.0,"Fight #COVID__19: #StaySafe, and #PracticeSocialDistancing. 
Learn #ICT tools by joining us for daily #Webinar on ICTs in Education from 4.00pm to 5.00pm conducted by #CIET - #NCERT
For further information visit, https://ciet.nic.in/pages.php?id=webinar… ",en
161,Subhasree Das,2021-04-22T11:26:03.000Z,0.0,1.0,0.0,"Procedure for admitting covid patients in government hospitals in Kolkata
.
#COVID 
#CoronavirusPandemic 
#CovidResources 
#COVIDEmergency2021 
#Kolkata 
#KolkataCovidCare 
#covid-19 Kolkata",en
169,Rana | Please #Vaccinate,2021-04-22T04:53:14.000Z,1.0,0.0,0.0,"Why proper schooling is must! Looking at his sentence structuring it seems this garbage is circulating in #WA which he has copy/pasted or else if he is the one who has drafted this, then before #Covid catches us, politics will.",en
172,Aha! Biryaani & More,2021-04-22T04:21:21.000Z,0.0,6.0,6.0,#ahabiryaani urges all #Indians to follow #covid appropriate behaviour. #Follow the #protocols strictly. #coronavirus #COVID19,en
173,prasun goswami,2021-04-22T04:06:31.000Z,0.0,0.0,0.0,"Wants to know more about the association between antimicrobial resistance and antibiotics in a pre-COVID-19 scenario? Check out our new article with 50 days free access. 
@SETAC_world
 
@AcademicChatter
 
@WHO
 https://authors.elsevier.com/a/1cxjxAOM9vm-2#.YID0g3M5KZM.twitter…",en
