,created_at,username,tweet,language,replies_count,retweets_count,likes_count
6,2021-04-03 02:56:41 India Standard Time,drmirza9,Iraq judge who presided over Saddam Hussein’s trial dies of COVID-19  https://t.co/lIkAfCk4Ps,en,0,0,0
9,2021-04-03 02:28:52 India Standard Time,sanjeev_ohri,"Just Watch! today Sh. #AmitShah has put end to #Coronavirus #Corona #COVID19 in Arambag, West Bengal and thousands of people can be together in one place.  #Delhi walo fadlo mera bonka. Fufiyo hai hum saare.",en,0,1,1
12,2021-04-03 01:45:07 India Standard Time,sipgrab,CityWatch: Who will be the last New Yorker to die of COVID-19?  https://t.co/ZuTewWLjMZ #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,en,0,0,0
14,2021-04-03 01:43:08 India Standard Time,aashayrai,In the city of #indore a total of 3867 were tested on 2nd april out of which 708 have #tested #positive #COVID19 and positivity rate is 18.3% which is way higher than national avg. @CMMadhyaPradesh @MoHFW_INDIA @TOIIndoreNews @IndoreTalk @IndoreCollector,en,0,0,1
21,2021-04-03 00:47:41 India Standard Time,mavrikc,"India’s adoption rate to vaccine is horrible at this point.. People are not queuing up.. It’s strange !! But just like other things, we blame policies rather than doing what we as citizens need to do.. #GetVaccinated Do not find conspiracy theory around it but get a jab..#COVID19",en,0,0,2
22,2021-04-03 00:42:18 India Standard Time,safikhanmagical,@samialiaqat Quite alarming situation regarding #COVID19,en,0,0,0
23,2021-04-03 00:30:03 India Standard Time,mohonamukta2,Hon. PM and @albd1971 President  #SheikhHasina has instructed leaders and activists of her party and affiliates to prepare for a new wave of #Covid19 infection and support the people.   https://t.co/fuJ6m1R0Q4… #Bangladesh #CoronaVirusUpdates,en,0,0,3
26,2021-04-03 00:11:11 India Standard Time,sibaspeaks,"Covid19 never affects political campaigns and people!  No covid surge in Westbengal !  Hence to stop covid rise in mahatastra,  delcare a re election   #CoronaVirusUpdates #WestBengalPolls #maharashtralockdown",en,8,9,111
28,2021-04-03 00:06:03 India Standard Time,sipgrab,France sees biggest jump in COVID-19 intensive care patients in months  https://t.co/J0RdvlQF64 #Sipgrab #UnitingPeopleWithThePossibilities,en,0,0,0
29,2021-04-03 00:00:28 India Standard Time,azha3r4,First vaccine of covid-19 ✅💉,en,1,0,1
31,2021-04-03 00:00:02 India Standard Time,drhusseinfaour,"People fully vaccinated against #COVID19 (2 weeks after receiving the last recommended dose of vaccine) can travel within the US and do not need COVID-19 testing or post-travel quarantine if they continue to take precautions while traveling: #WearAMask, avoid crowds, #wash hands.  https://t.co/YMEeZtC8C5",en,0,0,0
33,2021-04-02 23:56:18 India Standard Time,gauravd_zee,#Breaking Vietnam asks for foreign support in procuring COVID-19 vaccines. #CovidVaccine #coronavirus #Vietnam,en,0,0,0
37,2021-04-02 23:40:41 India Standard Time,amitsaha4994,COVID-19 vaccination 2nd (COVAXIN)  https://t.co/XjDPBmSCwK,en,0,0,1
44,2021-04-02 23:32:47 India Standard Time,sureshdissanay8,"Great news @visitmaldives. Looking forward to welcome back our friends from UK. #COVID19 #postcovid #travel  Covid vaccination hotspots US, Maldives, Israel and Malta 'to host British tourists first'  https://t.co/3BVezYb4nH",en,0,2,1
45,2021-04-02 23:27:14 India Standard Time,vishalb65575291,Let's Crack the #market with #digitalmarketing .After #COVID19 #lockdown everyone is taking their #business #Online . Then what are you #waiting for? Reach us on #greekpiccreators to create a #Commercial #Website for your #business with the best #digitalmarketingagency 7904246116,en,0,0,1
53,2021-04-02 22:54:33 India Standard Time,sipgrab,MLB postpones rest of Nationals-Mets series due to COVID-19  https://t.co/8b5NPiEQfH #Sipgrab #UnitingPeopleWithThePossibilities,en,0,0,0
57,2021-04-02 22:49:28 India Standard Time,mateennnn,"how many have died due to Covid-19, and how many have died due to depression and/or financial issue, yet government hasn't come up with a right plan to save the people. this is making me sad, and I pray this is just a terrible dream that we will go through once and never again.",en,0,0,4
61,2021-04-02 22:38:53 India Standard Time,vemuri_srinivas,Amidst the increasing #COVID19 cases let alone #SocialDistancing there was no communication from the onground team on what’s expected and with infants and kids on flight it was one of the worst flight experiences one can endure,en,1,0,1
65,2021-04-02 22:31:52 India Standard Time,doctorsaheba,Counseling on Menstrual Hygiene &amp; Nutrition. 18 more food kits of 25 Kg each were distributed to poor families.  People were also motivated to get Covid-19 Vaccination.  All this was possible because of our awesome and dedicated team plus your funding and support for @HSF_India,en,1,0,4
66,2021-04-02 22:31:07 India Standard Time,svmurthy,"@CNNnews18 @Runjhunsharmas @maryashakil Vaccination in India crosses the 7 crore mark for covid19.  Yes, in 2.5 months!  Dismally, the daily average inoculations are on a slump . After reaching an avg of 2.3 million doses/day it has now dropped below 2 million ! Info Courtesy : @RijoMJohn",en,0,0,0
67,2021-04-02 22:27:15 India Standard Time,erangatennakoon,Numbers in Qatar also going up again. Half of the apartment my brother living isolated as many cases found. 800+ today also. #COVID19,en,0,0,2
