,created_at,username,tweet,language,replies_count,retweets_count,likes_count
15,2021-08-04 02:38:27 India Standard Time,bilalhussainch3,"Ex CM of Sindh nd our Honourable Saeen Qaim Ali shah positive for COVID-19 , prayers for speedy and complete recovery from Covid19.   May Allah bless him with healthy and long life amen sum ameeen  @ShahNafisa  https://t.co/zwEapjL4kF",en,0,2,4
21,2021-08-07 05:17:31 India Standard Time,nazuriyamada1,“I was raised to treat the janitor with the same respect as the CEO” Tom Hardy #Thesanitiserman #COVID19 #kitajagakita #kementeriankesihatanmalaysia #PKRC #iPhone12Pro  https://t.co/vWduqxsHNq,en,0,0,0
23,2021-08-07 04:55:29 India Standard Time,nazuriyamada1,"“When you photograph people in color, you photograph their clothes. But when you photograph people in Black and white, you photograph their souls! Ted Grant  #thesanitiserman #COVID19 #kitajagakita #kementeriankesihatanmalaysia #PKRC #iPhone12Pro  https://t.co/9676ZHfHpj",en,0,0,0
30,2021-08-07 03:01:05 India Standard Time,waseemwsm,"Dear Srilankans brace for impact, I repeat BRACE FOR IMPACT. Both pilots are turned out to be tuk tuk drivers...  #LKA #Srilanka #COVID19 #Delta #DeltaVariante #COVID19LK",en,0,1,1
33,2021-08-07 01:55:09 India Standard Time,uaecics,"Click ⬆️ to watch the full video.  ➡ Turkey Visa New Updates ➡Covid 19 New Rules Turkey. ➡Turkey Full Process and Feeses. ✈ K Middle East Immigration +971582264481,+97165694780 #immigration #travel #visa #tourism   Click ⬇ to watch the full video.  https://t.co/Z7mYIL4u3I",en,0,0,0
42,2021-08-07 00:29:24 India Standard Time,sureshangurana,Impact of COVID-19 on Acute Viral Bronchiolitis Hospitalization Among Infants in North India.  https://t.co/ZbqaStC4Px  #PedsICU  @lalittakia  @awasthi_pusp  #COVID19 @PICJournalWatch,en,0,4,7
45,2021-08-06 23:57:47 India Standard Time,jasghar,@RehanMian3 Does not matter. #Pakistan does not have good #surveillance for #COVID19 let alone for #Breakthrough infections.,en,1,0,1
46,2021-08-06 23:53:04 India Standard Time,informtorajeev,Vaccination completed👌💯 #CovishieldVaccine #dose2 #doneanddusted #covid_19 #covidvacccine #fightwithcorona #ɢᴇᴛᴠᴀᴄᴄɪɴᴀᴛᴇᴅ💉,en,0,0,0
49,2021-08-06 23:30:32 India Standard Time,akhtarshaheen,@SCC_eng sir please confirm authenticity of news circulated on social media attributed to your honorable court that a man has won a case against covid vaccination and lockdowns. Below is one of such news links  https://t.co/JOxvjzKhPh @WHOPakistan @OfficialNcoc @WHO #COVID19 #Pak,en,0,0,0
51,2021-08-09 05:14:27 India Standard Time,pradeep68400130,"Interesting to note that people coming from U.K., Europe and India cannot enter US but those from Pakistan can! #Covid_19 #TravelRestrictions",en,0,0,0
52,2021-08-09 05:13:24 India Standard Time,superyachtbuzz,"Israel's president gets third COVID-19 shot, urges boosters for over-60s  https://t.co/jezfwczm5O",en,0,0,0
60,2021-08-09 04:29:17 India Standard Time,farhanaefendi,May allah save and protect us all from covid 19. Amin YRA 🤲🏼🥺 Stay Vigilant everyone!😔 #kitajagakita #StayHome,en,0,0,1
66,2021-08-09 02:59:06 India Standard Time,thenawnitkumar,"""#Tokyo2020 concludes with 430 Olympic-related #COVID19 cases""   https://t.co/9alTpMsIG1",en,0,0,0
69,2021-08-11 05:21:35 India Standard Time,ambulance_ray,Private road ambulance service kotdwar bijanor haldwani ICU ventilator critical care ambulance service ambulance with ventilator dead body transportation by road air and train covid- 19 book ambulance on-line 24× 7 emergency ambulance service mortuary ambulance dead body ambulanc  https://t.co/7gCdIsd3tN,en,0,0,0
72,2021-08-11 03:00:35 India Standard Time,srivimal4478,Sir I got the fraud successfully  covid -19 vaccination  certificate  even though   I couldn't  attend. This is completely  wrong &amp; fraud activity is performed .Please investigate&amp; probe   @cmouttarakhand @MoHFW_INDIA @DmHaridwar  @cmoharidwar  @lavagarwal  @CMuttarakhand  https://t.co/1ndiPG1gNd,en,1,1,0
