,username,created_at,replies_count,retweets_count,likes_count,tweet,language
14,Ashis,2021-08-26T06:53:33.000Z,1.0,0.0,0.0,"For the last two years govt try to mitigate liquidation expenses for the citizen of india owing to recovery from Covid-19 pandemic situation and instructed PSU bank's to easy lend covid related exp with minimum int. rate, most of the PSU has done this except SBI, the YONO has~",en
15,Mahesh Saharia,2021-08-25T15:58:16.000Z,0.0,0.0,0.0,"Israel, once model for beating #COVID-19, faces new surge of infections, Last spring, Israel’s remarkably swift vaccination campaign was seen as a global model. Distancing rules & mask mandates were scrapped 
@MoHFW_INDIA
 see results http://wionews.com https://wionews.com/world/israel-once-the-model-for-beating-covid-19-faces-new-surge-of-infections-408309…",en
16,Shamik Bhattacharyya,2021-08-25T09:47:03.000Z,0.0,1.0,1.0,"""New Zealand's lockdown extended as COVID-19 outbreak grows""  https://twitter.com/i/events/1427524465005449221… @JecindaArden",en
18,Ayan Chatterjee,2021-08-25T05:23:15.000Z,0.0,0.0,1.0,"Covid-19: India might be entering the endemic stage, says WHO chief scientist Soumya Swaminathan https://scroll.in/latest/1003650/covid-19-india-might-be-entering-the-endemic-stage-says-who-chief-scientist-soumya-swaminathan… via 
@scroll_in


Hope that is what happens! 

#COVID19",en
19,Vinay Kumar Dokania,2021-08-24T12:20:11.000Z,0.0,14.0,20.0,"You made fun of me when I spoke of Covid-19. It’s okay. I am saying this again today: The Prime Minister is selling the future of youth of India. In order to help some of his corporate friends, he is launching an attack on youth’s future:Sh 
@RahulGandhi
 
#RahulAgainstSellingIndia",en
21,Ranadeep Guha,2021-08-24T02:45:31.000Z,0.0,0.0,1.0,"Learn how to apply the techniques of Pranic Healing.
Enroll now for the Pranic Healing FREE Workshop on the 25th of August 2021. 

All covid-19 protocols will be maintained and atleast 1 dose of vaccination is mandatory.

Contact us to know more about this workshop.",en
23,Yoriichi Tsugikuni,2021-08-24T02:41:37.000Z,0.0,0.0,0.0,"@AntonovCompany
 Hope this giant is going around the world  with COVID-19 vaccines ",en
24,Manchester United India ,2021-08-23T19:21:28.000Z,0.0,0.0,0.0,"Premier League clubs lost £618million in the 2019-2020 season due to Covid-19. Man United were the worst hit with losses of £118m with Spurs second on £69m [
@SwissRamble
]",en
25,Tirthadeep K,2021-08-23T16:46:00.000Z,0.0,0.0,0.0,"COVID-19 is awful. Climate change could be worse. https://gatesnot.es/2Bsqyqq?WT.mc_id=00_00_00_share_tw… via 
@billgates",en
28,Mahesh Saharia,2021-08-22T03:05:14.000Z,0.0,0.0,0.0,"@drharshvardhan
 a fine gentleman managing so well #Covid but ignored preparation for 2nd Wave. Sanctioned #O2 #Projects with funds not implemented. #India paid huge price.
@mansukhmandviya
 
@MoHFW_INDIA
 pls donot be complacent. Need vaccine production boost. 2nd dose huge backlog.",en
29,Pushpal Roy,2021-08-22T01:37:28.000Z,0.0,0.0,0.0,"COVID 19 crippled indian people without actually affecting. Trains stopped for 8 months in india. WB chief minister Begum thinks virus travels by train only- all local, sub urban trains stopped. Innumerable damage done to society. Ten times freight being paid. Megalomeniacs.",en
30,Vinay Kumar Dokania,2021-08-21T10:56:37.000Z,0.0,4.0,10.0,"PM Modi invented Covid 19 vaccine claims Tripura CM Biplab Kumar Deb..
We completely trust his intelligence .
Did Modi also invent the Corona Virus, is the question..",en
31,Md Shahbaz Alam,2021-08-21T09:23:08.000Z,1.0,2.0,11.0,"Alone we can do so little; together we can do so much..

Motivated with the social service of our leader 
@FirhadHakim
 

Food packets and Masks are being distributed amidst the crisis of Covid 19, on the day of 10th Muharram.",en
32,Debraj Majumdar,2021-08-20T17:09:31.000Z,0.0,0.0,0.0,"Wow... What a news... What a relief... Kudos to 
@ZydusUniverse
... Our New India is the saviour to the whole world under the tremendous support and guidance of our beloved 
@narendramodi
 Ji in this Covid'19 global pandemic... Bharat Mata Ki Jai Vande Maãtaram",en
34,Santanu Bhattacharya,2021-08-20T10:59:50.000Z,0.0,0.0,0.0,"Replying to 
@Srabant46789518
 
@sailorsalil
 and 2 others",en
37,Joyjeet Paul,2021-08-19T09:54:55.000Z,0.0,0.0,0.0,#COVID-19 vaccines may trigger #superimmunity in people who had #SARS long ago,en
39,Santanu Bhattacharya,2021-08-17T17:31:17.000Z,0.0,0.0,0.0,COVID-19 changed the thought processes of individual & world. Now  changed the perspective again. Already initiated to redefining many things...!,en
43,Joyjeet Paul,2021-08-15T17:16:12.000Z,0.0,6.0,5.0,"What will it be like when #Covid_19 becomes endemic? 
@_atanas_
 https://news.harvard.edu/gazette/story/2021/08/what-will-it-be-like-when-covid-19-becomes-endemic/… via 
@Harvard",en
44,Sagnik Ritam Ghosh,2021-08-14T12:48:11.000Z,0.0,2.0,4.0,"With all due respect to #AcademicTwitter,  COVID-19, New TVSeries etc,

Please! 
Let's talk #Afghanistan!",en
47,Anirban Bhattacharya,2021-08-13T13:18:25.000Z,0.0,2.0,2.0,India's first nasal vaccine against COVID-19 gets DCGI nod for phase 2/3 clinical trials,en
50,Sheikh Hasnain Ali,2021-08-12T12:40:26.000Z,1.0,0.0,0.0,"Today, I took my 1st Dose of #COVISHIELD #COVID19Vaccine at Woodlands Hospital, Kolkata.

I salute to our Doctors and Scientists who have worked in quick time to strengthen the global fight against COVID-19. (1/2)
#GotMy1stDose #Vaccinated_Today",en
51,पलाश,2021-08-12T11:33:40.000Z,0.0,0.0,0.0,Covid-19 Vaccine Completed  Dose 1,en
52,पलाश,2021-08-12T11:30:16.000Z,0.0,0.0,0.0,Covid-19 Vaccine Completed  Dose 1 @ Kolkata https://instagram.com/p/CSeQTI8Hr1RsRHd6h1RrOMxFU5o1izXaUlglog0/?utm_medium=twitter…,en
56,Avidreepta Gupta,2021-08-11T16:41:09.000Z,0.0,0.0,0.0,"Only the local trains in #Kolkata have corona left.Less train, but same number of daily passenger. Can you imagine the daily struggle of us? And each and every day new rules of subways. Why? If only one subway is opened, then administration could control COVID-19
#IndianRailways",en
63,Sayan Dey,2021-08-10T12:03:36.000Z,0.0,0.0,0.0,"Just see our ascending graph! This is a curve, we would like to peak ASAP! Enough with the COVID-19 curve!

But seriously, that Semi-Final finish merits only a 1-place jump? That's a bit bewildering!",en
68,Shantanu Biswas (শুভ্র) ,2021-08-10T03:21:50.000Z,0.0,0.0,0.0,"35,499 cases and 447 deaths in last 24 hours...
#COVID19 #covidnsw #Corona",en
69,ishtiyaque ahmed,2021-08-08T20:20:15.000Z,0.0,0.0,2.0,"● This vaccine, also called as Janssen COVID-19 vaccine, has been developed by Janssen Vaccines in Leiden, Netherlands.",en
71,Mahmudur Rahman,2021-08-08T20:18:25.000Z,0.0,0.0,0.0,"Replying to 
@ReutersSports",en
