,created_at,username,tweet,language,replies_count,retweets_count,likes_count
11,2021-07-05 01:11:21 India Standard Time,nirvedplus,Covid 19 era gone? If gone dm me or else tweet .....,en,0,0,0
13,2021-07-05 00:24:17 India Standard Time,drahmed_aweis,"COVID19 is going far..the magnificent evolution and mutation of the virus, the spill over and over between species is dangerous to any effort of containment, elimination or eradication of the disease.  Global solidarity, vaccine equity &amp; responsible citizens is the only way out.",en,1,4,18
14,2021-07-05 00:17:59 India Standard Time,lokesan8,Biden's Fourth of July celebrations clouded by a gnawing concern over the Delta variant of Covid-19   https://t.co/hKlp6IHYlF,en,0,0,0
16,2021-07-05 00:17:27 India Standard Time,mansoor_ali9,"#Leadership is all about leading from the front &amp; adding value to the cause #COVID19 , much satisfying to c all latest Global Research confirming our theory identified in the early days of #pandemic   https://t.co/fPoOm2QR3Y   https://t.co/jIvfOGNJTo @DrSatishRanjan @CovidAirborne  https://t.co/1QchDkbZnK",en,0,1,3
17,2021-07-05 00:05:46 India Standard Time,erangatennakoon,Daily cases increasing globally? #Pandemic #COVID19  https://t.co/0niNd0EazR,en,0,0,2
26,2021-07-04 23:24:07 India Standard Time,manikrajpal8,These people deserve to be in Manali but Ma is silent 😳🤮 #manali #Trending #COVID19 #ThirdWave #DeltaPlusVariant #CoronavirusPandemic #vacation #HimachalPradesh #Chandigarh #Punjab #delhi #Haryana #lockdown  https://t.co/WGRUNEuQTt,en,0,2,7
29,2021-07-04 23:05:26 India Standard Time,iflynfeast,6 countries that will pay you to visit once covid - 19 pandemic is over.  .  . . Click here to check out my Instagram and follow for amazing content-    https://t.co/nhpBWMRQas  #ManishaaDubey #iflynfeast #reelsinstagram #travelblogger #follow #RT #retweet #writerslift #Covid_19  https://t.co/rSWU5jXprJ,en,0,2,5
33,2021-07-04 22:45:48 India Standard Time,ravinku2004,@AamAadmiParty @ArvindKejriwal In my opinion the scientists who developed the covaxin against Covid -19 deserve the Bharat Ratna most. Why should you not write about it?,en,0,0,2
35,2021-07-04 22:34:41 India Standard Time,prabhakarj16,To keep childrens safe from 3rd wave of #Covid19 - started #Regular #online #yoga #Training #Campaign in all the institute of #Bhabhua #Kaimur . #BiharWithYoga  @PMOIndia @narendramodi @AmitShah  @IPRD_Bihar @officecmbihar @NitishKumar @mangalpandeybjp @AyushBihar @Tejasvi_Surya  https://t.co/0BS7NhQeKD,en,0,0,0
41,2021-07-04 22:21:44 India Standard Time,dilipkarnataka,"#LimitlessIFRC  Young people across the globe have limitless talent, creativity and innovation potential. Limitless supports and promotes local innovation and global collaboration for COVID-19 recovery and beyond, led by the Red Cross Red Crescent youth.  https://t.co/7QyOSVTV2D  https://t.co/zMei4gyxMX",en,0,0,1
42,2021-07-04 22:20:18 India Standard Time,ramanujagrawal,"""जुलाई भी आ गया है, और 35 करोड़ भारतीयों को वैक्सीन भी लग गयी।।""  The Opposition leaders should not be tweeting the demoralizing statement like these when our health workers, doctors and support staff is working so hard to get people vaccinated and to make India #COVID19 free.  https://t.co/r3lU7tPc1g",en,0,0,4
47,2021-07-04 22:02:06 India Standard Time,vinbjpvp,"Hon’ble PM @narendramodi would be sharing his thoughts on #CoWINGlobalConclave as India offers #CoWIN as a digital public good to the world to combat #COVID19.  Join #CoWINGlobalConclave on July 5, 1500 hrs (IST). Reg on:  https://t.co/lR6QwAkneB @satyakumar_y  @BJP4AN  https://t.co/BubsVy7Sh6",en,0,2,4
53,2021-07-04 21:42:41 India Standard Time,ahmadnazir655,"The six new districts where covid-19 curfew has been lifted include Poonch, Raiouri, Anantnaa, Baramulla, Budgam and Pulwama",en,1,0,0
98,2021-07-11 00:55:22 India Standard Time,iskandarsamad,"The recent surge in daily Covid-19 cases in Selangor is due to active detection and screening activities in areas under EMCO, says Health Minister Dr Adham Baba. He said 25,005 screenings were conducted on July 6 compared to 19,614 on July 5. ( Malaysia Now )",en,0,1,4
