,created_at,username,tweet,language,replies_count,retweets_count,likes_count
0,2021-06-03 03:35:55 India Standard Time,albosaily1958,Did anyone notice a change in their psychological and physical condition after he took the coronavirus vaccine?,en,0.0,0.0,1
1,2021-06-03 01:38:30 India Standard Time,stickwithchick,"Say goodbye to the “Indian,” “South African” and ""British"" Coronavirus variants.  According to the World Health Organization, they’re the Delta, Beta and Alpha variants now.   https://t.co/nkQo4IdGqO",en,0.0,0.0,1
2,2021-06-03 00:59:28 India Standard Time,ssforgdel,"Dear all, Keep Donate Keep Retweet   https://t.co/TRRT59Sd8K  #milaap #verified #campaign #COVID19 #coronavirus #hunger #food #help #COVIDEmergencyIndia #Covid19IndiaHelp #HelpingHand #BlackFungus",en,0.0,2.0,1
3,2021-06-03 00:54:37 India Standard Time,msknowledgehub1,#jobseekers #jobvsmlm #MLM #directselling #networking #networkmarketing #rojgar #ModiHaiTohMumkinHai #coronavirus #COVID19 #AffiliateMarketing #entrepreneur  #leadership #lockdown  Which is best for your future and Dreams? Job - Rt 🐦           Direct Selling- Like ❤️  https://t.co/fcj7letDwE,en,0.0,0.0,2
4,2021-06-03 00:38:41 India Standard Time,usmanitoheed,@UsmaniToheed  This is the same mosque which used to be full of worshipers and visitors  Pray that the corona virus ends from the roots  Allah masjid khol dai inshallah❤️ ये वही मस्जिद है जो कभी इबादत करने वालों और सैलानियों से भरी रहती थी #jamamasjid  #India  #DelhiFightsCorona  https://t.co/KHGP0eLUT0,en,0.0,0.0,1
5,2021-06-02 23:28:26 India Standard Time,kiteprojectdot,Glimpses of 2nd Day of Training session on #COVID SOPs for #KPTourism sector and other safety steps against coronavirus to ensure SAFE TOURISM at Millennium Naran (Mansehra) arranged by @KITEProjectDoT. (01.06.21)  #KITEDoT #KITE #ResponsibleTourism  @dostacykp @kafzal01  https://t.co/ERPBPwglA4,en,0.0,8.0,13
6,2021-06-02 22:31:04 India Standard Time,sipgrab,"Coronavirus Update: New COVID-19 cases, deaths and hospitalizations keep falling, as vaccinations keep increasing  https://t.co/zeYu9uF9e1 #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",en,0.0,0.0,0
7,2021-06-02 22:18:51 India Standard Time,jitmack,Such a very bad situation many people dead 💀 continuously by #coronavirus and who are alive they feel fear from it. Ehe. I check corona reports I completely worrying about humanity and world #badnews #coronavirus @htTweets,en,0.0,0.0,0
8,2021-06-02 22:08:06 India Standard Time,raabiasaleem,How’s the coronavirus situation in pakistan? Have the daily cases gone down?,en,1.0,0.0,0
9,2021-06-02 21:47:33 India Standard Time,kanpururban,"What you want, is not always what you need.  You want to go to the newly opened @StarbucksIndia for a nice, sophisticated coffee  BUT  You need to sip hot water at home. Stay Strong, Stay Safe, Kanpur. #coronavirus #COVID19India #StayStrongIndia #kanpurFightsCorona",en,0.0,0.0,0
