,created_at,username,tweet,language,replies_count,retweets_count,likes_count
0,2021-03-03 05:27:32 India Standard Time,peterhone,@skynewssarah @NicolaSturgeon is now trying to use #COVID19 positive spin to save her own arse. When she resigns the cheering in Scotland will be able to be heard in london 🤣🤣 #SturgeonMustGo #SturgeonGate,en,0,0,0
8,2021-03-03 03:04:30 India Standard Time,akzureikat,"@YMasannat @VGDakessian Time will tell! So far, and based on the data from millions of people vaccinated around the world, the potential benefits from vaccination against COVID-19 far outweigh the potential side-effects  https://t.co/S8oth5jEEW  https://t.co/1Gjrx3lSYO",en,0,1,2
9,2021-03-03 03:00:03 India Standard Time,maphepane,Texas and Mississippi lifts ALL its COVID-19 precautions  https://t.co/ni5ZAhDq0A via @MailOnline,en,0,0,0
12,2021-03-03 02:14:21 India Standard Time,akzureikat,“The lymph nodes in your armpit area that we see on your mammogram are larger on the side where you had your recent Covid-19 vaccine”... @YMasannat @VGDakessian,en,1,1,2
14,2021-03-03 01:58:44 India Standard Time,petethitiwatt,Preparing New kinds of Knowledge to be Highlighted in Post-Covid-19 Transitioning to serve people and government around the world as a basic necessary perceptions have to be built before. For easier for running all policies moving forward to SDGs as fast as possible👉,en,1,0,2
18,2021-03-03 00:51:17 India Standard Time,mansoor_ali9,Honoured to be #nomination among best for #COVID19 controlling #COVID19India @ZeeTV @ZeeNewsEnglish @ZeeNews @zee24taasnews @CNBCTV18News @CNBCTV18Live @CNBC @CNBCnow #COVIDー19 #covidwarriors #CoronaWarrior @amfahindia #awards #AwardWinning #recognition #globalindianoftheyear  https://t.co/UeiGSs8Dju,en,0,1,2
20,2021-03-03 00:37:45 India Standard Time,puneet705,"If the Congress were in power, we would have got a vaccine dose for ₹2500 and that too would have been imported from China.    एक नया scam भी आता 2024 में जिसका नाम होता ""Covid19 Scam 2024"" #COVID19  #COVID19Vaccine  #COVID19Vaccination",en,0,0,0
21,2021-03-03 00:30:18 India Standard Time,drvikaspadha,"Healthcare Workers of India were the first to be vaccinated with #COVID19Vaccine followed by PM @narendramodi . Even then if you are scared to get vaccinated by #COVID19 vaccine , then Almighty bless you 🙏",en,0,1,4
22,2021-03-03 00:24:58 India Standard Time,drvikaspadha,Please motivate elders in our homes to take #COVID19 vaccine. This single step is going to save many precious lives . Please don't pay attention to rumours being spread about #COVID19 vaccines . Lets convert this fight against Corona into a grand victory! #COVID19Vaccination 🇮🇳,en,2,5,31
25,2021-03-02 23:46:37 India Standard Time,surendernikhil,"Dear DrSurender Nikhil Gupta,  Congratulations! You are successfully administrated with 2nd Dose of COVID-19. You can download your provisional certificate at -  https://t.co/N9ARWieFNF. In case of any queries post vaccination , contact our help line at 1075 - CoWIN  No Prov Certi",en,0,1,0
27,2021-03-02 23:18:48 India Standard Time,__namansharma,Traders flout Covid-19 guidelines; claim the disease is a myth   Check out my story on Thesoftcopy @iijnmbangalore    https://t.co/RaJH7Ukain    #corona #heath #bangalore,en,0,1,2
28,2021-03-02 23:16:25 India Standard Time,sanjaytirdiya,"#India reports 12,286 new #COVID19 cases, 12,464 discharges and 91 deaths in the last 24 hours, as per the  Union Health Ministry   Total cases: 1,11,24,527 Total discharges: 1,07,98,921 Death toll: 1,57,248 Active cases: 1,68,358   Total Vaccination: 1,48,54,136  #StaySafe  https://t.co/ntWiQJgnQO",en,0,0,1
30,2021-03-02 22:48:40 India Standard Time,ksombbsr,"Biological Warfare is now Multilingual, written by Dr Biswajit Das and co-authored by Ms. Divyashree Das.  Have a look at the illustrious profile of Prof. Biswajit Das  https://t.co/IZ7yGlP9tp  #ksombbsr #books #COVID19 #faculty #LAMBERT #global #KIIT  https://t.co/IwuHRslMuy",en,2,46,93
31,2021-03-02 22:20:12 India Standard Time,bikramgupta,@dominos_india Dominos Jhansi in this pathetic state and they say we take care of covid19 norms. The actual site is even worse. I think people will appreciate if you will at least maintain the basic cleanliness. @fssaiindia @MoHFW_INDIA @nhm_up  https://t.co/zx6gZ0pa5o,en,1,0,0
32,2021-03-02 22:17:07 India Standard Time,_abhinavshankar,"@GargiNangalia I don't have any connection with the new batch as our campus has not reopened due to COVID-19.  FYI, I am still a student of the institute pursuing BA (final year).",en,0,0,0
33,2021-03-02 22:13:06 India Standard Time,spice_health,"We are delighted to share that our CEO, Ms. Avani Singh, inaugrated the SpiceHealth COVID-19 #VaccineDrive!  We believe our frontline workers have shown great courage and worked tirelessly during these trying times, and deserve this!  https://t.co/pcG2ppUXjS",en,1,0,0
