created_at,username,tweet,language,replies_count,retweets_count,likes_count
2021-08-02 00:58:31 India Standard Time,engrmayyaz1,395 people test positive for coronavirus today in Islamabad; positivity rate at 10.66%. @dcislamabad @hamzashafqaat  Dil Dil Pakistan ❤️❤️❤️  https://t.co/GAVSUwI8Yp,en,0,1,3
2021-08-02 00:46:39 India Standard Time,baskara49033078,@yoursanjali Your don't for the covid-19 test. Corona virus lies.,en,0,0,0
2021-08-01 21:42:26 India Standard Time,jehlamtimes,"JK reports 145 new positive cases, 316017 recovered so far  #SRINAGAR: The Government on Sunday informed that145 new positive cases of novel Corona virus (COVID-19), 48 from Jammu division and 97 from Kashmir division.  https://t.co/iuthlab9Fm",en,0,0,0
2021-08-01 20:12:02 India Standard Time,chellam73628887,Coronavirus marriages home marriage small group marriages and low budget cost marriage  https://t.co/AobZDexeao,en,0,0,0
2021-08-01 20:09:59 India Standard Time,chellam73628887,Lovers life   Coronavirus death  https://t.co/GgVkOrGhOF,en,0,0,0
2021-08-01 20:09:17 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/a5Dsx5zma7,en,0,0,0
2021-08-01 20:08:24 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/jYhn6DwPZq,en,0,0,0
2021-08-01 20:02:09 India Standard Time,watashinimaru8,"🦠even after this outbreak of the Corona virus, I'm about to keep continuing, to wear facial mask😷to prevent any diseases, those have been hidden.🦠",en,0,1,4
2021-08-01 20:00:54 India Standard Time,aravind_oficial,𝒢ℴℴ𝒹 𝒩𝒾ℊ𝒽𝓉 🌃🌉 ℱ𝓇𝒾ℯ𝓃𝒹'𝓈 ..  𝑯𝒂𝒊 𝒇𝒓𝒊𝒆𝒏𝒅𝒔  𝑯𝒐𝒘 𝑰𝒔 𝑻𝒉𝒊𝒔 ...... 𝑪𝒍𝒊𝒄𝒌 𝑫𝒂𝒕𝒆 01/08/2021 #mobilephotography  #btphotography #pics #art #pictures   #ARAVINTHAN_OFFICIAL #NaturePhotography #SriLanka  #coronavirus #MaskUp #KOVID19  https://t.co/PDPFioseIx,en,0,0,25
2021-08-01 19:49:09 India Standard Time,william67335893,Market Thailand @William67335893   https://t.co/ADpVdYwhNT #Thailand #ThailandNews #Thai #streetphotography #streetphoto #Bangkok #Covid_19 #CovidIsNotOver #COVID #COVIDー19 #Corona #coronavirus #pandemic #pandemiclife #DeltaVariant #SocialDistance #StaySafe #StayHealthy #lockdown,en,0,0,0
2021-08-02 22:07:15 India Standard Time,dhavalkulkarni,"BMC eases #lockdown restrictions in #Mumbai, allows all shops to stay open till 10: 00 pm, dining in restaurants allowed till 4:00 pm. All indoor &amp; outdoor games allowed, except swimming pool &amp; other games where social distancing not possible. #COVID19 #Corona #Covid #coronavirus  https://t.co/UqJe0tIkNb",en,0,3,10
2021-08-02 20:24:08 India Standard Time,parakh_jinendra,I have taken the #youngwarriorpledge to defeat #coronavirus.I will recommend everyone to join this movement and help our country to combat #COVID19. @BandiSam   @abhisheksinghDP  @harsh_dubey4  @chandanrai87 @amandeep14 @namrata_v9  https://t.co/w2Ysqhnog3,en,1,3,24
2021-08-02 20:11:45 India Standard Time,chellam73628887,Coronavirus marriages home marriage small group marriages and low budget cost marriage  https://t.co/JobZwbIHi9,en,0,0,0
2021-08-02 20:09:25 India Standard Time,chellam73628887,Lovers life   Coronavirus death  https://t.co/zlC4GQowWK,en,0,0,0
2021-08-02 20:08:14 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/ppDVWQHKxC,en,0,0,0
2021-08-02 19:45:40 India Standard Time,chhun23741810,"China has succeeded in the fight against the pandemic so why not consider implementing similar measures that Beijing has already enacted. The ""consider the China Model"" might be a better approach than the ""blame China"" in future efforts to tackle the Coronavirus.  https://t.co/leCrrY2dmw",en,0,0,1
2021-08-02 19:40:27 India Standard Time,kali_ghata,"List of private hospitals of #Karachi who are offering Free #Vaccination against #Covid19  OMI, South City, Hashmanis, Liaquat National, Patel, Medilink, Park Lane, PNS Shifa, Ziauddin, AKUH #CoronaVirus #KarachiLockDown #LockDown #Vaccination",en,0,4,2
2021-08-04 01:08:31 India Standard Time,mujahidukhattak,We thank the Sindh government for turning 12 mobile hospitals into #COVID vaccine mobile centers. The Sindh government is the only government that thinks and takes serious steps for its people to save the people of Sindh from a deadly disease like Corona Virus. @BBhuttoZardari  https://t.co/RLoIt30fJ7,en,1,8,12
2021-08-03 21:43:09 India Standard Time,baskara49033078,@anishadixit Oh. Ok you're congratulations to back home view. Nothing to worry you. Coronavirus is not for the disease completely all right. You don't feel,en,0,0,0
2021-08-03 20:38:29 India Standard Time,vietnewsgateway,"#Vietnam logs nearly 8,400 new locally-acquired #coronavirus infections  https://t.co/Itpizkcy3K",en,0,2,5
2021-08-03 20:30:57 India Standard Time,therahulojha112,"After completing the stipulated time after recovering from the global pandemic corona virus infection, CM Yogi Adityanath also took the second dose of corona vaccine on Monday.  #UPLeadsVaccineDrive @myogiadityanath  @myogioffice  @BJP4UP",en,0,0,2
2021-08-03 20:09:55 India Standard Time,mohanba54923485,"Tweet revealing, wretched invisible enemy Chinese coronavirus penetrating on May13, 020 into US' Invincible fort White House, from there 2 Prez Trump's office &amp; his home, posing potential threat 2every one's iife in d family, scaring Prez to teeth, making him bow down to China..",en,0,0,0
2021-08-03 19:35:37 India Standard Time,mohanba54923485,Twitter suspends account of scientist who had claimed Wuhan coronavirus was made in lab  https://t.co/Vrl7Odd6nL via OpIndia_com,en,0,0,0
2021-08-03 19:33:24 India Standard Time,handsvshunger,Help Others🤝 Your little can be everything for someone. #charity #nonprofit #donate #love #covid #fundraising #support #help #volunteer #giveback #donation #education #ngo #dogood #hope #socialgood #children #donations #change #family #coronavirus #life #makeadifference #bhfyp  https://t.co/whULIpMwOh,en,0,4,5
2021-08-06 21:52:42 India Standard Time,investfirst1,"A positive jobs report spurred Wall Street to push some stocks and Treasuries higher, but investor optimism was tempered by looming inflation, a potential decline in Federal Reserve stimulus and the coronavirus' Delta variant  https://t.co/RaXHtcsG3C  https://t.co/RwXHz4kK2n",en,0,0,0
2021-08-06 21:47:43 India Standard Time,menakaw9,Media Release 2021.08.06 Covid death figures reported today 06.08.2021 #DGI #Government #Information #Department #News #infodprtsl #Srilanka #Covid19 #Coronavirus #StaySafe #SocialDistancing #Virus #Pandemic  https://t.co/yqQ7msxGgF,en,0,4,1
2021-08-06 21:14:45 India Standard Time,chellam73628887,Coronavirus marriages home marriage small group marriages and low budget cost marriage  https://t.co/gBT3SYrLsq,en,0,0,0
2021-08-06 21:06:45 India Standard Time,drkkb17,Can Coronavirus Live In Water?  https://t.co/vr5cTZk3Km,en,0,0,0
2021-08-06 20:16:38 India Standard Time,acapspears,"I’m glad that this coronavirus happened in some way, it really heals my relationship with my parents, even stronger with my dad. We barely speak after I left for my edication and I always find mom. Selalu lupa pasal ayah. A blessing indeed…",en,0,0,4
2021-08-06 19:22:52 India Standard Time,sofriejasman,😩No… No… No… I’m not going!!!🥲 Singapore Covid-19 Update: From 19th August up to 50% of employees can return to the workplace.😭  #wfh #workfromhome #memes #memesdaily #memeoftheday #singaporememes #singapore #singaporean #covid19 #covid19memes #coronavirus #coronamemes  https://t.co/OaKT44jcHH,en,0,1,0
2021-08-06 18:39:27 India Standard Time,areyaisehi,"The only good thing the Corona virus brought is destroying Cinema Industry. The Indian film industry run by fools, uneducated no-Art folks.",en,0,0,0
2021-08-06 18:37:32 India Standard Time,stigmabasea,"INNR — Coronavirus likely to lock India's women out of job market for years: Many of the women Reuters spoke to stressed the damage from job loss to their self-esteem, leading to mental and physical health issues. ""Our men at ... View article...  https://t.co/HsB2hmFGId",en,0,1,0
2021-08-06 17:42:54 India Standard Time,dg1920khairul,"Bangladesh 🇧🇩 Coronavirus caseload surges by 12,606 in a day to 1,335,260; Dhaka counts 5,339 new cases, highest among 8 divisions.  https://t.co/rxvkl2cAqB",en,0,0,0
