created_at,username,tweet,language,replies_count,retweets_count,likes_count
2021-07-01 23:00:44 India Standard Time,pushpraj012,28th Dec 2020 and still not has been completed and no one knows when will they conduct CBT-2.Sir the main question is that why did they wasted the first 9 months(April 2019-Dec 2019) after the completion of filling of the forms?Remember Sir the very girst case of coronavirus was,en,1,0,0
2021-07-01 22:06:08 India Standard Time,shekhargnikam99,"Let us thank our saviors for all their tireless hardwork during this coronavirus pandemic and also for their outstanding service to mankind.  On the occasion of Doctor's Day, I wished all the doctors of my #265ChiplunSangameshwarVidhansabhaConstituency  https://t.co/lqAMx9RaTV",en,1,0,9
2021-07-01 21:32:30 India Standard Time,lpsahi,"Really liked this programme @sardesairajdeep ... Best quote from 1 of the lady doctors: ""Life is fickle."" Terrific quote by her on God, too... While we should celebrate #DoctorsDay2021, there must also be a Day for #India to remember all the #coronavirus victims... It's needed.",en,2,1,14
2021-07-01 21:32:23 India Standard Time,aliraza_rind,#SaindakProject has resumed production after an extraordinary shutdown owing to coronavirus and some technical issues in the smelter. The ignition ceremony of smelter was held in the Saindak.The Chinese firm #MRDL hopes to produce more than 15000 tons of blister copper this year.  https://t.co/bwnErGKIeg,en,0,1,8
2021-07-01 21:06:08 India Standard Time,jayanta13998620,Coronavirus: Thailand sees record deaths as first Phuket sandbox tourists arrive  https://t.co/r8pNgn1MQE,en,0,0,0
2021-07-01 20:32:48 India Standard Time,soundirarajanr,Coronavirus marriage home marriage small group marriage and low budget cost marriage  https://t.co/0N1L2Z1MS6,en,0,0,0
2021-07-01 19:43:49 India Standard Time,menakaw9,Media Release – 2021.07.01 Covid death figures reported today 2021.07.01 #DGI #Government #Information #Department #News #infodprtsl  #Srilanka #Covid19 #Coronavirus #StaySafe #SocialDistancing #Virus #Pandemic  https://t.co/PoFK8uQSIK,en,0,3,1
2021-07-01 19:23:35 India Standard Time,mekotweet,43 more COVID-19 related deaths reported.... #COVID19 #fatalities #coronavirus  https://t.co/cvAlFv4QwG,en,0,0,0
2021-07-01 18:55:52 India Standard Time,smithku29521797,"#DoctorsDay 👍 wish u #HappyDoctorsDay every doctors Who have all caring all people's lives forever in this corona virus stage. My wish is all doctor's, nurses, healthcare workers, wardboy,ambulance, etc",en,0,1,2
2021-07-01 18:48:08 India Standard Time,srilankatweet,43 more coronavirus related deaths confirmed for June 30 - Government Info #LKA #SriLanka #COVID19SL #COVID19LK,en,0,10,35
2021-07-02 23:13:45 India Standard Time,hunnhunn,"The uncovering of Peter Daszak’s self interest in the Wuhan coronavirus lab probe proves that there are more to the lab leak hypothesis (my favourite hypothesis).  And my favourite story teller, Johnny Harris, tells it in the best way!  https://t.co/UMA1TJ6SVe",en,0,1,3
2021-07-02 23:01:35 India Standard Time,_darkle,"@CrimeThailand I wonder how future generations will look upon our Coronavirus response. Either with similar disdain, or not at all – as wondering will by then be a thing of the past.",en,1,0,2
2021-07-02 22:23:22 India Standard Time,mekotweet,37 coronavirus related deaths confirmed for July 1st... #COVID19 #fatalities #coronavirus  https://t.co/Kas9gw3HCx,en,0,0,0
2021-07-02 22:11:21 India Standard Time,praveenkhamnam1,Honey is best medicine in world. Green banana soup with honey mixture drinking effective CORONAVIRUS curable illness.,en,0,0,0
2021-07-02 21:17:37 India Standard Time,nishantbhuse,Scary variant #coronavirus #DeltaVariante,en,0,0,0
2021-07-02 20:59:43 India Standard Time,vietnewsgateway,Ho Chi Minh City registers 419 more local #coronavirus infections  https://t.co/YgxbHc6EpJ,en,1,3,7
2021-07-02 20:51:04 India Standard Time,menakaw9,Media Release – 2021.07.02  Covid Death Figures for 02.07.2021 #DGI #Government #Information #Department #News #infodprtsl  #Srilanka #Covid19 #Coronavirus #StaySafe #SocialDistancing #Virus #Pandemic  https://t.co/abFdzcB8jk,en,0,3,1
2021-07-02 20:27:53 India Standard Time,william67335893,Streets during the Covid 19 time in Thailand  @William67335893   https://t.co/YXamFwLxzV #Thailand #Thai #ThailandNews #Bangkok #LockDown #LockDownLevel4 #Covid_19 #Covid #stockphoto #COVID19 #pandemic #Corona #coronavirus #streetphotography #streetphoto #StaySafe #StaySafe #mask,en,0,0,1
2021-07-06 04:01:20 India Standard Time,mekotweet,"32 Covid-19 related deaths for 04 July confirmed by Director General of Health Services, increasing total number of deaths in Sri Lanka to 3,268 - Gov't Info Dept #COVID19SL #COVID19 #coronavirus #fatalities  https://t.co/stfTNThxPY",en,0,0,0
2021-07-06 03:20:05 India Standard Time,nazarisind,Will we all  think and do the right act? How do deal with the dangerous effects of ozone depletion when we are simply scared of we all the simple corona virus?,en,0,0,0
2021-07-06 03:17:53 India Standard Time,aanchal6400,"‘A tsunami is coming’ Rahul Gandhi warns Centre over coronavirus,  #RahulWasRight",en,0,1,3
2021-07-06 01:08:16 India Standard Time,northeastnation,"Prime Minister Boris Johnson said people in Britain would no longer wear face masks in indoor public spaces and to keep at least 1 meter (3 feet) this month, reiterating plans to open up to the public despite coronavirus cases growing.  Read More:    https://t.co/mHSpr0a3In",en,0,1,1
2021-07-08 04:53:40 India Standard Time,safouh75,First time in 2 years being with the family on vacation abroad … hopefully #coronavirus situation cool down in Europe while we’re there to enjoy it to maximum  https://t.co/joVC7JH4qj,en,7,0,15
2021-07-07 21:10:01 India Standard Time,anilkumarmoh,"Japanese government declares state of emergency in #Tokyo due to coronavirus, just 2 weeks before the #Olympics.",en,0,0,1
2021-07-07 20:58:35 India Standard Time,sahilzyen,"#MaskUpIndia  #ABPnews Wearing of facial masks can reduce the spread of corona virus substantially. Therefore, it has been decided that facial masks will be compulsory for anyone stepping out of their house. Cloth mask shall be eligible too.  https://t.co/PZEfqCEBBO",en,0,0,0
