created_at,username,tweet,language,replies_count,retweets_count,likes_count
2021-05-03 03:20:28 India Standard Time,alidurrani88,"The corona virus has a possible 39,000 RNA mutations. The world has only seen 153 so far. Practice social distancing and keep your face masks on. #COVIDisAirborne #Covid_19",en,0,0,2
2021-05-03 03:07:03 India Standard Time,drkaushiksuresh,Second wave of coronavirus infection in India by new variant of double mutant B.1.617  https://t.co/xuMMbohior,en,0,0,0
2021-05-03 02:55:32 India Standard Time,sohailmalik462,BBC News - India coronavirus: New record deaths as virus engulfs India  https://t.co/jYpHJ58kJC #coronavirus,en,0,0,0
2021-05-03 02:29:32 India Standard Time,bjp_bihar_,wear a mask and sanitize your hands and maintain social distancing #COVIDSecondWaveInIndia #COVIDEmergency #coronavirus,en,0,0,1
2021-05-03 02:07:33 India Standard Time,sasmitchandan,BBC News - India coronavirus: New record deaths as virus engulfs India  https://t.co/HpTGBrGE3K,en,0,0,0
2021-05-03 01:54:07 India Standard Time,medicineallino1,"Are you okay? No, i just want a Covid free world please  #Covid_19 #coronavirus",en,0,0,0
2021-05-03 01:42:07 India Standard Time,mithisi69571488,Pray for India ......  #CovidHelp #CoronavirusIndia #coronavirus #CoronaVaccine #help #Helpless #IndiaFightsCorona #India #WritingCommunity #Writers #Trending  https://t.co/ibk6JUKw9R,en,0,0,2
2021-05-03 01:28:37 India Standard Time,mithisi69571488,Childrens are gift of god help them for their education not for begging....  #help #PrayForIndia #COVIDSecondWaveInIndia #CoronaPandemic #coronavirus #CHATTISHGARH #SocialMedia #SocialDistancing #SocialWorkTwitter #StayHome #socialwork #bhilai#education  #StaySafe #StayHome  https://t.co/DPQb8UDs3B,en,0,0,2
2021-05-03 01:22:23 India Standard Time,zalmayzia,@palhali Heard eating Mangoes in Summer can reduce risks of contracting Coronavirus 😀,en,1,0,7
2021-05-03 01:18:47 India Standard Time,mithisi69571488,Help them they needs you very badly in this situation...  #help #CovidSOS #PrayForIndia #COVIDSecondWaveInIndia #CovidHelp #coronavirus #CHATTISHGARH #bhilai #bhilaidurg #SocialMedia #SocialDistancing #SocialWorkTwitter #socialworker #socialwork #Feed #  https://t.co/xzMy1V0sVM,en,0,0,2
2021-05-03 01:06:04 India Standard Time,loudelbello,@ianbremmer @gzeromedia 1 - Modi attended tons of rallies not wearing a mask  2 - The health minister literally participated  in the launch of a fake cure for Coronavirus introduced by a notorious quack:   https://t.co/MomlbF0skG,en,0,2,3
2021-05-03 01:04:23 India Standard Time,ashishgehlot,The country is not in a state of shock because the healthcare system has collapsed. It is in the state of shock because the #healthcare system has #collapsed for the #Rich too.  #health #medicines #doctors #coronavirus #wellness #nurses #care #Mentalhealth #hospitals,en,0,0,0
2021-05-05 05:20:56 India Standard Time,khalidsaeedbut1,@Atmos_Air Very healthy report about transmission of corona virus.,en,0,0,0
2021-05-05 05:04:10 India Standard Time,deeppol53_pol,11 hrs no #electricity in #Titwala @CMOMaharashtra @ThePrintIndia @OfficeofUT @ndtv @ABPNews @LoksattaLive worse than #coronavirus,en,1,1,2
2021-05-05 03:09:20 India Standard Time,kashifraees_56,"The third wave of coronavirus has rung alarm bells as it is proving to be more lethal and contagious than before. Keeping in view the expansion of coronavirus cases across the country, third-time educational institutions are closed. No one knows when this dilemma will end. #CL  https://t.co/0VHmYc6FcA",en,1,0,6
2021-05-05 02:50:38 India Standard Time,asrinfo,Officially: for the 1st time “WHO” allows the Sinopharm vaccine against Coronavirus.  https://t.co/b6JPs4MuzA  #vaccination #vaccinated #Sinopharm #who #COVID19 #coronavirus #Bahrain #بحرين #Bahrain,en,0,1,1
2021-05-05 02:17:58 India Standard Time,worldsgenuinei1,Australia aiming to begin India repatriation flights next week after backlash to travel ban  https:#COVID19India #Australia #India #coronavirus  https://t.co/VuC5nWV3J0,en,0,0,0
2021-05-05 02:10:14 India Standard Time,worldsgenuinei1,COVID-19 infections and deaths are mounting with alarming speed in India with no end in sight to the crisis. #coronavirus #COVIDEmergencyIndia  https://t.co/9ZBzIjiX7o,en,0,0,0
2021-05-05 01:57:01 India Standard Time,worldsgenuinei1,"New cases in India have surpassed 400,000—the highest caseload yet. Even that is sure to be an underestimate #coronavirus #CovidIndia #news  https://t.co/pIZhTf6F5i",en,0,0,0
2021-05-05 01:50:19 India Standard Time,kunal_patwa,India moves fastest to stock up on Covid-19 vaccines  #CoronaVaccine #coronavirus #Covid_19 #Covid_19Vaccine #COVID  https://t.co/xKSJiuZcr9 via @indiatoday,en,0,0,1
2021-05-05 01:43:03 India Standard Time,ganeshanchal,"India reports 3,57,229 new #COVID19 cases, 3,20,289 discharges and 3,449 deaths in the last 24 hours, as per Union Health Ministry   Total cases: 2,02,82,833 Total recoveries: 1,66,13,292 Death toll: 2,22,408 Active cases: 34,47,133  Total vaccination: 15,89,32,921  #coronavirus",en,0,0,1
2021-05-05 01:42:48 India Standard Time,the_trust_dr,"""English"" Has been Effected by Corona Virus. 😂😂🤐                    (Rip in Advance)  https://t.co/Sq1LQPU8xP",en,5,0,27
2021-05-05 01:31:03 India Standard Time,rittickgiri07,May these difficult times gets over soon. #coronavirus  ❤️🤞 #WeWillRiseAgain  #FightAgainstCorona,en,0,0,1
2021-05-05 01:18:09 India Standard Time,amaanazad,In case any one in need Noor nagar sarvoday school  30 beds+oxygen support  Johri Farm Association #coronavirus #CoronaSecondWave #OxygenCrisis #COVIDEmergency  https://t.co/lQ3i4kgOoF,en,0,0,0
2021-05-05 01:16:38 India Standard Time,paraggmehta,"Last year it was just about #surviving #lockdown,   this year it's about #survival  Yatindar Bansal   #qoutes #coronavirus #coronastrain #lockdown #Delhi #Mumbai #IndiaFightsBack",en,0,0,0
2021-05-05 00:57:39 India Standard Time,sagarmotors,"Greetings !! Hope everything is fine out there.  Nothing lasts forever. This shall pass too.  Stay Home, Stay Safe – is the only best medicine found till now against coronavirus. Take care of yourself and your family #STAYTUNED :  https://t.co/SHxucegqv1  # PRAY🙏🏻   :  @SURAJKALRA",en,0,0,0
2021-05-07 05:22:45 India Standard Time,syedrakeen,"You call out 17 Muslim names and ask if it's a ""Madrassa""... So was it a matta or a church that the other 180 were non Muslim? #TejasviSuryaExposed #BJP #COVIDSecondWave #COVID19India #COVIDEmergency2021 #Corona #coronavirus #ModiHataoDeshBachao",en,0,2,2
2021-05-07 04:50:36 India Standard Time,nick8hardstyler,#actionagainstchina #WorldForgetChina! Birthplace of #coronavirus. #China is celebrating Wuhan Music Festival &amp; rest of world fighting for #breath!  Time to take strict action by #UnitedNation &amp; we all shud protest fuckin #China!  https://t.co/2h1tJSoXtu,en,0,0,0
2021-05-07 01:13:27 India Standard Time,ijavid100,"@hamzashafqaat @Asma_Baloch In fact, not giving space to coronavirus 🤫🤫  https://t.co/KLRbS4wTrR",en,0,0,0
2021-05-07 01:05:48 India Standard Time,women_honour,Verified by volunteers. #coronavirüsü #coronaoutbreak #coronaupdate #coronaout #coronanews #coronacapital #coronavírus #coronavirüs #hmmm #coronavirusindia #coronavirusindiapdate #covıd #covi̇d19 #covid19news #covi̇d_19 #covidtimes #covidnews #covid1948 #stayhome  https://t.co/KavzGcO6DB,en,0,0,0
2021-05-07 01:04:43 India Standard Time,womenhonour,Verified by volunteers. #coronavirüsü #coronaoutbreak #coronaupdate #coronaout #coronanews #coronacapital #coronavírus #coronavirüs #hmmm #coronavirusindia #coronavirusindiapdate #covıd #covi̇d19 #covid19news #covi̇d_19 #covidtimes #covidnews #covid1948 #stayhome  https://t.co/85xmF0jvlS,en,0,0,0
2021-05-07 00:40:50 India Standard Time,women_honour,Verified by volunteers. #coronavirüsü #coronaoutbreak #coronaupdate #coronaout #coronanews #coronacapital #coronavírus #coronavirüs #coronaviruslockdown #coronavirusindia #coronavirusindiapdate #covıd #covi̇d19 #covid19news #covi̇d_19 #covidtimes #covidnews #covid1948 #stayhome  https://t.co/ECh9L3cpbH,en,0,0,0
2021-05-07 00:40:13 India Standard Time,womenhonour,Verified by volunteers. #coronavirüsü #coronaoutbreak #coronaupdate #coronaout #coronanews #coronacapital #coronavírus #coronavirüs #coronaviruslockdown #coronavirusindia #coronavirusindiapdate #covıd #covi̇d19 #covid19news #covi̇d_19 #covidtimes #covidnews #covid1948 #stayhome  https://t.co/3Bq5zyp85F,en,0,0,0
2021-05-07 00:23:10 India Standard Time,womenhonour,Verified by our volunteers. #coronavirüsü #coronaoutbreak #coronaupdate #coronaout #coronanews #coronacapital #coronavírus #coronavirüs #coronaviruslockdown #coronavirusindia #coronavirusindiapdate #covıd #covi̇d19 #covid19news #covi̇d_19 #covidtimes #covidnews #covid1948  https://t.co/yDpZPNFg14,en,0,0,0
