,created_at,username,tweet,language,replies_count,retweets_count,likes_count
1,2021-07-01 23:00:44 India Standard Time,pushpraj012,28th Dec 2020 and still not has been completed and no one knows when will they conduct CBT-2.Sir the main question is that why did they wasted the first 9 months(April 2019-Dec 2019) after the completion of filling of the forms?Remember Sir the very girst case of coronavirus was,en,1,0,0
3,2021-07-01 22:06:08 India Standard Time,shekhargnikam99,"Let us thank our saviors for all their tireless hardwork during this coronavirus pandemic and also for their outstanding service to mankind.  On the occasion of Doctor's Day, I wished all the doctors of my #265ChiplunSangameshwarVidhansabhaConstituency  https://t.co/lqAMx9RaTV",en,1,0,9
6,2021-07-01 21:32:30 India Standard Time,lpsahi,"Really liked this programme @sardesairajdeep ... Best quote from 1 of the lady doctors: ""Life is fickle."" Terrific quote by her on God, too... While we should celebrate #DoctorsDay2021, there must also be a Day for #India to remember all the #coronavirus victims... It's needed.",en,2,1,14
7,2021-07-01 21:32:23 India Standard Time,aliraza_rind,#SaindakProject has resumed production after an extraordinary shutdown owing to coronavirus and some technical issues in the smelter. The ignition ceremony of smelter was held in the Saindak.The Chinese firm #MRDL hopes to produce more than 15000 tons of blister copper this year.  https://t.co/bwnErGKIeg,en,0,1,8
8,2021-07-01 21:06:08 India Standard Time,jayanta13998620,Coronavirus: Thailand sees record deaths as first Phuket sandbox tourists arrive  https://t.co/r8pNgn1MQE,en,0,0,0
9,2021-07-01 20:32:48 India Standard Time,soundirarajanr,Coronavirus marriage home marriage small group marriage and low budget cost marriage  https://t.co/0N1L2Z1MS6,en,0,0,0
13,2021-07-01 19:43:49 India Standard Time,menakaw9,Media Release – 2021.07.01 Covid death figures reported today 2021.07.01 #DGI #Government #Information #Department #News #infodprtsl  #Srilanka #Covid19 #Coronavirus #StaySafe #SocialDistancing #Virus #Pandemic  https://t.co/PoFK8uQSIK,en,0,3,1
16,2021-07-01 19:23:35 India Standard Time,mekotweet,43 more COVID-19 related deaths reported.... #COVID19 #fatalities #coronavirus  https://t.co/cvAlFv4QwG,en,0,0,0
18,2021-07-01 18:55:52 India Standard Time,smithku29521797,"#DoctorsDay 👍 wish u #HappyDoctorsDay every doctors Who have all caring all people's lives forever in this corona virus stage. My wish is all doctor's, nurses, healthcare workers, wardboy,ambulance, etc",en,0,1,2
19,2021-07-01 18:48:08 India Standard Time,srilankatweet,43 more coronavirus related deaths confirmed for June 30 - Government Info #LKA #SriLanka #COVID19SL #COVID19LK,en,0,10,35
