,created_at,username,tweet,language,replies_count,retweets_count,likes_count
7,2021-06-05 03:35:03 India Standard Time,sipgrab,Airlines press U.S. on refusal to lift COVID-19 travel restrictions  https://t.co/jBoPHUEiBA #Sipgrab #UnitingPeopleWithThePossibilities,en,0,0,0
12,2021-06-05 01:56:12 India Standard Time,protect2others,Another side people’s were facing COVID-19 people’s expired in home &amp; cant report the daily reports that’s only media figures if you want to plus them then 100+ death daily as per @AJEnglish next can’t listen the Govt. Sop’s. I said to our Prime Minister @ImranKhanPTI  https://t.co/qACRayEEkT,en,1,0,0
14,2021-06-05 01:42:34 India Standard Time,_rodahidup,"Employers must vaccinate their workers before opening for production, otherwise risk mass infection among employees. @AzminAli  Malaysia manufacturers reduce output as COVID-19 lockdown limits workforce capacity to 60%    https://t.co/34vdMp4PEP",en,0,0,0
16,2021-06-05 01:17:36 India Standard Time,sunpreet_chadha,@ThaneCityPolice @TMCaTweetAway @mieknathshinde after 11pm at 3hat Naka RTO police harrase people and stop vehicles and talk like goon and also not properly ware mask no social distancing are they saving us from covid19 or spreading more infections #vasuliagadi,en,0,0,0
22,2021-06-05 00:56:10 India Standard Time,_abhinavsharma,"GOI estimates released on Monday show that India’s GDP contracted by 7.3% in 2020-21. While the pandemic has hit growth in countries across the world, several trends over the last decade show that the Indian economy was already worsening before Covid-19.   https://t.co/5Qutqc6HIl",en,0,0,2
23,2021-06-05 00:47:36 India Standard Time,direct_dil_se_,"@Atharva42658460 If the #WuhanLabLeak around November 2019 leaked the #coronavirus, which virus was leaked from the bio lab in Fort Detrick, America in July 2019, which affected scores of Americans with respiratory problems, similar to those caused by #COVID19? 🤔",en,0,0,0
25,2021-06-05 00:36:00 India Standard Time,ksharma2714,"Madhya Pradesh reports 798 new COVID-19 cases, 50 deaths in the last 24 hours",en,0,0,0
33,2021-06-05 00:17:08 India Standard Time,d4_dhairya_8000,CA students are approaching @TheICAI @kdhiraj123 @JambusariaNihar to #PostponeCAexams until  Vaccination.  #CAexams #COVID19 #CAexam #ICAI #ICAIexams #ICAIexam #icaiexampostponement #postponecaexam #ca #lockdown #vaccination #Exams  https://t.co/RPhu2mc1xu,en,1,36,50
37,2021-06-04 23:57:15 India Standard Time,indrajitsarma,"@anirban1970 This is too much. A ward bed for 5k!!! A Covid19 patient will spend min 10 days in hospital. That means min 55k to 60k has to be paid. Forget about ICU or ventilator. Moreover, we all know how Pvt hospitals notoriously play tricks to increase the bills.",en,1,1,1
38,2021-06-06 05:24:43 India Standard Time,sbdanish,"Like #TwitterBanNigeria, there were rumors that the #TwitterBan can happen in #India too. Hope it doesn't, because the @Twitter platform has saved millions of lives through #COVID19 #SOS calls.  Not only that, this is a great platform to raise your concerns, help people, etc.",en,0,1,1
39,2021-06-06 05:19:38 India Standard Time,sithen,#covid19 compliant #breakfast?! (@ Brown Coffee And Bakery in Siem Reap)  https://t.co/MTNjFMKHAU  https://t.co/IPaTkwACP2,en,0,0,0
40,2021-06-06 05:12:38 India Standard Time,sbdanish,"@cnni @MaggieDaWitch There were rumors this could happen in India too. Hope it doesn't, bcoz the @Twitter platform has saved so many lives through #COVID19 #SOS calls. Not only that, this is a great platform to raise your concerns, do business and what not.",en,1,0,1
47,2021-06-06 03:30:11 India Standard Time,_rodahidup,"Join me in stopping the spread of COVID-19! Download TraceTogether, an app by MOH and GovTech. #SGUnited Go to:  https://t.co/Y3VP8BMnU7",en,0,0,0
50,2021-06-06 03:26:18 India Standard Time,sbdanish,"Like you said, I ""Checked #Facts""!  So, that news you are quoting is a month old.  Check now, they have more than doubled, totally vaccinated in #Canada are 7%, #India is still at 3.3% of the population.  #COVID19 #Covid_19 #COVIDVaccination #coronavirus   https://t.co/Jq1An3PcVB",en,1,0,0
53,2021-06-06 02:51:34 India Standard Time,yogeshray,Penn Study Suggests Those Who Had COVID19 May Only Need One Vaccine Dose  https://t.co/81Uc6zEyeC via @PennMedicine,en,0,0,0
56,2021-06-06 02:08:19 India Standard Time,inhvnbch2,Covid_19  https://t.co/5KcOqz8fqM,en,0,0,0
57,2021-06-06 02:07:03 India Standard Time,sipgrab,U.S. administers 300.3 million doses of COVID-19 vaccines - CDC  https://t.co/r7JUsno2YV #Sipgrab #UnitingPeopleWithThePossibilities,en,0,0,0
58,2021-06-06 01:59:08 India Standard Time,farhadbabaei,"TEHRAN-IRAN: [05, Jun 2021] People are spending fun time on city heights #darband   #iran #tehran #iranianpeople #streetphotography #documentaryphotography #covid_19 #photojournalism #farhadbabaei #laifphotoagency @laifphoto  https://t.co/PZOJJ26XRU",en,0,0,2
59,2021-06-06 01:45:46 India Standard Time,ramuram46541211,Atp district Dharmavaram teluk  Jkpalli thanda mudigubba madal This is covid-19 time any emergency vehicles my village not coming no road not available Cm sir last govt show any time my village problem cheppamu sir not answer  this Govt help me sir Cm sir  https://t.co/cDmz9tlw9z,en,0,0,0
64,2021-06-06 00:35:40 India Standard Time,vaibhavgtoi,"“MUHS is directed to issue an advisory to all principals &amp; publish it on website, indicating that it would be desirable that each examinee should get tested for #Covid-19 &amp; produce negative report to examiner along with his/her hall ticket on June 10,” HC said. #COVIDSecondWave",en,0,2,6
66,2021-06-06 00:18:28 India Standard Time,aliramyz,"Rally held in N.Maafaru, Maldives in solidarity with Palestine.  (Pls stay safe from COVID-19 pandemic)  https://t.co/N9v5WSaYzK",en,3,43,149
72,2021-06-05 23:56:42 India Standard Time,sanjucsunny1,"#canceluniversityexams  #MGU  Since the current wave of covid - 19 pandemic, which has disrupted everyday life in the state, it is very difficult for us to prepare sufficiently and subsequently, perform upto our potential in these exceptional circumstances.",en,0,1,5
77,2021-06-05 23:30:17 India Standard Time,sec_thoddoo,✳️ COVID-19 Live Updates: 5/06/2021  https://t.co/E9k4yRytFy,en,0,0,0
82,2021-06-07 04:01:03 India Standard Time,andrew_stotz,"Good news of the day, 157,030,033 people worldwide have recovered from Covid-19.",en,1,0,2
