id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.42167E+18,1.42167E+18,2021-08-01 08:56:28 India Standard Time,01-08-21,08:56:28,530,73341971,ravi4354,Ravi Srivastava 🇮🇳,,"Line of Treatment for Covid-19 Hydroquinone  Ivermectin  Zincovit  Celine (Vit.C)  Paracetamol Doxy  Antibody cocktail  Dexamethasone Azithromycin  Remdesivir Frapivir  Oxygen  Get vaccinated,  prevent all above",en,[],[],[],0,1,2,[],[],https://twitter.com/ravi4354/status/1421673661040185347,FALSE,,0,,India,,,,,,[],,,,
1.42454E+18,1.42454E+18,2021-08-09 06:29:13 India Standard Time,09-08-21,06:29:13,530,1734702540,aditidasnigam,aditi,,"Yes, it's Oxygen and Remdesivir Versus Hindu-Muslim Agenda this time. It's Hospital beds versus temple politics, it's feeding peacocks versus hungry migrants....the list is long....very long.",en,[],[],[],1,11,22,[],[],https://twitter.com/aditidasnigam/status/1424535707167518720,FALSE,https://twitter.com/65thakursahab/status/1424430781523537923,0,,India,,,,,,[],,,,
1.42389E+18,1.42389E+18,2021-08-07 11:46:13 India Standard Time,07-08-21,11:46:13,530,1.23876E+18,drpriyankavija1,Dr Priyanka Vijay Kumar Parulekar,,"@KDMCOfficial one of my pts needs remdesivir and tociluzimab urgently ,wid icu bed if available , kindly help kdmc ...plz contact 9987579186",en,[],[],[],0,0,0,[],[],https://twitter.com/DrPriyankaVija1/status/1423890707173896194,FALSE,,0,,India,,,,,,[],,,,
1.42356E+18,1.42356E+18,2021-08-06 13:54:00 India Standard Time,06-08-21,13:54:00,530,2572063615,adityanag2002,Aditya Kiran Nag,,So many citizens across India requested you for oxygen &amp; Remdesivir too remember.,en,[],[],[],0,0,1,[],[],https://twitter.com/adityanag2002/status/1423560474289868803,FALSE,https://twitter.com/narendramodi/status/1423538297842769921,0,,India,,,,,,[],,,,
1.42324E+18,1.42324E+18,2021-08-05 16:39:11 India Standard Time,05-08-21,16:39:11,530,1967599447,sanhchaupham,SanhChau Pham,,Remdesivir “made in India” just reached #HoChiMinhCity to help flight Covid 19.  https://t.co/nbaFUWscbw,en,[],[],"['https://pbs.twimg.com/media/E8Bc5tmVUAEK5Ch.jpg', 'https://pbs.twimg.com/media/E8Bc5tlVUAIZzK-.jpg', 'https://pbs.twimg.com/media/E8Bc5tlVoAQIC_3.jpg', 'https://pbs.twimg.com/media/E8Bc5tlUUAAXfXm.jpg']",6,17,110,['hochiminhcity'],[],https://twitter.com/SanhChauPham/status/1423239655340732422,FALSE,,1,https://pbs.twimg.com/media/E8Bc5tmVUAEK5Ch.jpg,India,,,,,,[],,,,
1.42322E+18,1.42322E+18,2021-08-05 15:20:15 India Standard Time,05-08-21,15:20:15,530,8.22767E+17,akashsinghinc,Akash Singh Rajawat Moran ✌🏻🇮🇳,,"Instead of managing Covid tactfully, BJP leaders and PM got involved with various scams related to covid relief.  - PM care fund scam - ventilator scam - Remdesivir scam - PPE scam - oxygen cylinder scam - ambulance scam - Vaccination scam - 4lakh compensation scam  #SansadGherao",en,[],[],[],0,3,4,['sansadgherao'],[],https://twitter.com/akashsinghinc/status/1423219791242747904,FALSE,,0,,India,,,,,,[],,,,
1.42283E+18,1.42283E+18,2021-08-04 13:49:12 India Standard Time,04-08-21,13:49:12,530,194193419,praveenskapoor,Praveen Shankar Kapoor,,India's Remdesivir production capacity increased to 122.49 lakh vials per month in June: Government   https://t.co/6HVzYZbwBx  via NaMo App  https://t.co/nasMWFZVrJ,en,[],['https://timesofindia.indiatimes.com/india/indias-remdesivir-production-capacity-increased-to-122-49-lakh-vials-per-month-in-june-government/articleshow/85003057.cms'],['https://pbs.twimg.com/media/E77saSiUcAEuqIW.jpg'],0,1,1,[],[],https://twitter.com/praveenskapoor/status/1422834493237338112,FALSE,,1,https://pbs.twimg.com/media/E77saSiUcAEuqIW.jpg,India,,,,,,[],,,,
1.42279E+18,1.42279E+18,2021-08-04 11:10:15 India Standard Time,04-08-21,11:10:15,530,9.1451E+17,shankardutta117,Shankar Dutta,,नमस्कार दोस्तों गुरुजनों देश वासियों । देश ने आपनी सुरक्षा की लक्ष्मण रेखा खींच ली । सावधानी ही समाधान । उज्जाउल भविष्य ओह वर्तमान ।  India's Remdesivir production capacity increased to 122.49 lakh vials per month in June: Government   https://t.co/jQwh8qMHei via NaMo App  https://t.co/bVD0IydkK3,und,[],['https://timesofindia.indiatimes.com/india/indias-remdesivir-production-capacity-increased-to-122-49-lakh-vials-per-month-in-june-government/articleshow/85003057.cms'],"['https://pbs.twimg.com/media/E77ICYYUYAcqDle.jpg', 'https://pbs.twimg.com/media/E77IC5rVIAAPS0m.jpg']",0,0,0,[],[],https://twitter.com/shankardutta117/status/1422794491656687619,FALSE,,1,https://pbs.twimg.com/media/E77ICYYUYAcqDle.jpg,India,,,,,,[],,,,
1.42542E+18,1.42542E+18,2021-08-11 17:10:00 India Standard Time,11-08-21,17:10:00,530,1.42367E+18,abrarmehjoor,Muhajir,,"Report: India preparing for a possible Covid 3rd Wave: Currently 50 lakh Remdesivir medicines in stock, 293 O2 Plants for hospitals, 20 Lakh beds.  India plans to restart Vaccine exports from November.",en,[],[],[],0,0,1,[],[],https://twitter.com/AbrarMehjoor/status/1425421741103271936,FALSE,,0,,India,,,,,,[],,,,
1.42539E+18,1.42539E+18,2021-08-11 15:15:23 India Standard Time,11-08-21,15:15:23,530,57906766,biorahul,Rahul Sharma,,I thought AIIMS has removed Remdesivir from the line of treatment. Kya karoge 50L stock ka?,en,[],[],[],0,1,4,[],[],https://twitter.com/Biorahul/status/1425392895763251201,FALSE,https://twitter.com/AmanKayamHai_/status/1425371300390785024,0,,India,,,,,,[],,,,
1.42539E+18,1.42539E+18,2021-08-11 14:46:07 India Standard Time,11-08-21,14:46:07,530,1.38763E+18,jayanta13998620,Jayanta Chatterjee,,"Oxygen Plants, ICU Beds and 50 Lakh Vials of Remdesivir: How Govt is Preparing for the 3rd Wave  https://t.co/PNpvC13wpP",en,[],['https://www.news18.com/news/india/oxygen-plants-icu-beds-and-50-lakh-vials-of-remdesivir-how-govt-is-preparing-for-the-3rd-wave-4071608.html'],[],0,0,0,[],[],https://twitter.com/Jayanta13998620/status/1425385528409526274,FALSE,,0,,India,,,,,,[],,,,
1.42905E+18,1.42905E+18,2021-08-21 17:19:16 India Standard Time,21-08-21,17:19:16,530,2309917548,btmnewsmarathi,Gajanan Mohite,, https://t.co/4Rt972LjeX Remdesivir चा निकृष्ट दर्जा आणि काळाबाजाराने घेतला का ? हजारो करोनाबाधीतांचा बळी. Cipla Ltd. चे रेमडिसीवीर तारापूर येथे उत्पादित इंजेक्शन चोरी काळाबाजारी बरोबरच निकृष्ट दर्जाचे असल्याचे Drug control Department of Delhi अहवाल  संपूर्ण बातमीवाचा वरिल लिंकवर,mr,[],['https://tarapurmitra.com/news-details.php?srno=380'],[],0,0,1,[],[],https://twitter.com/BTMnewsmarathi/status/1429047949133107203,FALSE,,0,,India,,,,,,[],,,,
1.42857E+18,1.42857E+18,2021-08-20 09:50:33 India Standard Time,20-08-21,09:50:33,530,260583829,salafi_rakibul,Rakib रकीब رقيب,,সকলোতে কেৱল গুজৰাটী যে কিয়? Why only Gujarati in all types of scams ?  #Covishield #remdesivir #Gujarat  @narendramodi_in  https://t.co/BtC3BBQ2xj,und,"[{'screen_name': 'narendramodi_in', 'name': 'narendramodi_in', 'id': '296612629'}]",[],['https://pbs.twimg.com/media/E9NPPxTWYAcDoas.jpg'],0,0,0,"['covishield', 'remdesivir', 'gujarat']",[],https://twitter.com/salafi_rakibul/status/1428572641460297735,FALSE,,1,https://pbs.twimg.com/media/E9NPPxTWYAcDoas.jpg,India,,,,,,[],,,,
1.43248E+18,1.43238E+18,2021-08-31 04:23:40 India Standard Time,31-08-21,04:23:40,530,1.03754E+18,raahat25236487,raahat,,@63d235a2bfac484 @KiritSomaiya @BJP4Maharashtra Yes nothing will happen to Fadnavis in remdesivir matter.Anil deshmukh is vasuli matter. And others is other scams. Bjp signed in favour of scamster Ajit pawar to form govt. why Kirit is not questioning Fadnavis too,en,[],[],[],0,0,0,[],[],https://twitter.com/raahat25236487/status/1432476641754685440,FALSE,,0,,India,,,,,,"[{'screen_name': '63d235a2bfac484', 'name': 'Prashant', 'id': '3211981879'}, {'screen_name': 'KiritSomaiya', 'name': 'Kirit Somaiya', 'id': '348988523'}, {'screen_name': 'BJP4Maharashtra', 'name': 'भाजपा महाराष्ट्र', 'id': '532895350'}]",,,,
