,username,created_at,replies_count,retweets_count,likes_count,tweet,language
0,Ruchira Gupta,2021-08-30T22:14:30.000Z,,1.0,4.0,"A moment in our ongoing Covid relief food drive among fishing women in the Sundarbans mangrove forest in India. #covid #1MillionMeals #Food 
@apneaap
 Join us http://ApneAap.org pix by 
@vickyroy87
 @ Sundarban National Park",
1,Czarsportz - Global Associate Cricket World,2021-08-30T17:01:20.000Z,2.0,1.0,7.0,Disappointing news coming from Japan Cricket that East Asia-Pacific qualifiers for both Men's and Women's #T20WorldCup have been cancelled now by ICC owing to COVID-19 and related travel issues. Official press release regarding the same not yet published.,
2,The Era,2021-08-30T06:12:03.000Z,,,,"Noted Bengali writer Buddhadeb Guha died in a Kolkata hospital late Sunday. He was 85.

Earlier this year in April, Guha was detected with Covid-19 and was admitted to a hospital for over a month.",
3,Bhudeb Sengupta,2021-08-30T02:58:36.000Z,,,,"#englandvsindia #TestCricket 
India desperately need a technically sound no 6 batsman. Pant is as vulnerable as a single dose covid 19 vaccinated person !

@BCCI
 
@imVkohli
 
@RaviShastriOfc",
4,Vedant Jain,2021-08-29T13:41:28.000Z,,,,Has #covid caused desensitisation?,
5,Ashish Singh,2021-08-29T07:34:13.000Z,2.0,,,"Covid who?

@Trinamool
 
@MamataOfficial
 
@PMOIndia
 planning for 3rd wave?
Standing in a queue since 7 am to link ration card with aadhar. Although I did it online, now you say it's invalid. 
#Corona #WestBengal #DuareSarkar",
6,The Era,2021-08-29T06:08:34.000Z,,,,The West Bengal government announced the extension of Covid-19 restrictions in the state till September 15 with an additional relaxation.,
7,Arpit Lohia,2021-08-29T01:19:47.000Z,,,,#Kerala does not seem to have immunity like the rest of India. GOD has a different plan for his own country. #COVID,
8,Megha Kejriwal,2021-08-28T16:01:46.000Z,,,3.0,"#Breaking: #WestBengalGovernment extends #Covid restrictions till Sep 15, 2021. 

Night curfew to be imposed between 11 pm-5 am.",
9,sugata banerjee,2021-08-28T14:54:55.000Z,,,1.0,"#EiSamay#Kolkata:Union Govt today extended all Covid-19 related protocol up to September 30.MHA directed the concerned state Govt to take pro-active containment measures ahead of the upcoming festival season in the country. But largely stable,except few states localised spread.",
10,Anjishnu Ray,2021-08-28T04:12:18.000Z,,,,"https://beswiz.boomer.co/whatsnewdetails/entrepreneurship…

How Entrepreneurship has gained significance in this COVID-19 pandemic? 

- Beswiz Pvt Ltd",
11,Pralay Goswami,2021-08-27T10:56:51.000Z,,,,Now you can book COVID 19 Vaccine slot through WhatsApp.,
12,Megha Kejriwal,2021-08-27T09:48:14.000Z,1.0,1.0,1.0,"#BREAKING_NEWS: In view of the #Covid situation, #CalcuttaUniversity has waived off tuition fees for different fees semesters.",
13,Shamik Bhattacharyya,2021-08-26T10:07:33.000Z,,2.0,1.0,"Rising #COVID numbers are worrying. Vaccination must pick up pace to avoid serious outcomes in the next wave. 

Please take care of yourselves because GOI is busy with sales.

_ Shree 
@RahulGandhi
 Ji 
#ISupportRahulGandhi #RG_For_PM",
14,Ashis,2021-08-26T06:53:33.000Z,1.0,,,"For the last two years govt try to mitigate liquidation expenses for the citizen of india owing to recovery from Covid-19 pandemic situation and instructed PSU bank's to easy lend covid related exp with minimum int. rate, most of the PSU has done this except SBI, the YONO has~",
15,Mahesh Saharia,2021-08-25T15:58:16.000Z,,,,"Israel, once model for beating #COVID-19, faces new surge of infections, Last spring, Israel’s remarkably swift vaccination campaign was seen as a global model. Distancing rules & mask mandates were scrapped 
@MoHFW_INDIA
 see results http://wionews.com https://wionews.com/world/israel-once-the-model-for-beating-covid-19-faces-new-surge-of-infections-408309…",
16,Shamik Bhattacharyya,2021-08-25T09:47:03.000Z,,1.0,1.0,"""New Zealand's lockdown extended as COVID-19 outbreak grows""  https://twitter.com/i/events/1427524465005449221… @JecindaArden",
17,Czarsportz - Global Associate Cricket World,2021-08-25T09:39:59.000Z,1.0,,14.0,"Updated schedule announced by 
@ICC
 , as 
@cricketturkey
 have now withdrawn from participating in the qualifiers due to COVID-19 and other documentation factors. Huge disappointment for the players, who have been training for the past couple of months now and were all set for this.",
18,Ayan Chatterjee,2021-08-25T05:23:15.000Z,,,1.0,"Covid-19: India might be entering the endemic stage, says WHO chief scientist Soumya Swaminathan https://scroll.in/latest/1003650/covid-19-india-might-be-entering-the-endemic-stage-says-who-chief-scientist-soumya-swaminathan… via 
@scroll_in


Hope that is what happens! 

#COVID19",
19,Vinay Kumar Dokania,2021-08-24T12:20:11.000Z,,14.0,20.0,"You made fun of me when I spoke of Covid-19. It’s okay. I am saying this again today: The Prime Minister is selling the future of youth of India. In order to help some of his corporate friends, he is launching an attack on youth’s future:Sh 
@RahulGandhi
 
#RahulAgainstSellingIndia",
20,Sparsh,2021-08-24T06:21:58.000Z,,,,What can we do to avoid the Third Wave of Covid 19 infection?,
21,Ranadeep Guha,2021-08-24T02:45:31.000Z,,,1.0,"Learn how to apply the techniques of Pranic Healing.
Enroll now for the Pranic Healing FREE Workshop on the 25th of August 2021. 

All covid-19 protocols will be maintained and atleast 1 dose of vaccination is mandatory.

Contact us to know more about this workshop.",
22,Joynarayan saha,2021-08-24T02:43:56.000Z,,,,"""COVID-19: Keep up with the latest on safety and vaccine guidance in India""",
23,Yoriichi Tsugikuni,2021-08-24T02:41:37.000Z,,,,"@AntonovCompany
 Hope this giant is going around the world  with COVID-19 vaccines ",
24,Manchester United India ,2021-08-23T19:21:28.000Z,,,,"Premier League clubs lost £618million in the 2019-2020 season due to Covid-19. Man United were the worst hit with losses of £118m with Spurs second on £69m [
@SwissRamble
]",
25,Tirthadeep K,2021-08-23T16:46:00.000Z,,,,"COVID-19 is awful. Climate change could be worse. https://gatesnot.es/2Bsqyqq?WT.mc_id=00_00_00_share_tw… via 
@billgates",
26,Saroop Chattopadhyay (Official) ,2021-08-23T15:25:24.000Z,,,,"Replying to 
@tinbando",
27,Saroop Chattopadhyay (Official) ,2021-08-23T14:41:47.000Z,3.0,8.0,33.0,"#BreakingNews
----
#3rdWave of #COVID has been postponed as all Media Houses are busy covering #Afganisthan crisis & forgotten about Covid.

New release dates of all varients of Covid will be announced soon.

Inconvenience is regretted.
Stay tuned..
",
28,Mahesh Saharia,2021-08-22T03:05:14.000Z,,,,"@drharshvardhan
 a fine gentleman managing so well #Covid but ignored preparation for 2nd Wave. Sanctioned #O2 #Projects with funds not implemented. #India paid huge price.
@mansukhmandviya
 
@MoHFW_INDIA
 pls donot be complacent. Need vaccine production boost. 2nd dose huge backlog.",
