Username,userhandel,Time,comments,retweets,likes,Tweet
Chandrima Bhattacharya,@Chandrima_04,2021-08-13T12:50:17.000Z,,8,14,"#Kolkata starts city sampling post lockdown! Let’s see what’s the city looks like post #Covid_19! 
@metasub
 
@Metasub_India
 
@malaybhatta
 
@Bodhisatwa14
 #gcsd2021 #CitizenScience"
Shantanu Biswas (শুভ্র) ,@Shantanu_subhra,2021-08-10T03:21:50.000Z,,,,"35,499 cases and 447 deaths in last 24 hours...
#COVID19 #covidnsw #Corona"
Sayan Dey,@sayan_dey,2021-08-10T19:50:58.000Z,,,,"Well, of course! All thanks to you! Actually, we are indebted to you! #COVID19 #Corona #CoronaVirus #China #ShiZhengli"
Megha Kejriwal,@Megha_journo,2021-08-27T09:48:14.000Z,1,1,1,"#BREAKING_NEWS: In view of the #Covid situation, #CalcuttaUniversity has waived off tuition fees for different fees semesters."
Sparsh,@info_sparsh,2021-08-24T06:21:58.000Z,,,,What can we do to avoid the Third Wave of Covid 19 infection?
Pralay Goswami,@GoswamiPralay,2021-08-27T10:56:51.000Z,,,,Now you can book COVID 19 Vaccine slot through WhatsApp.
Vinay Kumar Dokania,@VinayDokania,2021-08-24T12:20:11.000Z,,14,20,"You made fun of me when I spoke of Covid-19. It’s okay. I am saying this again today: The Prime Minister is selling the future of youth of India. In order to help some of his corporate friends, he is launching an attack on youth’s future:Sh 
@RahulGandhi
 
#RahulAgainstSellingIndia"
Megha Kejriwal,@Megha_journo,2021-08-28T16:01:46.000Z,,,3,"#Breaking: #WestBengalGovernment extends #Covid restrictions till Sep 15, 2021. 

Night curfew to be imposed between 11 pm-5 am."
Joyjeet Paul,@johnypaul12,2021-08-15T17:16:12.000Z,,6,5,"What will it be like when #Covid_19 becomes endemic? 
@_atanas_
 https://news.harvard.edu/gazette/story/2021/08/what-will-it-be-like-when-covid-19-becomes-endemic/… via 
@Harvard"
Anirban Bhattacharya,@aanirbanbh,2021-08-13T13:18:25.000Z,,2,2,India's first nasal vaccine against COVID-19 gets DCGI nod for phase 2/3 clinical trials
Sandip Kundu,@SandipDankuni,2021-08-20T07:07:20.000Z,,,,"2nd or Fully Complete Covid-19 Vaccination. Thanks Indian Government
#Covid19IndiaHelp 
#Covishield"
Amit Agarwal ,@itsmeeamit,2021-08-10T03:44:06.000Z,,,,"COVID-19 Testing Update:

-Total Samples tested up to 09 August 2021- 48,32,78,545

-Samples Tested on 09 August, 2021- 15,11,313"
The Era,@TheEraVlog,2021-08-29T06:08:34.000Z,,,,The West Bengal government announced the extension of Covid-19 restrictions in the state till September 15 with an additional relaxation.
The Era,@TheEraVlog,2021-08-30T06:12:03.000Z,,,,"Noted Bengali writer Buddhadeb Guha died in a Kolkata hospital late Sunday. He was 85.

Earlier this year in April, Guha was detected with Covid-19 and was admitted to a hospital for over a month."
Md Shahbaz Alam,@Shahbaz_TMC,2021-08-21T09:23:08.000Z,1,2,11,"Alone we can do so little; together we can do so much..

Motivated with the social service of our leader 
@FirhadHakim
 

Food packets and Masks are being distributed amidst the crisis of Covid 19, on the day of 10th Muharram."
Waahiid Ali Khan,@waahiidalikhan,2021-08-17T14:06:14.000Z,,,2,"#sshaawntv conditions in view of Covid-19
The Bombay High Court has allowed the Shia Muslim community to take out Muharram procession but while following the Covid protocols.  https://indiatoday.in/amp/law/story/bombay-high-court-muharram-procession-covid-tazias-1842016-2021-08-17…"
Yoriichi Tsugikuni,@SniperdmYT,2021-08-24T02:41:37.000Z,,,,"@AntonovCompany
 Hope this giant is going around the world  with COVID-19 vaccines "
The Era,@TheEraVlog,2021-08-10T07:17:21.000Z,,,,"#MadhyaPradesh CM Shivraj Singh Chauhan says #COVID vaccination work in the state should be speeded up again, as there was disruption due to rain. CM reviews status of #Corona and vaccination work."
