Username,Userhandle,Time,Comments,retweets,likes,Tweet
𝐒𝐎𝐖𝐌𝐄𝐍 𝐌𝐈𝐓𝐓𝐄𝐑 | সৌমেন মিটার,@SowmenMitter,2021-07-30T14:54:29.000Z,,1,1,"Dramatic impact of vaccination as regards containment of the pandemic ... 
#COVID #vaccination #ThirdWave"
Pahchan Foundation,@PahchanFoundat1,2021-07-30T11:32:00.000Z,,,,"#VaccineExpress #Day5

We are glad to share with you all that we are running biggest campaign for registration of COVID-19 vaccine in association with Madhabilata-The Fight For Her Justice under the ""Kasbai"" program and supporting...https://facebook.com/1936833569976425/posts/2960698420923263/?sfnsn=wiwspmo…

#titagarh #kamarhati"
Asish,@ProfessorBose,2021-07-30T07:18:54.000Z,,,1,"@SonuSood
 Happy Birthday! Thank you for proving to a country full of youngsters that with the right mindset and a strong determination, a person can become as powerful and productive as a government. To a large number of us, you’re our best response to Covid 19. Lots of hugs! "
Dr.Suman K Prusty,@sumankumarprust,2021-07-30T05:54:38.000Z,,,1,"Israel authorized the use of a booster shot of Pfizer’s Covid-19 vaccine for people aged 60 and over, after early data in the country suggested vaccine protection against severe illness has waned."
Czarsportz - Global Associate Cricket World,@Emerging_94,2021-07-29T20:00:33.000Z,,2,5,"Very unfortunate for 
@Cricket_Espana
 to have withdrawn due to COVID-19 pandemic related factors, with the event now effectively a Tri-series between 
@norskcricket
 , 
@francecricket
 and the host's, #GER"
Amit Mukherjee,@AmitMukherji15,2021-07-29T15:44:48.000Z,,1,2,"Eventually the 
@BJP4India
 union government and their news channels brought out the Islamization of the #Covid_19 ! They were silent at the Kumbh Mela! Targeting #KeralaGovt ? Thank you 
@IndiaToday
 
@CMOKerala
 
@sbjayesh"
Ankit,@AnkitAgarwalOfc,2021-07-29T04:21:38.000Z,,,,"This shows that #COVID has not gone anywhere. Whether we call it 2nd or 3rd wave it is still here and we need to more careful than before. Fully vaccinated people are also getting infected. So #MaskUpIndia and #StaySafe.
#CovidIsNotOver #Covid19IndiaHelp"
Raj Saha ,@rajsahaofficial,2021-07-28T13:13:49.000Z,,,,"Kolkata get's it's normal life slowly 
#kolkata #citylife #covid_19 #usemask #getfit #getoutside #lifestyle #vacation #kolkatadiaries"
Renu Sharma(Tripathy)521020653,@News18hind,2021-07-28T07:11:51.000Z,,,,#coronakoharaeingeeksaath #mostimportantforward #doyourthing The world is still going through a major crisis globalisation has halted and countries have been under lockdown. A number of people have been affected The culprit covid 19 .
Mahesh Saharia,@iamamkay,2021-07-28T03:07:59.000Z,,,,"@JoeBiden
 Sir, even in 100 % inoculated areas, is there any harm in using masks. Need not be mandatory but should be recommended. Nominal risk areas turn to high risks. Prevention always better, I submit. 
@POTUS
 Till #Covid continues safety measure need continuity"
Abesh Bhar আবেশ ভড়,@abeshbhar2015,2021-07-27T13:23:18.000Z,,,,"Replying to 
@abeshbhar2015
 
@digvijaay46
 and 3 others"
The Era,@TheEraVlog,2021-07-26T06:05:05.000Z,,,,"""COVID-19 in India"" #coronavirus"
Shamik Bhattacharyya,@ShamikB15515296,2021-07-25T14:26:30.000Z,,,,What the nose tells of COVID-19 prognosis: https://thehindu.com/sci-tech/health/what-the-nose-tells-of-covid-19-prognosis/article35515602.ece…
The Era,@TheEraVlog,2021-07-25T08:53:54.000Z,,,,"India reports 39,742 new COVID-19 cases in last 24 hours -govt"
ramen aditya,@AdityaRamen,2021-07-25T06:18:25.000Z,,,,"Virus of 2020--Covid 19, a threat to the lives of million people across the world.
Invented by Wuhan,China.
Virus of 2021-- Pegasus Spyware, a threat to the fundamental rights of a large number of people across the world and mostly for Indians.
Invented by NSO group, Israel."
Mahesh Saharia,@iamamkay,2021-07-24T18:03:29.000Z,,1,,#India continues its Global #Covid cooperation as soon as its own position stabilises. Remarkable cooperation with #Bangladesh & #Indonesia to help each other in times of needs. Surely a friend in need is friend indeed.
Ujjwal Roy,@ujjwalroy06,2021-07-24T14:50:46.000Z,1,,4,"Today Got My first jab of Russia's Sputnik V COVID-19 vaccine at Woodlands Hospital Kolkata !  

@DrRupaliBasu

#Sputnik 
#woodlandshospitalkolkata"
