,username,created_at,replies_count,retweets_count,likes_count,tweet,language
0,𝐒𝐎𝐖𝐌𝐄𝐍 𝐌𝐈𝐓𝐓𝐄𝐑 | সৌমেন মিটার,2021-07-30T14:54:29.000Z,,1.0,1.0,"Dramatic impact of vaccination as regards containment of the pandemic ... 
#COVID #vaccination #ThirdWave",
1,Pahchan Foundation,2021-07-30T11:32:00.000Z,,,,"#VaccineExpress #Day5

We are glad to share with you all that we are running biggest campaign for registration of COVID-19 vaccine in association with Madhabilata-The Fight For Her Justice under the ""Kasbai"" program and supporting...https://facebook.com/1936833569976425/posts/2960698420923263/?sfnsn=wiwspmo…

#titagarh #kamarhati",
2,Asish,2021-07-30T07:18:54.000Z,,,1.0,"@SonuSood
 Happy Birthday! Thank you for proving to a country full of youngsters that with the right mindset and a strong determination, a person can become as powerful and productive as a government. To a large number of us, you’re our best response to Covid 19. Lots of hugs! ",
3,Dr.Suman K Prusty,2021-07-30T05:54:38.000Z,,,1.0,"Israel authorized the use of a booster shot of Pfizer’s Covid-19 vaccine for people aged 60 and over, after early data in the country suggested vaccine protection against severe illness has waned.",
4,Czarsportz - Global Associate Cricket World,2021-07-29T20:00:33.000Z,,2.0,5.0,"Very unfortunate for 
@Cricket_Espana
 to have withdrawn due to COVID-19 pandemic related factors, with the event now effectively a Tri-series between 
@norskcricket
 , 
@francecricket
 and the host's, #GER",
5,Amit Mukherjee,2021-07-29T15:44:48.000Z,,1.0,2.0,"Eventually the 
@BJP4India
 union government and their news channels brought out the Islamization of the #Covid_19 ! They were silent at the Kumbh Mela! Targeting #KeralaGovt ? Thank you 
@IndiaToday
 
@CMOKerala
 
@sbjayesh",
6,Ankit,2021-07-29T04:21:38.000Z,,,,"This shows that #COVID has not gone anywhere. Whether we call it 2nd or 3rd wave it is still here and we need to more careful than before. Fully vaccinated people are also getting infected. So #MaskUpIndia and #StaySafe.
#CovidIsNotOver #Covid19IndiaHelp",
7,Raj Saha ,2021-07-28T13:13:49.000Z,,,,"Kolkata get's it's normal life slowly 
#kolkata #citylife #covid_19 #usemask #getfit #getoutside #lifestyle #vacation #kolkatadiaries",
8,Renu Sharma(Tripathy)521020653,2021-07-28T07:11:51.000Z,,,,#coronakoharaeingeeksaath #mostimportantforward #doyourthing The world is still going through a major crisis globalisation has halted and countries have been under lockdown. A number of people have been affected The culprit covid 19 .,
9,Mahesh Saharia,2021-07-28T03:07:59.000Z,,,,"@JoeBiden
 Sir, even in 100 % inoculated areas, is there any harm in using masks. Need not be mandatory but should be recommended. Nominal risk areas turn to high risks. Prevention always better, I submit. 
@POTUS
 Till #Covid continues safety measure need continuity",
