,username,created_at,replies_count,retweets_count,likes_count,tweet,language
1,Padmanabhan Jaikumar,2021-06-29T05:51:28.000Z,0.0,0.0,0,"With over 32.36 crore Covid-19 vaccinations, India overtakes US in total doses administered
https://timesofindia.indiatimes.com/india/with-over-32-36-crore-covid-19-vaccinations-india-overtakes-us-in-total-doses-administered/articleshow/83915682.cms… via NaMo App",en
10,Vivek Singh,2021-06-28T02:44:46.000Z,0.0,0.0,1,"More than 450 underprivileged beneficiaries were vaccinated at today's Free Covid-19 Vaccination Camp organized by Tillotoma Foundation at Rabindranath Tagore International Institute of Cardiac Sciences.   

@TillotomaF

#CovidVaccine 
#TillotomaFoundation",en
12,Dipayn Bose,2021-06-27T18:53:53.000Z,0.0,0.0,0,"Baisakhi, 1-year-old, with her older sister standing beside the railway track. Due to COVID-19, their school is closed for a long time. The whole education system of the country has hit badly as online mediums can't be accessible everywhere.

#LumixIndia #S5",en
13,Truecare Medical,2021-06-27T17:48:31.000Z,0.0,0.0,0,Started COVID-19 Vaccination #vaccination #CovidVaccine #GetVaccinated #Covishield #pathology,en
14,Tirthadeep K,2021-06-27T17:00:45.000Z,0.0,0.0,0,"Replying to 
@jdhankhar1
 and 
@MamataOfficial",en
15,@ChayanGanguly,2021-06-27T14:51:43.000Z,0.0,0.0,1,"Nearly 500 underprivileged people from Kolkata were vaccinated at today's Free Covid-19 Vaccination Camp organized by 
@TillotomaF
 in partnership with 
@NarayanaHealth
 at RN Tagore Hospital,Kolkata. 
Proud to be a part of the team.
Thanks to Narayana Health for all the support!",en
16,PARTHA ROY,2021-06-27T11:13:43.000Z,0.0,0.0,0,"CM 
@MamataOfficial
 needs streamline Covid-19 vaccination  process and enforce strict checking systems to eliminate fake  vaccination camps endangering life of thousands in #WestBengal. Any  Fake vaccination camp in rural  areas  can cause irreparable damage to villagers",en
23,Amit Sharma,2021-06-25T11:31:49.000Z,0.0,0.0,0,"Replying to 
@rpfersdah
 
@ErRpf
 and 2 others",en
25,Sourav Prosad,2021-06-25T09:39:09.000Z,0.0,3.0,3,"Today is the time when we all should take initiative to stop the spread of COVID-19. 
But what is our government doing – inviting students to appear for exams, regardless of their lives. #NoExamUntilVaccination",en
26,Rana | Please #Vaccinate,2021-06-24T14:30:04.000Z,0.0,1.0,0,Please help get Dheeraj back to his daughters (8 & 4 yrs) who have been waiting patiently for last 2 months to meet their father. Dheeraj has been fighting the dreaded #Covid since April 2021 & has been hospitalized since then. https://milaap.org/fundraisers/support-dheeraj-anand… #Verified #Covid19IndiaHelp,en
