,created_at,username,tweet,language,replies_count,retweets_count,likes_count,Username,Retweets
0,2021-06-05 05:25:26 India Standard Time,aneepz,"alahai badut sarkis bodoh yakmat la @MuhyiddinYassin dan PN ni. dah 2 kali beraya covid, baru nak kaji. tadika pon online.  semua dah vaksin tapi makin bebal.",in,0.0,0.0,1,,
1,2021-06-05 05:24:27 India Standard Time,sureshg56595674,Sir iam suresh from Thumkunta .my sister daughter had married. But kalyana Laxmi as not came . now his pregnancy and she is delivery date is 13/6/21 . Married on 03/11/2019 . check as came to mandal office.and check as expared due to covid. . given to RDO OFFICE . till now not c,en,0.0,0.0,0,,
2,2021-06-05 05:11:12 India Standard Time,roseazdilla,Sebelum covid 19 melanda Malaysia...january 2020  https://t.co/dynnXLtcQv,in,0.0,0.0,0,,
3,2021-06-05 05:07:45 India Standard Time,jqafbannon,Abah nak gi kedai musim covid be like #MCO3,in,0.0,0.0,0,,
4,2021-06-05 05:00:00 India Standard Time,anjalisachdeva9,Plantation drive in memory of those who lost their battle to COVID-19 on 5th June...  @Dkumarchandel @AmarUjalaNews @tricitytoday @HTNoidaGzb @TOINoida @DainikHint @JagranNews  https://t.co/tjv8wAInc4,en,0.0,0.0,7,,
5,2021-06-05 04:36:03 India Standard Time,sipgrab,Fewer Americans blame COVID for preventing them from seeking work  https://t.co/nCopSci6TP #Sipgrab #UnitingPeopleWithThePossibilities,en,0.0,0.0,0,,
6,2021-06-05 04:31:10 India Standard Time,brundapawan,Punjab Health Minister admits to selling COVID vaccines to private hospitals. Punjab Govt. withdraws order to supply vaccines to private hospitals after backlash  Read More:  https://t.co/XUAHuk1BPM  https://t.co/aPP91hMcFC,en,0.0,0.0,0,,
7,2021-06-05 04:27:41 India Standard Time,drbasavarajmod6,ನೀವೂ ಪ್ರಾರಂಭ ಮಾಡಿರಲ್ಲ! ಹೇಗೂ ನಿಮ್ಮ ಹತ್ತಿರ ಕೋಟಿ ಕೋಟಿ ಹಣ ಇದೆ. ಸ್ವಲ್ಪ ತಿದ್ದು ಪಡಿ. ಎಲ್ಲಾ ರಾಜಕಾರಣಿಗಳೂ ಕೊಟ್ಯಧೀಶರಿದ್ದಾರೆ. ನೀವೆಲ್ಲರೂ ಕೂಡಿ Covid-19 ಸೋಂಕು ತಗುಲಿದವರ ಖರ್ಚು ವೆಚ್ಚ ನೋಡಿಕೊಳ್ಹ ಬಹುದಲ್ಲ!  ದೇವರು ನಿಮಗೆ ಒಳ್ಳೆಯದು ಮಾಡಲಿ.,kn,0.0,0.0,0,,
8,2021-06-05 04:18:17 India Standard Time,r0nggo05,"@AnisLutino @KompasTV Malaysia THN ini tdk akan ada pergi haji, dg kondisi covid Malaysia saat ini",in,0.0,0.0,0,,
9,2021-06-05 04:13:08 India Standard Time,nursyuhaidahsyu,"kalau raya tahun depan , keadaan masih macam ni n covid ni masih ada , aku tak tahu nak kata hapaaa 🤦🏻‍♀️🙇🏻😭",in,0.0,0.0,0,,
