,username,created_at,replies_count,retweets_count,likes_count,tweet,language
0,Megha Kejriwal,2021-03-30T09:18:17.000Z,,,1.0,"Airports may levy spot fines if face mask rule violated, warns #DGCA amid #Covid spike",
1,Soumyajit Majumder,2021-03-29T15:00:18.000Z,4.0,,11.0,"West Bengal reports 639 new COVID-19 cases, Kolkata has 225 new cases",
2,Nishit Shaw,2021-03-29T05:35:57.000Z,,1.0,,"Recovery rate drops to 94.32%, very very worrisome for #India.

Please wear a mask, ask others to wear & distance yourself! 

#COVID19 #Corona #coronavirus #Covid_19",
3,Rajlkxmi Datta,2021-03-28T13:56:19.000Z,,,,"Replying to 
@republic",
4,Call me WD or Wri,2021-03-28T07:22:24.000Z,,,,"Doesn’t quite feel like #Holi, but just another HOLIday in times of #Covid_19 

NB: Spray sanitiser and main distance
#HappyHoli2021",
5,Rajdip majumder,2021-03-28T06:51:41.000Z,,,1.0,"Mandatory Upload...

""দাওয়াই ভি, কড়াই ভি""

Just got vaccinated for the Covid-19.....
Let us all get vaccinated and create healthy nation...

#seruminstitute
#covishild 
#mohwf 
#icmr https://instagram.com/p/CM8_g11lsNQokLfYgBXzg2VXCPk9TDTWU-uZ9s0/?igshid=82fclfp0vtx8…",
6,Apurba Deb,2021-03-27T08:54:11.000Z,,,,"Also wear a Mask and follow others Covid-19 guidelines and protocols while going to Vote. 
Thank you 

#Election2021",
7,Kajal Sengupta,2021-03-27T05:37:34.000Z,,,,"Mint: Maharashtra: Night curfew from Sunday as COVID-19 cases rise. Details here.
https://livemint.com/news/india/maharashtra-night-curfew-from-sunday-as-covid-19-cases-rise-details-here-11616768589396.html…

via 
@GoogleNews",
8,Kajal Sengupta,2021-03-27T05:37:05.000Z,,,,"Mint: Actor Paresh Rawal tests positive for Covid-19 days after being vaccinated.
https://livemint.com/news/india/actor-paresh-rawal-tests-positive-for-covid-19-days-after-being-vaccinated-11616804057959.html…

via 
@GoogleNews",
9,Nishit Shaw,2021-03-27T05:35:43.000Z,,,1.0,"With #SachinTendulkar testing positive, here is the current count. 

 Wear a mask.
 Ask others to wear a mask.
 Distance yourself

Only these 3 things can save our own people & also save the economy eco-system.

#Covid #Covid19 #India 
#StaySafe #Unite2FightCorona",
10,Raja Basu(OFFICIAL),2021-03-26T19:38:08.000Z,,,,"DG remarks and links for COVID-19 press briefing, 26 March, 2021 http://createsend.com/t/d-1D268C4DBF8C98502540EF23F30FEDED…",
11,Nishit Shaw,2021-03-26T06:07:07.000Z,1.0,,,"#Covid_19 worrisome signs-

1. Sixty-Thousand news cases in 1 day.
2. #WestBengal sees Weird-New-Strains 
3. Majority of #Kolkata people are not getting themselves.
4. #Calcutta active cases over-takes recoveries with a great margin, Death rate rising slightly.

Wear a mask, plz!",
12,Nishit Shaw,2021-03-26T03:33:04.000Z,,,,"CONTENT IS KING!

Despite Night Curfews, Reduced theatre occupancies, on *WORKING WEDNESDAY*, #GodzillaVsKong registers a jaw-dropping Rs 6.40 crore (Net) in #Covid era.

Gone are the days when films opened at 20-25 crores for huge actors.

Note: Film did well in #SouthIndia",
13,Nishit Shaw,2021-03-26T03:27:02.000Z,,,2.0,"15th April, 2021

EXTREMELY CRUCIAL for the film fraternity of India

#Covid count by this particular date will determine the ACTUAL release dates of Biggies like #Radhe, #Sooryavanshi, #KGF2, #RadheShyam etc

Reducing the count will only allow ‘The Film Industry’ to prosper.",
14,gautideb,2021-03-25T07:09:58.000Z,,2.0,1.0,"If covid cases are increasing ,then why govt is allowing to do Political rally & Meetings with huge crowd  and now they are giving guidelines to celebrate festival with no gatherings  Hypocrisy level  #assam #WestBengal #kolkata #Guwahati #Election2021 #COVID",
15,Teenskagram,2021-03-25T06:18:42.000Z,,,,"Government yesterday said a new ""double mutant variant"" of the coronavirus has been detected in 18 states in the country in addition to many other strains or variants of concern (VOCs) which have also been found abroad.
#teenskagram #COVID #coronavirus #vaccine #vaccinated #modi",
16,Megha Kejriwal,2021-03-25T02:37:30.000Z,,,,#JUSTIN |#CalcuttaHighCourt to remain closed due to the rising cases of #Covid.,
17,All In One Desi,2021-03-25T02:25:42.000Z,,1.0,1.0,"Register Yourself For Covid-19 Vaccine(Hindi)
Soon it wiil for all
https://youtu.be/uokm1EBeruE

#allinonedesi #Covid19 #Vaccine #CoronaVaccine #CovidVaccine #CovidVaccineRegistration #CoronaVaccineRegistration #India #VaccineRegistrationIndia",
18,Sneha Biswas,2021-03-24T12:49:00.000Z,,,,"@BeingSalmanKhan
 who was earlier snapped arriving at Lilavati hospital, has now received the first dose of Covid-19 vaccine! Yay!",
19,Divyam Thakur (BJP),2021-03-24T08:55:16.000Z,1.0,,,"Good news:-
Turkey lover Amir Khan Tested positive for Covid-19 !
 Please Let Him Go To Turkey  For Quarantine  
He Already Feels Uncomfortable Here 
@HMOIndia
 
#AamirKhan",
20,Soumyajit Majumder,2021-03-24T08:38:42.000Z,4.0,2.0,10.0,"Centre issues directive to West Bengal government that it may ban celebrations on Holi and Dol due to rise in COVID-19. The decision needs to be taken at the local level, it says.",
21,Raja Basu(OFFICIAL),2021-03-23T16:43:32.000Z,,,,"@MoHFW_INDIA
 ADVANCE RESEARCH ON COVID-19",
22,Tamshuk Dutt,2021-03-23T07:00:43.000Z,,,,"As Kartik Aaryan Is Tested Positive For Covid-19, His 'Bhool Bhulaiyaa 2' Shoot Gets Halted.. #BhoolBhulaiyaa2 
@TheAaryanKartik
 #coronavirus",
23,Blaze-In Digitally,2021-03-23T04:31:46.000Z,1.0,,1.0,"We all remember this day. Maybe we will not be forgetting this phase of life in our lifetime! 

Share your 23rd March 2020 moment in the comment section.

#lockdownanniversary #23rdMarch2020 #jantacurfewanniversary #blazeindigitally #coronaalert #Covid #pandemic",
24,payel mahata dey,2021-03-22T16:46:40.000Z,,,,"@ECISVEEP
 The Covid situation is worsening day by day and Bengal Election is in door - please make mask mandatory in West Bengal during any election campaign or during the election days by keeping monetary penalty to avoid Covid-19 outbursts post election. Thanks . #COVID19",
25,shyamal das,2021-03-22T08:45:59.000Z,,,,Protection covid 19,
26,Rajat Mondal,2021-03-22T07:42:36.000Z,,,,Uttarakhand CM Tirath Singh Rawat Tests Positive for COVID-19,
27,Nishit Shaw,2021-03-22T06:23:15.000Z,,5.0,12.0,"#MumbaiSaga winning hearts in #Covid era. 
Salute to the Brave step of not bringing the film on #OTT

Night curfews, operational limits and still this #JohnAbraham & #EmraanHashmi starrer managed to rake in 5.22 crores.

True example of standing for the film fraternity. ",
28,Yoriichi Tsugikuni,2021-03-21T12:27:07.000Z,,,,"@AITCofficial
 Pls help the Old people who are went to take the Covid-19 vaccine and they get to sit in the sun waiting for their chance and the Barasat District Hospital can’t provide a fan in this scratching heat & water when they’re thirsty.",
29,Joydeep Phukan,2021-03-20T17:12:03.000Z,,,1.0,A year at Home by the Americans in 2020 in numbers #US #pandemic #COVID,
30,Sanskar Singh,2021-03-20T14:36:36.000Z,,,,"Best wishes to Prime Minister 
@ImranKhanPTI
 for a speedy recovery from COVID-19.",
31,Healthwire,2021-03-20T12:13:49.000Z,,,1.0,"Ekincare Announces COVID Vaccinations For Employees And Dependents 
@eKincareHealth


#ekincare #COVID #coronavirus #VaccinationDrive #COVID19Vaccine",
32,IMI Kolkata,2021-03-20T06:59:51.000Z,,,,"IMI Kolkata organised its second Supply Chain Summit on the topic ""Refocusing Supply Chain Resilience: Lessons from Covid-19"" comprising our eminent panelists. 

#SCM #IMI",
