,created_at,username,tweet,language,replies_count,retweets_count,likes_count
0,2021-03-30 05:14:05 India Standard Time,sipgrab,Not much love for COVID-19 vaccine at Miami Open  https://t.co/qmwLfB6XFd #Sipgrab #UnitingPeopleWithThePossibilities,en,0.0,0.0,0.0
1,2021-03-30 05:01:42 India Standard Time,pontianakterek,Personil polresta melaksanakan piket jaga mako sekaligus berikan himbauan kepada pengunjung untuk patuhi prokes covid-19  https://t.co/lE9HMZa2KD,in,0.0,0.0,1.0
2,2021-03-30 04:58:05 India Standard Time,sipgrab,"Britons worry less about COVID and Brexit, but new concerns grow, poll shows  https://t.co/e9UIIAbr5k #Sipgrab #UnitingPeopleWithThePossibilities",en,0.0,0.0,0.0
3,2021-03-30 04:49:59 India Standard Time,neeraj19453318,@PawarSpeaks @narendramodi @PMOIndia Ye budhe chutiye ko reply ka time hai aapko @narendramodi @PMOIndia aur naujawan jo covid positive hai unko khadhdhe me daalo😬😬😬😬😬😬,hi,0.0,0.0,0.0
4,2021-03-30 04:34:43 India Standard Time,richardbarrow,"I just arrived at school and noticed that the air quality is well into the green zone in Samut Prakan. I had to dig out the green flag. We haven’t flown that at school for a long time. Hopefully the good air quality will last. No need for masks now. No, wait. We still have COVID.  https://t.co/MBpV53Wmbe",en,3.0,9.0,80.0
5,2021-03-30 03:57:40 India Standard Time,reexwaan,Situations about #Covid19 Sop’s and Precautionary Measures are much better in Lahore now as compared to Previously.  Thanks You @commissionerlhr  for getting Covid Sop’s Implemented Strictly in Lahore. Much Appreciated and Best of Luck. @UsmanAKBuzdar @OfficialDPRPP @yrcpakistan,en,1.0,3.0,22.0
6,2021-03-30 03:47:47 India Standard Time,neeraj19453318,Is @CMOMaharashtra is waking I am suffering from cough and get positive results of covid but no government employees are taking my call,en,0.0,0.0,0.0
7,2021-03-30 03:44:52 India Standard Time,kundan2707,04036 anvt-jbn holi spacial AB1 even in 2AC no handwash liquid available in any of toilet. railway should atleast take care of sanitization and all atleast in covid-19 scenario. @RailMinIndia  @PiyushGoyal  @spjdivn  @drm_kir  @_Aaj_Tak,en,1.0,0.0,1.0
8,2021-03-30 03:38:38 India Standard Time,neeraj19453318,I am covid patient and of government employees taking call of mine...maharashtra government @CMOMaharashtra @OfficeofUT @narendramodi @AmitShah @myogiadityanath @MoHFW_INDIA,en,0.0,1.0,0.0
9,2021-03-30 03:03:16 India Standard Time,drjaze3,London: Zero COVID-19 deaths ❤️,en,0.0,0.0,1.0
10,2021-03-30 02:57:35 India Standard Time,sudhuu__,Ticket will be issuing from this weekend. So be ready to grab your tickets as soon as possible.  only limited number of tickets will be issue due to current situation. (COVID 19).  https://t.co/OdOw3C2nVW,en,0.0,0.0,1.0
11,2021-03-30 02:25:48 India Standard Time,tirukuralkaram,"3rd brain 🧠 acts are real. Ulter nonsense it would be to face 3rd wave of Covid-19(00) after spending billions on VACCINATION. Still basic rules need to followed, it appears. NYTimes  https://t.co/aKcN2xUzTF",en,0.0,1.0,1.0
12,2021-03-30 02:25:03 India Standard Time,sipgrab,"Personal Finance Daily: The struggle is real to buy a home during the pandemic, and can colleges mandate COVID-19 vaccines for students?  https://t.co/jtwiwyxBeC #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",en,0.0,0.0,0.0
13,2021-03-30 02:18:24 India Standard Time,umiipeer,"Covid-19 Lockdown 2021: Punjab reports 2,914 new cases, 59 deaths  https://t.co/18YK3oeQOP",en,0.0,0.0,0.0
14,2021-03-30 02:11:48 India Standard Time,naseer_ahlaei,"I'm at Iau Hospital - Covid-19 Vaccination Center in Al Khobar, Ash Sharqiyah  https://t.co/apWPNm7yZs",ro,0.0,0.0,0.0
15,2021-03-30 02:00:45 India Standard Time,kaleechbaig,Vaccination for 50+ has been started. Everyone please get your parents registered by sending CNIC to 1166 Please 🥺🥺 #Covid_19,en,0.0,0.0,1.0
16,2021-03-30 02:00:05 India Standard Time,sipgrab,Here's New York City's potential road to economic recovery after the Covid-19 pandemic  https://t.co/yVbjElSGL1 #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,en,0.0,0.0,0.0
17,2021-03-30 01:48:14 India Standard Time,sirajnoorani,"#Pune district reports 4,961 COVID-19 cases; 31 fatalities push death toll to 4,961",en,1.0,2.0,2.0
18,2021-03-30 01:48:02 India Standard Time,sirajnoorani,"Chhattisgarh's COVID-19 tally rises to 3,41,516 with addition of 1,423 fresh cases, while death toll rises by 20 to reach 4,096",en,0.0,0.0,0.0
19,2021-03-30 01:45:51 India Standard Time,sirajnoorani,"A pub in the northern #Bengaluru suburbs has been shut down after 14 of its staff tested #Covid positive, an official said on Monday.  https://t.co/kxTHE9Ha7O",en,0.0,0.0,1.0
20,2021-03-05 05:28:27 India Standard Time,mozammalnawaz,#JummahMubarak to every muslim out there.. 🕌  May Allah keep us safe from third wave of Covid...🌺❤️ #fridaymorning,en,0.0,1.0,3.0
21,2021-03-05 05:21:43 India Standard Time,weechee91,"@Khairykj Seeing many reports of frontliners getting their COVID Vaccine from the National Vaccination programme, a really good sign there, but just a question: Are private ambulance services, which are kind of left out in Malaysia, a part of the first phase of vaccination?  https://t.co/qGRMwDGX2H",en,0.0,0.0,0.0
22,2021-03-05 04:41:29 India Standard Time,karanveerbhambr,@DRMJodhpurNWR dear a passenger travelling on seat no 7 coach A2 is having fever (as told by his family) asked TT but no response rec'd s look into the matter and stop a potential covid case train no 04645,en,1.0,1.0,1.0
23,2021-03-05 04:09:36 India Standard Time,t50032t,#تعليق_الدراسه_عمان   الحكومة تخسر المليارات وتوقف الطيران وتعطل المدارس من أجل حماية الوطن والمواطن من فيروس #كورونا، ولابد علينا  جميعا التقيد بالتعليمات الوقائيه كي  نساعد الوطن. #عاجل #وزاره_الصحه #Covid_19 #HappyNewYear2021 #اللجنة_العليا #عمان_تواجه_كورونا,ar,0.0,1.0,0.0
24,2021-03-05 03:37:18 India Standard Time,arshadyousafzy,الحَمْدُ ِلله کرونا سے نجات مل گیا۔ There is one consolation in being sick; and that is the possibility that you may recover to a better state than you were ever in before #covid #coronavirus #corona #staysafe #stayathome #lockdown #Recvered #quarantine #SocialDistance  #healthy  https://t.co/OVSZcGe0Lr,en,0.0,0.0,0.0
25,2021-03-05 02:29:02 India Standard Time,vishnoisays,New York's Stubbornly High Covid Rates Complicate Reopening  https://t.co/JoE2o4AnX3,en,0.0,0.0,0.0
26,2021-03-05 02:14:05 India Standard Time,kamel788457212,@BusinessNews_tn C'est tout faux ...il y a  plus que 20 milles décès Covid 19 en Tunisie...,fr,0.0,0.0,0.0
27,2021-03-05 01:56:45 India Standard Time,sumayafilmz,"The Covid situation in Somalia is so heartbreaking 274 people alone died this week , and they’re running out of oxygen tanks . The Uk variant has also entered the country . May Allah have mercy on all those who have passed and grant shifa to the ones currently fighting .",en,2.0,90.0,333.0
28,2021-03-05 01:30:13 India Standard Time,deannadeanie,"Kawan kat hospital lain pun dah dapat. Tak payah citer hospital lain, dept lain hospital sendiri pun dapat dah and most importantly haruslah orang atas dapat dulu yang tak sentuh pun patients COVID ni. 😁 Kitorang ni yang jaga patients COVID...boo hoo 🙃",in,0.0,0.0,0.0
29,2021-03-05 01:30:12 India Standard Time,deannadeanie,"Baca tweet Dr Musa Nordin yang pasal gov should prioritize vaccine kat mana etc tu. Well, memang tak properly organized pun. Nama je COVID CENTRE, jaga COVID patients tapi dapat lambat gila. At least for my dept la, kitorang orang terakhir.",in,1.0,0.0,0.0
30,2021-03-05 01:07:47 India Standard Time,srisirisirirac2,@sirotek ในฐานะที่ ท่านพลเอกประยุทธ์จันทร์โอชา เป็นหัวหน้ารัฐบาลชุดนี้  นายกรัฐมนตรี ต้องมีความเด็ดขาด คิดถึงประโยชน์ส่วนรวมเป็นหลัก  กรุณา อย่าให้สะดุดขาของตนเองนะครับ  กระผม ปรียชาติสุขุมพันธุ์ สนับสนุน คนดี และมีความตั้งใจทำงานอย่างสูง  ฝ่าฟันวิกฤต covid 19 มาได้ ก็ถือว่าโชคดีมากนะครับ  https://t.co/XAP1CBdLwk,th,1.0,0.0,0.0
