Username,Userhandle,Time,comments,retweets,likes,Tweet
Pooja Mehta,@pooja_news,2021-05-21T15:53:39.000Z,9,51,282,"#GoodNews: A 99-year-old lady, Arati Bhattacharya fully recovered from Covid-19 despite comorbidity like diabetes,ischemic heart disease. She was suffering from pneumonia with hypoxia & was on Noninvasive ventilation. She was discharged today from Coochbehar Medical College."
Rupam Art,@ArtRupam,2021-05-22T14:23:11.000Z,28,71,1.4K,"@SonuSood
 the real life hero.
(Pencil sketch by Rupam Bhattacharya).
#sonu_sood #RupamArt #sketch #painting #drawing #pencil #arts #art #real_life_hero #soft_pastel #Rupam_Art #sonu_sir #coronavirus #covid_19 #India #sonu #o2"
Arpita Mukherjee,@ArpitaM57600621,2021-05-19T03:25:06.000Z,3,2,8,"Active covid cases in India,May 13th,2021
#coronavirus 
#COVID19
#Corona #CoronavirusIndia #Covid_19 #Unite2FightCorona 
Map prepared with help of ARC GIS ( ESRI) software"
Soumick Mondal,@soumick_raj,2021-05-02T14:22:31.000Z,1,1,8,"Eating Carbohydrates/Sugar in excess regularly always leads to disaster.

Change your food habit now!

Eat Proteins and Fats

#covid_19 #nutrition #stayfitstayraw #befitwithraj"
𝐒𝐀𝐍𝐃𝐄𝐄𝐏,@Sandeep06424827,2021-05-15T11:20:13.000Z,,,,"Replying to 
@__Shubhu0123"
Arpita Mukherjee,@ArpitaM57600621,2021-05-22T07:17:13.000Z,,2,4,"Total cases of covid 19 ( active, confirm, recovered and death cases) in different States/UT's of India..( May 19th, 2021)
#CoronaUpdate 
#CoronaVirusUpdates 
#COVID19 
#CoronavirusIndia 
#COVID 
#coronavirus 
#Covid_19 
#CovidIndia 
#COVID19India"
Ranjini Basu,@ranjini_basu,2021-05-20T18:50:28.000Z,15,133,858,Lost my granny Com. Jyotsna Bose this Sunday. A lifelong trade union activist & Left worker her political involvement began with the All India Post & Telegraph Employees Strike in 1946. She is the first Indian woman to donate body for #COVID research. Proud to uphold this legacy
Soumyajit Majumder,@SoumyajitWrites,2021-05-18T18:39:17.000Z,2,36,165,"#JUSTIN: Former West Bengal CM Buddhadeb Bhattacharjee tests positive for COVID-19, his wife Mira Bhattacharjee is also infected and she was admitted to Woodlands with breathing troubles"
Rtv Bangla Live,@rtv_banglalive,2021-05-23T08:04:10.000Z,,,3,"PPE kit handed over to Rtv Bangla captain Soumen Saha on behalf of Bandhu Chal Welfare Association .
..
..
#ppekit #covid #covid_19 #corona #coronaindia 
#covidwarriors #media #mediaagency #news #newsupdates"
Pooja Mehta,@pooja_news,2021-05-29T10:30:21.000Z,14,46,289,Alapan Bandyopadhyay had little time to mourn the demise of his own brother whom he lost to Covid-19 amidst handling the pandemic situation & post-Cyclone aftermath in the state.
UKinKolkata,@UKinKolkata,2021-05-08T07:29:37.000Z,1,12,37," SENDS MORE URGENT MEDICAL SUPPLIES TO  

The UK is sending these oxygen generators from Northern Ireland to India to tackle Covid-19.

UK and India are a #forceforgood in the fight against #Coronavirus."
Arpita Chatterjee,@ArpitaCP,2021-05-20T09:31:39.000Z,7,,119,"ICMR has approved Pune-based Mylab Discovery Solutions’ self-test COVID-19 kit called the CoviSelf COVID-19 OTC Antigen LF device. The kit will allow you to test yourself for COVID-19 right at home. The kit will be out in the market in a week. Well, that’s a good news indeed!!"
SAYAN KUNDU (WRITER),@KunduWriter,2021-05-22T18:57:54.000Z,,2,11,"Renowned actor Smt Sandhya Roy going home recoverd from Covid-19. Here seen with her doctor Dr Prasun Mitra just before discharge at Woodlands hospital, May 21, 2021.
#Sandhya_Roy"
Pooja Mehta,@pooja_news,2021-05-20T03:25:19.000Z,1,3,26,"Revised guidelines for Covid-19 Vaccination:

1. Individuals infected with Covid-19 to defer their vaccination for 3 months after clinical recovery.

2. If infected after the 1st dose, 2nd dose to be deferred for 3 months after recovery."
Shaykh Hasnain Ali Qadri,@haqtweets,2021-05-13T16:52:45.000Z,1,1,2,"May Allah Almighty accept our Ibadah rendered during the month of Ramadan and protect everyone around the world from COVID-19 Corona Virus{Second Wave}Pandemic. Here's Wishing you all a very happy and blessed Eid Ul Fitr Mubarak. 
#EidUlFitr #EidMubarak #COVID19 #StayHomeStaySafe"
Ishadrita Lahiri,@ishadrita,2021-05-02T11:37:28.000Z,3,22,193,First thing Mamata Banerjee says when she's addressing the people is to maintain COVID protocols and not hold victory processions. Reiterates that COVID-19 is first priority.
"Dr. A. K. Singh; MD, DM (Endo) ",@singhak_endo,2021-05-23T17:41:15.000Z,1,5,26,"Tune in to 
@IndiaToday
 TV at 11:30 am tomorrow, Monday 24th May. Me 
@ArvinderSoin
 and 
@RajeevJayadevan
 literally debating  the reason behind #Mucormycosis #epidemic in #India with #Covid-19 - grilled by none other than 
@snehamordani
. Is it #Diabetes #Steroid, something else?"
Rohan S Mitra,@rohansmitra,2021-05-06T03:59:40.000Z,1,9,65,"Heartfelt condolences to the supporters and loved ones of Former Union minister and Rashtriya Lok Dal chief Chaudhary Ajit Singh, who died of Covid-19. Rest in peace "
Saurabh Gupta(Micky),@MickyGupta84,2021-05-17T12:00:41.000Z,95,31,841,Sorry everyone for having been out of touch for the last ten days. Still recovering from #Covid with some lung infection prevailing. Thank you for all the prayers and wishes of recovery. Still struggling with basic chores but hoping to bounce back.
Srijan's Faucet,@Srijans_Faucet,2021-05-10T15:06:33.000Z,,,,"We have the power to protect each and every person from COVID-19. This is what we can do to lower the risks we face, from adhering to take public health measures.
 We must do it all.

#covid #coronavirus #corona #stayhome #love #quarantine #bhfyp #lockdown #staysafe"
NABARUP GANGULY,@NabarupG,2021-05-20T09:56:56.000Z,,,,"#World_Bee_Day
This year’s theme “Bee engaged – Build Back Better for Bees”,  encourages #global_cooperation and #solidarity in facing the threats and impacts posed by the #COVID-19 pandemic, particularly in food security and agricultural livelihoods."
Manjuvasha Mitra SSRian SSR warrior,@manjuvasha,2021-05-12T20:23:53.000Z,,3,2,"EID MUBARK to my SSRians family.... 
May Allah bless us and give justice to all the victims and punished all the culprits as soon as possible and give us more power to fight with covid 19...
Stay safe enjoy safely.... 
Youth Icon Sushant"
Soumick Mondal,@soumick_raj,2021-05-25T16:12:43.000Z,,,1,"Chronic high carbohydrates intake = Hyperinsulinaemia = Multiple pathological situations = Severity 

A common and easy thing which is hard to understand for many.

#covid_19 #covidindia #nutrition #hyperinsulinemia #highcarbohydrates #severity #stayfitstayraw #befitwithraj"
Raj Saha ,@rajsahaofficial,2021-05-25T15:27:43.000Z,,,,"WB COVID-19 Daily Health Bulletin: 25 May 2021.
A detailed snapshot of all relevant details on COVID-19 in WB. Keep checking.
#BengalFightsCorona #COVID19 #WestBengal"
তন্ময় l Tanmoy l تانماي l,@tanmoyofc,2021-05-05T10:05:45.000Z,,,,"What did we get in one year of Covid? 
Ventilator Bed is not sufficient. Not enough ICU Bed.
Oxyzen Supply is not OK. 
There is not enough medicine.
Vaccine is not enough. 
Hospital beds for 1 lakh people 2.3
There is No Prime Minister with No system.
#Covid_19 

@Tinni_Aphrodite"
Dilip Yadav,@DilipYadav_AITC,2021-05-27T15:50:07.000Z,2,1,19,This is the formal official list of the Doctors presently deployed under essential COVID-19 services & have been recently allocated as members in the West Bengal TMCP committee representing the Medical Cell.
@SomenDasAITC,@SomenDa54402884,2021-05-28T13:03:29.000Z,5,6,24,"Our didi 
@MamataOfficial
 is not just a leader. She is a saviour who can fight against major problems faced for the people - Covid 19 or Yaas...
#DidiFightsYaas
#DidiFightsYaas
#DidiFightsYaas
#DidiFightsYaas
#DidiFightsYaas
#DidiFightsYaas
#DidiFightsYaas
#DidiFightsYaas"
Raj Saha ,@rajsahaofficial,2021-05-11T14:46:26.000Z,,1,8,"West Bengal crosses 20K Mark!

Highest ever single-day spike in Covid-19 cases since the beginning of the 2nd wave of  Pandemic 

In last 24 hrs 20,135 new cases recorded in West Bengal. 132 people have died due to #COVID19 
@pooja_news
 
@Plchakraborty"
