id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.39009E+18,1.39E+18,2021-05-06 05:28:28 India Standard Time,06-05-21,05:28:28,530,9.88574E+17,mukeshs45173820,Mukesh Sahu,,मेरे पिता मालवी अस्पताल होशंगाबाद में कोविड19 के चलते अत्यंत गंभीर हालत ऑक्सीजन सपोर्ट पर 8-10 दिन से भर्ती हैं डॉक्टर द्वारा निर्देशित Remdesivir के मात्र 2 खुराक लगे हैं कृपया शीघ्र शेष Remdesivir उपलब्ध कराएं जिससे मेरे पिता की जान बचाई जा सके मैं आजन्म आपका ऋणी रहूंगा धन्यवाद  https://t.co/uGOI75Wp7D,hi,[],[],['https://pbs.twimg.com/media/E0qaumxVkAA4j0c.jpg'],0,0,0,[],[],https://twitter.com/MukeshS45173820/status/1390093568346230784,FALSE,,1,https://pbs.twimg.com/media/E0qaumxVkAA4j0c.jpg,India,,,,,,[],,,,
1.39008E+18,1.38998E+18,2021-05-06 04:33:07 India Standard Time,06-05-21,04:33:07,530,2286417703,blrrocks,ತರ್ಲೆ 𝗧𝗵𝗶𝗺𝗺𝗮,,"@sridharamurthy7 @sincerely_epic Without vaccination and #Remdesivir ~50% of India would have been dead by now. It's because of Modi ji request, vaccine was invented by India and 98% of us are alive. Even O2 is freely available just like spaces in crematoriums, because hardly any of the people are dying... 🙏",en,[],[],[],1,1,1,['remdesivir'],[],https://twitter.com/BLRrocKS/status/1390079642082574337,FALSE,,0,,India,,,,,,"[{'screen_name': 'sridharamurthy7', 'name': 'sridharamurthy🇮🇳', 'id': '722295329538879488'}, {'screen_name': 'sincerely_epic', 'name': 'The Epic Lady 🇮🇳', 'id': '1241681698485440512'}]",,,,
1.39007E+18,1.39007E+18,2021-05-06 03:37:09 India Standard Time,06-05-21,03:37:09,530,8.67316E+17,dastagir_hyd,Muhammed Dastagir,,"#Hyderabad: @RachakondaCop apprehended one person, while he was selling Remdesivir injections in black at high price @ Rs 35,000/- for each, when original rate is Rs 3,490/- only. Cops arrested K.Madhu and seized  Remdesivir Injections - (04)  https://t.co/PV8P2THbXP",en,"[{'screen_name': 'rachakondacop', 'name': 'rachakonda police', 'id': '749934067118772225'}]",[],['https://pbs.twimg.com/media/E0qBP8AUYAMQqKk.jpg'],0,2,1,['hyderabad'],[],https://twitter.com/Dastagir_Hyd/status/1390065555894194179,FALSE,,1,https://pbs.twimg.com/media/E0qBP8AUYAMQqKk.jpg,India,,,,,,[],,,,
1.39004E+18,1.39004E+18,2021-05-06 02:09:13 India Standard Time,06-05-21,02:09:13,530,549103109,coolpushkar7,2301_push,,"Need Remdesivir urgently, in Gorakhpur .  @UttarPradeshCMO @myogiadityanath , plz sir help... 7985234982 🙏🏻  https://t.co/0goQ9MGfSs",en,"[{'screen_name': 'uttarpradeshcmo', 'name': 'cmouttarpradesh', 'id': '524169493'}, {'screen_name': 'myogiadityanath', 'name': 'yogi adityanath', 'id': '3437532637'}]",[],['https://pbs.twimg.com/media/E0ptIHZVkAAuS9K.jpg'],0,0,0,[],[],https://twitter.com/coolPushkar7/status/1390043428361183234,FALSE,,1,https://pbs.twimg.com/media/E0ptIHZVkAAuS9K.jpg,India,,,,,,[],,,,
1.39004E+18,1.39004E+18,2021-05-06 02:07:38 India Standard Time,06-05-21,02:07:38,530,306959973,vijaysahani5,vijay sahani,,"#poochta hai bharat   सिर्फ 1 कंपनी नई बीमारी के लिए 4-6 महीने या ज्यादा में करोड़ों डोज़ बना लेती है, ओर जो दवाई जैसे फेबिफलु या remdesivir  भारत मे काफी कंपनियों के द्वारा लगातार बनाया जाता है वो सब कम्पनीया कहाँ चली गई या दवाई बनाना भूल गई या जानभुझकर बना नही रही है।  क्यों ??",hi,[],[],[],0,1,0,['poochta'],[],https://twitter.com/vijaysahani5/status/1390043029755416577,FALSE,,0,,India,,,,,,[],,,,
1.39002E+18,1.39002E+18,2021-05-06 00:45:39 India Standard Time,06-05-21,00:45:39,530,3103461780,gangadh58839022,GANGADHAR PATIL,,"@SoodFoundation @SonuSood Sir, This patient need 4 dose of Remdesivir. Please Help Them.,🙏 Sir, U r the last hope to get it in this Shortage crisis.@SonuSood @SoodFoundation  https://t.co/7aiiK3PlQi",en,"[{'screen_name': 'sonusood', 'name': 'sonu sood', 'id': '295026890'}, {'screen_name': 'sonusood', 'name': 'sonu sood', 'id': '295026890'}, {'screen_name': 'soodfoundation', 'name': 'sood charity foundation', 'id': '1354335105108434946'}]",[],"['https://pbs.twimg.com/media/E0pZ_OrVcAA_VQV.jpg', 'https://pbs.twimg.com/media/E0pZ_vVVkAYZc6f.jpg']",0,0,0,[],[],https://twitter.com/GANGADH58839022/status/1390022398049591298,FALSE,,1,https://pbs.twimg.com/media/E0pZ_OrVcAA_VQV.jpg,India,,,,,,[],,,,
1.39002E+18,1.39002E+18,2021-05-06 00:22:36 India Standard Time,06-05-21,00:22:36,530,9.55163E+17,adityam57938423,Aditya Mishra,,Thank you Very much America 🇺🇸 for helping India 🇮🇳 for Remdesivir Injection  @JoeBiden @SecBlinken,en,"[{'screen_name': 'joebiden', 'name': 'joe biden', 'id': '939091'}, {'screen_name': 'secblinken', 'name': 'secretary antony blinken', 'id': '1350150750966603777'}]",[],[],0,0,0,[],[],https://twitter.com/AdityaM57938423/status/1390016595066449921,FALSE,,0,,India,,,,,,[],,,,
1.39001E+18,1.39001E+18,2021-05-06 00:00:53 India Standard Time,06-05-21,00:00:53,530,1.33702E+18,mukeshkansagara,Mukeshbhai Kansagara🇮🇳,,Modi government leaving no stone unturned in the fight against COVID1-19.  • Production of Remdesivir across India increased threefold.  • Number of plant producing Remdesivir also triples.  #IndiaFightsCorona  https://t.co/t2xHp8ecAJ,en,[],[],['https://pbs.twimg.com/media/E0pHf5gVcAAR64Q.jpg'],0,1,2,['indiafightscorona'],[],https://twitter.com/MukeshKansagara/status/1390011131771572224,FALSE,,1,https://pbs.twimg.com/media/E0pHf5gVcAAR64Q.jpg,India,,,,,,[],,,,
1.39001E+18,1.39E+18,2021-05-05 23:43:22 India Standard Time,05-05-21,23:43:22,530,186581252,shahgardez,Hassan Gardezi,,@FaheemYounus Sir isn't CT help patients on medication to Injectable like Remdesivir. Or injectable are required once oxygen reduces.   As in Pakistan ppl are mostly treated in houses. Not much trust in hospitals.  Only goes when oxygen start to reduce.,en,[],[],[],2,0,1,[],[],https://twitter.com/shahgardez/status/1390006724292190210,FALSE,,0,,India,,,,,,"[{'screen_name': 'FaheemYounus', 'name': 'Faheem Younus, MD', 'id': '389313566'}]",,,,
1.39001E+18,1.39001E+18,2021-05-05 23:37:19 India Standard Time,05-05-21,23:37:19,530,318529219,ranveer__singh,ranveer,,While an average indian is fighting from pillar to post for #OxygenShortage #HospitalBeds &amp; #Remdesivir Banks are busy making calls for turning accounts as NPAs. विचित्र किन्तु सत्य,en,[],[],[],0,0,0,"['oxygenshortage', 'hospitalbeds', 'remdesivir']",[],https://twitter.com/ranveer__singh/status/1390005202476945410,FALSE,,0,,India,,,,,,[],,,,
