id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1379221081328783361,1379221081328783361,2021-04-06 05:25:05 India Standard Time,2021-04-06,05:25:05,+0530,975387462154403840,anandksen,Anand Sen,," https://t.co/eKbDylUP2K #Singapore From May 2021,Singapore will accept visitors who use a mobile travel pass App by IATA containing digital certificates for COVID-19 tests &amp;vaccines from accredited laboratories.The travel pass for predeparture checks clears travelers to fly&amp;enter",en,[],['https://www.reuters.com/article/us-health-coronavirus-singapore-travel-idUSKBN2BS0UC'],[],0,0,0,['singapore'],[],https://twitter.com/AnandKSen/status/1379221081328783361,False,,0,,India,,,,,,[],,,,
1379190030078406656,1379190030078406656,2021-04-06 03:21:41 India Standard Time,2021-04-06,03:21:41,+0530,2178533161,curious_amigos,Curious Amigo,,@adarpoonawalla @SerumInstIndia @OfficeofUT @Dev_Fadnavis @AjitPawarSpeaks @PawarSpeaks  Ideally Adar you shud b giving Puneites free vaccine especially whn d situation is so grim in Pune &amp; v knw tht only vaccines can save us. Money is not always everything #Pune #BreakTheChain,en,"[{'screen_name': 'seruminstindia', 'name': 'seruminstituteindia', 'id': '925599812510138368'}, {'screen_name': 'officeofut', 'name': 'office of uddhav thackeray', 'id': '1144169755672113155'}, {'screen_name': 'dev_fadnavis', 'name': 'devendra fadnavis', 'id': '137780376'}, {'screen_name': 'ajitpawarspeaks', 'name': 'ajit pawar', 'id': '2376754662'}, {'screen_name': 'pawarspeaks', 'name': 'sharad pawar', 'id': '2150403589'}]",[],[],0,1,0,"['pune', 'breakthechain']",[],https://twitter.com/curious_amigos/status/1379190030078406656,False,,0,,India,,,,,,[],,,,
1379161589337755648,1379161589337755648,2021-04-06 01:28:41 India Standard Time,2021-04-06,01:28:41,+0530,2821553593,fms__69,CHAMP7NS,"{'type': 'Point', 'coordinates': [24.75061175, 46.72618389]}",اخيرا (@ COVID-19 Vaccine Center - @saudimoh in الرياض)  https://t.co/uK0go0iEX6,ca,"[{'screen_name': 'saudimoh', 'name': 'وزارة الصحة السعودية', 'id': '280172306'}]",['https://www.swarmapp.com/c/iTsz0yasigh'],[],0,0,0,[],[],https://twitter.com/fms__69/status/1379161589337755648,False,,0,,India,,,,,,[],,,,
1379155430878941185,1379155430878941185,2021-04-06 01:04:12 India Standard Time,2021-04-06,01:04:12,+0530,117038204,vinodkguptabjp,Vinod Gupta BJP,,@BJYM4Faridabad उपाध्यक्ष मनीष सिंह व भाजपा कार्यकर्ताओं द्वारा आयोजित दयाल नगर कैम्प में लगभग 700 लोगों को #vaccine  लगाई गई I @gopalsharmabjp @OPDhankar @mlkhattar,hi,"[{'screen_name': 'gopalsharmabjp', 'name': 'gopal sharma', 'id': '881858598686478337'}, {'screen_name': 'opdhankar', 'name': 'om prakash dhankar', 'id': '2883589890'}, {'screen_name': 'mlkhattar', 'name': 'manohar lal', 'id': '295833852'}]",[],[],0,0,0,['vaccine'],[],https://twitter.com/vinodkguptabjp/status/1379155430878941185,False,https://twitter.com/vinodkguptabjp/status/1378030981316145152,0,,India,,,,,,[],,,,
1379147459646066688,1379147459646066688,2021-04-06 00:32:32 India Standard Time,2021-04-06,00:32:32,+0530,2675326700,ell555_,Leena,"{'type': 'Point', 'coordinates': [26.38093227, 50.21262646]}","الجرعة الاولى✅ (@ COVID-19 Vaccine Center in Al Khobar, Ash Sharqiyah)  https://t.co/tdgH6LmmCK",ca,[],['https://www.swarmapp.com/c/5YH6x6TC41x'],[],1,0,0,[],[],https://twitter.com/ell555_/status/1379147459646066688,False,,0,,India,,,,,,[],,,,
1379145285239107584,1379145285239107584,2021-04-06 00:23:53 India Standard Time,2021-04-06,00:23:53,+0530,113602757,rprajalingam,Rajalingam R P,,"One suggestion to @ArvindKejriwal @SatyendarJain Please publish the available vaccine slots for booking earliest/walkin jab in website and publicize for the benefit people like me, 64 years waited for a month, my wife 58 waiting for the last 5days.",en,"[{'screen_name': 'arvindkejriwal', 'name': 'arvind kejriwal', 'id': '405427035'}, {'screen_name': 'satyendarjain', 'name': 'satyendar jain', 'id': '362506755'}]",[],[],0,0,0,[],[],https://twitter.com/rprajalingam/status/1379145285239107584,False,,0,,India,,,,,,[],,,,
1379137509301518339,1379137509301518339,2021-04-05 23:53:00 India Standard Time,2021-04-05,23:53:00,+0530,126333550,ridutta,Rittick Dutta,,"For my parents, dashboard within the portal and certificate for vaccine has info mismatch. The certificate says Covaxin while the vaccine administered was Covishield. Now it's not letting me schedule Covishield appt. How to correct? @MoHFW_INDIA #CowinPortal",en,"[{'screen_name': 'mohfw_india', 'name': 'ministry of health', 'id': '2596143056'}]",[],[],0,0,0,['cowinportal'],[],https://twitter.com/ridutta/status/1379137509301518339,False,,0,,India,,,,,,[],,,,
1379135643549327364,1379135643549327364,2021-04-05 23:45:35 India Standard Time,2021-04-05,23:45:35,+0530,1136909241195868160,darkjune71,Abdullah,"{'type': 'Point', 'coordinates': [26.38093227, 50.21262646]}","I'm at COVID-19 Vaccine Center in Al Khobar, Ash Sharqiyah  https://t.co/VcQen7t8CR",en,[],['https://www.swarmapp.com/c/fjoUu8p699q'],[],0,0,0,[],[],https://twitter.com/darkjune71/status/1379135643549327364,False,,0,,India,,,,,,[],,,,
1379135551152922624,1379133509877465089,2021-04-05 23:45:13 India Standard Time,2021-04-05,23:45:13,+0530,84839958,drkunalguptabds,drkunal gupta,,@shashisingh0707 I can bet these Italian mother son daughter won't take Vaccine from India,en,[],[],[],0,1,1,[],[],https://twitter.com/drkunalguptabds/status/1379135551152922624,False,,0,,India,,,,,,"[{'screen_name': 'shashisingh0707', 'name': 'Lt Cdr Shashi Singh (R)', 'id': '2680130863'}]",,,,
1379131912426385413,1379131912426385413,2021-04-05 23:30:45 India Standard Time,2021-04-05,23:30:45,+0530,2270099846,chaudhpr,Prakash R Chaudhari,,# Modiji its enough of doing charity at the cost of the life of our people. Earnest request that you stop exporting the covid vaccine and give it on priority to our own people. Make it available actoss sll the age groups. In fact for middle age and above eith immediate effect.,en,[],[],[],0,0,0,[],[],https://twitter.com/chaudhpr/status/1379131912426385413,False,,0,,India,,,,,,[],,,,
