id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1422630739049287682,1422630739049287682,2021-08-04 00:19:34 India Standard Time,2021-08-04,00:19:34,+0530,519579255,kainkareswar,Ainkareswar,,"Night curfew, doesn't make any sense.",en,[],[],[],1,0,0,[],[],https://twitter.com/kainkareswar/status/1422630739049287682,False,,0,,India,,,,,,[],,,,
1422577633733144576,1422577633733144576,2021-08-03 20:48:32 India Standard Time,2021-08-03,20:48:32,+0530,731000462,pjsource,PJ🤍,,Curfew ช่างเงียบเหงา,th,[],[],[],0,0,0,[],[],https://twitter.com/pjsource/status/1422577633733144576,False,,0,,India,,,,,,[],,,,
1422541472251793412,1422541472251793412,2021-08-03 18:24:51 India Standard Time,2021-08-03,18:24:51,+0530,609402289,nicrulez,nicrulez,,Rushing home before curfew starts. #bangkok #Curfew #photography  https://t.co/qHHsJqTiqJ,en,[],[],['https://pbs.twimg.com/media/E73h7AYVoAUhDBo.jpg'],2,5,85,"['bangkok', 'curfew', 'photography']",[],https://twitter.com/nicrulez/status/1422541472251793412,False,,1,https://pbs.twimg.com/media/E73h7AYVoAUhDBo.jpg,India,,,,,,[],,,,
1422532820107284480,1422532820107284480,2021-08-03 17:50:28 India Standard Time,2021-08-03,17:50:28,+0530,29184298,mikedesai,Mike Desai,,. @LtGovDelhi @ArvindKejriwal @msisodia Please allow restaurants to stay open till midnight at least. There's no logic in continuing with this 10:00 PM curfew.,en,"[{'screen_name': 'ltgovdelhi', 'name': 'lg delhi', 'id': '815473030868545537'}, {'screen_name': 'arvindkejriwal', 'name': 'arvind kejriwal', 'id': '405427035'}, {'screen_name': 'msisodia', 'name': 'manish sisodia', 'id': '30417501'}]",[],[],1,1,0,[],[],https://twitter.com/MikeDesai/status/1422532820107284480,False,,0,,India,,,,,,[],,,,
1422517122773753862,1422517122773753862,2021-08-03 16:48:05 India Standard Time,2021-08-03,16:48:05,+0530,2287965890,chacharfayaz,Fayaz Chachar,,Spokesperson Sindh Govt @murtazawahab1 is addressing to media that no one protest when curfew was imposed in Lahore bt political hypocrites started propaganda against #SindhGovt on #Karachilockdown   #VaccinationDrive  #CovidVaccine  #CovidIsNotOver   PART-ll  https://t.co/A7wUUpHqFz,en,"[{'screen_name': 'murtazawahab1', 'name': 'murtaza wahab siddiqui', 'id': '724554176366284800'}]",[],[],0,14,27,"['sindhgovt', 'karachilockdown', 'vaccinationdrive', 'covidvaccine', 'covidisnotover']",[],https://twitter.com/ChacharFayaz/status/1422517122773753862,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1422516611928494081/pu/img/DDVixz3e9Fq9Ob1S.jpg,India,,,,,,[],,,,
1422433064957841411,1422433064957841411,2021-08-03 11:14:04 India Standard Time,2021-08-03,11:14:04,+0530,72888855,richardbarrow,Richard Barrow in Thailand,,"Tollways are open during the curfew but traffic is 77.4% down compared to before curfew. Deliveries are allowed and also rescue workers. Plus, I’m allowed to take someone to the airport (I’m going tonight) and I’m on standby for one of our teachers who will go into labour soon.  https://t.co/9R9UaDqPJO",en,[],[],['https://pbs.twimg.com/media/E71_VFcVkAMIk5l.jpg'],9,2,39,[],[],https://twitter.com/RichardBarrow/status/1422433064957841411,False,,1,https://pbs.twimg.com/media/E71_VFcVkAMIk5l.jpg,India,,,,,,[],,,,
1422401415159316481,1422401415159316481,2021-08-03 09:08:18 India Standard Time,2021-08-03,09:08:18,+0530,1381478994457948160,timrussellphoto,Tim Russell Photography,,With a curfew in force the wildlife is taking over the streets at night. Found this 6ft python in my moo baan on Sunday night while walking my dog.  https://t.co/r2I3aJ4Jeo,en,[],[],['https://pbs.twimg.com/media/E71ijEqVgAQcmFn.jpg'],0,0,4,[],[],https://twitter.com/TimRussellPhoto/status/1422401415159316481,False,,1,https://pbs.twimg.com/media/E71ijEqVgAQcmFn.jpg,India,,,,,,[],,,,
1422297440552620032,1422297440552620032,2021-08-03 02:15:09 India Standard Time,2021-08-03,02:15:09,+0530,200743587,alejojohnson,Alejo Johnson,,Night Curfew To Start at 9 P.M. Across Morocco 🇲🇦 Starting Tuesday #Morocco #Maroc #المغرب #Africa #NorthAfrica #COVID #COVID19 #pandemic #curfew #Casablanca #Agadir #Marrakech   https://t.co/KT8EspWDBq,en,[],['https://www.moroccoworldnews.com/2021/08/343725/night-curfew-to-start-at-9-p-m-across-morocco-starting-tuesday'],[],0,0,0,"['morocco', 'maroc', 'المغرب', 'africa', 'northafrica', 'covid', 'covid19', 'pandemic', 'curfew', 'casablanca', 'agadir', 'marrakech']",[],https://twitter.com/alejojohnson/status/1422297440552620032,False,,0,,India,,,,,,[],,,,
1422264168736968710,1422198019328335872,2021-08-03 00:02:56 India Standard Time,2021-08-03,00:02:56,+0530,3321713653,goldenhrt_assam,সৰু মানুহ,,@PIB_Guwahati @diprassam @CMOfficeAssam @sdma_assam @ddnews_guwahati @airnews_ghy @PIB_India what is point no 1. No round the clock curfew. Does 5PM to 5AM curfew been lifted??,en,[],[],[],0,0,1,[],[],https://twitter.com/goldenhrt_Assam/status/1422264168736968710,False,,0,,India,,,,,,"[{'screen_name': 'PIB_Guwahati', 'name': 'PIB in Assam', 'id': '1218115722'}, {'screen_name': 'diprassam', 'name': 'DIPR Assam', 'id': '1045931623232000000'}, {'screen_name': 'CMOfficeAssam', 'name': 'Chief Minister Assam', 'id': '851797564060033029'}, {'screen_name': 'sdma_assam', 'name': 'Assam State Disaster Management Authority', 'id': '1250673627889991680'}, {'screen_name': 'ddnews_guwahati', 'name': 'DD News Guwahati', 'id': '961850457600663556'}, {'screen_name': 'airnews_ghy', 'name': 'AIR News Guwahati', 'id': '806098717015089152'}, {'screen_name': 'PIB_India', 'name': 'PIB India', 'id': '231033118'}]",,,,
1422253358040043524,1422253358040043524,2021-08-02 23:19:59 India Standard Time,2021-08-02,23:19:59,+0530,1299347807950704641,samarkesharije3,Samar keshari jena,,50ପ୍ରତିଶତ ଲୋକଙ୍କୁ ନେଇ ଯାତ୍ରା କରିହେବ :-ଓଡିଶା ସରକାର ହେଲେ ରାତି 8ଟା ପରେ  night curfew Dear govt what's the meaning of curfew i did not know.. Please explain it briefly🙏 @otvnews @IPR_Odisha @ApurbaRanjanApu @Sushree_journo @MousumiMohanty2 @kanak_news @heitibhaina @baguliachintu,en,"[{'screen_name': 'otvnews', 'name': 'otv', 'id': '438152067'}, {'screen_name': 'ipr_odisha', 'name': 'i & pr department, odisha', 'id': '743517005920141314'}, {'screen_name': 'apurbaranjanapu', 'name': 'apurba ranjan panda', 'id': '1187193307358625792'}, {'screen_name': 'sushree_journo', 'name': 'sushree sangita dash', 'id': '1179771719268986882'}, {'screen_name': 'mousumimohanty2', 'name': 'mousumi mohanty', 'id': '1076419386'}, {'screen_name': 'kanak_news', 'name': 'kanak news', 'id': '258677084'}, {'screen_name': 'heitibhaina', 'name': 'ହେଇଟି ଭାଇନା 🇮🇳', 'id': '864706993629548545'}, {'screen_name': 'baguliachintu', 'name': 'ବଗୁଲିଆ ଚିଣ୍ଟୁ 🇮🇳', 'id': '1099513858660552704'}]",[],[],0,0,0,[],[],https://twitter.com/Samarkesharije3/status/1422253358040043524,False,,0,,India,,,,,,[],,,,
