id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1423380684068978695,1422795357407219716,2021-08-06 01:59:34 India Standard Time,2021-08-06,01:59:34,+0530,1412179316092260357,shravan89716989,Shravan Singh,,@ChitrakootDm aapko nhi lagta vaccine ki Kami hai,tl,[],[],[],0,0,0,[],[],https://twitter.com/Shravan89716989/status/1423380684068978695,False,,0,,India,,,,,,"[{'screen_name': 'ChitrakootDm', 'name': 'DM Chitrakoot', 'id': '1140214402307842048'}]",,,,
1423347233517305860,1423347233517305860,2021-08-05 23:46:39 India Standard Time,2021-08-05,23:46:39,+0530,264611465,anisfrhana,Gloomy,,"Kata kan kita dpt covid few days after 2nd dose of vaccine, boleh ke kita request utk ambik 3rd dose just incase the vaccine didn't work out?",en,[],[],[],0,0,0,[],[],https://twitter.com/anisfrhana/status/1423347233517305860,False,,0,,India,,,,,,[],,,,
1423346620125483009,1423346620125483009,2021-08-05 23:44:13 India Standard Time,2021-08-05,23:44:13,+0530,1312428004077780992,shivaaam_01,Shivam Singh,,Aaj body haar maan gyi.....subah vaccine lag wayi thee 😞,hi,[],[],[],1,0,1,[],[],https://twitter.com/shivaaam_01/status/1423346620125483009,False,,0,,India,,,,,,[],,,,
1424873462615744519,1424858874524299271,2021-08-10 04:51:21 India Standard Time,2021-08-10,04:51:21,+0530,163088369,sarah_alsayegh,Sarah HasanDóttir,,@MikeOlbinski We have an application with our name and photo stating that we got the vaccine and that’s what they are using here in Kuwait for entering gyms/malls/restaurants .. 🙂,en,[],[],[],0,0,0,[],[],https://twitter.com/Sarah_AlSayegh/status/1424873462615744519,False,,0,,India,,,,,,"[{'screen_name': 'MikeOlbinski', 'name': 'Mike Olbinski', 'id': '11282582'}]",,,,
1424870822641029126,1424870822641029126,2021-08-10 04:40:51 India Standard Time,2021-08-10,04:40:51,+0530,130559673,adilmotla,Muhammad Adil,,"@EmiratesSupport Hi I am business man having businesses and two companies in dubai, I got my first vaccine in dubai and second one I had to get back in dubai. I have gdrfa approval and ica status green can I fly back to dubai without any issue",en,[],[],[],1,0,0,[],[],https://twitter.com/adilmotla/status/1424870822641029126,False,,0,,India,,,,,,[],,,,
1424855093468409859,1424855093468409859,2021-08-10 03:38:21 India Standard Time,2021-08-10,03:38:21,+0530,1318547765278945281,habibjabri1,ＨｕＺｚｉｉ💙💫,,Meri sim jis k bhii naam haii vaccine lgwalo bhaii please😕,ht,[],[],[],0,0,1,[],[],https://twitter.com/HabibJabri1/status/1424855093468409859,False,,0,,India,,,,,,[],,,,
1424848161311387666,1424848161311387666,2021-08-10 03:10:48 India Standard Time,2021-08-10,03:10:48,+0530,1453990572,_rodahidup,AHS🇲🇾,,Chelsea Clinton urges global sharing of COVID vaccine technology  https://t.co/DJS5B6Z2E0,en,[],['https://www.nature.com/articles/d41586-021-02164-8'],[],0,0,0,[],[],https://twitter.com/_rodahidup/status/1424848161311387666,False,,0,,India,,,,,,[],,,,
1424843297399390210,1424770976093413376,2021-08-10 02:51:29 India Standard Time,2021-08-10,02:51:29,+0530,1128021790725423104,kingrb27014492,kingRB,,@Welikumbura Even kids can understand that prevailing vaccine system seem very poor where as හොනරබල්ස් ලා ටික චුන් එකෙ බලං ඉන්නව 😭,en,[],[],[],0,0,0,[],[],https://twitter.com/kingRB27014492/status/1424843297399390210,False,,0,,India,,,,,,"[{'screen_name': 'Welikumbura', 'name': 'Prasad Welikumbura', 'id': '914720730'}]",,,,
1424843101802319872,1332450837512282114,2021-08-10 02:50:42 India Standard Time,2021-08-10,02:50:42,+0530,14750222,khalaf,د. خلف بن طواله,,"جميع العاملين في مطبخ المستشفى يجب ان يأخدوا تطيعم   hepatitis-A, typhoid and meningococcal meningitis and influenza vaccine #مكافحة_العدوى",und,[],[],[],1,0,0,['مكافحة_العدوى'],[],https://twitter.com/khalaf/status/1424843101802319872,False,,0,,India,,,,,,[],,,,
1424838232836132865,1424838232836132865,2021-08-10 02:31:21 India Standard Time,2021-08-10,02:31:21,+0530,610205264,saudiwire,Saudi Wire,,MOH Spokesman   No deaths in Kingdom related to #COVID19 vaccines  https://t.co/3AdOQHX0tK,en,[],[],['https://pbs.twimg.com/media/E8YK0ZcWQAgRYMm.jpg'],0,0,0,['covid19'],[],https://twitter.com/SaudiWire/status/1424838232836132865,False,,1,https://pbs.twimg.com/media/E8YK0ZcWQAgRYMm.jpg,India,,,,,,[],,,,
1424834506272378881,1424834506272378881,2021-08-10 02:16:33 India Standard Time,2021-08-10,02:16:33,+0530,3323710512,tranthudung2,Diana Tran 🕊⚖️,,Vietnam says dangeous ! Peoples sick Covid started died much in south Vietnam ! Vaccine USA gift 10 milions doses not enough for 97 milions ! Hope it help me ALIVE through pandemic  https://t.co/fTMEkXLiQQ,en,[],[],"['https://pbs.twimg.com/media/E8YHbRyUUAEsriq.jpg', 'https://pbs.twimg.com/media/E8YHbRxVcAoYiZz.jpg', 'https://pbs.twimg.com/media/E8YHbRyVEAAQyYR.jpg']",0,0,1,[],[],https://twitter.com/TranThuDung2/status/1424834506272378881,False,,1,https://pbs.twimg.com/media/E8YHbRyUUAEsriq.jpg,India,,,,,,[],,,,
