id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1367222023466848258,1367222023466848258,2021-03-04 02:45:06 India Standard Time,2021-03-04,02:45:06,+0530,1146829498509385729,honikram,Ikraam Yussef Hirsi,,"I've been battling #coronavirus for the last week and let me say, it was NOT easy. Alhamdulilaah though, my symptoms, comparing to many, aren't that severe. This is as real as it gets. Please please please WEAR YOUR MASKS! and practice good hygiene&amp;safe distancing.   Stay safe!  https://t.co/cd0fxlpm8p",en,[],[],['https://pbs.twimg.com/media/EvlZLxNXcAA3Uvs.jpg'],19,6,61,['coronavirus'],[],https://twitter.com/HonIkram/status/1367222023466848258,False,,1,https://pbs.twimg.com/media/EvlZLxNXcAA3Uvs.jpg,India,,,,,,[],,,,
1367202553482514435,1367202553482514435,2021-03-04 01:27:44 India Standard Time,2021-03-04,01:27:44,+0530,2606059894,obaolayinka,Jeffrey,,"Police seized thousands of fake coronavirus vaccines in South Africa &amp; China &amp; made over 80 arrests on Wednesday.  South Africa police found 400 fake vaccines, equivalent to 2,400 doses, at a warehouse outside Johannesburg. Chinese &amp; a Zambian National was arrested.  #NewsBits",en,[],[],[],0,1,1,['newsbits'],[],https://twitter.com/ObaOlayinka/status/1367202553482514435,False,,0,,India,,,,,,[],,,,
1367173586704732160,1367173586704732160,2021-03-03 23:32:38 India Standard Time,2021-03-03,23:32:38,+0530,135173000,rajeshbaniya,Rajesh Baniya,,यदि #कोरोना के नाम पर कोई #घोटाला हुआ है..... तो क्या वह मानव हत्या ही मानी जाएगी? क्या साबित होने पर उन्हें क्रूरतम सजा दी जानी चाहिए?  #coronavirus #CoronavirusPandemic  #भारत #IndiaFightsCorona  https://t.co/Y5ThSoxYBZ,hi,[],[],['https://pbs.twimg.com/media/EvktHS5XcAcpL-l.jpg'],0,1,1,"['कोरोना', 'घोटाला', 'coronavirus', 'coronaviruspandemic', 'भारत', 'indiafightscorona']",[],https://twitter.com/rajeshbaniya/status/1367173586704732160,False,,1,https://pbs.twimg.com/media/EvktHS5XcAcpL-l.jpg,India,,,,,,[],,,,
1367171921666732040,1367171921666732040,2021-03-03 23:26:01 India Standard Time,2021-03-03,23:26:01,+0530,170642110,rajeshkshitij,Rajesh Kshitij,,"#HimachalPradesh - 77 new #COVID19 +ve cases, 19 Discharges &amp; No Death reported in state today till 7pm.  Now Total cases in state rises to 58,877 including 57,386 Cured/ Discharged, 495 Active Cases &amp; 983 Deceased -State Health Dept  #coronavirus @News18MP @News18CG  https://t.co/wpWUePldQW",en,"[{'screen_name': 'news18mp', 'name': 'news18 madhyapradesh', 'id': '1899744392'}, {'screen_name': 'news18cg', 'name': 'news18 chhattisgarh', 'id': '863284286853595136'}]",[],['https://pbs.twimg.com/media/EvkrnbsUcAASb-v.jpg'],0,0,0,"['himachalpradesh', 'covid19', 'coronavirus']",[],https://twitter.com/rajeshkshitij/status/1367171921666732040,False,,1,https://pbs.twimg.com/media/EvkrnbsUcAASb-v.jpg,India,,,,,,[],,,,
1367171264352190468,1367171264352190468,2021-03-03 23:23:24 India Standard Time,2021-03-03,23:23:24,+0530,170642110,rajeshkshitij,Rajesh Kshitij,,"#Tamilnadu - 489 new #COVID19 +Ve Cases, 494 Recoveries &amp; 2 Deaths reported in state Today. Now Total no. of positive cases in state rises to 8,52,967 including 3990 Active cases, 8,36,473 Cured/ Recovered &amp; 12504 Deceased- State Govt #coronavirus @News18MP @News18CG  https://t.co/zfZ9vapy92",en,"[{'screen_name': 'news18mp', 'name': 'news18 madhyapradesh', 'id': '1899744392'}, {'screen_name': 'news18cg', 'name': 'news18 chhattisgarh', 'id': '863284286853595136'}]",[],['https://pbs.twimg.com/media/EvkrBJLVcAEC-TN.jpg'],0,0,0,"['tamilnadu', 'covid19', 'coronavirus']",[],https://twitter.com/rajeshkshitij/status/1367171264352190468,False,,1,https://pbs.twimg.com/media/EvkrBJLVcAEC-TN.jpg,India,,,,,,[],,,,
1367170485587382274,1367170485587382274,2021-03-03 23:20:19 India Standard Time,2021-03-03,23:20:19,+0530,170642110,rajeshkshitij,Rajesh Kshitij,,"#Kerala -2765 new #COVID19 positive Case,4031 Recoveries &amp; 15 Death reported in state till 5pm Today. Now Total no. of positive cases in state rises to 10,67,044 including 45995 Active cases, 10,16,515 Cured/ Recovered &amp; 4241 Deceased- State Govt #coronavirus @News18MP @News18CG  https://t.co/IuN3kVN9Mb",en,"[{'screen_name': 'news18mp', 'name': 'news18 madhyapradesh', 'id': '1899744392'}, {'screen_name': 'news18cg', 'name': 'news18 chhattisgarh', 'id': '863284286853595136'}]",[],['https://pbs.twimg.com/media/EvkqT34VkAEALr3.jpg'],0,0,0,"['kerala', 'covid19', 'coronavirus']",[],https://twitter.com/rajeshkshitij/status/1367170485587382274,False,,1,https://pbs.twimg.com/media/EvkqT34VkAEALr3.jpg,India,,,,,,[],,,,
1367169529395089408,1367169529395089408,2021-03-03 23:16:31 India Standard Time,2021-03-03,23:16:31,+0530,170642110,rajeshkshitij,Rajesh Kshitij,,"#Maharashtra - 9855 new #COVID19 +ve cases, 6559 Recoveries &amp; 42 deaths reported in State Today. Now Total cases in state rises to 21,79,185 including 20,43,349 Cured/Recovered, 82,343 Active Cases &amp;  52,280 Fatalities - State Health Dept #coronavirus @News18MP @News18CG  https://t.co/0EiuQQtuu9",en,"[{'screen_name': 'news18mp', 'name': 'news18 madhyapradesh', 'id': '1899744392'}, {'screen_name': 'news18cg', 'name': 'news18 chhattisgarh', 'id': '863284286853595136'}]",[],['https://pbs.twimg.com/media/EvkpcOSUcAASF2G.jpg'],0,0,1,"['maharashtra', 'covid19', 'coronavirus']",[],https://twitter.com/rajeshkshitij/status/1367169529395089408,False,,1,https://pbs.twimg.com/media/EvkpcOSUcAASF2G.jpg,India,,,,,,[],,,,
1367169411660935168,1367169411660935168,2021-03-03 23:16:03 India Standard Time,2021-03-03,23:16:03,+0530,1088358044059070465,southdiagnostic,South Heart Clinic & Diagnostic Centre,,We are grateful to Rachana Das for her kind words about the clinic. Visit the best doctors of the city at South Heart Clinic &amp; Diagnostic Centre.  Book Your appointment with us  Web:  https://t.co/2PFci4pjTW Phone :  07044116274  #coronavirus  #clinic #kolkata #shcdc #hope  https://t.co/kTiSX3J9Vf,en,[],['http://www.heartclinicweb.com'],['https://pbs.twimg.com/media/EvkpVFxUUAMrHF9.jpg'],0,0,2,"['coronavirus', 'clinic', 'kolkata', 'shcdc', 'hope']",[],https://twitter.com/SouthDiagnostic/status/1367169411660935168,False,,1,https://pbs.twimg.com/media/EvkpVFxUUAMrHF9.jpg,India,,,,,,[],,,,
1367169211496157184,1367169211496157184,2021-03-03 23:15:15 India Standard Time,2021-03-03,23:15:15,+0530,999611991881695232,bardoliguide,Bardoli Guide,,Today's Corona Updates of Bardoli Nagar-Taluka ..  #bardoli #covid19 #coronavirus #coronavaccine #coronaupdate #bardolicorona #stayhomestaysafe #bardoliguide  https://t.co/iERTQAU13Q,en,[],[],['https://pbs.twimg.com/media/EvkpJsjVcAEpMkZ.jpg'],0,0,0,"['bardoli', 'covid19', 'coronavirus', 'coronavaccine', 'coronaupdate', 'bardolicorona', 'stayhomestaysafe', 'bardoliguide']",[],https://twitter.com/bardoliguide/status/1367169211496157184,False,,1,https://pbs.twimg.com/media/EvkpJsjVcAEpMkZ.jpg,India,,,,,,[],,,,
1367166199348527110,1367166199348527110,2021-03-03 23:03:17 India Standard Time,2021-03-03,23:03:17,+0530,1382462612,aalmandeel1,Ahad M. ALMANDEEL,,صار لنا سنة ما سرقناها #coronavirus  https://t.co/zBgEmXaa20,ar,[],[],['https://pbs.twimg.com/media/EvkmaE7XIAMNHoD.jpg'],0,0,2,['coronavirus'],[],https://twitter.com/AAlmandeel1/status/1367166199348527110,False,,1,https://pbs.twimg.com/media/EvkmaE7XIAMNHoD.jpg,India,,,,,,[],,,,
