id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1378124864511307777,1378124864511307777,2021-04-03 04:49:06 India Standard Time,2021-04-03,04:49:06,+0530,21770951,rioz_undrgrnd,SleeplessInDhaka,,I am a Covid survivor. If you’re too then RT this. #COVIDSecondWave #covidsurvivor #COVID19 #covid,en,[],[],[],0,0,0,"['covidsecondwave', 'covidsurvivor', 'covid19', 'covid']",[],https://twitter.com/rioz_undrgrnd/status/1378124864511307777,False,,0,,India,,,,,,[],,,,
1378122898490191875,1378122898490191875,2021-04-03 04:41:17 India Standard Time,2021-04-03,04:41:17,+0530,924468946350366721,almanbetzhuma,Almanbet,,@ademyarslan abi ülkeye komple kilit vurulsun )) günlük rekor covid vaka sayısı )),tr,[],[],[],0,0,0,[],[],https://twitter.com/AlmanbetZhuma/status/1378122898490191875,False,https://twitter.com/tass_agency/status/1378115922003697664,0,,India,,,,,,[],,,,
1378121788689768449,1378121788689768449,2021-04-03 04:36:53 India Standard Time,2021-04-03,04:36:53,+0530,4599236476,jamie80123,Jamie,,"@OfficeofUT Sir, rising cases of Covid in the State,  we humbly suggest that Nasal Vaccines would be a better and easier option to administer across all age groups. It may prevent the fear of taking a jab. Thanks and best regards. Col PJ Chacko(Retd).",en,[],[],[],0,0,0,[],[],https://twitter.com/jamie80123/status/1378121788689768449,False,,0,,India,,,,,,[],,,,
1378117604921982987,1377963490942537730,2021-04-03 04:20:15 India Standard Time,2021-04-03,04:20:15,+0530,729401246826831872,tariqizaz50,Tariqizaz,,"@Acosta Best of luck !! The dozen killing sprees nation wide for the last 2 months were the COVID pressure releaser or telling that only White Lives Matter (WLM) as Trump’s legacy.  The word out in Asia &amp; Africa is that it’s bcz of Kamala, Trump didn’t attend the Inaug &amp; not Biden’s win",en,[],[],[],2,0,0,[],[],https://twitter.com/tariqizaz50/status/1378117604921982987,False,,0,,India,,,,,,"[{'screen_name': 'Acosta', 'name': 'Jim Acosta', 'id': '22771961'}]",,,,
1378107313748373506,1378099117260423169,2021-04-03 03:39:22 India Standard Time,2021-04-03,03:39:22,+0530,1082696365778571269,reemhas88138365,"Reem Hasan,MD",,@musser75 Patient has covid 19 infection intubated in ICU ..temperature is very low not recorded...referred to cardiology as STEMI ...ECG improved after hypothermia management.,en,[],[],[],0,0,7,[],[],https://twitter.com/reemhas88138365/status/1378107313748373506,False,,0,,India,,,,,,"[{'screen_name': 'musser75', 'name': 'Dr M.Serdar YILMAZER', 'id': '118624194'}]",,,,
1378106076038524930,1378037697290272771,2021-04-03 03:34:27 India Standard Time,2021-04-03,03:34:27,+0530,769120838368923648,thechangemove,Aniyan,,@AAITVMAIRPORT It’s really a torture to arrive at TRV International Airport.. huge que and unprofessional and unpleasant COVID management system.. please try to avoid TRV,en,[],[],[],1,0,1,[],[],https://twitter.com/Thechangemove/status/1378106076038524930,False,,0,,India,,,,,,[],,,,
1378099362484477955,1378099362484477955,2021-04-03 03:07:46 India Standard Time,2021-04-03,03:07:46,+0530,1370284136208818180,lrdragonflydoji,Learner DragonflyDoji,,In-Depth | Resurgence of COVID-19 sparks fears of another wave of mental health problems @moneycontrolcom  https://t.co/ONyDm8GdWk,en,"[{'screen_name': 'moneycontrolcom', 'name': 'moneycontrol', 'id': '68927629'}]",['https://www.moneycontrol.com/news/trends/health-trends/in-depth-covid-19-resurgence-in-india-sparks-fears-of-another-wave-of-mental-health-problems-6723541.html'],[],0,0,0,[],[],https://twitter.com/LrDragonflyDoji/status/1378099362484477955,False,,0,,India,,,,,,[],,,,
1378095605491335169,1378095605491335169,2021-04-03 02:52:50 India Standard Time,2021-04-03,02:52:50,+0530,834068692858236928,3lesh9,علوش ع، آل حطيم,"{'type': 'Point', 'coordinates': [24.75061175, 46.72618389]}",اللي مو محصن رجاء لا تشوفه عيني (@ COVID-19 Vaccine Center - @saudimoh in الرياض)  https://t.co/FO8scvJqSj,ar,"[{'screen_name': 'saudimoh', 'name': 'وزارة الصحة السعودية', 'id': '280172306'}]",['https://www.swarmapp.com/c/9DrZ5m8JwwR'],[],0,0,0,[],[],https://twitter.com/3lesh9/status/1378095605491335169,False,,0,,India,,,,,,[],,,,
1378094924185362442,1378094924185362442,2021-04-03 02:50:08 India Standard Time,2021-04-03,02:50:08,+0530,2676105049,ashvaz_,ash,,i return to work tomorrow after having covid &amp; idk how to feel about it 🥺😔,en,[],[],[],0,0,2,[],[],https://twitter.com/ashvaz_/status/1378094924185362442,False,,0,,India,,,,,,[],,,,
1378093133666340873,1378093133666340873,2021-04-03 02:43:01 India Standard Time,2021-04-03,02:43:01,+0530,1103621211156815872,umairmughal129,Umair Mughal,,Exams should be cancelled due to this disease(Covid-19) that effect the health of young generation. As all students are equal not only Cambridge exams should be cancelled other exams should also be cancelled for the sake of health of all students. #cancelcieexams2021,en,[],[],[],1,1,4,['cancelcieexams2021'],[],https://twitter.com/umairmughal129/status/1378093133666340873,False,,0,,India,,,,,,[],,,,
