id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1389006698388488197,1389000267924865027,2021-05-03 05:29:38 India Standard Time,2021-05-03,05:29:38,+0530,774905912599334912,abhaysinghind,Abhay Chauhan,,"An urgent request for rural Uttar Pradesh. A time bomb of suspected Covid cases is exploding across UP. Village after village. First the Kumbh returnees, then the Panchayat elections, now the weddings. No tests, no treatment, negligible vaccination. PLEASE act fast.@neeleshmisra  https://t.co/yqaloJ32W8",en,"[{'screen_name': 'neeleshmisra', 'name': 'neelesh misra', 'id': '31119205'}]",[],"['https://pbs.twimg.com/media/E0a-MLUVgAMuphF.jpg', 'https://pbs.twimg.com/media/E0a-M4BVIAEy2O9.jpg', 'https://pbs.twimg.com/media/E0a-NbqUcAE5V5l.jpg', 'https://pbs.twimg.com/media/E0a-ONoVgAIYF5i.jpg']",0,0,0,[],[],https://twitter.com/abhaysinghIND/status/1389006698388488197,False,,1,https://pbs.twimg.com/media/E0a-MLUVgAMuphF.jpg,India,,,,,,[],,,,
1389006372017111042,1389006372017111042,2021-05-03 05:28:20 India Standard Time,2021-05-03,05:28:20,+0530,1228991689,nanahanna94,Aidah Farhana,,"Officemate positif covid, also company “esok keje mcm biasa” “dah sanitise” 💁🏻‍♀️",in,[],[],[],0,0,0,[],[],https://twitter.com/nanahanna94/status/1389006372017111042,False,,0,,India,,,,,,[],,,,
1389005117265874947,1389005117265874947,2021-05-03 05:23:21 India Standard Time,2021-05-03,05:23:21,+0530,780444901750153217,swati1206,Dr Swati Gupta,,@shalbyhospitals @MoHFW_INDIA @ICMRDELHI  hospital’s mismanagement costed me with covid-19 3h to get vaccinated Giving covid-19 infection for free to those coming for vaccination  My suggestion - pls dnt visit this place for any medical aid,en,"[{'screen_name': 'mohfw_india', 'name': 'ministry of health', 'id': '2596143056'}, {'screen_name': 'icmrdelhi', 'name': 'icmr', 'id': '2695241174'}]",[],[],1,0,0,[],[],https://twitter.com/swati1206/status/1389005117265874947,False,,0,,India,,,,,,[],,,,
1389005068226031618,1389005068226031618,2021-05-03 05:23:09 India Standard Time,2021-05-03,05:23:09,+0530,1370453774343438340,kritisforum,Forum Masyarakat Kritis,,Di daerah banyak dugaan penyalah gunaan dana Covid 19. Herannya bisa lolos audit. Kita bisa percaya siapa sekarang ?,in,[],[],[],0,0,0,[],[],https://twitter.com/KritisForum/status/1389005068226031618,False,,0,,India,,,,,,[],,,,
1389004793151049728,1389004793151049728,2021-05-03 05:22:03 India Standard Time,2021-05-03,05:22:03,+0530,717488096,mishra_3,"Dr Navin Kumar Mishra, MD,MPH,FAPSR.",,Covid 19 Pandemic Second Wave  https://t.co/NmS6a88eub,en,[],['https://youtu.be/oNSgExo4b7g'],[],0,0,0,[],[],https://twitter.com/mishra_3/status/1389004793151049728,False,,0,,India,,,,,,[],,,,
1389003344237060096,1389003344237060096,2021-05-03 05:16:18 India Standard Time,2021-05-03,05:16:18,+0530,1246847330566864896,praveen_umesh,Praveen Umesh Savant,,@highcourtdelhi why court not taking all contol of Delhi ?Why court waiting for govt n authority to answers?court can save life ! all blame games going on by state n central during Covid crises daily death rates r going high with poor control  n management ! @PTI_News #delhi,en,"[{'screen_name': 'pti_news', 'name': 'press trust of india', 'id': '245687754'}]",[],[],1,3,4,['delhi'],[],https://twitter.com/praveen_umesh/status/1389003344237060096,False,,0,,India,,,,,,[],,,,
1389003230512750598,1389003230512750598,2021-05-03 05:15:51 India Standard Time,2021-05-03,05:15:51,+0530,389891352,seemas_khan,SeemaKhan,,Early morning  prayers for all  🙏🤲 Pls Allah save us from this Covid Pandemic. Heal each and everyone from this deadly disease. Keep everyone safe and healthy. Not a single person should die due to lack of medicines. Nor a single person should sleep hungry.,en,[],[],[],0,1,18,[],[],https://twitter.com/Seemas_Khan/status/1389003230512750598,False,,0,,India,,,,,,[],,,,
1389002395301163021,1389002395301163021,2021-05-03 05:12:32 India Standard Time,2021-05-03,05:12:32,+0530,710553003569205250,realirrfan,irfan | عرفان,,"India hits new grim record with 3,689 COVID-19 deaths in one day. #KindAttnPMNarendraMod #COVID19 #CovidIndia #COVID19Vaccine #didi_o_didi  https://t.co/MrF8jcLKTs",en,[],[],[],0,2,14,"['kindattnpmnarendramod', 'covid19', 'covidindia', 'covid19vaccine', 'didi_o_didi']",[],https://twitter.com/Realirrfan/status/1389002395301163021,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1389002004287066113/pu/img/2YAJBHee6NW2beTc.jpg,India,,,,,,[],,,,
1389000754095030278,1389000754095030278,2021-05-03 05:06:00 India Standard Time,2021-05-03,05:06:00,+0530,1046351472,abyramli29,adawiah ramli,,"Masa kkm x share the real situation in icu, ramai dok kata kkm tipu data lah apa lah,covid ni acah je la yada yada, bila dah share gmbr and situasi, dok ckp consent bagai la apa la. Rakyat malaysia ni mmg jenis semua tak kena eh? Kau je yg betul? Org lain salah? Mcm tuuu",in,[],[],[],1,0,0,[],[],https://twitter.com/abyramli29/status/1389000754095030278,False,,0,,India,,,,,,[],,,,
1389000284588830720,1389000284588830720,2021-05-03 05:04:08 India Standard Time,2021-05-03,05:04:08,+0530,203805092,amvalano,Ana Maria Alano,,Wag makulit. Wait lang! Get vaccinated  pa din when offerred. #ivermectin #covid,en,[],[],[],0,0,0,"['ivermectin', 'covid']",[],https://twitter.com/amvalano/status/1389000284588830720,False,https://twitter.com/pcp1953/status/1388806246011076609,0,,India,,,,,,[],,,,
1388999652075204610,1388999652075204610,2021-05-03 05:01:38 India Standard Time,2021-05-03,05:01:38,+0530,233520610,rngraj,RAJIV DATTA,,"@himantabiswa @narendramodi @sambitswaraj @smritiirani @AmitShah  Already we are in difficult Covid situation , these kind on news really does not inspire anyone .....  https://t.co/imEJNaOFmv",en,"[{'screen_name': 'narendramodi', 'name': 'narendra modi', 'id': '18839785'}, {'screen_name': 'sambitswaraj', 'name': 'sambit patra', 'id': '1368737382'}, {'screen_name': 'smritiirani', 'name': 'smriti z irani', 'id': '130104041'}, {'screen_name': 'amitshah', 'name': 'amit shah', 'id': '1447949844'}]",[],['https://pbs.twimg.com/media/E0a3wZiVgAIkUoY.jpg'],0,0,0,[],[],https://twitter.com/rngraj/status/1388999652075204610,False,,1,https://pbs.twimg.com/media/E0a3wZiVgAIkUoY.jpg,India,,,,,,[],,,,
1388999454657859584,1388965574076665861,2021-05-03 05:00:51 India Standard Time,2021-05-03,05:00:51,+0530,1223530579213398016,salim33364321,Salim Parkar,,@arabnews Residents who have completed 2 doses of covid vaccine shall be allowed to come to Saudi Arabia with 7 days home quorontine.,en,[],[],[],0,0,0,[],[],https://twitter.com/salim33364321/status/1388999454657859584,False,,0,,India,,,,,,"[{'screen_name': 'arabnews', 'name': 'Arab News', 'id': '69172612'}]",,,,
1388999178622173185,1388999178622173185,2021-05-03 04:59:45 India Standard Time,2021-05-03,04:59:45,+0530,389891352,seemas_khan,SeemaKhan,,Update : Ration kits  to support single mothers who are running their houses and their children all by themselves struggling to survive in this Covid situation.  Pls RT and spread the word to *Donate Now to help Single mothers*   https://t.co/sqFaIR8hhL  https://t.co/KlEx5vrlk3,en,[],['https://www.ketto.org/fundraiser/medicines-and-food-relief?utm_medium=whatsappShare&utm_content=1823984&shby=1&utm_source=internal&utm_campaign=medicines-and-food-relief'],"['https://pbs.twimg.com/media/E0a3YR5VkAASYFd.jpg', 'https://pbs.twimg.com/media/E0a3YrOVkAE7MhX.jpg', 'https://pbs.twimg.com/media/E0a3Y_9UcAExQg2.jpg']",1,7,17,[],[],https://twitter.com/Seemas_Khan/status/1388999178622173185,False,,1,https://pbs.twimg.com/media/E0a3YR5VkAASYFd.jpg,India,,,,,,[],,,,
1388997792392044544,1388997792392044544,2021-05-03 04:54:14 India Standard Time,2021-05-03,04:54:14,+0530,1283045650800750595,jdpramod1,々Pramod々Sirohiya々,,"इस ख़तरनाक situation में भी जिन लोगों को ये लग रहा है , कि करोना जैसा कुछ नही है !! वो लोग एक बार RUHS covid हॉस्पिटल आकर उन लोगों के चहरे देख लें जिनके relative यहाँ पर भर्ती हैं अगर आप इंसान हैं, तों आपको एक एसा डरा हुआ चहरा दिखायी देगा जो आपकी रूह कंपा सकता है !!",hi,[],[],[],0,0,5,[],[],https://twitter.com/JDPramod1/status/1388997792392044544,False,,0,,India,,,,,,[],,,,
1388997102185979906,1388997102185979906,2021-05-03 04:51:30 India Standard Time,2021-05-03,04:51:30,+0530,1080588342016835584,the_dilawar09,Dilawar,,#COVIDEmergency2021 #COVID19 #Covid_19 #COVID19Vaccine #LineOfDuty #Pakistan,und,[],[],[],0,1,1,"['covidemergency2021', 'covid19', 'covid_19', 'covid19vaccine', 'lineofduty', 'pakistan']",[],https://twitter.com/the_dilawar09/status/1388997102185979906,False,https://twitter.com/OfficialNcoc/status/1388989885621604354,0,,India,,,,,,[],,,,
1388996488714276864,1388996488714276864,2021-05-03 04:49:03 India Standard Time,2021-05-03,04:49:03,+0530,450505549,bhaskarkanungo,Bhaskar Kanungo,,"@ndtv Only positive news of Covid-19 is it did a justice to a criminal. Indian judiciary did not gave him death sentence for his crimes, some how Covid-19 had to step in. I wish Covid-19 to intervene in same manner with criminal politicians of India   https://t.co/NBFZ7NvyJ9",en,[],['https://www.ndtv.com/india-news/jailed-ex-rjd-mp-mohammad-shahabuddin-dies-of-covid-at-delhi-hospital-2425861'],[],0,0,0,[],[],https://twitter.com/bhaskarkanungo/status/1388996488714276864,False,,0,,India,,,,,,[],,,,
1388996295939956740,1388956551541518338,2021-05-03 04:48:17 India Standard Time,2021-05-03,04:48:17,+0530,452845361,fahimkhanhr,Fahim Khan,,@ANI Hello @mkstalin @vijayanpinarayi @MamataOfficial I humbly request you to not make your swearing ceremony a grand event due to COVID. An online thing would be much appreciated.,en,"[{'screen_name': 'mkstalin', 'name': 'm.k.stalin', 'id': '2163039523'}, {'screen_name': 'vijayanpinarayi', 'name': 'pinarayi vijayan', 'id': '2707179805'}, {'screen_name': 'mamataofficial', 'name': 'mamata banerjee', 'id': '2526794479'}]",[],[],0,0,0,[],[],https://twitter.com/fahimkhanhr/status/1388996295939956740,False,,0,,India,,,,,,"[{'screen_name': 'ANI', 'name': 'ANI', 'id': '355989081'}]",,,,
1388995697525985280,1388995697525985280,2021-05-03 04:45:55 India Standard Time,2021-05-03,04:45:55,+0530,618208330,faizahkamal97,Melor| Wawawax.byfaizah,,Haihh la China yg mula covid die yg settle covid . Huhhhh,in,[],[],[],0,0,0,[],[],https://twitter.com/FaizahKamal97/status/1388995697525985280,False,,0,,India,,,,,,[],,,,
1388995476570079234,1388995476570079234,2021-05-03 04:45:02 India Standard Time,2021-05-03,04:45:02,+0530,1348994525444730882,shaharbeen,SHAHARBEEN NEWS SERVICE KASHMIR (SNS),,No ICU facility available at Associated Hospital GMC Baramulla as 13 ventilators are eating dust and dirt in stores. All 60 beds for Covid-19 patients are occupied so where will other Covid-19 patients go  @OfficeOfLGJandK  @DCBaramulla  @kansalrohit69  https://t.co/p79cnYCFvy,en,"[{'screen_name': 'officeoflgjandk', 'name': 'office of lg j&k', 'id': '1311622751216562176'}, {'screen_name': 'dcbaramulla', 'name': 'deputy commissioner baramulla', 'id': '1367061212689616897'}, {'screen_name': 'kansalrohit69', 'name': 'rohit kansal', 'id': '731117568556142592'}]",[],['https://pbs.twimg.com/media/E0a0Be7VcAA4q_n.jpg'],1,0,5,[],[],https://twitter.com/shaharbeen/status/1388995476570079234,False,,1,https://pbs.twimg.com/media/E0a0Be7VcAA4q_n.jpg,India,,,,,,[],,,,
1388995094489956360,1388989643417214979,2021-05-03 04:43:31 India Standard Time,2021-05-03,04:43:31,+0530,146388938,mohammedift,mohd. iftekhar shaik,,@hussain2577 @sameerdys @zeeshan_iyc @msisodia Talk to any Gurdwara Prabandhak they have started a new covid centre in Delhi with oxygen beds,en,[],[],[],0,0,0,[],[],https://twitter.com/MohammedIft/status/1388995094489956360,False,,0,,India,,,,,,"[{'screen_name': 'hussain2577', 'name': 'Hussain Taseer', 'id': '280396564'}, {'screen_name': 'sameerdys', 'name': 'Nadeem', 'id': '977275949178798081'}, {'screen_name': 'zeeshan_iyc', 'name': 'Zeeshan Siddique', 'id': '560762145'}, {'screen_name': 'msisodia', 'name': 'Manish Sisodia', 'id': '30417501'}]",,,,
1389731426543673353,1389504333528641539,2021-05-05 05:29:26 India Standard Time,2021-05-05,05:29:26,+0530,2421731642,itsmesmsai,Roy_codm,,"@Ferg Just a shoutout As the covid 2nd wave has hit India hard, Parker is doing a charity stream this Thursday, where all the donations and everything will be given to the Charities in India helping with Covid, Make sure to join.",en,[],[],[],0,0,0,[],[],https://twitter.com/itsmesmsai/status/1389731426543673353,False,,0,,India,,,,,,"[{'screen_name': 'Ferg', 'name': 'Ferg', 'id': '807726368444284928'}]",,,,
